Epoch,Training Acc,Val_Noisy_Acc,Test_ACC
0,15.18,15.95,10.73
1,21.32,22.41,14.62
2,20.345,21.35,14.47
3,25.29,25.24,19.1
4,26.235,27.93,20.75
5,25.9475,27.01,20.43
6,22.185,22.17,15.81
7,25.7875,26.76,20.28
8,28.0,28.68,22.05
9,28.2575,29.1,21.73
10,29.9725,30.67,23.83
11,32.87,34.46,25.15
12,35.4525,35.56,27.85
13,36.21,37.99,27.79
14,36.205,37.47,27.71
15,38.4825,39.54,31.01
16,39.8825,41.33,32.77
17,41.085,42.88,32.59
18,41.795,42.62,37.08
19,42.945,44.58,33.99
20,44.2,46.15,34.16
21,43.925,45.56,33.15
22,43.42,45.69,33.54
23,42.1275,43.8,35.9
24,43.6175,43.49,35.98
25,45.2975,46.04,35.52
26,44.2925,44.13,33.86
27,45.565,46.01,40.57
28,46.5775,46.13,45.69
29,46.8425,46.98,39.77
30,45.135,45.07,45.58
31,47.4625,49.01,45.68
32,44.0675,44.33,40.25
33,43.555,44.73,44.68
34,49.91,51.69,41.96
35,46.975,47.48,45.11
36,49.1675,51.02,41.05
37,48.1175,48.77,45.86
38,49.5825,49.96,39.87
39,48.815,49.52,45.71
40,55.36,55.57,50.11
41,56.4125,56.19,47.24
42,56.93,56.84,44.98
43,56.8825,56.89,46.82
44,57.0125,56.77,47.8
45,57.075,56.32,51.21
46,57.3575,57.9,45.92
47,56.5175,55.2,55.67
48,57.435,56.7,49.66
49,58.2275,56.82,49.22
