epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
4,1349,0.009286942891776562,0.008837444707751274,,,,,
4,1399,0.010029267519712448,0.010290547274053097,,,,,
4,1449,0.010390139184892178,0.010368497110903263,,,,,
4,1499,0.011249960400164127,0.01107077021151781,,,,,
4,1549,0.009638126939535141,0.009409166872501373,,,,,
4,1559,,,0.5170999765396118,0.5037000179290771,,,
4,1559,,,,,0.49574318528175354,0.4956931173801422,0.5336233973503113
5,1599,0.010103641077876091,0.010325649753212929,,,,,
5,1649,0.01041856687515974,0.01058595348149538,,,,,
5,1699,0.00876785721629858,0.008342424407601357,,,,,
5,1749,0.008417732082307339,0.008381626568734646,,,,,
5,1799,0.008629020303487778,0.008181932382285595,,,,,
5,1849,0.008223933167755604,0.008561608381569386,,,,,
5,1871,,,0.5443000197410583,0.5393000245094299,,,
5,1871,,,,,0.5200070142745972,0.5218098759651184,0.569125771522522
6,1899,0.009212613105773926,0.010710855945944786,,,,,
6,1949,0.007009692490100861,0.00776167307049036,,,,,
6,1999,0.010333027690649033,0.009669107384979725,,,,,
6,2049,0.008448167704045773,0.00810728408396244,,,,,
6,2099,0.008741690777242184,0.008325873874127865,,,,,
6,2149,0.0085090147331357,0.00824866071343422,,,,,
6,2183,,,0.5557000041007996,0.5468000173568726,,,
6,2183,,,,,0.5453225374221802,0.5435696840286255,0.587717592716217
7,2199,0.006552448030561209,0.006426882930099964,,,,,
7,2249,0.008631179109215736,0.008587486110627651,,,,,
7,2299,0.007840913720428944,0.007490863557904959,,,,,
7,2349,0.0087538231164217,0.008360563777387142,,,,,
7,2399,0.007566723506897688,0.007732454687356949,,,,,
7,2449,0.009356743656098843,0.009164665825664997,,,,,
7,2495,,,0.5587999820709229,0.574999988079071,,,
7,2495,,,,,0.561448335647583,0.5638521909713745,0.6114517450332642
8,2499,0.008049017749726772,0.008613135665655136,,,,,
8,2549,0.010639184154570103,0.010616341605782509,,,,,
8,2599,0.006875413469970226,0.006841424386948347,,,,,
8,2649,0.006119419354945421,0.006964708678424358,,,,,
8,2699,0.006768385414034128,0.006789196748286486,,,,,
8,2749,0.00690857321023941,0.006542969960719347,,,,,
8,2799,0.007015853654593229,0.007399037014693022,,,,,
8,2807,,,0.614799976348877,0.572700023651123,,,
8,2807,,,,,0.5768980383872986,0.5796273946762085,0.6387460231781006
9,2849,0.007329816464334726,0.006843201816082001,,,,,
9,2899,0.007473770063370466,0.007457604166120291,,,,,
9,2949,0.005641499068588018,0.005601982586085796,,,,,
9,2999,0.007456130348145962,0.00773918442428112,,,,,
9,3049,0.0068651544861495495,0.007636218797415495,,,,,
9,3099,0.006905488204210997,0.0061415210366249084,,,,,
9,3119,,,0.5703999996185303,0.5889999866485596,,,
9,3119,,,,,0.5893179178237915,0.5884414911270142,0.6304391026496887
10,3149,0.006611050106585026,0.006776911206543446,,,,,
10,3199,0.009972337633371353,0.009278088808059692,,,,,
10,3249,0.0071379654109478,0.0070700435899198055,,,,,
10,3299,0.006991739384829998,0.007169169373810291,,,,,
10,3349,0.006299491971731186,0.006112772040069103,,,,,
10,3399,0.007638540584594011,0.00779591454192996,,,,,
10,3431,,,0.6159999966621399,0.574400007724762,,,
10,3431,,,,,0.6036157608032227,0.6011117696762085,0.6393393874168396
11,3449,0.005984862335026264,0.005607349798083305,,,,,
11,3499,0.006073650438338518,0.005993393715471029,,,,,
11,3549,0.008520527742803097,0.0070100161246955395,,,,,
11,3599,0.007145756855607033,0.006684590596705675,,,,,
11,3649,0.005358161870390177,0.005670297425240278,,,,,
11,3699,0.008351385593414307,0.007958735339343548,,,,,
11,3743,,,0.6306999921798706,0.6240000128746033,,,
