step,train_loss1,train_loss2,epoch,train_acc1,train_acc2,test_acc
49,0.014297829009592533,0.013746853917837143,0,,,
99,0.014701379463076591,0.014327776618301868,0,,,
149,0.012825286947190762,0.013331321068108082,0,,,
199,0.012404760345816612,0.013007072731852531,0,,,
249,0.01158101111650467,0.012082617729902267,0,,,
299,0.012291612103581429,0.01166572980582714,0,,,
349,0.01073346845805645,0.010536828078329563,0,,,
389,,,0,0.38928285241127014,0.3895232379436493,0.5218999981880188
399,0.010026033967733383,0.009868083521723747,1,,,
449,0.009052700363099575,0.008632286451756954,1,,,
499,0.008264177478849888,0.009247676469385624,1,,,
549,0.009327225387096405,0.009577670134603977,1,,,
599,0.009492425248026848,0.008819986134767532,1,,,
649,0.007716752588748932,0.007708281744271517,1,,,
699,0.008379223756492138,0.007362850941717625,1,,,
749,0.0073499721474945545,0.007305992301553488,1,,,
779,,,1,0.5723557472229004,0.5802684426307678,0.5045999884605408
799,0.007846678607165813,0.008144382387399673,2,,,
849,0.006689030211418867,0.005772947799414396,2,,,
899,0.006965989712625742,0.006686598993837833,2,,,
949,0.007490405347198248,0.007356787566095591,2,,,
999,0.007631438784301281,0.007335871458053589,2,,,
1049,0.007084888406097889,0.00691478606313467,2,,,
1099,0.007668770849704742,0.008061660453677177,2,,,
1149,0.006789693143218756,0.006480202544480562,2,,,
1169,,,2,0.6528044939041138,0.6721354126930237,0.6599000096321106
1199,0.0059515805914998055,0.0051935226656496525,3,,,
1249,0.006161704659461975,0.004900585860013962,3,,,
1299,0.004944162908941507,0.004584318958222866,3,,,
1349,0.005731998011469841,0.004173211753368378,3,,,
1399,0.004711512476205826,0.003895875532180071,3,,,
1449,0.005344896111637354,0.005269472487270832,3,,,
1499,0.003471073228865862,0.0031822226010262966,3,,,
1549,0.004274464212357998,0.003668778110295534,3,,,
1559,,,3,0.7075921297073364,0.7247996926307678,0.6823999881744385
1599,0.00447875214740634,0.0038324331399053335,4,,,
1649,0.004612181335687637,0.005090541206300259,4,,,
1699,0.004510608501732349,0.00465730857104063,4,,,
1749,0.004257619846612215,0.004386847838759422,4,,,
1799,0.00349249760620296,0.0028332627844065428,4,,,
1849,0.004054127261042595,0.004063926171511412,4,,,
1899,0.0035864030942320824,0.0036863735876977444,4,,,
1949,0.004062051884829998,0.0035912529565393925,4,,,
1949,,,4,0.74609375,0.7666666507720947,0.7110999822616577
1999,0.003126617521047592,0.0026287869550287724,5,,,
2049,0.0021888643968850374,0.002229082165285945,5,,,
2099,0.002895649755373597,0.002959523117169738,5,,,
2149,0.00519978953525424,0.004385987762361765,5,,,
2199,0.0033995069097727537,0.003959384746849537,5,,,
2249,0.004130557179450989,0.00343928299844265,5,,,
2299,0.005396679509431124,0.005504509434103966,5,,,
2339,,,5,0.7738181352615356,0.7877203822135925,0.7631000280380249
2349,0.002152607776224613,0.0019712881185114384,6,,,
2399,0.0032487697899341583,0.0024267088156193495,6,,,
2449,0.0034625623375177383,0.0032056437339633703,6,,,
2499,0.0030396815855056047,0.0024690451100468636,6,,,
2549,0.003126798663288355,0.004269866738468409,6,,,
2599,0.00200183829292655,0.0018639767076820135,6,,,
2649,0.002744438359513879,0.0019103697268292308,6,,,
2699,0.002967126900330186,0.0026901846285909414,6,,,
2729,,,6,0.793749988079071,0.8005008101463318,0.7958999872207642
2749,0.0018486817134544253,0.001700657419860363,7,,,
2799,0.001506700413301587,0.0017849728465080261,7,,,
2849,0.0027808574959635735,0.002455873414874077,7,,,
2899,0.0029002188239246607,0.0024582413025200367,7,,,
2949,0.0016651640180498362,0.001889741513878107,7,,,
2999,0.001751026720739901,0.0017310824478045106,7,,,
3049,0.0012614736333489418,0.0016970166470855474,7,,,
3099,0.0030133561231195927,0.0022691756021231413,7,,,
3119,,,7,0.8097355961799622,0.817187488079071,0.7932000160217285
3149,0.0012313365004956722,0.0010915116872638464,8,,,
3199,0.0007551233866252005,0.0007989166188053787,8,,,
3249,0.0020371987484395504,0.002155720256268978,8,,,
3299,0.0029164860025048256,0.002855318831279874,8,,,
3349,0.002486089477315545,0.0026893955655395985,8,,,
3399,0.002603665692731738,0.0018260987708345056,8,,,
3449,0.0006515834829770029,0.001631406950764358,8,,,
3499,0.0014016760978847742,0.0016342271119356155,8,,,
3509,,,8,0.8194711804389954,0.8253605961799622,0.8073999881744385
3549,0.0018798294477164745,0.0011002790415659547,9,,,
3599,0.0014460847014561296,0.001580782001838088,9,,,
3649,0.0009021410951390862,0.0022971865255385637,9,,,
3699,0.0012271315790712833,0.0006294140475802124,9,,,
3749,0.0016455297591164708,0.0017289043171331286,9,,,
3799,0.0014250482199713588,0.0024050422944128513,9,,,
3849,0.0014573882799595594,0.0018670499557629228,9,,,
3899,0.0006082556792534888,0.00042143859900534153,9,,,
3899,,,9,0.8258413672447205,0.8262619972229004,0.7973999977111816
3949,0.0017291959375143051,0.000989938504062593,10,,,
3999,0.0012551515828818083,0.00098396185785532,10,,,
4049,0.0009361046832054853,0.0005144007154740393,10,,,
4099,0.0006947412621229887,0.0006765780271962285,10,,,
4149,0.0015019606798887253,0.0012097498401999474,10,,,
4199,0.0012016184628009796,0.0006623029476031661,10,,,
4249,0.0006079911254346371,0.0005719428299926221,10,,,
4289,,,10,0.828705906867981,0.835777223110199,0.784500002861023
4299,0.0005327941616997123,0.0004172086191829294,11,,,
4349,0.0005771954311057925,0.0007868952816352248,11,,,
4399,0.0018002830911427736,0.0017816375475376844,11,,,
4449,0.001985021401196718,0.0012751307804137468,11,,,
4499,0.0010848712408915162,0.001428020652383566,11,,,
4549,0.0003792860952671617,0.00045902992133051157,11,,,
4599,0.0015570834511891007,0.0007272294024005532,11,,,
4649,0.0011997891124337912,0.0021270769648253918,11,,,
4679,,,11,0.8338541388511658,0.8403445482254028,0.8306999802589417
4699,0.0008000417146831751,0.0012511999811977148,12,,,
4749,0.0010753520764410496,0.0008515831432305276,12,,,
4799,0.0010490785352885723,0.0012139379978179932,12,,,
4849,0.0009640154894441366,0.001398912281729281,12,,,
4899,0.0015405465383082628,0.0013899424811825156,12,,,
4949,0.0010092748561874032,0.0005661759059876204,12,,,
4999,0.002227931981906295,0.002092095324769616,12,,,
5049,0.0016466936795040965,0.0012634481536224484,12,,,
5069,,,12,0.8354166746139526,0.8397636413574219,0.8245000243186951
5099,0.0009557798621244729,0.0007308098720386624,13,,,
5149,0.0005297671887092292,0.0009312490001320839,13,,,
5199,0.0020337786991149187,0.0013878525933250785,13,,,
5249,0.0011494376230984926,0.0012994447024539113,13,,,
5299,0.0010419035097584128,0.0011546520981937647,13,,,
5349,0.0005114173982292414,0.0011631918605417013,13,,,
5399,0.0023231934756040573,0.0021699867211282253,13,,,
5449,0.0006686121341772377,0.000761927745770663,13,,,
5459,,,13,0.842267632484436,0.8483173251152039,0.8230000138282776
5499,0.0013663172721862793,0.0010231196647509933,14,,,
5549,0.0013452611165121198,0.0008255736902356148,14,,,
5599,0.0015433656517416239,0.0006516010034829378,14,,,
5649,0.001037772512063384,0.000742790405638516,14,,,
