train_loss2,epoch,step,train_loss1,val_acc2,val_acc1,train_acc1,test_acc,train_acc2
0.014930061995983124,0,49,0.014562191441655159,,,,,
0.013856476172804832,0,99,0.014188913628458977,,,,,
0.013453648425638676,0,149,0.012996185570955276,,,,,
0.01246282272040844,0,199,0.012451144866645336,,,,,
0.013848923146724701,0,249,0.013654667884111404,,,,,
0.011615430004894733,0,299,0.010978585109114647,,,,,
,0,311,,0.43050000071525574,0.45879998803138733,,,
,0,311,,,,0.34292367100715637,0.475600004196167,0.33526140451431274
0.013628820888698101,1,349,0.012569637969136238,,,,,
0.012844948098063469,1,399,0.011979573406279087,,,,,
0.01088358461856842,1,449,0.01077231764793396,,,,,
0.011116724461317062,1,499,0.011321505531668663,,,,,
0.01182871125638485,1,549,0.011356931179761887,,,,,
0.009045000188052654,1,599,0.00948179792612791,,,,,
,1,623,,0.49729999899864197,0.5436000227928162,,,
,1,623,,,,0.49977463483810425,0.5669000148773193,0.47768929600715637
0.009602908045053482,2,649,0.009221160784363747,,,,,
0.00868435949087143,2,699,0.008913791738450527,,,,,
0.008917756378650665,2,749,0.00873159896582365,,,,,
0.00978060346096754,2,799,0.009384902194142342,,,,,
0.009862936101853848,2,849,0.009381715208292007,,,,,
0.010439172387123108,2,899,0.009666427969932556,,,,,
,2,935,,0.5246999859809875,0.6049000024795532,,,
,2,935,,,,0.5802283883094788,0.6347000002861023,0.5619240999221802
0.00858616828918457,3,949,0.008473355323076248,,,,,
0.008812126703560352,3,999,0.00823608785867691,,,,,
0.007612476125359535,3,1049,0.007895621471107006,,,,,
0.007024195045232773,3,1099,0.006322416942566633,,,,,
0.006466501392424107,3,1149,0.00692731374874711,,,,,
0.00764935277402401,3,1199,0.007609130814671516,,,,,
,3,1247,,0.628000020980835,0.5705000162124634,,,
,3,1247,,,,0.6334635615348816,0.5885999798774719,0.6183143258094788
0.006473041605204344,4,1249,0.006026616320014,,,,,
0.005331141874194145,4,1299,0.004879377316683531,,,,,
0.006699990946799517,4,1349,0.006432157009840012,,,,,
0.005671571474522352,4,1399,0.005104939453303814,,,,,
0.006686061155050993,4,1449,0.006224890239536762,,,,,
0.005640695337206125,4,1499,0.0060052755288779736,,,,,
0.007554319221526384,4,1549,0.006926964968442917,,,,,
,4,1559,,0.656000018119812,0.6532999873161316,,,
,4,1559,,,,0.6735026240348816,0.6855000257492065,0.6609575152397156
0.005867109168320894,5,1599,0.0057244193740189075,,,,,
0.003941100090742111,5,1649,0.0039155567064881325,,,,,
0.004155966453254223,5,1699,0.00472512561827898,,,,,
0.004723286256194115,5,1749,0.004876765888184309,,,,,
0.005547785200178623,5,1799,0.006001788191497326,,,,,
0.003687620162963867,5,1849,0.003599387127906084,,,,,
,5,1871,,0.6657000184059143,0.6567000150680542,,,
,5,1871,,,,0.6977914571762085,0.6827999949455261,0.694411039352417
0.004735972732305527,6,1899,0.004367856774479151,,,,,
0.0038365330547094345,6,1949,0.004152766428887844,,,,,
0.004932804964482784,6,1999,0.004637991078197956,,,,,
0.005462696775794029,6,2049,0.005241903942078352,,,,,
0.004868312273174524,6,2099,0.00504597183316946,,,,,
0.00533473864197731,6,2149,0.00499606691300869,,,,,
,6,2183,,0.6366999745368958,0.6847000122070312,,,
,6,2183,,,,0.7141926884651184,0.7206000089645386,0.7104116678237915
0.00513354642316699,7,2199,0.004661903250962496,,,,,
0.0047051259316504,7,2249,0.0050948504358530045,,,,,
0.0046597933396697044,7,2299,0.003836180316284299,,,,,
0.0032316085416823626,7,2349,0.0034046859946101904,,,,,
0.0035725340712815523,7,2399,0.004062523599714041,,,,,
0.004236259963363409,7,2449,0.004284260328859091,,,,,
,7,2495,,0.7063999772071838,0.6182000041007996,,,
,7,2495,,,,0.7273387312889099,0.6407999992370605,0.7265625
0.0038014319725334644,8,2499,0.0038213105872273445,,,,,
0.0031261122785508633,8,2549,0.0035272040404379368,,,,,
0.003010893939062953,8,2599,0.003955732565373182,,,,,
0.004132396075874567,8,2649,0.004453873261809349,,,,,
0.003844514023512602,8,2699,0.004245440941303968,,,,,
0.004582948982715607,8,2749,0.003984223119914532,,,,,
0.005034151952713728,8,2799,0.00569454999640584,,,,,
,8,2807,,0.6377000212669373,0.6923999786376953,,,
,8,2807,,,,0.7307692170143127,0.7184000015258789,0.7335737347602844
0.002639147685840726,9,2849,0.0022787507623434067,,,,,
0.004234554711729288,9,2899,0.0038429999258369207,,,,,
0.00466142687946558,9,2949,0.005659383721649647,,,,,
0.0030407330486923456,9,2999,0.002207510406151414,,,,,
0.0029150033369660378,9,3049,0.003265287261456251,,,,,
0.00347309117205441,9,3099,0.003608124330639839,,,,,
,9,3119,,0.6642000079154968,0.5820000171661377,,,
,9,3119,,,,0.7374799847602844,0.6047000288963318,0.7364282608032227
0.002707424573600292,10,3149,0.0033601094037294388,,,,,
0.004081392660737038,10,3199,0.004645332228392363,,,,,
0.0032530149910598993,10,3249,0.003652718150988221,,,,,
0.0036042530555278063,10,3299,0.004055413883179426,,,,,
0.002219569170847535,10,3349,0.0022680528927594423,,,,,
0.0026585410814732313,10,3399,0.0033381404355168343,,,,,
,10,3431,,0.6568999886512756,0.6832000017166138,,,
,10,3431,,,,0.7399589419364929,0.7107999920845032,0.7426382303237915
0.003125579096376896,11,3449,0.00349793559871614,,,,,
0.003268408589065075,11,3499,0.0032511467579752207,,,,,
0.0034923148341476917,11,3549,0.002891374984756112,,,,,
0.002193775726482272,11,3599,0.0022842951584607363,,,,,
0.0034334161318838596,11,3649,0.0036882355343550444,,,,,
