epoch,step,test_acc,train_acc,train_loss
0,49,,,6.651270866394043
0,99,,,6.482046127319336
0,149,,,6.108182907104492
0,199,,,6.196847438812256
0,249,,,5.625214099884033
0,299,,,6.231096267700195
0,349,,,5.893631935119629
0,389,0.22339999675750732,0.11679687350988388,
1,399,,,5.634506702423096
1,449,,,5.616235256195068
1,499,,,5.494194507598877
1,549,,,5.087493419647217
1,599,,,5.119618892669678
1,649,,,4.781290531158447
1,699,,,5.234622478485107
1,749,,,5.12623929977417
1,779,0.35989999771118164,0.24552284181118011,
2,799,,,4.975676536560059
2,849,,,4.4503278732299805
2,899,,,4.438098907470703
2,949,,,4.224929332733154
2,999,,,4.780869007110596
2,1049,,,3.980741024017334
2,1099,,,4.256830215454102
2,1149,,,4.638288974761963
2,1169,0.39959999918937683,0.3418870270252228,
3,1199,,,4.510415077209473
3,1249,,,3.9342894554138184
3,1299,,,4.11809778213501
3,1349,,,4.15867805480957
3,1399,,,3.921419620513916
3,1449,,,4.3643012046813965
3,1499,,,3.9608373641967773
3,1549,,,4.139096260070801
3,1559,0.49219998717308044,0.4097556173801422,
4,1599,,,3.2761740684509277
4,1649,,,3.8034508228302
4,1699,,,4.1334967613220215
4,1749,,,3.7536375522613525
4,1799,,,3.794219732284546
4,1849,,,3.6703226566314697
4,1899,,,3.729844808578491
4,1949,,,3.7633543014526367
4,1949,0.4982999861240387,0.46004608273506165,
5,1999,,,2.9375829696655273
5,2049,,,3.703787326812744
5,2099,,,3.5765700340270996
5,2149,,,4.082526683807373
5,2199,,,3.7567946910858154
5,2249,,,3.500750780105591
5,2299,,,3.8097493648529053
5,2339,0.5295000076293945,0.49799680709838867,
6,2349,,,3.299860715866089
6,2399,,,2.9321720600128174
6,2449,,,3.505016326904297
6,2499,,,3.6950738430023193
6,2549,,,3.409250020980835
6,2599,,,3.0760748386383057
6,2649,,,3.2818644046783447
6,2699,,,3.2094268798828125
6,2729,0.5640000104904175,0.528245210647583,
7,2749,,,2.6514363288879395
7,2799,,,3.3150787353515625
7,2849,,,3.4961588382720947
7,2899,,,3.3312368392944336
7,2949,,,3.1045870780944824
7,2999,,,2.9468159675598145
7,3049,,,3.1118969917297363
7,3099,,,3.1505861282348633
7,3119,0.598800003528595,0.5536658763885498,
8,3149,,,3.1065661907196045
8,3199,,,3.5822606086730957
8,3249,,,3.0239133834838867
8,3299,,,2.8024823665618896
8,3349,,,3.0517001152038574
8,3399,,,3.2480051517486572
8,3449,,,2.9931764602661133
8,3499,,,3.134561538696289
8,3509,0.5999000072479248,0.5740885138511658,
9,3549,,,2.821110725402832
9,3599,,,2.7251999378204346
9,3649,,,2.9164979457855225
9,3699,,,2.9401602745056152
9,3749,,,2.974888324737549
9,3799,,,3.0319504737854004
9,3849,,,2.9793856143951416
9,3899,,,3.175276517868042
9,3899,0.6049000024795532,0.5954427123069763,
10,3949,,,2.7783122062683105
10,3999,,,3.0736265182495117
10,4049,,,2.462761163711548
10,4099,,,2.8930392265319824
10,4149,,,2.701415538787842
10,4199,,,2.8533616065979004
10,4249,,,2.9688920974731445
10,4289,0.6291000247001648,0.6119591593742371,
11,4299,,,2.46120285987854
11,4349,,,2.60917067527771
11,4399,,,2.653460741043091
11,4449,,,2.4987335205078125
11,4499,,,2.7810897827148438
11,4549,,,2.481982946395874
11,4599,,,2.43221116065979
11,4649,,,2.8235421180725098
11,4679,0.6205999851226807,0.6273036599159241,
12,4699,,,2.4573559761047363
12,4749,,,2.789842128753662
12,4799,,,2.1264448165893555
12,4849,,,2.650496482849121
12,4899,,,2.9131879806518555
12,4949,,,2.735165596008301
12,4999,,,2.702754259109497
12,5049,,,2.6982083320617676
12,5069,0.6492000222206116,0.6389723420143127,
13,5099,,,2.5003821849823
13,5149,,,2.3383119106292725
13,5199,,,2.332444667816162
13,5249,,,2.770749568939209
13,5299,,,2.1964468955993652
13,5349,,,2.464855670928955
13,5399,,,2.712876081466675
13,5449,,,2.4963924884796143
13,5459,0.652999997138977,0.6511217951774597,
14,5499,,,2.3863906860351562
14,5549,,,2.5691938400268555
14,5599,,,2.676767349243164
14,5649,,,2.2751541137695312
14,5699,,,2.5094964504241943
14,5749,,,2.537325382232666
14,5799,,,2.928886651992798
14,5849,,,2.2866270542144775
14,5849,0.6481999754905701,0.6642428040504456,
15,5899,,,2.2268636226654053
15,5949,,,2.283942222595215
15,5999,,,2.5523672103881836
15,6049,,,2.8584413528442383
15,6099,,,2.411471366882324
15,6149,,,2.023427963256836
15,6199,,,2.509768009185791
15,6239,0.6564000248908997,0.6739583611488342,
16,6249,,,2.640932559967041
16,6299,,,2.238887310028076
16,6349,,,2.2027230262756348
16,6399,,,2.486905336380005
16,6449,,,2.114631414413452
16,6499,,,2.7650904655456543
16,6549,,,2.230858087539673
16,6599,,,2.629396915435791
16,6629,0.6654000282287598,0.6852864623069763,
17,6649,,,2.240107774734497
17,6699,,,1.9717546701431274
17,6749,,,2.240842819213867
17,6799,,,2.191300630569458
17,6849,,,2.239121437072754
17,6899,,,2.1577341556549072
17,6949,,,2.59633731842041
17,6999,,,2.6605019569396973
17,7019,0.6723999977111816,0.6922375559806824,
18,7049,,,2.268430233001709
18,7099,,,2.020334243774414
18,7149,,,2.2142651081085205
18,7199,,,2.1443498134613037
18,7249,,,2.2772552967071533
18,7299,,,2.2107605934143066
18,7349,,,2.342985153198242
18,7399,,,2.083338499069214
18,7409,0.6783999800682068,0.6973156929016113,
19,7449,,,2.5369386672973633
19,7499,,,1.9257310628890991
19,7549,,,2.483166456222534
19,7599,,,2.23431396484375
19,7649,,,2.452158212661743
19,7699,,,2.0365357398986816
19,7749,,,2.0773065090179443
19,7799,,,2.323885917663574
19,7799,0.6819000244140625,0.708513617515564,
20,7849,,,2.032912492752075
20,7899,,,2.346820831298828
20,7949,,,2.0431013107299805
20,7999,,,2.2882721424102783
20,8049,,,2.5154504776000977
20,8099,,,2.1018731594085693
20,8149,,,2.125851631164551
20,8189,0.6710000038146973,0.7119691371917725,
21,8199,,,2.116098165512085
21,8249,,,1.8092750310897827
21,8299,,,2.4720828533172607
21,8349,,,2.124127149581909
21,8399,,,2.1581854820251465
21,8449,,,2.6933836936950684
21,8499,,,2.16261625289917
21,8549,,,2.336184024810791
21,8579,0.675000011920929,0.7182391881942749,
22,8599,,,2.253035068511963
22,8649,,,2.3833131790161133
22,8699,,,2.0175225734710693
