epoch,step,train_loss,val_acc,test_acc,train_acc
0,49,0.4356892704963684,,,
0,99,0.3248786926269531,,,
0,149,0.3231923580169678,,,
0,199,0.2732287347316742,,,
0,249,0.2535015344619751,,,
0,299,0.2985941469669342,,,
0,311,,0.3422999978065491,,
0,311,,,0.3646000027656555,0.32419371604919434
1,349,0.2746571898460388,,,
1,399,0.21450984477996826,,,
1,449,0.30681443214416504,,,
1,499,0.14603084325790405,,,
1,549,0.17737096548080444,,,
1,599,0.13263346254825592,,,
1,623,,0.4814999997615814,,
1,623,,,0.5360000133514404,0.44476160407066345
2,649,0.1967845857143402,,,
2,699,0.17219504714012146,,,
2,749,0.1102922335267067,,,
2,799,0.10324475914239883,,,
2,849,0.12931738793849945,,,
2,899,0.14043843746185303,,,
2,935,,0.44780001044273376,,
2,935,,,0.491100013256073,0.5092147588729858
3,949,0.03931567072868347,,,
3,999,0.06334713101387024,,,
3,1049,0.020772181451320648,,,
3,1099,0.11523623764514923,,,
3,1149,0.07617605477571487,,,
3,1199,0.10182209312915802,,,
3,1247,,0.5248000025749207,,
3,1247,,,0.5864999890327454,0.5513571500778198
4,1249,0.10529027879238129,,,
4,1299,-0.014905974268913269,,,
4,1349,0.0019500069320201874,,,
4,1399,-0.04176458716392517,,,
4,1449,0.008657818660140038,,,
4,1499,0.06170664355158806,,,
4,1549,0.024551382288336754,,,
4,1559,,0.600600004196167,,
4,1559,,,0.6848000288009644,0.5827323794364929
5,1599,0.022733174264431,,,
5,1649,-0.02463257499039173,,,
5,1699,-0.11414746940135956,,,
5,1749,-0.1466057002544403,,,
5,1799,-0.02695607766509056,,,
5,1849,0.020989306271076202,,,
5,1871,,0.614799976348877,,
5,1871,,,0.6829000115394592,0.6094751358032227
6,1899,-0.03631063550710678,,,
6,1949,0.052060119807720184,,,
6,1999,-0.05385594815015793,,,
6,2049,0.03569513559341431,,,
6,2099,-0.16414348781108856,,,
6,2149,-0.032312262803316116,,,
6,2183,,0.6148999929428101,,
6,2183,,,0.6934999823570251,0.6273287534713745
7,2199,-0.07843673229217529,,,
7,2249,0.01090116798877716,,,
7,2299,-0.07845126837491989,,,
7,2349,-0.1225457563996315,,,
7,2399,-0.042420826852321625,,,
7,2449,-0.07496577501296997,,,
7,2495,,0.6241999864578247,,
7,2495,,,0.6983000040054321,0.6464343070983887
8,2499,-0.05824717879295349,,,
8,2549,-0.05185391753911972,,,
8,2599,-0.06348022818565369,,,
8,2649,-0.08168644458055496,,,
8,2699,-0.013234000653028488,,,
8,2749,-0.0753600150346756,,,
8,2799,-0.07020687311887741,,,
8,2807,,0.6380000114440918,,
8,2807,,,0.7161999940872192,0.6572766304016113
9,2849,-0.06303870677947998,,,
9,2899,-0.0872555524110794,,,
9,2949,-0.1264714002609253,,,
9,2999,-0.13071978092193604,,,
9,3049,-0.07618739455938339,,,
9,3099,-0.05207134783267975,,,
9,3119,,0.6539000272750854,,
9,3119,,,0.7444999814033508,0.6687449812889099
10,3149,-0.0867433026432991,,,
10,3199,-0.14110341668128967,,,
10,3249,-0.0792924165725708,,,
10,3299,-0.1049421951174736,,,
10,3349,-0.03411637991666794,,,
10,3399,-0.1206275224685669,,,
10,3431,,0.6452999711036682,,
10,3431,,,0.7330999970436096,0.6764823794364929
11,3449,-0.17044304311275482,,,
11,3499,-0.17517992854118347,,,
11,3549,0.09401744604110718,,,
11,3599,-0.043696239590644836,,,
11,3649,-0.02206704020500183,,,
11,3699,-0.045649267733097076,,,
11,3743,,0.6524999737739563,,
11,3743,,,0.7415000200271606,0.685471773147583
12,3749,-0.09258970618247986,,,
12,3799,-0.06923836469650269,,,
12,3849,-0.14838525652885437,,,
12,3899,-0.020035453140735626,,,
12,3949,-0.07737289369106293,,,
12,3999,-0.153354212641716,,,
12,4049,-0.08680742979049683,,,
12,4055,,0.6899999976158142,,
12,4055,,,0.7817999720573425,0.6912309527397156
13,4099,-0.0629284530878067,,,
13,4149,-0.06044260784983635,,,
13,4199,-0.09453392028808594,,,
13,4249,-0.15479877591133118,,,
13,4299,-0.15870508551597595,,,
13,4349,-0.13637331128120422,,,
13,4367,,0.6568999886512756,,
13,4367,,,0.7429999709129333,0.6966145634651184
14,4399,-0.14130622148513794,,,
14,4449,-0.08112314343452454,,,
14,4499,-0.12895122170448303,,,
14,4549,-0.11845768988132477,,,
14,4599,-0.009240005165338516,,,
14,4649,-0.18532028794288635,,,
14,4679,,0.6787999868392944,,
14,4679,,,0.7728000283241272,0.7014473080635071
15,4699,-0.06839314103126526,,,
15,4749,-0.17435450851917267,,,
15,4799,-0.159295916557312,,,
15,4849,-0.24661284685134888,,,
15,4899,-0.1485733985900879,,,
15,4949,-0.04804617911577225,,,
15,4991,,0.6873999834060669,,
15,4991,,,0.7730000019073486,0.7086087465286255
16,4999,-0.15480881929397583,,,
16,5049,-0.03987491875886917,,,
16,5099,-0.16785719990730286,,,
16,5149,-0.1189771294593811,,,
16,5199,-0.16975665092468262,,,
16,5249,-0.1728276014328003,,,
16,5299,-0.038917120546102524,,,
16,5303,,0.7017999887466431,,
16,5303,,,0.7914999723434448,0.7142428159713745
17,5349,-0.15209567546844482,,,
17,5399,-0.04729372635483742,,,
17,5449,-0.20030727982521057,,,
17,5499,-0.11414279788732529,,,
17,5549,-0.17929348349571228,,,
17,5599,-0.21618515253067017,,,
17,5615,,0.6917999982833862,,
17,5615,,,0.782800018787384,0.7194511294364929
18,5649,-0.16835318505764008,,,
18,5699,-0.1262446641921997,,,
18,5749,-0.2220107465982437,,,
18,5799,-0.05355861783027649,,,
18,5849,-0.16156405210494995,,,
18,5899,-0.17441029846668243,,,
18,5927,,0.7002999782562256,,
18,5927,,,0.7972999811172485,0.7239583134651184
19,5949,-0.1707075834274292,,,
19,5999,-0.16299164295196533,,,
19,6049,-0.26817604899406433,,,
19,6099,-0.18520620465278625,,,
19,6149,-0.175448939204216,,,
19,6199,-0.26538556814193726,,,
19,6239,,0.7095999717712402,,
19,6239,,,0.8069999814033508,0.725510835647583
20,6249,-0.1812962293624878,,,
20,6299,-0.21592146158218384,,,
20,6349,-0.17216181755065918,,,
20,6399,-0.1995638906955719,,,
20,6449,-0.16660581529140472,,,
20,6499,-0.18156634271144867,,,
20,6549,-0.18238437175750732,,,
20,6551,,0.7038999795913696,,
20,6551,,,0.8064000010490417,0.7288411259651184
21,6599,-0.2167351245880127,,,
21,6649,-0.20381398499011993,,,
21,6699,-0.18082047998905182,,,
21,6749,-0.1329389065504074,,,
21,6799,-0.12939509749412537,,,
21,6849,-0.17590929567813873,,,
21,6863,,0.6844000220298767,,
21,6863,,,0.7797999978065491,0.7350010275840759
22,6899,-0.18910589814186096,,,
22,6949,-0.12007788568735123,,,
22,6999,-0.11522766947746277,,,
22,7049,-0.13395965099334717,,,
22,7099,-0.12282902002334595,,,
22,7149,-0.25798341631889343,,,
22,7175,,0.7085999846458435,,
22,7175,,,0.8158000111579895,0.7346754670143127
23,7199,-0.16767430305480957,,,
23,7249,-0.19365344941616058,,,
23,7299,-0.13363662362098694,,,
23,7349,-0.12387999892234802,,,
23,7399,-0.13655614852905273,,,
23,7449,-0.19566291570663452,,,
23,7487,,0.7145000100135803,,
23,7487,,,0.8090999722480774,0.7391075491905212
24,7499,-0.2444085031747818,,,
24,7549,-0.29309186339378357,,,
24,7599,-0.20924413204193115,,,
24,7649,-0.1691284477710724,,,
24,7699,-0.17528164386749268,,,
24,7749,-0.2517833709716797,,,
24,7799,-0.3063217103481293,,,
24,7799,,0.6937999725341797,,
24,7799,,,0.7922000288963318,0.7410106062889099
25,7849,-0.18298868834972382,,,
25,7899,-0.2838711142539978,,,
25,7949,-0.2830880880355835,,,
