epoch,mix_match_loss_epoch,mix_match_loss_step,step,test_acc,train_acc,train_loss
0,,,49,,,1.8786293268203735
0,,,99,,,1.7007981538772583
0,,,149,,,1.6873561143875122
0,,,199,,,1.6094028949737549
0,,,249,,,1.4923205375671387
0,,,299,,,1.618778109550476
0,,,349,,,1.497441053390503
0,,,389,0.5077999830245972,0.3871995210647583,
1,,,399,,,1.4721156358718872
1,,,449,,,1.4943835735321045
1,,,499,,,1.3607876300811768
1,,,549,,,1.2757550477981567
1,,,599,,,1.2843384742736816
1,,,649,,,1.2158572673797607
1,,,699,,,1.0517535209655762
1,,,749,,,1.0581812858581543
1,,,779,0.6444000005722046,0.5672876834869385,
2,,,799,,,1.1193976402282715
2,,,849,,,1.1894645690917969
2,,,899,,,0.8717564344406128
2,,,949,,,1.1581451892852783
2,,,999,,,0.975533664226532
2,,,1049,,,0.9618910551071167
2,,,1099,,,0.9512071013450623
2,,,1149,,,0.6917253732681274
2,,,1169,0.684499979019165,0.6632211804389954,
3,,,1199,,,1.081566333770752
3,,,1249,,,0.7746197581291199
3,,,1299,,,1.0049368143081665
3,,,1349,,,0.6512662768363953
3,,,1399,,,0.8039426207542419
3,,,1449,,,0.7475703954696655
3,,,1499,,,0.8669264912605286
3,,,1549,,,0.9949486255645752
3,,,1559,0.7342000007629395,0.7123798131942749,
4,,,1599,,,0.6566643118858337
4,,,1649,,,0.7933725118637085
4,,,1699,,,0.7056419253349304
4,,,1749,,,0.7931603193283081
4,,,1799,,,0.8833990097045898
4,,,1849,,,0.7916816473007202
4,,,1899,,,0.7848314642906189
4,,,1949,,,0.9760788679122925
4,,,1949,0.7544999718666077,0.7426882982254028,
5,,,1999,,,0.5813025236129761
5,,,2049,,,0.779022753238678
5,,,2099,,,0.9516098499298096
5,,,2149,,,0.761589765548706
5,,,2199,,,0.8596878051757812
5,,,2249,,,0.7254225611686707
5,,,2299,,,0.902732789516449
5,,,2339,0.7567999958992004,0.7628405690193176,
6,,,2349,,,0.5799675583839417
6,,,2399,,,0.6074655652046204
6,,,2449,,,0.760931670665741
6,,,2499,,,0.7050483226776123
6,,,2549,,,0.678250253200531
6,,,2599,,,0.6778780817985535
6,,,2649,,,0.5874044895172119
6,,,2699,,,0.7471683621406555
6,,,2729,0.7896000146865845,0.781830906867981,
7,,,2749,,,0.5191788673400879
7,,,2799,,,0.9367488026618958
7,,,2849,,,0.8331268429756165
7,,,2899,,,0.7944878935813904
7,,,2949,,,0.6408277153968811
7,,,2999,,,0.48918649554252625
7,,,3049,,,0.6872106790542603
7,,,3099,,,0.6994682550430298
7,,,3119,0.7872999906539917,0.790584921836853,
8,,,3149,,,0.46798670291900635
8,,,3199,,,0.6148322820663452
8,,,3249,,,0.7483344078063965
8,,,3299,,,0.6331183910369873
8,,,3349,,,0.44512853026390076
8,,,3399,,,0.5249335169792175
8,,,3449,,,0.9840693473815918
8,,,3499,,,0.6722654700279236
8,,,3509,0.8227999806404114,0.8033252954483032,
9,,,3549,,,0.42182257771492004
9,,,3599,,,0.6541351675987244
9,,,3649,,,0.6382423639297485
9,,,3699,,,0.527554988861084
9,,,3749,,,0.4515589475631714
9,,,3799,,,0.8570539951324463
9,,,3849,,,0.6170411705970764
9,,,3899,,,0.6132600903511047
9,,,3899,0.817300021648407,0.809334933757782,
10,,,3949,,,0.5725711584091187
10,,,3999,,,0.5913839340209961
10,,,4049,,,0.6212736368179321
10,,,4099,,,0.7201274037361145
10,,,4149,,,0.4195440709590912
10,,,4199,,,0.44265249371528625
10,,,4249,,,0.5509151816368103
10,,,4289,0.8447999954223633,0.8181490302085876,
11,,,4299,,,0.596448540687561
11,,,4349,,,0.579067587852478
11,,,4399,,,0.5164698362350464
11,,,4449,,,0.5826623439788818
11,,,4499,,,0.43988466262817383
11,,,4549,,,0.4710315763950348
11,,,4599,,,0.4797632396221161
11,,,4649,,,0.6378542184829712
11,,,4679,0.8174999952316284,0.8237379789352417,
12,,,4699,,,0.4203261137008667
12,,,4749,,,0.48682910203933716
12,,,4799,,,0.46453940868377686
12,,,4849,,,0.6024075150489807
12,,,4899,,,0.6008809804916382
12,,,4949,,,0.491405189037323
12,,,4999,,,0.5371809005737305
12,,,5049,,,0.6107637882232666
12,,,5069,0.8183000087738037,0.8307291865348816,
13,,,5099,,,0.41258344054222107
13,,,5149,,,0.4962211549282074
13,,,5199,,,0.604423999786377
13,,,5249,,,0.5620364546775818
13,,,5299,,,0.5075838565826416
13,,,5349,,,0.5083214044570923
13,,,5399,,,0.7064830660820007
13,,,5449,,,0.6825109124183655
13,,,5459,0.8499000072479248,0.8337740302085876,
14,,,5499,,,0.5166307091712952
14,,,5549,,,0.4851890504360199
14,,,5599,,,0.51862633228302
14,,,5649,,,0.67856365442276
14,,,5699,,,0.54744952917099
14,,,5749,,,0.541602611541748
14,,,5799,,,0.5173133015632629
14,,,5849,,,0.621507465839386
14,,,5849,0.8575999736785889,0.8378405570983887,
15,,,5899,,,0.464730441570282
15,,,5949,,,0.5879608392715454
15,,,5999,,,0.5921831130981445
15,,,6049,,,0.7450385689735413
15,,,6099,,,0.6104278564453125
15,,,6149,,,0.582600474357605
15,,,6199,,,0.7887121438980103
15,,,6239,0.8496999740600586,0.8408253192901611,
16,,,6249,,,0.5189535021781921
16,,,6299,,,0.47726526856422424
16,,,6349,,,0.37121543288230896
16,,,6399,,,0.4671532213687897
16,,,6449,,,0.7488481402397156
16,,,6499,,,0.4756377041339874
16,,,6549,,,0.6254026293754578
16,,,6599,,,0.7683840990066528
16,,,6629,0.8546000123023987,0.8451923131942749,
17,,,6649,,,0.4966523051261902
17,,,6699,,,0.4901284873485565
17,,,6749,,,0.6133723258972168
17,,,6799,,,0.6249451637268066
17,,,6849,,,0.5519629120826721
17,,,6899,,,0.3483978807926178
17,,,6949,,,0.39604246616363525
17,,,6999,,,0.4786398112773895
17,,,7019,0.8637999892234802,0.8485777378082275,
18,,,7049,,,0.44760292768478394
18,,,7099,,,0.3606226444244385
18,,,7149,,,0.5527440309524536
18,,,7199,,,0.6401205658912659
18,,,7249,,,0.4674988090991974
18,,,7299,,,0.35462141036987305
18,,,7349,,,0.4822387099266052
18,,,7399,,,0.6487110257148743
18,,,7409,0.8425999879837036,0.8536859154701233,
19,,,7449,,,0.5296675562858582
19,,,7499,,,0.46366870403289795
19,,,7549,,,0.6165422797203064
19,,,7599,,,0.5345076322555542
19,,,7649,,,0.46776512265205383
19,,,7699,,,0.4843822419643402
19,,,7749,,,0.45498189330101013
19,,,7799,,,0.5267840623855591
19,,,7799,0.8618999719619751,0.8432051539421082,0.7256606221199036
