step,epoch,train_loss,val_acc,val_loss,test_acc,train_acc
6749,21,1.2895925045013428,,,,
6799,21,1.0580774545669556,,,,
6849,21,1.0083973407745361,,,,
6863,21,,0.6197999715805054,1.4074293375015259,,
6863,21,,,,0.6715783476829529,0.6506159901618958
6899,22,0.941847026348114,,,,
6949,22,1.2322559356689453,,,,
6999,22,1.059411883354187,,,,
7049,22,1.2623817920684814,,,,
7099,22,0.9101709127426147,,,,
7149,22,1.084195852279663,,,,
7175,22,,0.6478999853134155,1.382619857788086,,
7175,22,,,,0.6829509735107422,0.6589042544364929
7199,23,0.9739760160446167,,,,
7249,23,0.9101300239562988,,,,
7299,23,1.1158088445663452,,,,
7349,23,1.0022189617156982,,,,
7399,23,0.964488685131073,,,,
7449,23,1.0449094772338867,,,,
7487,23,,0.6348999738693237,1.4310808181762695,,
7487,23,,,,0.6862143874168396,0.6591796875
7499,24,1.0936505794525146,,,,
7549,24,0.9149002432823181,,,,
7599,24,0.9747693538665771,,,,
7649,24,0.7087184190750122,,,,
7699,24,1.065122365951538,,,,
7749,24,1.2011983394622803,,,,
7799,24,0.9575214385986328,,,,
7799,24,,0.6589999794960022,1.3641407489776611,,
7799,24,,,,0.6885878443717957,0.6614833474159241
7849,25,0.8530057072639465,,,,
7899,25,0.9908254146575928,,,,
7949,25,0.9061412811279297,,,,
7999,25,0.908907949924469,,,,
8049,25,1.003312110900879,,,,
8099,25,1.1656620502471924,,,,
8111,25,,0.6680999994277954,1.2787975072860718,,
8111,25,,,,0.6891811490058899,0.6633113026618958
8149,26,1.0778782367706299,,,,
8199,26,1.0383262634277344,,,,
8249,26,0.844271183013916,,,,
8299,26,0.9941068887710571,,,,
8349,26,0.9617878198623657,,,,
8399,26,0.9473718404769897,,,,
8423,26,,0.6226999759674072,1.541464924812317,,
8423,26,,,,0.6879944801330566,0.662034273147583
8449,27,1.1839361190795898,,,,
8499,27,0.9256982803344727,,,,
8549,27,0.9396977424621582,,,,
8599,27,0.9120354652404785,,,,
8649,27,0.8327367305755615,,,,
8699,27,1.0562071800231934,,,,
8735,27,,0.6635000109672546,1.3664748668670654,,
8735,27,,,,0.7092563509941101,0.6610326766967773
8749,28,0.8285098075866699,,,,
8799,28,0.9008808732032776,,,,
8849,28,1.1159021854400635,,,,
8899,28,0.9344683885574341,,,,
8949,28,0.9499126076698303,,,,
8999,28,0.9502696990966797,,,,
9047,28,,0.649399995803833,1.47091805934906,,
9047,28,,,,0.6980814933776855,0.6685196161270142
9049,29,0.9021609425544739,,,,
9099,29,0.872775673866272,,,,
9149,29,1.0680553913116455,,,,
