epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
11,1.0410561561584473,3449,,,,
11,1.0147342681884766,3499,,,,
11,1.1704379320144653,3549,,,,
11,1.158319115638733,3599,,,,
11,1.0354076623916626,3649,,,,
11,1.1088429689407349,3699,,,,
11,,3743,0.678600013256073,1.1685184240341187,,
11,,3743,,,0.775600016117096,0.7252103090286255
12,1.166100263595581,3749,,,,
12,1.1536133289337158,3799,,,,
12,0.9546073079109192,3849,,,,
12,0.9709790349006653,3899,,,,
12,1.1511688232421875,3949,,,,
12,1.1010634899139404,3999,,,,
12,1.1627137660980225,4049,,,,
12,,4055,0.708299994468689,1.0984560251235962,,
12,,4055,,,0.8123000264167786,0.7291416525840759
13,1.1213310956954956,4099,,,,
13,1.098862886428833,4149,,,,
13,0.9486818909645081,4199,,,,
13,1.0835232734680176,4249,,,,
13,0.9554997682571411,4299,,,,
13,1.1269553899765015,4349,,,,
13,,4367,0.6919000148773193,1.1332736015319824,,
13,,4367,,,0.7930999994277954,0.7358273267745972
14,0.9410678744316101,4399,,,,
14,1.1181371212005615,4449,,,,
14,0.8532862067222595,4499,,,,
14,1.0079832077026367,4549,,,,
14,1.0173306465148926,4599,,,,
14,0.9061797261238098,4649,,,,
14,,4679,0.7060999870300293,1.0953576564788818,,
14,,4679,,,0.8050000071525574,0.7424128651618958
15,1.105229139328003,4699,,,,
15,0.9736104607582092,4749,,,,
15,0.9249475002288818,4799,,,,
15,0.8950406312942505,4849,,,,
15,1.0671530961990356,4899,,,,
15,1.1826735734939575,4949,,,,
15,,4991,0.7224000096321106,1.0522359609603882,,
15,,4991,,,0.8324000239372253,0.7489233016967773
16,0.8785805106163025,4999,,,,
16,1.100536584854126,5049,,,,
16,0.9041040539741516,5099,,,,
16,1.060674786567688,5149,,,,
16,1.0192091464996338,5199,,,,
16,0.848300576210022,5249,,,,
16,0.9966138601303101,5299,,,,
16,,5303,0.7099000215530396,1.0773754119873047,,
16,,5303,,,0.8119000196456909,0.753831148147583
17,1.0581988096237183,5349,,,,
17,0.9572452902793884,5399,,,,
17,0.9212730526924133,5449,,,,
17,1.1368794441223145,5499,,,,
17,1.00612473487854,5549,,,,
17,0.8936094045639038,5599,,,,
17,,5615,0.7039999961853027,1.07573401927948,,
17,,5615,,,0.8051999807357788,0.7611678838729858
18,0.9195170998573303,5649,,,,
18,1.0020874738693237,5699,,,,
18,0.9557201266288757,5749,,,,
18,1.1490203142166138,5799,,,,
18,1.0010906457901,5849,,,,
18,0.830682098865509,5899,,,,
18,,5927,0.7267000079154968,1.0256620645523071,,
18,,5927,,,0.8307999968528748,0.7660256624221802
19,0.9873817563056946,5949,,,,
19,0.937684953212738,5999,,,,
19,0.9583880305290222,6049,,,,
19,0.872771680355072,6099,,,,
19,0.880692720413208,6149,,,,
19,1.0573835372924805,6199,,,,
19,,6239,0.7113999724388123,1.0580281019210815,,
19,,6239,,,0.8112999796867371,0.7684044241905212
20,0.9180569648742676,6249,,,,
20,0.8804057836532593,6299,,,,
20,0.841714084148407,6349,,,,
20,0.9206130504608154,6399,,,,
20,0.9788917899131775,6449,,,,
20,0.7670783400535583,6499,,,,
20,1.0898710489273071,6549,,,,
20,,6551,0.7190999984741211,1.0397861003875732,,
20,,6551,,,0.8169000148773193,0.7736878991127014
21,0.9495017528533936,6599,,,,
21,1.0221205949783325,6649,,,,
21,1.0285080671310425,6699,,,,
21,0.8963502645492554,6749,,,,
21,0.9068915843963623,6799,,,,
21,0.859893798828125,6849,,,,
21,,6863,0.7200000286102295,1.0264841318130493,,
