epoch,step,test_acc,train_loss
11,4549,,1.907076120376587
11,4599,,2.00876784324646
11,4649,,1.8606476783752441
11,4679,0.8712000250816345,
12,4699,,1.4361544847488403
12,4749,,1.9644906520843506
12,4799,,1.9082083702087402
12,4849,,1.8819632530212402
12,4899,,1.8966217041015625
12,4949,,2.013150930404663
12,4999,,1.9418177604675293
12,5049,,1.692179560661316
12,5069,0.8794999718666077,
13,5099,,1.9806389808654785
13,5149,,1.754041075706482
13,5199,,2.099118947982788
13,5249,,2.0961155891418457
13,5299,,1.9173625707626343
13,5349,,1.9788482189178467
13,5399,,1.6166412830352783
13,5449,,1.6366549730300903
13,5459,0.8827999830245972,
14,5499,,2.1721296310424805
14,5549,,2.143371343612671
14,5599,,1.9378811120986938
14,5649,,1.7365124225616455
14,5699,,1.7550106048583984
14,5749,,2.0780091285705566
14,5799,,1.8935809135437012
14,5849,,1.781034231185913
14,5849,0.8833000063896179,
15,5899,,2.071654796600342
15,5949,,1.9421348571777344
15,5999,,1.7701672315597534
15,6049,,2.126725673675537
15,6099,,2.1570208072662354
15,6149,,1.9408230781555176
15,6199,,2.098506450653076
15,6239,0.8790000081062317,
16,6249,,1.991584062576294
16,6299,,1.8491191864013672
16,6349,,2.2243564128875732
16,6399,,2.1476945877075195
16,6449,,2.0175890922546387
16,6499,,1.5861220359802246
16,6549,,1.9685659408569336
16,6599,,1.9360816478729248
16,6629,0.8830999732017517,
17,6649,,1.9258363246917725
17,6699,,2.021812915802002
17,6749,,1.8346126079559326
17,6799,,1.978475570678711
17,6849,,1.8480877876281738
17,6899,,1.5007598400115967
17,6949,,1.800588846206665
17,6999,,1.658566951751709
17,7019,0.8830999732017517,
18,7049,,1.8102320432662964
18,7099,,2.0877530574798584
18,7149,,2.1931636333465576
18,7199,,1.7348264455795288
18,7249,,1.5770273208618164
18,7299,,1.87459135055542
18,7349,,1.9019250869750977
18,7399,,2.064577579498291
18,7409,0.8870000243186951,
19,7449,,1.9686589241027832
19,7499,,2.023192882537842
19,7549,,1.912698745727539
19,7599,,2.0506443977355957
19,7649,,1.849635362625122
19,7699,,2.0707597732543945
19,7749,,1.9779140949249268
19,7799,,2.0052201747894287
19,7799,0.8859999775886536,
20,7849,,2.0682191848754883
20,7899,,2.050506591796875
20,7949,,1.9572765827178955
20,7999,,1.5933210849761963
20,8049,,1.6976391077041626
20,8099,,2.073241710662842
