epoch,train_loss,step,val_loss,val_acc,train_acc,test_acc
0,2.3105149269104004,49,,,,
0,2.4233434200286865,99,,,,
0,2.6486265659332275,149,,,,
0,2.3047945499420166,199,,,,
0,2.1517703533172607,249,,,,
0,2.2182059288024902,299,,,,
0,,311,2.1388604640960693,0.20229999721050262,,
0,,311,,,0.16942107677459717,0.21119999885559082
1,2.300388813018799,349,,,,
1,2.2102811336517334,399,,,,
1,2.1369409561157227,449,,,,
1,2.363424062728882,499,,,,
1,2.218876838684082,549,,,,
1,2.1739447116851807,599,,,,
1,,623,4.2901611328125,0.25699999928474426,,
1,,623,,,0.21486878395080566,0.28450000286102295
2,2.199009656906128,649,,,,
2,2.0716238021850586,699,,,,
2,2.138822555541992,749,,,,
2,1.9309111833572388,799,,,,
2,1.903161883354187,849,,,,
2,2.012662172317505,899,,,,
2,,935,1.8398559093475342,0.33709999918937683,,
2,,935,,,0.2816506326198578,0.3691999912261963
3,1.8245768547058105,949,,,,
3,1.8157161474227905,999,,,,
3,1.992022156715393,1049,,,,
3,1.9065788984298706,1099,,,,
3,1.7984241247177124,1149,,,,
3,1.71184241771698,1199,,,,
3,,1247,1.7361685037612915,0.36410000920295715,,
3,,1247,,,0.34710535407066345,0.40369999408721924
4,1.5527637004852295,1249,,,,
4,1.8000476360321045,1299,,,,
4,1.8238537311553955,1349,,,,
4,1.654361605644226,1399,,,,
4,1.7061129808425903,1449,,,,
4,1.5947543382644653,1499,,,,
4,1.6769239902496338,1549,,,,
4,,1559,1.6291617155075073,0.4198000133037567,,
4,,1559,,,0.390625,0.4603999853134155
5,1.5840978622436523,1599,,,,
5,1.7486381530761719,1649,,,,
5,1.5725175142288208,1699,,,,
5,1.578041434288025,1749,,,,
5,1.583797574043274,1799,,,,
5,1.389997124671936,1849,,,,
5,,1871,1.60550057888031,0.43880000710487366,,
5,,1871,,,0.4268329441547394,0.4690999984741211
6,1.5943461656570435,1899,,,,
6,1.4023029804229736,1949,,,,
6,1.535599946975708,1999,,,,
6,1.4666920900344849,2049,,,,
6,1.2637804746627808,2099,,,,
6,1.491495966911316,2149,,,,
6,,2183,1.510758638381958,0.4781000018119812,,
6,,2183,,,0.4673978388309479,0.5182999968528748
7,1.3859179019927979,2199,,,,
7,1.334757924079895,2249,,,,
7,1.5521444082260132,2299,,,,
7,1.5640801191329956,2349,,,,
7,1.4148904085159302,2399,,,,
7,1.241942048072815,2449,,,,
7,,2495,1.5782115459442139,0.4794999957084656,,
7,,2495,,,0.5149238705635071,0.5382999777793884
8,1.383819818496704,2499,,,,
8,1.3434303998947144,2549,,,,
8,1.3532222509384155,2599,,,,
8,1.259717345237732,2649,,,,
8,1.2681026458740234,2699,,,,
8,1.2728906869888306,2749,,,,
8,1.3683398962020874,2799,,,,
