epoch,step,train_loss2,train_loss1,train_acc1,test_acc,train_acc2
5,2299,0.006584937684237957,0.0065400670282542706,,,
5,2339,,,0.6470953822135925,0.754800021648407,0.6458733677864075
6,2349,0.005164878908544779,0.005261786747723818,,,
6,2399,0.00571519136428833,0.006086311768740416,,,
6,2449,0.005599232390522957,0.005346947815269232,,,
6,2499,0.003941408824175596,0.0035461822990328074,,,
6,2549,0.006532920058816671,0.0062345946207642555,,,
6,2599,0.00547849340364337,0.004886452108621597,,,
6,2649,0.004790688864886761,0.005173452198505402,,,
6,2699,0.005519825033843517,0.0056167165748775005,,,
6,2729,,,0.6652243733406067,0.7213000059127808,0.6635817289352417
7,2749,0.005331586580723524,0.005724321585148573,,,
7,2799,0.005216820631176233,0.0039552124217152596,,,
7,2849,0.00662840623408556,0.005821370054036379,,,
7,2899,0.00633730785921216,0.006513437256217003,,,
7,2949,0.005127084907144308,0.0061203110963106155,,,
7,2999,0.0031739675905555487,0.0039020467083901167,,,
7,3049,0.004453562665730715,0.004034277051687241,,,
7,3099,0.004639611579477787,0.005176140461117029,,,
7,3119,,,0.6841346025466919,0.7818999886512756,0.6864383220672607
8,3149,0.0023582610301673412,0.0024166638031601906,,,
8,3199,0.0034508956596255302,0.003497368423268199,,,
8,3249,0.0033680391497910023,0.0029877331107854843,,,
8,3299,0.005360827781260014,0.005320688709616661,,,
8,3349,0.004351690877228975,0.00395637471228838,,,
8,3399,0.0028564739041030407,0.0025030216202139854,,,
8,3449,0.0030777575448155403,0.0034878982696682215,,,
8,3499,0.004329559858888388,0.00468827597796917,,,
8,3509,,,0.697696328163147,0.7444999814033508,0.6973156929016113
9,3549,0.00501945149153471,0.006696959957480431,,,
9,3599,0.006042380817234516,0.005747123155742884,,,
9,3649,0.00432978942990303,0.0036814941558986902,,,
9,3699,0.002704530954360962,0.0028361889999359846,,,
9,3749,0.0029071569442749023,0.003159554675221443,,,
9,3799,0.003121400950476527,0.0030591001268476248,,,
9,3849,0.003098783316090703,0.0027444965671747923,,,
9,3899,0.002816647756844759,0.0029663287568837404,,,
9,3899,,,0.7018429636955261,0.8025000095367432,0.7042468190193176
10,3949,0.003132000332698226,0.003382408060133457,,,
10,3999,0.002949310699477792,0.002832164289429784,,,
10,4049,0.003201615298166871,0.003054413478821516,,,
10,4099,0.0031467110384255648,0.002718155039474368,,,
10,4149,0.004112898372113705,0.004562646150588989,,,
10,4199,0.00285596726462245,0.002970385830849409,,,
10,4249,0.001945862197317183,0.0017828214913606644,,,
10,4289,,,0.7151241898536682,0.788100004196167,0.7136217951774597
11,4299,0.0021465362515300512,0.0021805630531162024,,,
11,4349,0.0030074045062065125,0.002822384238243103,,,
11,4399,0.0028879947494715452,0.0024714400060474873,,,
11,4449,0.004661667160689831,0.004481301177293062,,,
11,4499,0.004221959505230188,0.003959936555474997,,,
11,4549,0.0014563059667125344,0.0016238209791481495,,,
11,4599,0.002982156816869974,0.003443843685090542,,,
11,4649,0.005372030194848776,0.003887923201546073,,,
11,4679,,,0.7206730842590332,0.8129000067710876,0.7222355604171753
12,4699,0.0025888215750455856,0.002101452322676778,,,
12,4749,0.002219131216406822,0.0021842983551323414,,,
12,4799,0.001553268637508154,0.0017487795557826757,,,
12,4849,0.002507485682144761,0.0020842545200139284,,,
12,4899,0.0031121540814638138,0.0021478328853845596,,,
12,4949,0.0036239440087229013,0.004059200175106525,,,
12,4999,0.0017226152122020721,0.0014301150804385543,,,
12,5049,0.003150899661704898,0.002660234458744526,,,
12,5069,,,0.7300680875778198,0.830299973487854,0.7285256385803223
13,5099,0.003225451335310936,0.0036960970610380173,,,
13,5149,0.001969320699572563,0.0027561711613088846,,,
13,5199,0.003135154489427805,0.003491076873615384,,,
13,5249,0.002818833105266094,0.002970666391775012,,,
13,5299,0.0018418636173009872,0.0016298157861456275,,,
13,5349,0.0018345002317801118,0.0024972299579530954,,,
13,5399,0.004409733694046736,0.0038208484183996916,,,
13,5449,0.003578058211132884,0.0036879179533571005,,,
13,5459,,,0.7346754670143127,0.8291000127792358,0.737419843673706
14,5499,0.001064675860106945,0.0011667226208373904,,,
14,5549,0.0026102305855602026,0.0030072657391428947,,,
14,5599,0.0028166777919977903,0.0028679564129561186,,,
14,5649,0.001076732762157917,0.0010808630613610148,,,
14,5699,0.0027980641461908817,0.0026777905877679586,,,
14,5749,0.0024813406635075808,0.0026766553055495024,,,
14,5799,0.00346346921287477,0.0036602942273020744,,,
14,5849,0.0028981356881558895,0.002389463596045971,,,
14,5849,,,0.7394431233406067,0.8300999999046326,0.7396033406257629
15,5899,0.0019690548069775105,0.0020718558225780725,,,
15,5949,0.001237199641764164,0.0014574220404028893,,,
15,5999,0.0025294728111475706,0.0024183986242860556,,,
15,6049,0.0021827020682394505,0.002038532868027687,,,
15,6099,0.0009192111901938915,0.0013339880388230085,,,
15,6149,0.0009728215518407524,0.0009265395347028971,,,
15,6199,0.0019251385238021612,0.0018334656488150358,,,
15,6239,,,0.7451322078704834,0.838699996471405,0.7465344667434692
16,6249,0.0019131677690893412,0.0015224480303004384,,,
16,6299,0.002230525016784668,0.0021720516961067915,,,
16,6349,0.0006860465509817004,0.0008806493133306503,,,
16,6399,0.0009357097442261875,0.0015627241227775812,,,
16,6449,0.0012183358194306493,0.000785508775152266,,,
16,6499,0.0050282846204936504,0.004259458277374506,,,
16,6549,0.0017544702859595418,0.0015961730387061834,,,
16,6599,0.0014666602946817875,0.001471471507102251,,,
16,6629,,,0.750901460647583,0.8514000177383423,0.7503204941749573
17,6649,0.0024234934244304895,0.0021535162813961506,,,
17,6699,0.002377504948526621,0.00192830222658813,,,
17,6749,0.0019794960971921682,0.0017554988153278828,,,
17,6799,0.00301815802231431,0.0016102868830785155,,,
17,6849,0.0017616773257032037,0.0017340389313176274,,,
17,6899,0.003560887649655342,0.0034174006432294846,,,
17,6949,0.0027576310094445944,0.0020050217863172293,,,
17,6999,0.0014485009014606476,0.0011424245312809944,,,
17,7019,,,0.7540464997291565,0.84170001745224,0.7509415149688721
18,7049,0.0017863030079752207,0.00176875083707273,,,
18,7099,0.003270265646278858,0.0025731297209858894,,,
18,7149,0.0016392016550526023,0.001645839773118496,,,
18,7199,0.0015622719656676054,0.0019611422903835773,,,
18,7249,0.001660254318267107,0.0016182729741558433,,,
18,7299,0.0010215092916041613,0.0005570249049924314,,,
18,7349,0.0026253617834299803,0.0021846811287105083,,,
18,7399,0.0013419276801869273,0.0012697546044364572,,,
18,7409,,,0.7576121687889099,0.8443999886512756,0.756169855594635
19,7449,0.0022451847326010466,0.003110981546342373,,,
19,7499,0.0011640782468020916,0.001166580361314118,,,
19,7549,0.0011702071642503142,0.0014545423910021782,,,
19,7599,0.002791760955005884,0.002477573463693261,,,
19,7649,0.0007945102406665683,0.0011668568477034569,,,
19,7699,0.0010989271104335785,0.0014645906630903482,,,
19,7749,0.002081970451399684,0.002246581483632326,,,
19,7799,0.0023505028802901506,0.0017196036642417312,,,
