train_loss,epoch,step,val_loss,val_acc,test_acc,train_acc
1.9088773727416992,0,49,,,,
1.5558886528015137,0,99,,,,
1.6214470863342285,0,149,,,,
1.3643317222595215,0,199,,,,
1.4017767906188965,0,249,,,,
1.4291175603866577,0,299,,,,
,0,311,1.6062835454940796,0.4361000061035156,,
,0,311,,,0.4767000079154968,0.33578726649284363
1.2485404014587402,1,349,,,,
1.2678349018096924,1,399,,,,
1.050917148590088,1,449,,,,
0.8760050535202026,1,499,,,,
0.9411858320236206,1,549,,,,
0.7203613519668579,1,599,,,,
,1,623,1.665102481842041,0.4666000008583069,,
,1,623,,,0.5156000256538391,0.46331629157066345
0.8329592943191528,2,649,,,,
0.4597499966621399,2,699,,,,
0.2936708927154541,2,749,,,,
0.2217247486114502,2,799,,,,
0.35753846168518066,2,849,,,,
0.3881322145462036,2,899,,,,
,2,935,1.3652920722961426,0.5807999968528748,,
,2,935,,,0.647599995136261,0.5482522249221802
0.027698040008544922,3,949,,,,
-0.37364089488983154,3,999,,,,
-0.2964094877243042,3,1049,,,,
0.05182349681854248,3,1099,,,,
-0.0480799674987793,3,1149,,,,
0.15342354774475098,3,1199,,,,
,3,1247,1.530208945274353,0.5817999839782715,,
,3,1247,,,0.6430000066757202,0.6006860733032227
-0.574493408203125,4,1249,,,,
-1.0095819234848022,4,1299,,,,
-1.2941696643829346,4,1349,,,,
-0.6998597383499146,4,1399,,,,
-1.0647450685501099,4,1449,,,,
-0.8571577072143555,4,1499,,,,
-0.717136025428772,4,1549,,,,
,4,1559,1.3467079401016235,0.6425999999046326,,
,4,1559,,,0.7301999926567078,0.6397736668586731
-1.2879726886749268,5,1599,,,,
-1.3136217594146729,5,1649,,,,
-1.7642161846160889,5,1699,,,,
-1.7328057289123535,5,1749,,,,
-1.4509423971176147,5,1799,,,,
-1.3687539100646973,5,1849,,,,
,5,1871,1.3316981792449951,0.652999997138977,,
,5,1871,,,0.7444999814033508,0.6691206097602844
-2.366313934326172,6,1899,,,,
-2.2118327617645264,6,1949,,,,
-2.364415168762207,6,1999,,,,
-1.8355456590652466,6,2049,,,,
-2.8801422119140625,6,2099,,,,
-2.535186290740967,6,2149,,,,
,6,2183,1.330527901649475,0.6873999834060669,,
,6,2183,,,0.7828999757766724,0.6924078464508057
-3.44970703125,7,2199,,,,
-2.689499855041504,7,2249,,,,
-3.099423885345459,7,2299,,,,
-3.382805347442627,7,2349,,,,
-2.9360508918762207,7,2399,,,,
-2.9468564987182617,7,2449,,,,
,7,2495,1.3907278776168823,0.6931999921798706,,
,7,2495,,,0.7860999703407288,0.7138421535491943
-3.760887622833252,8,2499,,,,
-3.7534117698669434,8,2549,,,,
-3.4325456619262695,8,2599,,,,
-3.3840126991271973,8,2649,,,,
-3.2235355377197266,8,2699,,,,
-3.475209951400757,8,2749,,,,
-2.9080467224121094,8,2799,,,,
,8,2807,1.385040044784546,0.7095999717712402,,
,8,2807,,,0.8082000017166138,0.7292417883872986
-4.819584846496582,9,2849,,,,
-4.654836177825928,9,2899,,,,
-4.484304428100586,9,2949,,,,
-4.953776836395264,9,2999,,,,
-4.130517482757568,9,3049,,,,
-4.363010883331299,9,3099,,,,
,9,3119,1.3872097730636597,0.723800003528595,,
,9,3119,,,0.8251000046730042,0.741135835647583
-2.233522415161133,10,3149,,,,
-3.322927474975586,10,3199,,,,
-3.3039498329162598,10,3249,,,,
-4.1998114585876465,10,3299,,,,
-4.380294322967529,10,3349,,,,
-4.330284595489502,10,3399,,,,
,10,3431,2.2302961349487305,0.5997999906539917,,
,10,3431,,,0.6732000112533569,0.6346654891967773
-4.458314895629883,11,3449,,,,
-4.874802112579346,11,3499,,,,
-3.8121490478515625,11,3549,,,,
-4.444147109985352,11,3599,,,,
-4.410261154174805,11,3649,,,,
-4.668482780456543,11,3699,,,,
,11,3743,1.7850549221038818,0.6715999841690063,,
,11,3743,,,0.7576000094413757,0.6821163892745972
-4.803125858306885,12,3749,,,,
-5.629963397979736,12,3799,,,,
-5.817049026489258,12,3849,,,,
-6.274504661560059,12,3899,,,,
-4.9628167152404785,12,3949,,,,
-4.824006080627441,12,3999,,,,
-4.980367660522461,12,4049,,,,
,12,4055,1.8878257274627686,0.6452999711036682,,
,12,4055,,,0.73089998960495,0.7007712125778198
-4.940145492553711,13,4099,,,,
-5.21627140045166,13,4149,,,,
-7.158515930175781,13,4199,,,,
-6.001098155975342,13,4249,,,,
-6.851593494415283,13,4299,,,,
-5.899421691894531,13,4349,,,,
,13,4367,1.588181495666504,0.7092000246047974,,
,13,4367,,,0.8102999925613403,0.7121394276618958
-7.113949775695801,14,4399,,,,
-5.534482002258301,14,4449,,,,
-7.071044445037842,14,4499,,,,
-6.715583801269531,14,4549,,,,
-6.443843841552734,14,4599,,,,
-7.525522708892822,14,4649,,,,
,14,4679,1.728203296661377,0.7055000066757202,,
,14,4679,,,0.7982000112533569,0.7269381284713745
-6.522535800933838,15,4699,,,,
-7.446459770202637,15,4749,,,,
-7.835841655731201,15,4799,,,,
-7.657572269439697,15,4849,,,,
-6.995594024658203,15,4899,,,,
-6.624564170837402,15,4949,,,,
,15,4991,1.6402220726013184,0.7304999828338623,,
,15,4991,,,0.8303999900817871,0.73828125
-7.78541374206543,16,4999,,,,
-6.71483850479126,16,5049,,,,
-8.41141414642334,16,5099,,,,
-7.343557834625244,16,5149,,,,
-7.933611869812012,16,5199,,,,
-8.808908462524414,16,5249,,,,
-7.5973381996154785,16,5299,,,,
,16,5303,1.6651709079742432,0.7304999828338623,,
,16,5303,,,0.8366000056266785,0.7483974099159241
-8.49123477935791,17,5349,,,,
-8.639017105102539,17,5399,,,,
-9.033045768737793,17,5449,,,,
-7.433215141296387,17,5499,,,,
-9.337653160095215,17,5549,,,,
-9.277935028076172,17,5599,,,,
,17,5615,1.6388648748397827,0.7427999973297119,,
,17,5615,,,0.8446999788284302,0.7596153616905212
-9.319849014282227,18,5649,,,,
-8.500205993652344,18,5699,,,,
-10.23698902130127,18,5749,,,,
-7.713425636291504,18,5799,,,,
-9.656006813049316,18,5849,,,,
-10.104928016662598,18,5899,,,,
,18,5927,1.6235166788101196,0.7520999908447266,,
,18,5927,,,0.8600000143051147,0.7664512991905212
-9.901327133178711,19,5949,,,,
-10.436813354492188,19,5999,,,,
-10.7122220993042,19,6049,,,,
-10.529706001281738,19,6099,,,,
-10.672319412231445,19,6149,,,,
-10.565969467163086,19,6199,,,,
,19,6239,1.6769826412200928,0.7508000135421753,,
,19,6239,,,0.8655999898910522,0.7725110054016113
-9.50234603881836,20,6249,,,,
-8.21955680847168,20,6299,,,,
-7.771999359130859,20,6349,,,,
-9.491477012634277,20,6399,,,,
-7.411122798919678,20,6449,,,,
-9.541107177734375,20,6499,,,,
-8.897989273071289,20,6549,,,,
,20,6551,2.2738819122314453,0.6606000065803528,,
,20,6551,,,0.7422000169754028,0.678635835647583
-8.917733192443848,21,6599,,,,
-9.792552947998047,21,6649,,,,
-8.278647422790527,21,6699,,,,
-9.37743854522705,21,6749,,,,
-10.098552703857422,21,6799,,,,
-9.694575309753418,21,6849,,,,
,21,6863,2.079963207244873,0.7052000164985657,,
,21,6863,,,0.8086000084877014,0.7101112008094788
-11.482292175292969,22,6899,,,,
-9.333313941955566,22,6949,,,,
-10.056074142456055,22,6999,,,,
-9.30191707611084,22,7049,,,,
-9.757155418395996,22,7099,,,,
-10.173436164855957,22,7149,,,,
,22,7175,2.0327887535095215,0.7113000154495239,,
,22,7175,,,0.8123000264167786,0.7242838740348816
-10.317290306091309,23,7199,,,,
-11.390798568725586,23,7249,,,,
-10.168456077575684,23,7299,,,,
-9.019612312316895,23,7349,,,,
-10.564783096313477,23,7399,,,,
-9.301898002624512,23,7449,,,,
,23,7487,2.0362653732299805,0.7185999751091003,,
,23,7487,,,0.8163999915122986,0.738206148147583
-10.87819766998291,24,7499,,,,
-10.961549758911133,24,7549,,,,
-11.08584213256836,24,7599,,,,
-10.750017166137695,24,7649,,,,
-10.492895126342773,24,7699,,,,
-9.405134201049805,24,7749,,,,
-9.918932914733887,24,7799,,,,
,24,7799,1.898859977722168,0.7289999723434448,,
,24,7799,,,0.8342000246047974,0.7462440133094788
-10.817132949829102,25,7849,,,,
-11.626886367797852,25,7899,,,,
-11.66577434539795,25,7949,,,,
-11.508866310119629,25,7999,,,,
-10.385475158691406,25,8049,,,,
-10.65681266784668,25,8099,,,,
,25,8111,1.8340522050857544,0.741100013256073,,
,25,8111,,,0.8531000018119812,0.7571864724159241
-11.92475414276123,26,8149,,,,
-11.323437690734863,26,8199,,,,
-11.746196746826172,26,8249,,,,
-10.273564338684082,26,8299,,,,
-12.517702102661133,26,8349,,,,
-11.494345664978027,26,8399,,,,
,26,8423,1.7750706672668457,0.7498000264167786,,
,26,8423,,,0.8694999814033508,0.7677534222602844
-12.052602767944336,27,8449,,,,
-11.652031898498535,27,8499,,,,
-12.717987060546875,27,8549,,,,
-12.216399192810059,27,8599,,,,
-13.437108993530273,27,8649,,,,
-11.968064308166504,27,8699,,,,
,27,8735,1.7887611389160156,0.7537000179290771,,
,27,8735,,,0.8719000220298767,0.7739382982254028
-13.188739776611328,28,8749,,,,
-12.5928955078125,28,8799,,,,
-12.693498611450195,28,8849,,,,
-13.85628604888916,28,8899,,,,
-12.453932762145996,28,8949,,,,
-12.2772798538208,28,8999,,,,
,28,9047,1.77922523021698,0.7603999972343445,,
,28,9047,,,0.8773999810218811,0.7825019955635071
-13.14525318145752,29,9049,,,,
-12.111895561218262,29,9099,,,,
-12.838183403015137,29,9149,,,,
-12.945133209228516,29,9199,,,,
-12.926876068115234,29,9249,,,,
-12.746415138244629,29,9299,,,,
-13.168481826782227,29,9349,,,,
,29,9359,1.7981489896774292,0.7626000046730042,,
,29,9359,,,0.879800021648407,0.7868089079856873
-10.096817016601562,30,9399,,,,
-11.050304412841797,30,9449,,,,
-10.529962539672852,30,9499,,,,
-10.593029022216797,30,9549,,,,
-11.376110076904297,30,9599,,,,
-11.319839477539062,30,9649,,,,
,30,9671,3.0810422897338867,0.6103000044822693,,
,30,9671,,,0.694100022315979,0.7056039571762085
-10.042584419250488,31,9699,,,,
-10.827153205871582,31,9749,,,,
-11.413912773132324,31,9799,,,,
-10.705694198608398,31,9849,,,,
-11.115751266479492,31,9899,,,,
-12.010879516601562,31,9949,,,,
,31,9983,2.4531378746032715,0.6930000185966492,,
,31,9983,,,0.7875000238418579,0.7134164571762085
-10.827478408813477,32,9999,,,,
-11.188774108886719,32,10049,,,,
-12.582329750061035,32,10099,,,,
-11.71496868133545,32,10149,,,,
-12.89987564086914,32,10199,,,,
-12.018890380859375,32,10249,,,,
,32,10295,2.116957902908325,0.7179999947547913,,
,32,10295,,,0.8253999948501587,0.7325220108032227
-12.266571044921875,33,10299,,,,
-13.053018569946289,33,10349,,,,
-11.591812133789062,33,10399,,,,
-11.670708656311035,33,10449,,,,
-12.384953498840332,33,10499,,,,
-9.968759536743164,33,10549,,,,
-12.338350296020508,33,10599,,,,
,33,10607,1.9814814329147339,0.739799976348877,,
,33,10607,,,0.8490999937057495,0.7484725713729858
-13.663361549377441,34,10649,,,,
-12.495529174804688,34,10699,,,,
-10.96562385559082,34,10749,,,,
-12.544364929199219,34,10799,,,,
-12.166665077209473,34,10849,,,,
-11.550894737243652,34,10899,,,,
,34,10919,1.9760527610778809,0.7386999726295471,,
,34,10919,,,0.8507000207901001,0.7615684866905212
-12.978440284729004,35,10949,,,,
