epoch,train_loss2,step,train_loss1,val_acc2,val_acc1,train_acc2,train_acc1,test_acc
0,0.017186220735311508,49,0.017806963995099068,,,,,
0,0.015189487487077713,99,0.016669372096657753,,,,,
0,0.01604214683175087,149,0.016182860359549522,,,,,
0,0.015071520581841469,199,0.015217926353216171,,,,,
0,0.013319805264472961,249,0.013562172651290894,,,,,
0,0.01500028371810913,299,0.014152372255921364,,,,,
0,,312,,0.35839998722076416,0.3555999994277954,,,
0,,312,,,,0.2696250081062317,0.2563999891281128,0.37717562913894653
1,0.012955267913639545,349,0.014040113426744938,,,,,
1,0.013370356522500515,399,0.01272263377904892,,,,,
1,0.012000971473753452,449,0.01182268001139164,,,,,
1,0.011127233505249023,499,0.011983123607933521,,,,,
1,0.012353756465017796,549,0.012138196267187595,,,,,
1,0.013265855610370636,599,0.01280071772634983,,,,,
1,,625,,0.4456999897956848,0.4278999865055084,,,
1,,625,,,,0.39467498660087585,0.3857249915599823,0.44580695033073425
2,0.012653946876525879,649,0.013124995864927769,,,,,
2,0.011948935687541962,699,0.011875283904373646,,,,,
2,0.01239821594208479,749,0.012296169064939022,,,,,
2,0.012192887254059315,799,0.01210689265280962,,,,,
2,0.010007736273109913,849,0.010039188899099827,,,,,
2,0.01224809605628252,899,0.011685561388731003,,,,,
2,,938,,0.48339998722076416,0.4765999913215637,,,
2,,938,,,,0.4487749934196472,0.4433000087738037,0.49426424503326416
3,0.009352088905870914,949,0.009302009828388691,,,,,
3,0.010595634579658508,999,0.01109773013740778,,,,,
3,0.00980142317712307,1049,0.009707226417958736,,,,,
3,0.0108999814838171,1099,0.011831438168883324,,,,,
3,0.01098999846726656,1149,0.010914664715528488,,,,,
3,0.009888722561299801,1199,0.010534485802054405,,,,,
3,0.009932313114404678,1249,0.009665100835263729,,,,,
3,,1251,,0.5203999876976013,0.5210999846458435,,,
3,,1251,,,,0.49437499046325684,0.4829750061035156,0.5226463675498962
4,0.00919943768531084,1299,0.008961516432464123,,,,,
4,0.008694993332028389,1349,0.00946089532226324,,,,,
4,0.010542307049036026,1399,0.01135209109634161,,,,,
4,0.00893063098192215,1449,0.009261253289878368,,,,,
4,0.010031800717115402,1499,0.01049462053924799,,,,,
4,0.0097317174077034,1549,0.01035525742918253,,,,,
4,,1564,,0.5264999866485596,0.5217000246047974,,,
4,,1564,,,,0.5249999761581421,0.5099250078201294,0.5492483973503113
5,0.007139821071177721,1599,0.0073549989610910416,,,,,
5,0.009621682576835155,1649,0.009796302765607834,,,,,
5,0.010914470069110394,1699,0.010497705079615116,,,,,
5,0.010429669171571732,1749,0.01003179419785738,,,,,
5,0.008554469794034958,1799,0.008953779004514217,,,,,
5,0.009547424502670765,1849,0.008709590882062912,,,,,
5,,1877,,0.5817999839782715,0.5789999961853027,,,
5,,1877,,,,0.5550249814987183,0.5416749715805054,0.5705102682113647
6,0.006940989289432764,1899,0.007386643439531326,,,,,
6,0.008112465031445026,1949,0.00837891735136509,,,,,
6,0.007005739025771618,1999,0.007684281095862389,,,,,
6,0.008345616050064564,2049,0.008521038107573986,,,,,
6,0.008342350833117962,2099,0.007774834521114826,,,,,
6,0.00878950860351324,2149,0.009362206794321537,,,,,
6,,2190,,0.5734000205993652,0.5957000255584717,,,
6,,2190,,,,0.5791249871253967,0.5677000284194946,0.6067048907279968
7,0.007244123611599207,2199,0.007394656538963318,,,,,
7,0.007265398278832436,2249,0.00773564213886857,,,,,
7,0.006891634315252304,2299,0.00703097740188241,,,,,
7,0.006710577290505171,2349,0.008272016420960426,,,,,
7,0.006071512587368488,2399,0.006573283579200506,,,,,
7,0.0061335377395153046,2449,0.006563044153153896,,,,,
7,0.006723623722791672,2499,0.006524710450321436,,,,,
7,,2503,,0.609000027179718,0.6158999800682068,,,
7,,2503,,,,0.5956249833106995,0.5896499752998352,0.6151107549667358
8,0.006972359027713537,2549,0.006853983271867037,,,,,
8,0.007792184129357338,2599,0.007962515577673912,,,,,
8,0.007920544594526291,2649,0.00836954079568386,,,,,
8,0.0053134094923734665,2699,0.006245212163776159,,,,,
8,0.006703382823616266,2749,0.007279773708432913,,,,,
8,0.004705240949988365,2799,0.005819992627948523,,,,,
8,,2816,,0.603600025177002,0.6025000214576721,,,
8,,2816,,,,0.6159250140190125,0.604200005531311,0.6372626423835754
9,0.005640990100800991,2849,0.006948218215256929,,,,,
9,0.005847212392836809,2899,0.005746583454310894,,,,,
9,0.006315596867352724,2949,0.006236421409994364,,,,,
9,0.005411584861576557,2999,0.005351625848561525,,,,,
9,0.007922686636447906,3049,0.007976258173584938,,,,,
9,0.005035466980189085,3099,0.005060868337750435,,,,,
9,,3129,,0.6287000179290771,0.642300009727478,,,
9,,3129,,,,0.6196249723434448,0.6157249808311462,0.6433939933776855
10,0.006644053850322962,3149,0.006185553036630154,,,,,
10,0.005767404101788998,3199,0.0071089742705225945,,,,,
10,0.004331194795668125,3249,0.004592526238411665,,,,,
10,0.00638358062133193,3299,0.006508193910121918,,,,,
10,0.006055058911442757,3349,0.006702324375510216,,,,,
10,0.005395413842052221,3399,0.006238177418708801,,,,,
10,,3442,,0.6704000234603882,0.6455000042915344,,,
10,,3442,,,,0.6395999789237976,0.6344500184059143,0.6523932218551636
11,0.006324595771729946,3449,0.006092356983572245,,,,,
11,0.005895303562283516,3499,0.006259147543460131,,,,,
11,0.007128739729523659,3549,0.006572147831320763,,,,,
11,0.00568848242983222,3599,0.006088211666792631,,,,,
11,0.005278807133436203,3649,0.004947985522449017,,,,,
11,0.004351308569312096,3699,0.005303847137838602,,,,,
11,0.006138842552900314,3749,0.005901732016354799,,,,,
11,,3755,,0.6583999991416931,0.6162999868392944,,,
11,,3755,,,,0.6472749710083008,0.6437000036239624,0.6542721390724182
12,0.006180691998451948,3799,0.006421023979783058,,,,,
12,0.005242695100605488,3849,0.005929201375693083,,,,,
12,0.007041557226330042,3899,0.007193476893007755,,,,,
12,0.005631111562252045,3949,0.00627631600946188,,,,,
12,0.006192922592163086,3999,0.005224719177931547,,,,,
12,0.0043213400058448315,4049,0.004440136253833771,,,,,
12,,4068,,0.6542999744415283,0.6474000215530396,,,
12,,4068,,,,0.6513500213623047,0.6507250070571899,0.6690071225166321
13,0.0062282877042889595,4099,0.006102005485445261,,,,,
13,0.004118907731026411,4149,0.004591025877743959,,,,,
13,0.005132773891091347,4199,0.0053191110491752625,,,,,
13,0.007102981675416231,4249,0.006919273640960455,,,,,
13,0.006314967293292284,4299,0.006212752312421799,,,,,
13,0.00589511776342988,4349,0.005332814529538155,,,,,
13,,4381,,0.6564000248908997,0.6373000144958496,,,
13,,4381,,,,0.6630499958992004,0.6590750217437744,0.6644580960273743
14,0.0075724199414253235,4399,0.006962012033909559,,,,,
14,0.006096073426306248,4449,0.0063236672431230545,,,,,
14,0.005758902058005333,4499,0.006289875600486994,,,,,
14,0.004931425675749779,4549,0.00388598651625216,,,,,
14,0.005905400030314922,4599,0.006547645665705204,,,,,
14,0.0054894108325243,4649,0.006605564616620541,,,,,
14,,4694,,0.6399999856948853,0.6704999804496765,,,
14,,4694,,,,0.6693249940872192,0.6682000160217285,0.6871044039726257
15,0.0060921586118638515,4699,0.008030824363231659,,,,,
15,0.0074470629915595055,4749,0.0060226633213460445,,,,,
