epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 10.046073717948717 10.006009615384615
1 23.743990384615383 22.996794871794872 37.77043269230769 37.35977564102564
2 34.60136217948718 33.45152243589744 44.17067307692308 43.87019230769231
3 38.37540064102564 37.37780448717949 46.03365384615385 47.04527243589744
4 40.68709935897436 39.70552884615385 49.869791666666664 49.24879807692308
5 42.712339743589745 41.818910256410255 52.43389423076923 50.90144230769231
6 44.10456730769231 43.3974358974359 52.85456730769231 53.806089743589745
7 45.69310897435897 44.739583333333336 55.14823717948718 54.71754807692308
8 46.608573717948715 45.79326923076923 56.510416666666664 55.8994391025641
9 47.88261217948718 47.01923076923077 56.88100961538461 56.770833333333336
10 48.723958333333336 47.942708333333336 57.87259615384615 57.161458333333336
11 49.70552884615385 48.94030448717949 57.912660256410255 56.750801282051285
12 50.48076923076923 49.78966346153846 58.93429487179487 58.22315705128205
13 51.037660256410255 50.42467948717949 58.984375 58.58373397435897
14 51.72676282051282 51.00761217948718 56.34014423076923 57.06129807692308
15 52.15745192307692 51.608573717948715 59.40504807692308 58.36338141025641
16 53.05689102564103 52.233573717948715 59.31490384615385 59.094551282051285
17 53.71394230769231 52.98878205128205 60.056089743589745 59.25480769230769
18 54.23076923076923 53.46754807692308 60.13621794871795 59.875801282051285
19 54.82371794871795 54.00040064102564 60.5068108974359 59.93589743589744
20 50.96153846153846 50.30849358974359 58.17307692307692 57.27163461538461
21 52.06530448717949 51.24198717948718 59.57532051282051 57.18149038461539
22 52.87259615384615 51.875 58.00280448717949 57.95272435897436
23 53.639823717948715 52.39783653846154 58.81410256410256 58.6338141025641
24 54.3369391025641 53.48758012820513 58.96434294871795 58.18309294871795
25 54.5693108974359 53.66586538461539 60.266426282051285 58.092948717948715
26 54.98597756410256 54.69150641025641 58.072916666666664 57.75240384615385
27 55.514823717948715 54.93589743589744 59.85576923076923 58.00280448717949
28 56.23998397435897 55.4286858974359 59.40504807692308 60.14623397435897
29 56.662660256410255 55.99959935897436 60.35657051282051 60.22636217948718
30 56.686698717948715 56.00360576923077 59.83573717948718 59.81570512820513
31 57.27363782051282 56.45032051282051 59.96594551282051 58.64383012820513
32 57.35576923076923 56.58253205128205 59.665464743589745 58.092948717948715
33 57.67427884615385 56.9130608974359 60.98758012820513 59.36498397435897
34 57.61217948717949 57.453926282051285 61.12780448717949 60.51682692307692
35 58.201121794871796 57.291666666666664 59.79567307692308 59.56530448717949
36 58.1630608974359 57.57011217948718 60.06610576923077 59.07451923076923
37 58.73397435897436 57.94871794871795 60.266426282051285 59.264823717948715
38 58.645833333333336 58.01282051282051 60.84735576923077 60.38661858974359
39 58.99238782051282 58.50360576923077 59.73557692307692 58.80408653846154
40 59.294871794871796 58.828125 59.294871794871796 59.67548076923077
41 59.298878205128204 59.040464743589745 60.416666666666664 59.294871794871796
42 59.92588141025641 59.15865384615385 59.875801282051285 59.114583333333336
43 59.90985576923077 59.51322115384615 60.72716346153846 59.88581730769231
44 60.18629807692308 59.61939102564103 60.42668269230769 58.61378205128205
45 60.80929487179487 59.4150641025641 59.64543269230769 59.064503205128204
46 60.58293269230769 59.90785256410256 60.18629807692308 60.286458333333336
47 60.98557692307692 60.31850961538461 60.31650641025641 59.40504807692308
48 61.4443108974359 60.30448717948718 59.83573717948718 59.064503205128204
49 61.05969551282051 60.64302884615385 60.36658653846154 59.53525641025641
50 61.88902243589744 61.03165064102564 61.37820512820513 59.19471153846154
51 61.798878205128204 61.306089743589745 60.17628205128205 59.79567307692308
52 61.88301282051282 61.26802884615385 60.59695512820513 59.505208333333336
53 62.51201923076923 61.39022435897436 60.51682692307692 58.723958333333336
54 62.45793269230769 61.484375 60.37660256410256 59.28485576923077
55 62.790464743589745 61.69070512820513 60.37660256410256 59.12459935897436
56 62.6181891025641 62.15344551282051 59.635416666666664 58.65384615384615
57 62.90865384615385 62.057291666666664 60.12620192307692 58.91426282051282
58 63.37940705128205 62.033253205128204 59.765625 59.18469551282051
59 62.97475961538461 62.17748397435897 59.93589743589744 59.4150641025641
60 63.25120192307692 62.63621794871795 60.69711538461539 59.01442307692308
61 63.35136217948718 62.8125 60.86738782051282 59.12459935897436
62 63.76602564102564 62.80649038461539 60.08613782051282 59.12459935897436
63 64.24879807692308 63.10697115384615 60.01602564102564 59.16466346153846
64 64.01842948717949 63.01682692307692 60.42668269230769 58.19310897435897
65 63.99038461538461 63.26121794871795 60.48677884615385 59.54527243589744
66 64.58733974358974 63.84214743589744 60.42668269230769 59.114583333333336
67 64.4511217948718 63.52764423076923 59.98597756410256 58.723958333333336
68 64.36097756410257 64.01442307692308 59.36498397435897 58.64383012820513
69 64.40905448717949 64.05248397435898 59.91586538461539 58.80408653846154
70 64.84375 63.83413461538461 58.81410256410256 58.99439102564103
71 65.20032051282051 64.28084935897436 59.82572115384615 58.82411858974359
72 64.74559294871794 64.39503205128206 60.14623397435897 58.68389423076923
73 65.11217948717949 64.32291666666667 58.854166666666664 58.92427884615385
74 65.22636217948718 64.4110576923077 60.12620192307692 59.21474358974359
75 65.32251602564102 64.6514423076923 60.21634615384615 58.99439102564103
76 65.3104967948718 64.89583333333333 60.15625 58.68389423076923
