step,train_loss2,epoch,train_loss1,val_acc2,val_acc1,train_acc1,test_acc,train_acc2
49,0.018035676330327988,0,0.017427943646907806,,,,,
99,0.016089752316474915,0,0.016056809574365616,,,,,
149,0.01518404483795166,0,0.015240317210555077,,,,,
199,0.014791060239076614,0,0.01524678897112608,,,,,
249,0.01443555485457182,0,0.013559926301240921,,,,,
299,0.014648431912064552,0,0.014494800940155983,,,,,
312,,0,,0.3790999948978424,0.37400001287460327,,,
312,,0,,,,0.273624986410141,0.3861748278141022,0.2653749883174896
349,0.013664044439792633,1,0.01390513963997364,,,,,
399,0.012538347393274307,1,0.012109736911952496,,,,,
449,0.013440726324915886,1,0.013175202533602715,,,,,
499,0.011769045144319534,1,0.012413661926984787,,,,,
549,0.011910307221114635,1,0.012695582583546638,,,,,
599,0.012358483858406544,1,0.01286156103014946,,,,,
625,,1,,0.444599986076355,0.4478999972343445,,,
625,,1,,,,0.3877750039100647,0.44778481125831604,0.38909998536109924
649,0.011508027091622353,2,0.010750499553978443,,,,,
699,0.010465514846146107,2,0.010944469831883907,,,,,
749,0.012588792480528355,2,0.012311672791838646,,,,,
799,0.010373071767389774,2,0.010376128368079662,,,,,
849,0.011212874203920364,2,0.011010958813130856,,,,,
899,0.011817862279713154,2,0.011340741999447346,,,,,
938,,2,,0.48739999532699585,0.487199991941452,,,
938,,2,,,,0.44909998774528503,0.48714399337768555,0.44337499141693115
949,0.010531595908105373,3,0.011156673543155193,,,,,
999,0.010307135060429573,3,0.009975118562579155,,,,,
1049,0.010927567258477211,3,0.010681763291358948,,,,,
1099,0.01010485365986824,3,0.010285167023539543,,,,,
1149,0.010897574946284294,3,0.010594497434794903,,,,,
1199,0.009813557378947735,3,0.010579369962215424,,,,,
1249,0.010548850521445274,3,0.010291988030076027,,,,,
1251,,3,,0.5216000080108643,0.5382999777793884,,,
1251,,3,,,,0.48977500200271606,0.5332278609275818,0.4889250099658966
1299,0.009702098555862904,4,0.009615861810743809,,,,,
1349,0.009964456781744957,4,0.00930266734212637,,,,,
1399,0.010143429040908813,4,0.009856650605797768,,,,,
1449,0.010383272543549538,4,0.010713454335927963,,,,,
1499,0.009111306630074978,4,0.00947724748402834,,,,,
1549,0.00873288419097662,4,0.008689405396580696,,,,,
1564,,4,,0.5490000247955322,0.5565999746322632,,,
1564,,4,,,,0.5271250009536743,0.5637856125831604,0.5219500064849854
1599,0.00992421992123127,5,0.0089645404368639,,,,,
1649,0.00978918094187975,5,0.008890276774764061,,,,,
1699,0.010136865079402924,5,0.00983147881925106,,,,,
1749,0.008038071915507317,5,0.008314155042171478,,,,,
1799,0.00811627134680748,5,0.007422046735882759,,,,,
1849,0.006816001608967781,5,0.006940328516066074,,,,,
1877,,5,,0.552299976348877,0.5503000020980835,,,
1877,,5,,,,0.5565000176429749,0.5774327516555786,0.5527999997138977
1899,0.0075058359652757645,6,0.008083438500761986,,,,,
1949,0.007056712172925472,6,0.006735498551279306,,,,,
1999,0.007528721354901791,6,0.007089438382536173,,,,,
2049,0.007593391928821802,6,0.00803605280816555,,,,,
2099,0.007790438365191221,6,0.007736986968666315,,,,,
2149,0.007933225482702255,6,0.008177902549505234,,,,,
2190,,6,,0.585099995136261,0.6046000123023987,,,
2190,,6,,,,0.5744249820709229,0.5977057218551636,0.5691750049591064
2199,0.005813817027956247,7,0.0055717723444104195,,,,,
2249,0.007622862234711647,7,0.007634714711457491,,,,,
2299,0.007896524854004383,7,0.008625833317637444,,,,,
2349,0.00790252536535263,7,0.007346778642386198,,,,,
2399,0.006560564506798983,7,0.006437147036194801,,,,,
2449,0.007758176885545254,7,0.007733169477432966,,,,,
2499,0.006499232724308968,7,0.007321184501051903,,,,,
2503,,7,,0.6159999966621399,0.5882999897003174,,,
2503,,7,,,,0.5968000292778015,0.617780864238739,0.5935500264167786
2549,0.007349889259785414,8,0.007613216061145067,,,,,
2599,0.006725035607814789,8,0.006630281917750835,,,,,
2649,0.006830763071775436,8,0.006302458234131336,,,,,
2699,0.007882553152740002,8,0.007369401399046183,,,,,
2749,0.0063094221986830235,8,0.006256539840251207,,,,,
2799,0.008095292374491692,8,0.008161752484738827,,,,,
2816,,8,,0.6033999919891357,0.6061999797821045,,,
2816,,8,,,,0.6078749895095825,0.6413172483444214,0.6082000136375427
2849,0.008204660378396511,9,0.00884687528014183,,,,,
2899,0.0062702493742108345,9,0.005924778059124947,,,,,
2949,0.00736377015709877,9,0.007439123932272196,,,,,
2999,0.0055332728661596775,9,0.006024772766977549,,,,,
3049,0.007047863677144051,9,0.006536743603646755,,,,,
3099,0.0073304446414113045,9,0.006491993088275194,,,,,
3129,,9,,0.6251000165939331,0.6065999865531921,,,
3129,,9,,,,0.6196500062942505,0.6219343543052673,0.618025004863739
3149,0.007014984730631113,10,0.006964139174669981,,,,,
3199,0.006595444865524769,10,0.006305221933871508,,,,,
3249,0.006252876482903957,10,0.006451630964875221,,,,,
