epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
21,,6885,0.921785831451416,0.6880000233650208,,
21,,6885,,,0.7124208807945251,0.7222999930381775
22,0.8044692277908325,6899,,,,
22,0.6556459665298462,6949,,,,
22,0.6786302924156189,6999,,,,
22,0.48370689153671265,7049,,,,
22,0.8710474371910095,7099,,,,
22,0.7102422714233398,7149,,,,
22,,7198,0.9500556588172913,0.6808000206947327,,
22,,7198,,,0.7244857549667358,0.7269999980926514
23,0.6894044280052185,7199,,,,
23,0.706691324710846,7249,,,,
23,0.5304494500160217,7299,,,,
23,0.8588395118713379,7349,,,,
23,0.7998596429824829,7399,,,,
23,0.5351840853691101,7449,,,,
23,0.556430995464325,7499,,,,
23,,7511,0.8393104672431946,0.7195000052452087,,
23,,7511,,,0.730320394039154,0.7288500070571899
24,0.6683607697486877,7549,,,,
24,0.6870273351669312,7599,,,,
24,0.6224046945571899,7649,,,,
24,0.6469574570655823,7699,,,,
24,0.5993674993515015,7749,,,,
24,0.7256284356117249,7799,,,,
24,,7824,0.806762158870697,0.7200999855995178,,
24,,7824,,,0.7238923907279968,0.7283999919891357
25,0.8563185930252075,7849,,,,
25,0.7731987833976746,7899,,,,
25,0.5376319289207458,7949,,,,
25,0.6786447763442993,7999,,,,
25,0.8544561266899109,8049,,,,
25,0.6153458952903748,8099,,,,
25,,8137,0.802490770816803,0.7250000238418579,,
25,,8137,,,0.7310126423835754,0.7346749901771545
26,0.5549539923667908,8149,,,,
26,0.7248205542564392,8199,,,,
26,0.6329976916313171,8249,,,,
26,0.7317875623703003,8299,,,,
26,0.4931144118309021,8349,,,,
26,0.48604097962379456,8399,,,,
26,0.5029494762420654,8449,,,,
26,,8450,0.8171261548995972,0.7208999991416931,,
26,,8450,,,0.7316060066223145,0.7333250045776367
27,0.6662514209747314,8499,,,,
27,0.5429515242576599,8549,,,,
27,0.70473313331604,8599,,,,
27,0.6191868185997009,8649,,,,
27,0.5574486255645752,8699,,,,
27,0.8264308571815491,8749,,,,
27,,8763,0.8277976512908936,0.7214000225067139,,
27,,8763,,,0.7188488841056824,0.7426000237464905
28,0.5388760566711426,8799,,,,
28,0.7742882370948792,8849,,,,
28,0.7001513242721558,8899,,,,
28,0.5222664475440979,8949,,,,
28,0.6085689067840576,8999,,,,
28,0.6618458032608032,9049,,,,
28,,9076,0.7452885508537292,0.7433000206947327,,
28,,9076,,,0.7299248576164246,0.7364000082015991
29,0.3533095717430115,9099,,,,
29,0.5724042654037476,9149,,,,
29,0.5616570711135864,9199,,,,
29,0.5684791207313538,9249,,,,
29,0.5855183005332947,9299,,,,
29,0.353220134973526,9349,,,,
29,,9389,0.7430777549743652,0.7459999918937683,,
29,,9389,,,0.7335838675498962,0.7465000152587891
30,0.4166964888572693,9399,,,,
30,0.7721946835517883,9449,,,,
30,0.8007110357284546,9499,,,,
30,0.6136128902435303,9549,,,,
30,0.5920373797416687,9599,,,,
30,0.7351220846176147,9649,,,,
30,0.5533979535102844,9699,,,,
30,,9702,0.7982146143913269,0.734000027179718,,
