epoch,step,test_acc,train_loss
0,49,,-0.3203185796737671
0,99,,-0.3557499051094055
0,149,,-0.4770171642303467
0,199,,-0.4909401535987854
0,249,,-0.5284265875816345
0,299,,-0.5951184630393982
0,349,,-0.6187423467636108
0,389,0.5733000040054321,
1,399,,-0.5445469617843628
1,449,,-0.6181359887123108
1,499,,-0.6171668171882629
1,549,,-0.5712616443634033
1,599,,-0.5978748202323914
1,649,,-0.6190216541290283
1,699,,-0.7967151403427124
1,749,,-0.7348803281784058
1,779,0.6675999760627747,
2,799,,-0.7585972547531128
2,849,,-0.8262821435928345
2,899,,-0.7127535939216614
2,949,,-0.815202534198761
2,999,,-0.7419068217277527
2,1049,,-0.698003351688385
2,1099,,-0.8038506507873535
2,1149,,-0.9095611572265625
2,1169,0.7465999722480774,
3,1199,,-0.8646237850189209
3,1249,,-0.8342111110687256
3,1299,,-0.8214797973632812
3,1349,,-0.8307213187217712
3,1399,,-0.8006548285484314
3,1449,,-0.8372398614883423
3,1499,,-0.7979303002357483
3,1549,,-0.9731197357177734
3,1559,0.7702999711036682,
4,1599,,-0.8282930850982666
4,1649,,-0.9497491717338562
4,1699,,-0.9018406271934509
4,1749,,-0.9465627074241638
4,1799,,-0.9123900532722473
4,1849,,-0.9407989978790283
4,1899,,-0.8320106863975525
4,1949,,-0.8868906497955322
4,1949,0.8023999929428101,
5,1999,,-0.9804894328117371
5,2049,,-0.92905193567276
5,2099,,-0.8824037313461304
5,2149,,-0.8063260316848755
5,2199,,-0.9319579601287842
5,2249,,-0.9477174282073975
5,2299,,-0.9089511036872864
5,2339,0.8025000095367432,
6,2349,,-0.8024595975875854
6,2399,,-0.972073495388031
6,2449,,-1.0005955696105957
6,2499,,-0.9612248539924622
6,2549,,-0.8905327320098877
6,2599,,-0.9505964517593384
6,2649,,-1.054295539855957
6,2699,,-0.9410173892974854
6,2729,0.816100001335144,
7,2749,,-0.9618360996246338
7,2799,,-1.0131494998931885
7,2849,,-0.9751954078674316
7,2899,,-0.9953545331954956
7,2949,,-0.895604133605957
7,2999,,-0.9479644298553467
7,3049,,-1.0134440660476685
7,3099,,-0.9807188510894775
7,3119,0.8202999830245972,
8,3149,,-1.0096105337142944
8,3199,,-0.996580183506012
8,3249,,-1.0069704055786133
8,3299,,-1.0542917251586914
8,3349,,-0.9231749773025513
8,3399,,-0.9216736555099487
8,3449,,-1.0993375778198242
8,3499,,-1.0355308055877686
8,3509,0.8420000076293945,
9,3549,,-1.0567647218704224
9,3599,,-1.0763485431671143
9,3649,,-1.0708335638046265
9,3699,,-1.0470550060272217
9,3749,,-1.0516846179962158
9,3799,,-0.9963166117668152
9,3849,,-1.0450270175933838
9,3899,,-0.9099069833755493
9,3899,0.8367999792098999,
10,3949,,2.361285924911499
10,3999,,1.902545690536499
10,4049,,2.2148003578186035
10,4099,,2.215562582015991
10,4149,,2.120196580886841
10,4199,,2.2006776332855225
10,4249,,1.5329025983810425
10,4289,0.8549000024795532,
11,4299,,2.244849920272827
11,4349,,2.2641000747680664
11,4399,,1.767453908920288
11,4449,,2.1766469478607178
11,4499,,2.157683849334717
11,4549,,2.1548001766204834
11,4599,,2.219778537750244
11,4649,,1.7862942218780518
11,4679,0.8497999906539917,
12,4699,,2.351726770401001
12,4749,,1.9961072206497192
12,4799,,1.7381315231323242
12,4849,,2.1307103633880615
12,4899,,2.1120691299438477
12,4949,,2.2433416843414307
12,4999,,2.070566177368164
12,5049,,1.8175249099731445
12,5069,0.8478999733924866,
13,5099,,2.0082223415374756
13,5149,,1.9913156032562256
13,5199,,1.7459725141525269
13,5249,,2.0145742893218994
13,5299,,2.1399173736572266
13,5349,,2.1470112800598145
13,5399,,2.105541229248047
13,5449,,1.934969186782837
13,5459,0.8568999767303467,
14,5499,,1.9946227073669434
14,5549,,1.9658851623535156
14,5599,,2.1762523651123047
14,5649,,2.029287815093994
14,5699,,2.174633026123047
14,5749,,2.2130327224731445
14,5799,,1.9246753454208374
14,5849,,2.0810587406158447
14,5849,0.8589000105857849,
15,5899,,2.1722359657287598
