epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc,mix_match_loss
0,2.003303289413452,49,,,,,
0,2.0334203243255615,99,,,,,
0,1.8556722402572632,149,,,,,
0,1.6684248447418213,199,,,,,
0,1.7576539516448975,249,,,,,
0,1.6122184991836548,299,,,,,
0,,311,1.6470136642456055,0.4259999990463257,,,
0,,311,,,0.46540001034736633,0.3190855383872986,
1,1.6961690187454224,349,,,,,
1,1.581085205078125,399,,,,,
1,1.6572281122207642,449,,,,,
1,1.6458991765975952,499,,,,,
1,1.3982850313186646,549,,,,,
1,1.336604118347168,599,,,,,
1,,623,1.4939199686050415,0.49540001153945923,,,
1,,623,,,0.5295000076293945,0.45582932233810425,
2,1.355610728263855,649,,,,,
2,1.4969604015350342,699,,,,,
2,1.4892696142196655,749,,,,,
2,1.4469664096832275,799,,,,,
2,1.3408044576644897,849,,,,,
2,1.618223786354065,899,,,,,
2,,935,1.4117774963378906,0.535099983215332,,,
2,,935,,,0.590499997138977,0.532301664352417,
3,1.3379786014556885,949,,,,,
3,1.1074563264846802,999,,,,,
3,1.1878547668457031,1049,,,,,
3,1.3194032907485962,1099,,,,,
3,1.2412388324737549,1149,,,,,
3,1.5398632287979126,1199,,,,,
3,,1247,1.4073736667633057,0.5435000061988831,,,
3,,1247,,,0.6013000011444092,0.5818309187889099,
4,0.9994417428970337,1249,,,,,
4,1.3502061367034912,1299,,,,,
4,1.276047945022583,1349,,,,,
4,1.1244604587554932,1399,,,,,
4,1.1286710500717163,1449,,,,,
4,1.1290943622589111,1499,,,,,
4,1.1158872842788696,1549,,,,,
4,,1559,1.1930981874465942,0.6291999816894531,,,
4,,1559,,,0.7107999920845032,0.6213441491127014,
5,1.1165941953659058,1599,,,,,
5,1.3066620826721191,1649,,,,,
5,1.0165908336639404,1699,,,,,
5,1.201277256011963,1749,,,,,
5,1.0297396183013916,1799,,,,,
5,1.2815048694610596,1849,,,,,
5,,1871,1.2386168241500854,0.6226000189781189,,,
5,,1871,,,0.6973999738693237,0.6507161259651184,
6,0.9014759063720703,1899,,,,,
6,1.1386281251907349,1949,,,,,
6,1.079120397567749,1999,,,,,
6,0.9305819272994995,2049,,,,,
6,1.0300159454345703,2099,,,,,
6,0.9424378275871277,2149,,,,,
6,,2183,1.0899419784545898,0.6632000207901001,,,
6,,2183,,,0.7494000196456909,0.6677684187889099,
7,1.0194134712219238,2199,,,,,
7,1.1865813732147217,2249,,,,,
7,1.274519920349121,2299,,,,,
7,1.0317611694335938,2349,,,,,
7,1.0495378971099854,2399,,,,,
7,0.9110515713691711,2449,,,,,
7,,2495,1.112148642539978,0.6560999751091003,,,
7,,2495,,,0.7505999803543091,0.6802634000778198,
8,1.2021981477737427,2499,,,,,
8,0.7092869281768799,2549,,,,,
8,1.145758032798767,2599,,,,,
8,1.2587178945541382,2649,,,,,
8,0.8445107340812683,2699,,,,,
8,0.9580293297767639,2749,,,,,
8,1.0553853511810303,2799,,,,,
8,,2807,1.1499041318893433,0.6549999713897705,,,
8,,2807,,,0.7382000088691711,0.6961889266967773,
9,0.9755747318267822,2849,,,,,
9,1.0805027484893799,2899,,,,,
9,1.1757452487945557,2949,,,,,
9,1.0244852304458618,2999,,,,,
9,1.015332579612732,3049,,,,,
9,0.9660026431083679,3099,,,,,
9,,3119,1.0218194723129272,0.7003999948501587,,,
9,,3119,,,0.8012999892234802,0.7038010954856873,
10,1.0175702571868896,3149,,,,,
10,0.8918822407722473,3199,,,,,
10,1.118315577507019,3249,,,,,
10,1.0309803485870361,3299,,,,,
10,1.027681827545166,3349,,,,,
10,1.1599397659301758,3399,,,,,
10,,3431,1.0643887519836426,0.6830999851226807,,,
10,,3431,,,0.7771999835968018,0.7140424847602844,
11,0.7995671629905701,3449,,,,,
11,0.6865749955177307,3499,,,,,
11,0.7850884199142456,3549,,,,,
11,0.9200199246406555,3599,,,,,
11,0.9534664750099182,3649,,,,,
