epoch,train_loss,step,val_acc2,val_acc1,test_acc,train_acc2,train_acc1
0,4.018744468688965,49,,,,,
0,1.2161953449249268,99,,,,,
0,1.0383784770965576,149,,,,,
0,0.8207502365112305,199,,,,,
0,0.841225266456604,249,,,,,
0,0.7911893725395203,299,,,,,
0,,311,0.10790000110864639,0.10729999840259552,,,
0,,311,,,0.1002769023180008,0.10529346764087677,0.10599458962678909
1,0.5556569695472717,349,,,,,
1,0.535772442817688,399,,,,,
1,0.5506703853607178,449,,,,,
1,0.49915966391563416,499,,,,,
1,0.5120731592178345,549,,,,,
1,0.506680965423584,599,,,,,
1,,623,0.10970000177621841,0.10729999840259552,,,
1,,623,,,0.1002769023180008,0.10732171684503555,0.10712139308452606
2,0.4601210057735443,649,,,,,
2,0.4593349099159241,699,,,,,
2,0.461770236492157,749,,,,,
2,0.46271201968193054,799,,,,,
2,0.45968323945999146,849,,,,,
2,0.45831355452537537,899,,,,,
2,,935,0.11460000276565552,0.10700000077486038,,,
2,,935,,,0.10017800331115723,0.11027644574642181,0.10940004140138626
3,0.46034377813339233,949,,,,,
3,0.4599873423576355,999,,,,,
3,0.4580623209476471,1049,,,,,
3,0.45597121119499207,1099,,,,,
3,0.45469021797180176,1149,,,,,
3,0.4541853368282318,1199,,,,,
3,,1247,0.11569999903440475,0.10729999840259552,,,
3,,1247,,,0.10017800331115723,0.11112780123949051,0.1061197891831398
4,0.45759299397468567,1249,,,,,
4,0.4504714906215668,1299,,,,,
4,0.4519118666648865,1349,,,,,
4,0.45422104001045227,1399,,,,,
4,0.4583301842212677,1449,,,,,
4,0.45837947726249695,1499,,,,,
4,0.45525071024894714,1549,,,,,
4,,1559,0.09950000047683716,0.10700000077486038,,,
4,,1559,,,0.1002769023180008,0.11473357677459717,0.107421875
5,0.4462393820285797,1599,,,,,
5,0.4490775763988495,1649,,,,,
5,0.45984897017478943,1699,,,,,
5,0.4539792835712433,1749,,,,,
5,0.4490104913711548,1799,,,,,
5,0.44115135073661804,1849,,,,,
5,,1871,0.11620000004768372,0.10700000077486038,,,
5,,1871,,,0.10096914321184158,0.11313100904226303,0.10732171684503555
6,0.44031232595443726,1899,,,,,
6,0.4408714771270752,1949,,,,,
6,0.43533819913864136,1999,,,,,
6,0.4362807273864746,2049,,,,,
6,0.43927618861198425,2099,,,,,
6,0.44363853335380554,2149,,,,,
6,,2183,0.10300000011920929,0.10289999842643738,,,
6,,2183,,,0.0995846539735794,0.11949118226766586,0.10662059485912323
7,0.436130553483963,2199,,,,,
7,0.4465378522872925,2249,,,,,
7,0.44107720255851746,2299,,,,,
7,0.44438594579696655,2349,,,,,
7,0.431881308555603,2399,,,,,
7,0.4455864429473877,2449,,,,,
7,,2495,0.12219999730587006,0.10289999842643738,,,
7,,2495,,,0.0995846539735794,0.12582632899284363,0.10749699175357819
8,0.4350985288619995,2499,,,,,
8,0.4333193004131317,2549,,,,,
8,0.42687878012657166,2599,,,,,
8,0.43693652749061584,2649,,,,,
8,0.4248405396938324,2699,,,,,
8,0.42349374294281006,2749,,,,,
8,0.4368699789047241,2799,,,,,
8,,2807,0.12139999866485596,0.10289999842643738,,,
8,,2807,,,0.0995846539735794,0.13110977411270142,0.1083984375
9,0.42312994599342346,2849,,,,,
9,0.4327904284000397,2899,,,,,
9,0.42011964321136475,2949,,,,,
9,0.4275389313697815,2999,,,,,
9,0.4309849143028259,3049,,,,,
9,0.41997671127319336,3099,,,,,
9,,3119,0.12680000066757202,0.10289999842643738,,,
9,,3119,,,0.0995846539735794,0.14357972145080566,0.10854867845773697
10,0.41918182373046875,3149,,,,,
10,0.41964635252952576,3199,,,,,
