epoch,step,train_loss,val_acc,val_loss,test_acc,train_acc
0,49,2.688319444656372,,,,
0,99,2.2996981143951416,,,,
0,149,2.258527994155884,,,,
0,199,2.5273818969726562,,,,
0,249,2.0763916969299316,,,,
0,299,2.462127923965454,,,,
0,311,,0.1160999983549118,15035.16796875,,
0,311,,,,0.10450000315904617,0.16804386675357819
1,349,2.3661270141601562,,,,
1,399,2.246396780014038,,,,
1,449,2.329758644104004,,,,
1,499,2.187023639678955,,,,
1,549,2.1702117919921875,,,,
1,599,2.0614802837371826,,,,
1,623,,0.23680000007152557,57.22721862792969,,
1,623,,,,0.25450000166893005,0.2163461595773697
2,649,2.11515212059021,,,,
2,699,2.1144766807556152,,,,
2,749,2.096822738647461,,,,
2,799,1.8183883428573608,,,,
2,849,2.051548957824707,,,,
2,899,2.0098555088043213,,,,
2,935,,0.2784000039100647,2.155492067337036,,
2,935,,,,0.31049999594688416,0.27716848254203796
3,949,1.8726004362106323,,,,
3,999,1.974593162536621,,,,
3,1049,1.845632553100586,,,,
3,1099,1.966017246246338,,,,
3,1149,1.862777590751648,,,,
3,1199,1.8525168895721436,,,,
3,1247,,0.3547999858856201,1.8126299381256104,,
3,1247,,,,0.3824999928474426,0.3134014308452606
4,1249,1.6324009895324707,,,,
4,1299,1.8504283428192139,,,,
4,1349,1.7852689027786255,,,,
4,1399,1.7060922384262085,,,,
4,1449,1.7318370342254639,,,,
4,1499,1.738495945930481,,,,
4,1549,1.5873926877975464,,,,
4,1559,,0.41830000281333923,1.6618396043777466,,
4,1559,,,,0.462799996137619,0.37790465354919434
5,1599,1.9047805070877075,,,,
5,1649,1.6974048614501953,,,,
5,1699,1.6699323654174805,,,,
5,1749,1.6195188760757446,,,,
5,1799,1.6453403234481812,,,,
5,1849,1.3986626863479614,,,,
5,1871,,0.4453999996185303,1.5840355157852173,,
5,1871,,,,0.4932999908924103,0.4220001995563507
6,1899,1.6647151708602905,,,,
6,1949,1.5629459619522095,,,,
6,1999,1.6931664943695068,,,,
6,2049,1.2771273851394653,,,,
6,2099,1.5223939418792725,,,,
6,2149,1.398949146270752,,,,
6,2183,,0.4465999901294708,1.6109157800674438,,
6,2183,,,,0.48919999599456787,0.46233972907066345
7,2199,1.4664524793624878,,,,
7,2249,1.551608681678772,,,,
7,2299,1.357164978981018,,,,
7,2349,1.4841662645339966,,,,
7,2399,1.4307610988616943,,,,
7,2449,1.2260046005249023,,,,
7,2495,,0.49729999899864197,1.4996079206466675,,
7,2495,,,,0.5496000051498413,0.5001502633094788
8,2499,1.3240090608596802,,,,
8,2549,1.3104300498962402,,,,
8,2599,1.372726321220398,,,,
8,2649,1.3380190134048462,,,,
8,2699,1.496901035308838,,,,
8,2749,1.4551417827606201,,,,
8,2799,1.6696650981903076,,,,
8,2807,,0.5648000240325928,1.3477131128311157,,
8,2807,,,,0.626800000667572,0.5335035920143127
9,2849,1.2615572214126587,,,,
9,2899,1.1617311239242554,,,,
9,2949,1.3009905815124512,,,,
9,2999,1.2625751495361328,,,,
9,3049,1.1654694080352783,,,,
9,3099,1.5018913745880127,,,,
9,3119,,0.595300018787384,1.2541614770889282,,
9,3119,,,,0.6686999797821045,0.5663812160491943
10,3149,1.0727074146270752,,,,
10,3199,1.5142163038253784,,,,
10,3249,1.3286683559417725,,,,
10,3299,1.2841929197311401,,,,
10,3349,1.2350044250488281,,,,
10,3399,1.259336233139038,,,,
10,3431,,0.5526000261306763,1.3903042078018188,,
10,3431,,,,0.617900013923645,0.5876402258872986
11,3449,0.8975127935409546,,,,
11,3499,0.8870995044708252,,,,
11,3549,1.012677788734436,,,,
11,3599,1.1641323566436768,,,,
11,3649,0.9916026592254639,,,,
11,3699,0.9359029531478882,,,,
11,3743,,0.5601999759674072,1.4426186084747314,,
11,3743,,,,0.6212000250816345,0.6080479025840759
12,3749,0.575502872467041,,,,
12,3799,0.6257045865058899,,,,
12,3849,0.7651121020317078,,,,
12,3899,0.26736873388290405,,,,
12,3949,0.5253862142562866,,,,
12,3999,0.5666007399559021,,,,
12,4049,0.6248509287834167,,,,
12,4055,,0.6075000166893005,1.5454541444778442,,
12,4055,,,,0.6800000071525574,0.6190404891967773
13,4099,0.14812922477722168,,,,
13,4149,-0.08762645721435547,,,,
