step,epoch,train_loss,val_acc,val_loss,train_acc,test_acc
49,0,2.823911428451538,,,,
99,0,2.4304749965667725,,,,
149,0,2.3868203163146973,,,,
199,0,2.209543228149414,,,,
249,0,2.7167117595672607,,,,
299,0,2.1292240619659424,,,,
311,0,,0.20589999854564667,20.641061782836914,,
311,0,,,,0.1710236370563507,0.2079000025987625
349,1,2.1968908309936523,,,,
399,1,2.1548309326171875,,,,
449,1,2.2306840419769287,,,,
499,1,2.1456477642059326,,,,
549,1,1.8586355447769165,,,,
599,1,2.1527445316314697,,,,
623,1,,0.32359999418258667,1.8251129388809204,,
623,1,,,,0.26690202951431274,0.33340001106262207
649,2,2.044431447982788,,,,
699,2,2.1057050228118896,,,,
749,2,1.923219919204712,,,,
799,2,1.8593063354492188,,,,
849,2,2.2715330123901367,,,,
899,2,2.1408207416534424,,,,
935,2,,0.35190001130104065,2.257132053375244,,
935,2,,,,0.29790163040161133,0.36250001192092896
949,3,1.8393505811691284,,,,
999,3,1.8062478303909302,,,,
1049,3,1.6723990440368652,,,,
1099,3,1.8465253114700317,,,,
1149,3,1.7262396812438965,,,,
1199,3,1.7727410793304443,,,,
1247,3,,0.38659998774528503,1.768486499786377,,
1247,3,,,,0.36020132899284363,0.4009999930858612
1249,4,1.986144781112671,,,,
1299,4,1.6608072519302368,,,,
1349,4,1.6636885404586792,,,,
1399,4,1.5073175430297852,,,,
1449,4,1.6520450115203857,,,,
1499,4,1.6611053943634033,,,,
1549,4,1.8169525861740112,,,,
1559,4,,0.45080000162124634,1.5341942310333252,,
1559,4,,,,0.4191957116127014,0.46129998564720154
1599,5,1.5613561868667603,,,,
1649,5,1.6034328937530518,,,,
1699,5,1.5024718046188354,,,,
1749,5,1.5394967794418335,,,,
1799,5,1.3409236669540405,,,,
1849,5,1.3470453023910522,,,,
1871,5,,0.47440001368522644,1.4739676713943481,,
1871,5,,,,0.4737580120563507,0.4837000072002411
1899,6,1.3763033151626587,,,,
1949,6,1.3347712755203247,,,,
1999,6,1.379142165184021,,,,
2049,6,1.453500509262085,,,,
2099,6,1.3480976819992065,,,,
2149,6,1.5020405054092407,,,,
2183,6,,0.5468999743461609,1.2978640794754028,,
2183,6,,,,0.5193559527397156,0.5705000162124634
2199,7,1.0490789413452148,,,,
2249,7,1.184596061706543,,,,
2299,7,1.1573792695999146,,,,
2349,7,1.4700229167938232,,,,
2399,7,1.2735929489135742,,,,
2449,7,1.2385473251342773,,,,
2495,7,,0.5898000001907349,1.1847126483917236,,
2495,7,,,,0.5702624320983887,0.6215999722480774
2499,8,1.297588586807251,,,,
2549,8,1.1124160289764404,,,,
2599,8,1.230460286140442,,,,
2649,8,1.2619677782058716,,,,
2699,8,1.0672446489334106,,,,
2749,8,1.093943476676941,,,,
2799,8,1.0502638816833496,,,,
2807,8,,0.5946999788284302,1.214091420173645,,
2807,8,,,,0.6147085428237915,0.6320000290870667
2849,9,1.060221791267395,,,,
2899,9,1.2220957279205322,,,,
2949,9,1.0895484685897827,,,,
2999,9,1.009527564048767,,,,
3049,9,1.3237965106964111,,,,
3099,9,1.0298058986663818,,,,
3119,9,,0.6532999873161316,1.051710605621338,,
3119,9,,,,0.6444811820983887,0.6783999800682068
3149,10,0.935813844203949,,,,
3199,10,0.9159466028213501,,,,
3249,10,0.9153300523757935,,,,
3299,10,1.2027201652526855,,,,
3349,10,0.9686651825904846,,,,
3399,10,0.7336264252662659,,,,
3431,10,,0.6862000226974487,0.9647548794746399,,
3431,10,,,,0.6747546195983887,0.7164999842643738
3449,11,0.4218332767486572,,,,
3499,11,0.6937982439994812,,,,
3549,11,0.6217563152313232,,,,
3599,11,0.5892344117164612,,,,
3649,11,0.5211197137832642,,,,
3699,11,0.4133148789405823,,,,
3743,11,,0.6638000011444092,1.0891380310058594,,
3743,11,,,,0.6865484714508057,0.6876000165939331
3749,12,0.16539961099624634,,,,
3799,12,0.0761573314666748,,,,
3849,12,0.008610188961029053,,,,
3899,12,-0.03474968671798706,,,,
3949,12,0.3446359634399414,,,,
3999,12,0.2712087035179138,,,,
4049,12,0.2872312068939209,,,,
4055,12,,0.6377000212669373,1.4835827350616455,,
4055,12,,,,0.6953625679016113,0.6589999794960022
4099,13,-0.27561652660369873,,,,
4149,13,-0.08314716815948486,,,,
4199,13,-0.4184647798538208,,,,
4249,13,-0.3408188819885254,,,,
4299,13,-0.13939428329467773,,,,
4349,13,-0.584715723991394,,,,
4367,13,,0.6840999722480774,1.323071837425232,,
4367,13,,,,0.7079827785491943,0.7221999764442444
4399,14,-0.8683085441589355,,,,
4449,14,-1.1684157848358154,,,,
4499,14,-0.7024364471435547,,,,
4549,14,-1.170593500137329,,,,
4599,14,-1.1387970447540283,,,,
4649,14,-1.357578158378601,,,,
4679,14,,0.7279000282287598,1.2217650413513184,,
4679,14,,,,0.7151442170143127,0.7598000168800354
4699,15,-1.5331310033798218,,,,
4749,15,-1.6515370607376099,,,,
4799,15,-1.782916784286499,,,,
4849,15,-1.6559224128723145,,,,
4899,15,-1.4590517282485962,,,,
4949,15,-1.7850910425186157,,,,
4991,15,,0.671999990940094,1.7190003395080566,,
4991,15,,,,0.7264623641967773,0.6919000148773193
4999,16,-2.262784004211426,,,,
5049,16,-1.8819117546081543,,,,
5099,16,-1.8379981517791748,,,,
5149,16,-2.199739933013916,,,,
5199,16,-2.2980546951293945,,,,
5249,16,-1.9603899717330933,,,,
5299,16,-2.0133378505706787,,,,
5303,16,,0.7107999920845032,1.387107014656067,,
5303,16,,,,0.7371794581413269,0.75
5349,17,-3.3254363536834717,,,,
5399,17,-3.0361809730529785,,,,
5449,17,-2.7199759483337402,,,,
5499,17,-2.721560478210449,,,,
5549,17,-2.8387928009033203,,,,
5599,17,-2.687556743621826,,,,
5615,17,,0.7233999967575073,1.695847988128662,,
5615,17,,,,0.7420622706413269,0.7649999856948853
5649,18,-3.2282564640045166,,,,
5699,18,-3.946009874343872,,,,
5749,18,-3.189222574234009,,,,
5799,18,-3.8753602504730225,,,,
5849,18,-3.1327624320983887,,,,
5899,18,-3.611640453338623,,,,
5927,18,,0.711899995803833,1.7172044515609741,,
5927,18,,,,0.7508513331413269,0.7365000247955322
5949,19,-4.42131233215332,,,,
5999,19,-4.309859275817871,,,,
6049,19,-4.269130229949951,,,,
6099,19,-4.614024639129639,,,,
6149,19,-4.136100769042969,,,,
6199,19,-4.339407920837402,,,,
6239,19,,0.7250999808311462,1.7331044673919678,,
6239,19,,,,0.7554587125778198,0.7563999891281128
6249,20,-4.795577526092529,,,,
6299,20,-4.953691482543945,,,,
6349,20,-4.760876178741455,,,,
6399,20,-5.12617301940918,,,,
6449,20,-4.594156265258789,,,,
6499,20,-5.032833099365234,,,,
6549,20,-4.774173736572266,,,,
6551,20,,0.690500020980835,2.0718793869018555,,
6551,20,,,,0.7585887312889099,0.7235000133514404
6599,21,-5.162055015563965,,,,
6649,21,-5.6086745262146,,,,
6699,21,-5.707600116729736,,,,
6749,21,-5.85899543762207,,,,
6799,21,-5.469033718109131,,,,
6849,21,-5.5304436683654785,,,,
6863,21,,0.7594000101089478,1.6191051006317139,,
6863,21,,,,0.7669520974159241,0.7991999983787537
6899,22,-6.432748317718506,,,,
6949,22,-5.893450736999512,,,,
6999,22,-6.504391670227051,,,,
7049,22,-6.1369781494140625,,,,
7099,22,-5.332447052001953,,,,
7149,22,-6.310948371887207,,,,
7175,22,,0.723800003528595,1.982065200805664,,
7175,22,,,,0.7699319124221802,0.7505000233650208
7199,23,-6.267340183258057,,,,
7249,23,-6.474033355712891,,,,
7299,23,-6.863162994384766,,,,
7349,23,-7.1915812492370605,,,,
7399,23,-7.12021541595459,,,,
7449,23,-6.955585956573486,,,,
7487,23,,0.7402999997138977,1.930057168006897,,
7487,23,,,,0.7741636633872986,0.7781999707221985
7499,24,-7.527683258056641,,,,
7549,24,-7.200700759887695,,,,
7599,24,-8.078112602233887,,,,
7649,24,-7.110903739929199,,,,
7699,24,-7.254770278930664,,,,
7749,24,-7.069148540496826,,,,
7799,24,-6.941307544708252,,,,
7799,24,,0.7161999940872192,2.4308931827545166,,
7799,24,,,,0.7769681215286255,0.7472000122070312
7849,25,-6.990700721740723,,,,
7899,25,-8.057861328125,,,,
7949,25,-7.996215343475342,,,,
7999,25,-8.779513359069824,,,,
8049,25,-8.434322357177734,,,,
8099,25,-7.637825965881348,,,,
8111,25,,0.7218000292778015,2.1021950244903564,,
8111,25,,,,0.7839042544364929,0.7585999965667725
8149,26,-8.75159740447998,,,,
8199,26,-8.87773323059082,,,,
8249,26,-8.778812408447266,,,,
8299,26,-9.580204010009766,,,,
8349,26,-9.243751525878906,,,,
8399,26,-9.23309326171875,,,,
8423,26,,0.7379999756813049,2.000093936920166,,
8423,26,,,,0.7830027937889099,0.7677000164985657
8449,27,-9.760191917419434,,,,
8499,27,-9.594558715820312,,,,
8549,27,-9.565971374511719,,,,
8599,27,-9.371089935302734,,,,
8649,27,-8.891152381896973,,,,
8699,27,-9.041534423828125,,,,
8735,27,,0.7745000123977661,1.959810733795166,,
8735,27,,,,0.7864833474159241,0.8093000054359436
8749,28,-10.466578483581543,,,,
8799,28,-10.359678268432617,,,,
8849,28,-9.850523948669434,,,,
8899,28,-9.634820938110352,,,,
8949,28,-10.635468482971191,,,,
8999,28,-10.238983154296875,,,,
9047,28,,0.7613999843597412,2.1812374591827393,,
9047,28,,,,0.7902393937110901,0.7971000075340271
9049,29,-11.075443267822266,,,,
9099,29,-11.029508590698242,,,,
9149,29,-11.16970443725586,,,,
9199,29,-10.364559173583984,,,,
9249,29,-10.788433074951172,,,,
9299,29,-11.353403091430664,,,,
9349,29,-9.982131004333496,,,,
9359,29,,0.6873999834060669,3.104499578475952,,
9359,29,,,,0.7893880009651184,0.7078999876976013
9399,30,-11.520352363586426,,,,
9449,30,-11.815255165100098,,,,
9499,30,-12.160491943359375,,,,
9549,30,-11.891550064086914,,,,
9599,30,-11.825273513793945,,,,
9649,30,-11.22999382019043,,,,
9671,30,,0.725600004196167,2.29911470413208,,
9671,30,,,,0.7916416525840759,0.7662000060081482
9699,31,-11.785432815551758,,,,
9749,31,-12.668460845947266,,,,
9799,31,-11.905137062072754,,,,
9849,31,-12.388345718383789,,,,
9899,31,-11.217789649963379,,,,
9949,31,-11.218215942382812,,,,
9983,31,,0.7616999745368958,2.1600987911224365,,
9983,31,,,,0.7933944463729858,0.7954000234603882
9999,32,-12.8632230758667,,,,
10049,32,-12.865480422973633,,,,
10099,32,-13.168821334838867,,,,
10149,32,-12.806962966918945,,,,
10199,32,-12.079562187194824,,,,
10249,32,-12.798723220825195,,,,
10295,32,,0.6935999989509583,2.76013445854187,,
10295,32,,,,0.7968249320983887,0.7311000227928162
10299,33,-13.202131271362305,,,,
10349,33,-13.586881637573242,,,,
10399,33,-13.12586498260498,,,,
10449,33,-13.723088264465332,,,,
10499,33,-13.399225234985352,,,,
10549,33,-13.251198768615723,,,,
10599,33,-12.816234588623047,,,,
10607,33,,0.758899986743927,2.191828727722168,,
10607,33,,,,0.7946965098381042,0.7996000051498413
10649,34,-14.79964542388916,,,,
10699,34,-14.449767112731934,,,,
10749,34,-15.09343433380127,,,,
10799,34,-13.981977462768555,,,,
10849,34,-14.407608032226562,,,,
10899,34,-14.17418384552002,,,,
10919,34,,0.7760000228881836,2.070753812789917,,
10919,34,,,,0.8010066151618958,0.8187000155448914
10949,35,-15.021143913269043,,,,
10999,35,-15.293953895568848,,,,
11049,35,-14.780136108398438,,,,
11099,35,-14.883191108703613,,,,
11149,35,-14.355097770690918,,,,
11199,35,-14.307016372680664,,,,
11231,35,,0.745199978351593,2.3700711727142334,,
11231,35,,,,0.7996043562889099,0.7789999842643738
11249,36,-15.963616371154785,,,,
11299,36,-16.477184295654297,,,,
11349,36,-15.438824653625488,,,,
11399,36,-15.620077133178711,,,,
11449,36,-15.984631538391113,,,,
11499,36,-15.937376022338867,,,,
11543,36,,0.7161999940872192,2.890537738800049,,
11543,36,,,,0.7998297214508057,0.7469000220298767
11549,37,-16.373241424560547,,,,
11599,37,-16.080245971679688,,,,
11649,37,-16.09600067138672,,,,
11699,37,-16.06894874572754,,,,
11749,37,-16.335708618164062,,,,
11799,37,-16.0104923248291,,,,
11849,37,-16.359359741210938,,,,
11855,37,,0.7208999991416931,2.7523481845855713,,
11855,37,,,,0.8004307150840759,0.7498999834060669
11899,38,-16.47978973388672,,,,
11949,38,-16.76567268371582,,,,
11999,38,-17.085765838623047,,,,
12049,38,-16.77535057067871,,,,
12099,38,-16.46339225769043,,,,
12149,38,-16.461502075195312,,,,
12167,38,,0.7750999927520752,2.4907662868499756,,
12167,38,,,,0.8017077445983887,0.8166999816894531
12199,39,-18.09486961364746,,,,
12249,39,-16.886438369750977,,,,
12299,39,-17.39266014099121,,,,
12349,39,-17.30277442932129,,,,
12399,39,-17.263362884521484,,,,
12449,39,-17.058652877807617,,,,
