epoch,step,train_loss,val_acc,val_loss,train_acc,test_acc
0,49,2.4553885459899902,,,,
0,99,2.236886501312256,,,,
0,149,2.151735305786133,,,,
0,199,2.200458526611328,,,,
0,249,2.057541608810425,,,,
0,299,2.180328369140625,,,,
0,311,,0.22290000319480896,2.1038942337036133,,
0,311,,,,0.16463841497898102,0.26179999113082886
1,349,2.103646993637085,,,,
1,399,2.000486135482788,,,,
1,449,2.038123846054077,,,,
1,499,2.03625750541687,,,,
1,549,2.1161563396453857,,,,
1,599,1.9398939609527588,,,,
1,623,,0.2727999985218048,1.9997142553329468,,
1,623,,,,0.23399940133094788,0.3294999897480011
2,649,2.128089666366577,,,,
2,699,2.0320777893066406,,,,
2,749,2.015331268310547,,,,
2,799,2.0680532455444336,,,,
2,849,2.0382227897644043,,,,
2,899,1.9452385902404785,,,,
2,935,,0.2842999994754791,1.9551286697387695,,
2,935,,,,0.27281150221824646,0.35030001401901245
3,949,1.9179930686950684,,,,
3,999,1.8942915201187134,,,,
3,1049,1.8948711156845093,,,,
3,1099,2.069533109664917,,,,
3,1149,2.0461299419403076,,,,
3,1199,1.9976532459259033,,,,
3,1247,,0.3303000032901764,1.8765361309051514,,
3,1247,,,,0.3029847741127014,0.42250001430511475
4,1249,1.9265936613082886,,,,
4,1299,1.8378316164016724,,,,
4,1349,1.8374645709991455,,,,
4,1399,1.8281583786010742,,,,
4,1449,1.760087013244629,,,,
4,1499,2.022867202758789,,,,
4,1549,2.0167016983032227,,,,
4,1559,,0.33180001378059387,1.8533103466033936,,
4,1559,,,,0.3317057192325592,0.42500001192092896
5,1599,2.0719358921051025,,,,
5,1649,1.7772612571716309,,,,
5,1699,1.8036593198776245,,,,
5,1749,1.7763259410858154,,,,
5,1799,1.846482276916504,,,,
5,1849,1.9005184173583984,,,,
5,1871,,0.3711000084877014,1.7960721254348755,,
5,1871,,,,0.35431692004203796,0.47200000286102295
6,1899,1.8094793558120728,,,,
6,1949,1.7532590627670288,,,,
6,1999,1.816166639328003,,,,
6,2049,1.9282994270324707,,,,
6,2099,1.6252740621566772,,,,
6,2149,1.877153992652893,,,,
