step,epoch,train_loss,test_acc,train_acc
49,0,2.5367918014526367,,
99,0,3.094468832015991,,
149,0,2.394991636276245,,
199,0,2.359489917755127,,
249,0,2.5485453605651855,,
299,0,2.3485641479492188,,
349,0,2.215498685836792,,
389,0,,0.23479999601840973,0.16552484035491943
399,1,2.1799185276031494,,
449,1,2.011789321899414,,
499,1,1.9876197576522827,,
549,1,2.02217698097229,,
599,1,2.0591297149658203,,
649,1,1.9683319330215454,,
699,1,1.8145332336425781,,
749,1,1.887898325920105,,
779,1,,0.37929999828338623,0.2694711685180664
799,2,1.7953447103500366,,
849,2,1.8703513145446777,,
899,2,1.9065183401107788,,
949,2,1.7222387790679932,,
999,2,1.8332939147949219,,
1049,2,1.7819660902023315,,
1099,2,1.7199125289916992,,
1149,2,1.6964040994644165,,
1169,2,,0.40450000762939453,0.34569311141967773
1199,3,1.7228424549102783,,
1249,3,1.6342192888259888,,
1299,3,1.6162394285202026,,
1349,3,1.5947856903076172,,
1399,3,1.5729386806488037,,
1449,3,1.582823395729065,,
1499,3,1.6925123929977417,,
1549,3,1.687476634979248,,
1559,3,,0.4244000017642975,0.39827725291252136
1599,4,1.6984261274337769,,
1649,4,1.5673474073410034,,
1699,4,1.5046902894973755,,
1749,4,1.6697275638580322,,
1799,4,1.5030019283294678,,
1849,4,1.5192850828170776,,
1899,4,1.628172755241394,,
1949,4,1.5071516036987305,,
1949,4,,0.545199990272522,0.453966349363327
1999,5,1.4423035383224487,,
2049,5,1.449985146522522,,
2099,5,1.5407366752624512,,
2149,5,1.4892884492874146,,
2199,5,1.4269375801086426,,
2249,5,1.5747294425964355,,
2299,5,1.3885712623596191,,
2339,5,,0.5917999744415283,0.5040063858032227
2349,6,1.4497267007827759,,
2399,6,1.2701743841171265,,
2449,6,1.3211621046066284,,
2499,6,1.3408286571502686,,
2549,6,1.3866816759109497,,
2599,6,1.375936508178711,,
2649,6,1.4398317337036133,,
2699,6,1.5506682395935059,,
2729,6,,0.6182000041007996,0.5472956895828247
2749,7,1.378035068511963,,
2799,7,1.298580288887024,,
2849,7,1.3035128116607666,,
2899,7,1.3013237714767456,,
2949,7,1.2331514358520508,,
2999,7,1.1281821727752686,,
3049,7,1.3709889650344849,,
3099,7,1.2752174139022827,,
3119,7,,0.6248999834060669,0.5755809545516968
3149,8,1.452528715133667,,
3199,8,1.2919468879699707,,
3249,8,1.16909658908844,,
3299,8,1.115278720855713,,
3349,8,1.3731982707977295,,
3399,8,1.111067533493042,,
3449,8,1.0808582305908203,,
3499,8,1.083113193511963,,
3509,8,,0.6601999998092651,0.6096554398536682
3549,9,1.09867525100708,,
3599,9,1.2800347805023193,,
3649,9,0.9895973205566406,,
3699,9,1.1914958953857422,,
3749,9,1.2243120670318604,,
3799,9,1.1666868925094604,,
3849,9,1.1099770069122314,,
3899,9,1.1409971714019775,,
3899,9,,0.6899999976158142,0.635817289352417
3949,10,1.227917194366455,,
3999,10,1.2704756259918213,,
4049,10,1.1773314476013184,,
4099,10,0.9895150661468506,,
4149,10,1.1282801628112793,,
4199,10,1.1676747798919678,,
4249,10,1.1069003343582153,,
4289,10,,0.6190000176429749,0.6574919819831848
4299,11,0.7590855956077576,,
4349,11,0.7796167135238647,,
4399,11,1.169389009475708,,
4449,11,0.9802364706993103,,
4499,11,0.7695127725601196,,
4549,11,1.0653908252716064,,
4599,11,0.7355092763900757,,
4649,11,0.7072619199752808,,
4679,11,,0.7290999889373779,0.6571314334869385
4699,12,0.556236982345581,,
4749,12,0.35647517442703247,,
4799,12,0.4985923171043396,,
4849,12,0.736350417137146,,
4899,12,0.6536495685577393,,
4949,12,0.46189045906066895,,
4999,12,0.824308454990387,,
5049,12,0.22442114353179932,,
5069,12,,0.6621000170707703,0.6563701629638672
5099,13,-0.03420066833496094,,
5149,13,-0.09478020668029785,,
5199,13,0.25097692012786865,,
5249,13,-0.17888140678405762,,
