epoch,step,train_loss1,train_loss2,val_acc2,val_acc1,test_acc,train_acc2,train_acc1
0,49,0.01487270649522543,0.015516419894993305,,,,,
0,99,0.013927389867603779,0.014031682163476944,,,,,
0,149,0.01418897695839405,0.01411152072250843,,,,,
0,199,0.013068391010165215,0.013131161220371723,,,,,
0,249,0.012177655473351479,0.012684088200330734,,,,,
0,299,0.011745679192245007,0.011327753774821758,,,,,
0,311,,,0.4244000017642975,0.4277999997138977,,,
0,311,,,,,0.45649999380111694,0.33128005266189575,0.33979368209838867
1,349,0.012828951701521873,0.012061173096299171,,,,,
1,399,0.011030919849872589,0.01102325040847063,,,,,
1,449,0.011629953049123287,0.011330937966704369,,,,,
1,499,0.011166549287736416,0.011492683552205563,,,,,
1,549,0.011126761324703693,0.011297974735498428,,,,,
1,599,0.010267790406942368,0.01033709105104208,,,,,
1,623,,,0.47040000557899475,0.5307000279426575,,,
1,623,,,,,0.5461999773979187,0.4805939495563507,0.49208733439445496
2,649,0.01004114281386137,0.010209998115897179,,,,,
2,699,0.009127406403422356,0.008850865997374058,,,,,
2,749,0.009911131113767624,0.010213074274361134,,,,,
2,799,0.007823457010090351,0.007749852258712053,,,,,
2,849,0.007462253328412771,0.00804766733199358,,,,,
2,899,0.00775656383484602,0.008993681520223618,,,,,
2,935,,,0.5236999988555908,0.5705999732017517,,,
2,935,,,,,0.5964000225067139,0.5620492696762085,0.5772485733032227
3,949,0.00714862160384655,0.007419523783028126,,,,,
3,999,0.009106756187975407,0.009199962951242924,,,,,
3,1049,0.0071943881921470165,0.00742714200168848,,,,,
3,1099,0.00907075684517622,0.008527529425919056,,,,,
3,1149,0.009504802525043488,0.009933042339980602,,,,,
3,1199,0.0071919760666787624,0.007169209420681,,,,,
3,1247,,,0.5860000252723694,0.5716999769210815,,,
3,1247,,,,,0.5945000052452087,0.6238982081413269,0.6275540590286255
4,1249,0.006847674492746592,0.006488845217972994,,,,,
4,1299,0.005394520703703165,0.005441844929009676,,,,,
4,1349,0.006921224296092987,0.006487781647592783,,,,,
4,1399,0.006592447403818369,0.006809782236814499,,,,,
4,1449,0.00668311445042491,0.006535119842737913,,,,,
4,1499,0.006512062158435583,0.006426038220524788,,,,,
4,1549,0.006074697710573673,0.005860120989382267,,,,,
4,1559,,,0.6381000280380249,0.6703000068664551,,,
4,1559,,,,,0.6906999945640564,0.6665414571762085,0.6659905910491943
5,1599,0.004644982982426882,0.005452495068311691,,,,,
5,1649,0.004725174978375435,0.004370282869786024,,,,,
5,1699,0.006171178072690964,0.005823533050715923,,,,,
5,1749,0.00462101586163044,0.00511866295710206,,,,,
5,1799,0.007655553985387087,0.007155802566558123,,,,,
5,1849,0.0048597222194075584,0.0048472159542143345,,,,,
5,1871,,,0.6665999889373779,0.6820999979972839,,,
5,1871,,,,,0.711899995803833,0.6943609714508057,0.6935597062110901
6,1899,0.004963350016623735,0.005329781677573919,,,,,
6,1949,0.004959462210536003,0.004641497507691383,,,,,
6,1999,0.006058992352336645,0.0062609268352389336,,,,,
6,2049,0.006724223960191011,0.005731535144150257,,,,,
6,2099,0.004628575872629881,0.003971486818045378,,,,,
6,2149,0.005091554950922728,0.00456193508580327,,,,,
6,2183,,,0.6992999911308289,0.6240000128746033,,,
