step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
49,0,35.754207611083984,,,,
99,0,10.813247680664062,,,,
149,0,10.988394737243652,,,,
199,0,10.72567367553711,,,,
249,0,10.813247680664062,,,,
299,0,10.9008207321167,,,,
311,0,,757.2188720703125,0.11100000143051147,,
311,0,,,,0.10000000149011612,0.10980068147182465
349,1,11.338689804077148,,,,
399,1,11.075967788696289,,,,
449,1,10.900821685791016,,,,
499,1,10.72567367553711,,,,
549,1,10.813246726989746,,,,
599,1,9.849935531616211,,,,
623,1,,488.55755615234375,0.11100000143051147,,
623,1,,,,0.10000000149011612,0.10997596383094788
649,2,11.075967788696289,,,,
699,2,10.375378608703613,,,,
749,2,10.550525665283203,,,,
799,2,10.988394737243652,,,,
849,2,10.375378608703613,,,,
899,2,10.375378608703613,,,,
935,2,,298.1865234375,0.11100000143051147,,
935,2,,,,0.10000000149011612,0.11007612198591232
949,3,10.72567367553711,,,,
999,3,11.513837814331055,,,,
1049,3,10.72567367553711,,,,
1099,3,10.550525665283203,,,,
1149,3,11.075967788696289,,,,
1199,3,11.251115798950195,,,,
1247,3,,187.2429962158203,0.11100000143051147,,
1247,3,,,,0.10000000149011612,0.10990083962678909
1249,4,10.900821685791016,,,,
1299,4,10.9008207321167,,,,
1349,4,10.988394737243652,,,,
1399,4,10.550525665283203,,,,
1449,4,10.9008207321167,,,,
1499,4,11.075968742370605,,,,
1549,4,10.46295166015625,,,,
1559,4,,110.8664779663086,0.11100000143051147,,
1559,4,,,,0.10000000149011612,0.1100260391831398
1599,5,11.075967788696289,,,,
1649,5,10.638099670410156,,,,
1699,5,10.813247680664062,,,,
1749,5,10.638099670410156,,,,
1799,5,10.462952613830566,,,,
1849,5,11.075969696044922,,,,
1871,5,,70.18291473388672,0.11100000143051147,,
1871,5,,,,0.10000000149011612,0.10997596383094788
1899,6,10.813249588012695,,,,
1949,6,10.9884033203125,,,,
1999,6,10.725692749023438,,,,
2049,6,11.07597827911377,,,,
2099,6,10.725790977478027,,,,
2149,6,11.076037406921387,,,,
2183,6,,501.6015625,0.10350000113248825,,
2183,6,,,,0.1005999967455864,0.10956279933452606
2199,7,4.931723117828369,,,,
2249,7,4.342552185058594,,,,
2299,7,4.392561912536621,,,,
2349,7,4.103763580322266,,,,
2399,7,4.2403035163879395,,,,
2449,7,4.0938334465026855,,,,
2495,7,,2.02274751663208,0.20749999582767487,,
2495,7,,,,0.21369999647140503,0.1463591754436493
2499,8,3.9449715614318848,,,,
2549,8,3.8888049125671387,,,,
2599,8,3.7589306831359863,,,,
2649,8,3.5411810874938965,,,,
2699,8,3.8123090267181396,,,,
2749,8,3.5194437503814697,,,,
2799,8,3.5893142223358154,,,,
2807,8,,1.8170000314712524,0.32589998841285706,,
2807,8,,,,0.33660000562667847,0.23438751697540283
2849,9,3.529123544692993,,,,
2899,9,3.449554204940796,,,,
2949,9,3.5332555770874023,,,,
2999,9,3.4524993896484375,,,,
3049,9,3.307856321334839,,,,
3099,9,3.27207612991333,,,,
3119,9,,1.652669906616211,0.39969998598098755,,
3119,9,,,,0.4124999940395355,0.32383063435554504
3149,10,2.7804012298583984,,,,
3199,10,2.9839773178100586,,,,
3249,10,2.8968684673309326,,,,
3299,10,3.2856974601745605,,,,
3349,10,2.9359030723571777,,,,
3399,10,2.7290751934051514,,,,
3431,10,,1.5743529796600342,0.47609999775886536,,
3431,10,,,,0.4909000098705292,0.42059797048568726
3449,11,2.8166720867156982,,,,
3499,11,2.8032326698303223,,,,
3549,11,2.515103578567505,,,,
3599,11,2.3837382793426514,,,,
3649,11,2.814244270324707,,,,
3699,11,2.396439552307129,,,,
3743,11,,1.6272956132888794,0.47450000047683716,,
3743,11,,,,0.49239999055862427,0.5126327276229858
3749,12,2.385051727294922,,,,
3799,12,2.285883903503418,,,,
3849,12,2.1968295574188232,,,,
3899,12,2.2245168685913086,,,,
3949,12,2.6041440963745117,,,,
3999,12,2.0196657180786133,,,,
4049,12,2.3432633876800537,,,,
4055,12,,1.357997179031372,0.5522000193595886,,
4055,12,,,,0.5648999810218811,0.5760090947151184
4099,13,2.258690118789673,,,,
4149,13,2.1287262439727783,,,,
4199,13,2.332315444946289,,,,
4249,13,2.2798173427581787,,,,
4299,13,2.328859329223633,,,,
4349,13,2.1799943447113037,,,,
4367,13,,1.0739569664001465,0.6583999991416931,,
4367,13,,,,0.6818000078201294,0.6211062669754028
4399,14,2.1827335357666016,,,,
4449,14,2.0666160583496094,,,,
4499,14,1.9677772521972656,,,,
4549,14,1.7890851497650146,,,,
4599,14,2.048527479171753,,,,
4649,14,1.9608173370361328,,,,
4679,14,,1.0698386430740356,0.6743000149726868,,
4679,14,,,,0.6973999738693237,0.6495392918586731
4699,15,1.6063809394836426,,,,
4749,15,2.0375986099243164,,,,
4799,15,1.728228211402893,,,,
4849,15,2.032405138015747,,,,
4899,15,1.738760232925415,,,,
4949,15,1.8947116136550903,,,,
4991,15,,1.1434648036956787,0.673799991607666,,
4991,15,,,,0.7026000022888184,0.6674429178237915
4999,16,1.656618595123291,,,,
5049,16,1.7543482780456543,,,,
5099,16,2.1420342922210693,,,,
5149,16,1.8167438507080078,,,,
5199,16,1.8591458797454834,,,,
5249,16,1.624793291091919,,,,
5299,16,1.8096860647201538,,,,
5303,16,,0.9393266439437866,0.7245000004768372,,
5303,16,,,,0.7537000179290771,0.6850335597991943
5349,17,1.8578777313232422,,,,
5399,17,1.8138853311538696,,,,
5449,17,1.7909750938415527,,,,
5499,17,1.7993688583374023,,,,
5549,17,1.4428802728652954,,,,
5599,17,1.5428060293197632,,,,
5615,17,,0.9290246963500977,0.722599983215332,,
5615,17,,,,0.7506999969482422,0.6978916525840759
5649,18,1.601582646369934,,,,
5699,18,1.681229591369629,,,,
5749,18,1.7893149852752686,,,,
5799,18,1.664144515991211,,,,
5849,18,1.6046476364135742,,,,
5899,18,1.4285473823547363,,,,
5927,18,,1.01492178440094,0.72079998254776,,
5927,18,,,,0.756600022315979,0.7080578804016113
5949,19,1.6037914752960205,,,,
5999,19,1.6722010374069214,,,,
6049,19,1.7156164646148682,,,,
6099,19,1.514744758605957,,,,
6149,19,1.6153278350830078,,,,
6199,19,1.5299158096313477,,,,
6239,19,,0.8678892850875854,0.7531999945640564,,
6239,19,,,,0.7889999747276306,0.7144556045532227
6249,20,1.3000288009643555,,,,
6299,20,1.358341932296753,,,,
6349,20,1.5783793926239014,,,,
6399,20,1.3881078958511353,,,,
6449,20,1.6235613822937012,,,,
6499,20,1.4523340463638306,,,,
6549,20,1.645234227180481,,,,
6551,20,,1.1166640520095825,0.7031999826431274,,
6551,20,,,,0.7373999953269958,0.7193509340286255
6599,21,1.4634461402893066,,,,
6649,21,1.4990155696868896,,,,
6699,21,1.490722417831421,,,,
6749,21,1.264115571975708,,,,
6799,21,1.3985471725463867,,,,
6849,21,1.1450071334838867,,,,
6863,21,,1.1436409950256348,0.7103999853134155,,
6863,21,,,,0.7426999807357788,0.7262995839118958
6899,22,1.4293919801712036,,,,
6949,22,1.5036017894744873,,,,
6999,22,1.2572898864746094,,,,
7049,22,1.4466253519058228,,,,
7099,22,1.2991522550582886,,,,
7149,22,1.3056449890136719,,,,
7175,22,,0.9549995064735413,0.7426000237464905,,
7175,22,,,,0.7809000015258789,0.7292793393135071
7199,23,1.382277488708496,,,,
7249,23,1.377131700515747,,,,
7299,23,1.3684852123260498,,,,
7349,23,1.2997037172317505,,,,
7399,23,1.1828161478042603,,,,
7449,23,1.3964415788650513,,,,
7487,23,,1.0035998821258545,0.7337999939918518,,
7487,23,,,,0.7682999968528748,0.7343374490737915
7499,24,1.2199279069900513,,,,
7549,24,1.1627742052078247,,,,
7599,24,1.2049096822738647,,,,
7649,24,1.2744988203048706,,,,
7699,24,1.2477192878723145,,,,
7749,24,1.1466988325119019,,,,
7799,24,1.7020792961120605,,,,
7799,24,,0.8931864500045776,0.7578999996185303,,
7799,24,,,,0.7943999767303467,0.7366285920143127
7849,25,1.369417667388916,,,,
7899,25,1.350090503692627,,,,
7949,25,1.2976611852645874,,,,
7999,25,1.0910704135894775,,,,
8049,25,1.3015872240066528,,,,
8099,25,1.0842490196228027,,,,
8111,25,,1.3971943855285645,0.6891999840736389,,
8111,25,,,,0.718999981880188,0.7401217222213745
8149,26,1.3227072954177856,,,,
8199,26,1.1270500421524048,,,,
8249,26,1.3159304857254028,,,,
8299,26,1.4202308654785156,,,,
8349,26,1.2877272367477417,,,,
8399,26,1.51716947555542,,,,
8423,26,,0.9516577124595642,0.7522000074386597,,
8423,26,,,,0.7835999727249146,0.7403470277786255
8449,27,1.0949170589447021,,,,
8499,27,1.3310949802398682,,,,
