train_loss,epoch,step,train_acc,test_acc,mix_match_loss_step,mix_match_loss_epoch
2.0050880908966064,0,49,,,,
1.7297853231430054,0,99,,,,
1.5424134731292725,0,149,,,,
1.622249722480774,0,199,,,,
1.4546326398849487,0,249,,,,
1.7848963737487793,0,299,,,,
1.5881086587905884,0,349,,,,
,0,389,0.3825921416282654,0.49129998683929443,,
1.4867627620697021,1,399,,,,
1.4043936729431152,1,449,,,,
1.4499610662460327,1,499,,,,
1.5394699573516846,1,549,,,,
1.1628533601760864,1,599,,,,
1.214694619178772,1,649,,,,
1.0629794597625732,1,699,,,,
1.1568299531936646,1,749,,,,
,1,779,0.5579126477241516,0.6499999761581421,,
1.0765674114227295,2,799,,,,
1.024219036102295,2,849,,,,
0.9777958393096924,2,899,,,,
1.191942811012268,2,949,,,,
0.8403215408325195,2,999,,,,
1.1423217058181763,2,1049,,,,
1.0332341194152832,2,1099,,,,
0.8913430571556091,2,1149,,,,
,2,1169,0.6557892560958862,0.6748999953269958,,
0.8404377102851868,3,1199,,,,
0.7333991527557373,3,1249,,,,
0.9332107305526733,3,1299,,,,
0.8305788040161133,3,1349,,,,
0.804619312286377,3,1399,,,,
0.8837383389472961,3,1449,,,,
0.8237425684928894,3,1499,,,,
0.9594321846961975,3,1549,,,,
,3,1559,0.7091146111488342,0.6980999708175659,,
0.7212038040161133,4,1599,,,,
0.7768824100494385,4,1649,,,,
0.9035916924476624,4,1699,,,,
0.7828917503356934,4,1749,,,,
0.8318886756896973,4,1799,,,,
0.8620665073394775,4,1849,,,,
0.906975507736206,4,1899,,,,
0.7690036296844482,4,1949,,,,
,4,1949,0.7388821840286255,0.760200023651123,,
0.5618549585342407,5,1999,,,,
0.7442075610160828,5,2049,,,,
0.9033397436141968,5,2099,,,,
0.6460559964179993,5,2149,,,,
0.9916515946388245,5,2199,,,,
0.5971566438674927,5,2249,,,,
0.6604992747306824,5,2299,,,,
,5,2339,0.7627403736114502,0.7979999780654907,,
0.6297432780265808,6,2349,,,,
0.6293455362319946,6,2399,,,,
0.6299954056739807,6,2449,,,,
0.7986980676651001,6,2499,,,,
0.7872874140739441,6,2549,,,,
0.5739596486091614,6,2599,,,,
0.7468903660774231,6,2649,,,,
0.5166419744491577,6,2699,,,,
,6,2729,0.7764623165130615,0.7714999914169312,,
0.7880564332008362,7,2749,,,,
0.8704068064689636,7,2799,,,,
0.5696384906768799,7,2849,,,,
0.5437984466552734,7,2899,,,,
0.5768378973007202,7,2949,,,,
0.7290070652961731,7,2999,,,,
0.6036880016326904,7,3049,,,,
0.749618649482727,7,3099,,,,
,7,3119,0.7905648946762085,0.8118000030517578,,
0.42386892437934875,8,3149,,,,
0.5423969030380249,8,3199,,,,
0.8455821871757507,8,3249,,,,
0.5934561491012573,8,3299,,,,
0.6622635722160339,8,3349,,,,
0.5937035083770752,8,3399,,,,
0.6608601808547974,8,3449,,,,
0.7620244026184082,8,3499,,,,
,8,3509,0.7994591593742371,0.8166000247001648,,
0.709006667137146,9,3549,,,,
0.7506227493286133,9,3599,,,,
0.6342089176177979,9,3649,,,,
0.7342081665992737,9,3699,,,,
0.5742912292480469,9,3749,,,,
0.5852158665657043,9,3799,,,,
0.5781311392784119,9,3849,,,,
0.7820091247558594,9,3899,,,,
,9,3899,0.810116171836853,0.8371000289916992,,
0.6718689203262329,10,3949,,,,
0.4122510254383087,10,3999,,,,
0.738388180732727,10,4049,,,,
0.5157804489135742,10,4099,,,,
0.639874279499054,10,4149,,,,
0.586241602897644,10,4199,,,,
0.7970526814460754,10,4249,,,,
,10,4289,0.8154246807098389,0.8033000230789185,,
0.6068027019500732,11,4299,,,,
0.669493556022644,11,4349,,,,
0.5125305652618408,11,4399,,,,
0.6302687525749207,11,4449,,,,
0.5032691955566406,11,4499,,,,
0.6008281111717224,11,4549,,,,
0.6350709199905396,11,4599,,,,
0.6085114479064941,11,4649,,,,
,11,4679,0.8218950033187866,0.8130000233650208,,
