train_loss,step,epoch,val_acc,val_loss,test_acc,train_acc
1.8236348628997803,49,0,,,,
1.8707151412963867,99,0,,,,
1.833223819732666,149,0,,,,
1.683842658996582,199,0,,,,
1.7504247426986694,249,0,,,,
1.8591139316558838,299,0,,,,
,311,0,0.3179999887943268,1.9528595209121704,,
,311,0,,,0.3944000005722046,0.26292067766189575
1.6396913528442383,349,1,,,,
1.4660438299179077,399,1,,,,
1.4808030128479004,449,1,,,,
1.4693759679794312,499,1,,,,
1.4946620464324951,549,1,,,,
1.260253667831421,599,1,,,,
,623,1,0.3743000030517578,1.84275484085083,,
,623,1,,,0.4871000051498413,0.34905847907066345
1.4629275798797607,649,2,,,,
1.1949540376663208,699,2,,,,
1.1220440864562988,749,2,,,,
1.1099132299423218,799,2,,,,
1.4323325157165527,849,2,,,,
1.012916088104248,899,2,,,,
,935,2,0.40950000286102295,1.8427538871765137,,
,935,2,,,0.5472999811172485,0.39893829822540283
0.6007531881332397,949,3,,,,
0.7859958410263062,999,3,,,,
0.653610110282898,1049,3,,,,
0.9003567695617676,1099,3,,,,
1.0504231452941895,1149,3,,,,
1.012823462486267,1199,3,,,,
,1247,3,0.4390999972820282,1.8149800300598145,,
,1247,3,,,0.5928000211715698,0.4311147928237915
0.6019704341888428,1249,4,,,,
0.2805410623550415,1299,4,,,,
-0.019551515579223633,1349,4,,,,
0.4120912551879883,1399,4,,,,
0.39208006858825684,1449,4,,,,
0.5773134231567383,1499,4,,,,
0.6112639904022217,1549,4,,,,
,1559,4,0.4575999975204468,1.8809943199157715,,
,1559,4,,,0.6089000105857849,0.45640525221824646
0.2758004665374756,1599,5,,,,
-0.18215692043304443,1649,5,,,,
-0.26857638359069824,1699,5,,,,
-0.2565087080001831,1749,5,,,,
0.1666722297668457,1799,5,,,,
0.1427687406539917,1849,5,,,,
,1871,5,0.46369999647140503,1.9677599668502808,,
,1871,5,,,0.6243000030517578,0.4801933169364929
-0.7884610891342163,1899,6,,,,
-0.5711120367050171,1949,6,,,,
-0.4135286808013916,1999,6,,,,
-0.14247798919677734,2049,6,,,,
-1.180307149887085,2099,6,,,,
-0.2620570659637451,2149,6,,,,
,2183,6,0.48890000581741333,1.9683425426483154,,
,2183,6,,,0.6636999845504761,0.49822214245796204
-1.1621390581130981,2199,7,,,,
-0.8404860496520996,2249,7,,,,
-1.1548593044281006,2299,7,,,,
-1.501042366027832,2349,7,,,,
-1.0648186206817627,2399,7,,,,
-0.8427331447601318,2449,7,,,,
,2495,7,0.5164999961853027,1.9718540906906128,,
,2495,7,,,0.725600004196167,0.5166516304016113
-1.4948787689208984,2499,8,,,,
-1.5995252132415771,2549,8,,,,
-1.6636998653411865,2599,8,,,,
-1.3445041179656982,2649,8,,,,
-1.0343027114868164,2699,8,,,,
-1.3679728507995605,2749,8,,,,
-1.1539549827575684,2799,8,,,,
,2807,8,0.5275999903678894,2.0198991298675537,,
,2807,8,,,0.7429999709129333,0.5299980044364929
-1.855668306350708,2849,9,,,,
-2.412959098815918,2899,9,,,,
-2.1758041381835938,2949,9,,,,
-2.54026460647583,2999,9,,,,
-2.3225913047790527,3049,9,,,,
-2.0647671222686768,3099,9,,,,
,3119,9,0.5295000076293945,2.1358797550201416,,
,3119,9,,,0.7508999705314636,0.5428686141967773
-0.8648314476013184,3149,10,,,,
-1.5144062042236328,3199,10,,,,
-1.5920333862304688,3249,10,,,,
-1.9949599504470825,3299,10,,,,
-2.0497331619262695,3349,10,,,,
-2.5508663654327393,3399,10,,,,
