epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
12,1.5502935647964478,3749,,,,
12,1.5544686317443848,3799,,,,
12,1.3207777738571167,3849,,,,
12,1.6420718431472778,3899,,,,
12,1.466646432876587,3949,,,,
12,1.6202948093414307,3999,,,,
12,1.5933269262313843,4049,,,,
12,,4055,0.5232999920845032,1.5471296310424805,,
12,,4055,,,0.7537999749183655,0.5459234714508057
13,1.4799330234527588,4099,,,,
13,1.4834606647491455,4149,,,,
13,1.4489599466323853,4199,,,,
13,1.4279974699020386,4249,,,,
13,1.3894686698913574,4299,,,,
13,1.4239113330841064,4349,,,,
13,,4367,0.5245000123977661,1.5416187047958374,,
13,,4367,,,0.745199978351593,0.5508813858032227
14,1.4576512575149536,4399,,,,
14,1.6055117845535278,4449,,,,
14,1.4211912155151367,4499,,,,
14,1.4764995574951172,4549,,,,
14,1.561330795288086,4599,,,,
14,1.2871712446212769,4649,,,,
14,,4679,0.5325999855995178,1.5064693689346313,,
14,,4679,,,0.7433000206947327,0.5569661259651184
15,1.640162467956543,4699,,,,
15,1.3793967962265015,4749,,,,
15,1.3566910028457642,4799,,,,
15,1.3623878955841064,4849,,,,
15,1.44412362575531,4899,,,,
15,1.5527057647705078,4949,,,,
15,,4991,0.5367000102996826,1.509229302406311,,
15,,4991,,,0.7584999799728394,0.5638020634651184
16,1.3755422830581665,4999,,,,
16,1.5370889902114868,5049,,,,
16,1.4332587718963623,5099,,,,
16,1.4622420072555542,5149,,,,
16,1.4096781015396118,5199,,,,
16,1.4086405038833618,5249,,,,
16,1.6627509593963623,5299,,,,
16,,5303,0.5404999852180481,1.5064128637313843,,
16,,5303,,,0.7642999887466431,0.5652043223381042
17,1.4545410871505737,5349,,,,
17,1.501085638999939,5399,,,,
17,1.439047932624817,5449,,,,
17,1.4066451787948608,5499,,,,
17,1.40079665184021,5549,,,,
17,1.296101450920105,5599,,,,
17,,5615,0.5256999731063843,1.5456178188323975,,
17,,5615,,,0.7379000186920166,0.5690104365348816
18,1.3426055908203125,5649,,,,
18,1.3982561826705933,5699,,,,
18,1.3298639059066772,5749,,,,
18,1.5240284204483032,5799,,,,
18,1.5017595291137695,5849,,,,
18,1.4018354415893555,5899,,,,
18,,5927,0.5357000231742859,1.506385087966919,,
18,,5927,,,0.7580999732017517,0.5740684866905212
19,1.425158143043518,5949,,,,
19,1.435764193534851,5999,,,,
19,1.445833444595337,6049,,,,
19,1.5424474477767944,6099,,,,
19,1.4848661422729492,6149,,,,
19,1.3192434310913086,6199,,,,
19,,6239,0.5274999737739563,1.519789457321167,,
19,,6239,,,0.7537000179290771,0.5783253312110901
20,1.486383080482483,6249,,,,
20,1.4299490451812744,6299,,,,
20,1.4030942916870117,6349,,,,
20,1.432850956916809,6399,,,,
20,1.3932225704193115,6449,,,,
20,1.2291542291641235,6499,,,,
20,1.536756992340088,6549,,,,
20,,6551,0.5440999865531921,1.4882609844207764,,
20,,6551,,,0.7858999967575073,0.5825821161270142
21,1.3791253566741943,6599,,,,
21,1.6184085607528687,6649,,,,
21,1.522899866104126,6699,,,,
21,1.3869316577911377,6749,,,,
21,1.4626526832580566,6799,,,,
21,1.4110121726989746,6849,,,,
21,,6863,0.5393999814987183,1.5020647048950195,,
21,,6863,,,0.7699999809265137,0.5870893597602844
22,1.4409294128417969,6899,,,,
22,1.5291821956634521,6949,,,,
22,1.3683267831802368,6999,,,,
22,1.3726706504821777,7049,,,,
22,1.3154956102371216,7099,,,,
22,1.4210487604141235,7149,,,,
22,,7175,0.5493999719619751,1.4836028814315796,,
22,,7175,,,0.7663000226020813,0.5875651240348816
23,1.4667730331420898,7199,,,,
23,1.3530802726745605,7249,,,,
23,1.4368088245391846,7299,,,,
23,1.4279228448867798,7349,,,,
23,1.505016565322876,7399,,,,
23,1.3631891012191772,7449,,,,
23,,7487,0.521399974822998,1.5135709047317505,,
23,,7487,,,0.7260000109672546,0.5911959409713745
24,1.2365646362304688,7499,,,,
24,1.2297425270080566,7549,,,,
24,1.4467394351959229,7599,,,,
24,1.3207532167434692,7649,,,,
24,1.5170087814331055,7699,,,,
24,1.2746418714523315,7749,,,,
24,1.2994226217269897,7799,,,,
24,,7799,0.5493999719619751,1.4747227430343628,,
24,,7799,,,0.7773000001907349,0.5957531929016113
25,1.4523515701293945,7849,,,,
25,1.3575161695480347,7899,,,,
25,1.3701142072677612,7949,,,,
25,1.4164361953735352,7999,,,,
25,1.412029504776001,8049,,,,
25,1.4584983587265015,8099,,,,
25,,8111,0.5303999781608582,1.5174870491027832,,
25,,8111,,,0.7588000297546387,0.5982071161270142
26,1.4477883577346802,8149,,,,
26,1.335087537765503,8199,,,,
26,1.439156413078308,8249,,,,
26,1.4002950191497803,8299,,,,
26,1.5139515399932861,8349,,,,
26,1.378706932067871,8399,,,,
26,,8423,0.5340999960899353,1.50845468044281,,
26,,8423,,,0.761900007724762,0.6020382642745972
27,1.3569766283035278,8449,,,,
27,1.5717142820358276,8499,,,,
27,1.3924626111984253,8549,,,,
27,1.2971545457839966,8599,,,,
27,1.4970098733901978,8649,,,,
27,1.3846684694290161,8699,,,,
27,,8735,0.5444999933242798,1.4809399843215942,,
27,,8735,,,0.7770000100135803,0.6043419241905212
28,1.3116841316223145,8749,,,,
28,1.190725564956665,8799,,,,
28,1.247091293334961,8849,,,,
28,1.3855135440826416,8899,,,,
28,1.1989977359771729,8949,,,,
28,1.2670236825942993,8999,,,,
28,,9047,0.5496000051498413,1.4802525043487549,,
28,,9047,,,0.7770000100135803,0.6058192849159241
29,1.253017783164978,9049,,,,
29,1.3913480043411255,9099,,,,
29,1.2647625207901,9149,,,,
