train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc
0.8979628682136536,2799,8,,,,
,2807,8,0.7754999995231628,0.7276515364646912,,
,2807,8,,,0.7974258661270142,0.8192999958992004
0.6712011098861694,2849,9,,,,
0.6140897870063782,2899,9,,,,
0.6840709447860718,2949,9,,,,
0.7694872617721558,2999,9,,,,
0.44382956624031067,3049,9,,,,
0.465157151222229,3099,9,,,,
,3119,9,0.7958999872207642,0.6851168870925903,,
,3119,9,,,0.8035106062889099,0.8352000117301941
0.6284902095794678,3149,10,,,,
0.5384163856506348,3199,10,,,,
0.5605610609054565,3249,10,,,,
0.6147726774215698,3299,10,,,,
0.5784467458724976,3349,10,,,,
0.5668148994445801,3399,10,,,,
,3431,10,0.7807999849319458,0.7253664135932922,,
,3431,10,,,0.8149539232254028,0.8152999877929688
0.4154335856437683,3449,11,,,,
0.08336266875267029,3499,11,,,,
0.06581481546163559,3549,11,,,,
0.021590355783700943,3599,11,,,,
-0.004352875053882599,3649,11,,,,
0.24681590497493744,3699,11,,,,
,3743,11,0.6816999912261963,0.7693898677825928,,
,3743,11,,,0.7868840098381042,0.7146999835968018
-0.8257583379745483,3749,12,,,,
-0.779062032699585,3799,12,,,,
-0.5790246725082397,3849,12,,,,
-0.9915798306465149,3899,12,,,,
-0.5254461169242859,3949,12,,,,
-0.40775740146636963,3999,12,,,,
-0.6185842752456665,4049,12,,,,
,4055,12,0.7055000066757202,0.08306629955768585,,
,4055,12,,,0.7750149965286255,0.7401999831199646
-1.787653923034668,4099,13,,,,
-1.539114236831665,4149,13,,,,
-1.7770671844482422,4199,13,,,,
-2.133683681488037,4249,13,,,,
-1.7216455936431885,4299,13,,,,
-1.8084710836410522,4349,13,,,,
,4367,13,0.7300000190734863,-0.9227421879768372,,
,4367,13,,,0.7804737687110901,0.765500009059906
-2.7437639236450195,4399,14,,,,
-2.598219871520996,4449,14,,,,
-2.6410255432128906,4499,14,,,,
-2.614834785461426,4549,14,,,,
-1.9114876985549927,4599,14,,,,
-2.38515043258667,4649,14,,,,
,4679,14,0.7806000113487244,-2.338740110397339,,
,4679,14,,,0.7963491678237915,0.8180999755859375
-3.8571224212646484,4699,15,,,,
-4.080208778381348,4749,15,,,,
-3.458486557006836,4799,15,,,,
-3.4956960678100586,4849,15,,,,
-3.6322314739227295,4899,15,,,,
-4.182488441467285,4949,15,,,,
,4991,15,0.795799970626831,-3.3328518867492676,,
,4991,15,,,0.8073417544364929,0.8277999758720398
-4.781767845153809,4999,16,,,,
-4.298337936401367,5049,16,,,,
-5.022482872009277,5099,16,,,,
-3.8769407272338867,5149,16,,,,
-4.302711009979248,5199,16,,,,
-4.646422386169434,5249,16,,,,
-5.093218803405762,5299,16,,,,
,5303,16,0.7871000170707703,-4.225871562957764,,
,5303,16,,,0.8104467391967773,0.8339999914169312
-5.812053203582764,5349,17,,,,
-6.158913612365723,5399,17,,,,
-5.860292434692383,5449,17,,,,
-6.012233257293701,5499,17,,,,
-6.275679588317871,5549,17,,,,
-6.069906711578369,5599,17,,,,
,5615,17,0.7752000093460083,-5.1067609786987305,,
,5615,17,,,0.8202624320983887,0.8159000277519226
-6.990909099578857,5649,18,,,,
-6.417153358459473,5699,18,,,,
-6.923903942108154,5749,18,,,,
-7.018662452697754,5799,18,,,,
-7.013941764831543,5849,18,,,,
-6.156027793884277,5899,18,,,,
,5927,18,0.7875999808311462,-6.168421268463135,,
,5927,18,,,0.8281750679016113,0.8197000026702881
-8.293919563293457,5949,19,,,,
-7.803784370422363,5999,19,,,,
-8.97018051147461,6049,19,,,,
-8.306909561157227,6099,19,,,,
-8.401392936706543,6149,19,,,,
-8.177236557006836,6199,19,,,,
,6239,19,0.8015999794006348,-7.503327369689941,,
,6239,19,,,0.8357622027397156,0.845300018787384
-9.194454193115234,6249,20,,,,
-9.411391258239746,6299,20,,,,
-9.425281524658203,6349,20,,,,
-9.36427116394043,6399,20,,,,
-9.536596298217773,6449,20,,,,
-9.089008331298828,6499,20,,,,
-9.302397727966309,6549,20,,,,
,6551,20,0.8008000254631042,-8.354780197143555,,
,6551,20,,,0.8415715098381042,0.8452000021934509
-10.374168395996094,6599,21,,,,
-9.130378723144531,6649,21,,,,
-10.58806037902832,6699,21,,,,
-10.253418922424316,6749,21,,,,
-9.572234153747559,6799,21,,,,
-10.939539909362793,6849,21,,,,
,6863,21,0.8077999949455261,-9.568098068237305,,
,6863,21,,,0.8467798233032227,0.8500999808311462
-11.972474098205566,6899,22,,,,
-11.573396682739258,6949,22,,,,
-11.914843559265137,6999,22,,,,
-10.959349632263184,7049,22,,,,
-11.774126052856445,7099,22,,,,
-11.594490051269531,7149,22,,,,
,7175,22,0.8076000213623047,-10.598281860351562,,
,7175,22,,,0.8542417883872986,0.8513000011444092
-12.153491973876953,7199,23,,,,
-13.502314567565918,7249,23,,,,
-11.665863990783691,7299,23,,,,
-12.45463752746582,7349,23,,,,
-12.18906021118164,7399,23,,,,
-11.96157455444336,7449,23,,,,
,7487,23,0.819100022315979,-11.830430030822754,,
,7487,23,,,0.8599509000778198,0.8671000003814697
-14.272966384887695,7499,24,,,,
-13.856329917907715,7549,24,,,,
-13.360660552978516,7599,24,,,,
-13.011157989501953,7649,24,,,,
-13.834850311279297,7699,24,,,,
-13.94731330871582,7749,24,,,,
-14.217729568481445,7799,24,,,,
,7799,24,0.8047999739646912,-12.680901527404785,,
,7799,24,,,0.8639823794364929,0.8481000065803528
-15.546226501464844,7849,25,,,,
-14.789243698120117,7899,25,,,,
-14.848699569702148,7949,25,,,,
-14.903026580810547,7999,25,,,,
-14.960755348205566,8049,25,,,,
-14.757147789001465,8099,25,,,,
,8111,25,0.8187000155448914,-13.852726936340332,,
,8111,25,,,0.8702674508094788,0.8708999752998352
-16.50262451171875,8149,26,,,,
-16.167949676513672,8199,26,,,,
-16.405624389648438,8249,26,,,,
-16.612600326538086,8299,26,,,,
-15.799820899963379,8349,26,,,,
-16.590301513671875,8399,26,,,,
,8423,26,0.8134999871253967,-14.995990753173828,,
,8423,26,,,0.8729216456413269,0.8557999730110168
-16.738252639770508,8449,27,,,,
-16.702350616455078,8499,27,,,,
-17.209529876708984,8549,27,,,,
-17.00240135192871,8599,27,,,,
-17.596290588378906,8649,27,,,,
-17.630104064941406,8699,27,,,,
,8735,27,0.8126999735832214,-16.001766204833984,,
,8735,27,,,0.8786808848381042,0.8608999848365784
-19.256412506103516,8749,28,,,,
-19.161008834838867,8799,28,,,,
-18.817123413085938,8849,28,,,,
-18.094654083251953,8899,28,,,,
-19.338245391845703,8949,28,,,,
-18.894813537597656,8999,28,,,,
,9047,28,0.8230000138282776,-17.2220401763916,,
,9047,28,,,0.8823868036270142,0.866100013256073
-20.22123908996582,9049,29,,,,
-20.190288543701172,9099,29,,,,
-19.379573822021484,9149,29,,,,
-19.855743408203125,9199,29,,,,
-19.51736068725586,9249,29,,,,
-19.99066925048828,9299,29,,,,
-20.388423919677734,9349,29,,,,
,9359,29,0.8167999982833862,-18.094022750854492,,
,9359,29,,,0.8865434527397156,0.8567000031471252
-20.525604248046875,9399,30,,,,
-21.404052734375,9449,30,,,,
-21.70526885986328,9499,30,,,,
-20.351165771484375,9549,30,,,,
-21.205577850341797,9599,30,,,,
-20.332962036132812,9649,30,,,,
,9671,30,0.8173999786376953,-19.25296974182129,,
,9671,30,,,0.8925530910491943,0.8568999767303467
-23.005359649658203,9699,31,,,,
-23.31732940673828,9749,31,,,,
-23.383583068847656,9799,31,,,,
-22.815845489501953,9849,31,,,,
-23.030447006225586,9899,31,,,,
-23.069124221801758,9949,31,,,,
,9983,31,0.8112000226974487,-22.87294578552246,,
,9983,31,,,0.8818609714508057,0.8589000105857849
-24.516786575317383,9999,32,,,,
-24.453039169311523,10049,32,,,,
-24.204370498657227,10099,32,,,,
-24.295150756835938,10149,32,,,,
-24.686986923217773,10199,32,,,,
-24.364181518554688,10249,32,,,,
