train_loss,epoch,step,train_acc,test_acc,mix_match_loss
1.9373995065689087,0,49,,,
1.8906188011169434,0,99,,,
1.9047881364822388,0,149,,,
1.8460623025894165,0,199,,,
1.6797075271606445,0,249,,,
1.7396444082260132,0,299,,,
1.95413076877594,0,349,,,
,0,389,0.31782853603363037,0.48410001397132874,
1.8543471097946167,1,399,,,
1.7899154424667358,1,449,,,
1.539228916168213,1,499,,,
1.8399512767791748,1,549,,,
1.6353100538253784,1,599,,,
1.6342874765396118,1,649,,,
1.6464042663574219,1,699,,,
1.7853920459747314,1,749,,,
,1,779,0.4078926146030426,0.5580000281333923,
1.6611849069595337,2,799,,,
1.8399113416671753,2,849,,,
1.511765718460083,2,899,,,
1.6944098472595215,2,949,,,
1.7074178457260132,2,999,,,
1.6598379611968994,2,1049,,,
1.9790705442428589,2,1099,,,
1.4259543418884277,2,1149,,,
,2,1169,0.4474959969520569,0.633400022983551,
1.522002100944519,3,1199,,,
1.6180822849273682,3,1249,,,
1.5966893434524536,3,1299,,,
1.5462915897369385,3,1349,,,
1.6273162364959717,3,1399,,,
1.613791823387146,3,1449,,,
1.5706384181976318,3,1499,,,
1.5546162128448486,3,1549,,,
,3,1559,0.47385817766189575,0.6812000274658203,
1.3967286348342896,4,1599,,,
1.5028585195541382,4,1649,,,
1.5276403427124023,4,1699,,,
1.5551687479019165,4,1749,,,
1.5024335384368896,4,1799,,,
1.4919607639312744,4,1849,,,
1.781516432762146,4,1899,,,
1.5435794591903687,4,1949,,,
,4,1949,0.4947916567325592,0.6722000241279602,
1.4794116020202637,5,1999,,,
1.5524382591247559,5,2049,,,
1.5810449123382568,5,2099,,,
1.4081048965454102,5,2149,,,
1.7504452466964722,5,2199,,,
1.718562364578247,5,2249,,,
1.512381672859192,5,2299,,,
,5,2339,0.5093549489974976,0.7139999866485596,
1.5531343221664429,6,2349,,,
1.6430124044418335,6,2399,,,
1.6412713527679443,6,2449,,,
1.5702767372131348,6,2499,,,
1.6447608470916748,6,2549,,,
1.6727237701416016,6,2599,,,
1.5480009317398071,6,2649,,,
1.5100761651992798,6,2699,,,
,6,2729,0.5248597860336304,0.7062000036239624,
1.5484508275985718,7,2749,,,
1.495890736579895,7,2799,,,
1.3910280466079712,7,2849,,,
1.5150851011276245,7,2899,,,
1.6525648832321167,7,2949,,,
1.4744538068771362,7,2999,,,
1.5340913534164429,7,3049,,,
1.452101707458496,7,3099,,,
,7,3119,0.5308493375778198,0.7129999995231628,
1.576461911201477,8,3149,,,
1.522508978843689,8,3199,,,
1.684753179550171,8,3249,,,
1.498187780380249,8,3299,,,
1.4821643829345703,8,3349,,,
1.6339164972305298,8,3399,,,
1.5814305543899536,8,3449,,,
1.4974098205566406,8,3499,,,
,8,3509,0.5386217832565308,0.7447999715805054,
1.5366301536560059,9,3549,,,
1.4582130908966064,9,3599,,,
1.6892046928405762,9,3649,,,
1.4462858438491821,9,3699,,,
1.3769326210021973,9,3749,,,
1.344597339630127,9,3799,,,
1.4459177255630493,9,3849,,,
1.5263702869415283,9,3899,,,
,9,3899,0.5445512533187866,0.7612000107765198,
1.4482389688491821,10,3949,,,
1.6392807960510254,10,3999,,,
1.3293896913528442,10,4049,,,
1.4856979846954346,10,4099,,,
1.4716585874557495,10,4149,,,
1.3998310565948486,10,4199,,,
1.351198673248291,10,4249,,,
,10,4289,0.5510216355323792,0.7541999816894531,
1.320244550704956,11,4299,,,
1.4826420545578003,11,4349,,,
1.6588976383209229,11,4399,,,
1.775427222251892,11,4449,,,
1.3443151712417603,11,4499,,,
1.3278114795684814,11,4549,,,
1.4120824337005615,11,4599,,,
1.352258324623108,11,4649,,,
,11,4679,0.5569911599159241,0.7502999901771545,
1.303633213043213,12,4699,,,
1.2545419931411743,12,4749,,,
1.436525821685791,12,4799,,,
1.4048177003860474,12,4849,,,
1.3064823150634766,12,4899,,,
1.4836831092834473,12,4949,,,
1.5083006620407104,12,4999,,,
1.3532298803329468,12,5049,,,
,12,5069,0.5593950152397156,0.7486000061035156,
1.5050276517868042,13,5099,,,
1.47098708152771,13,5149,,,
1.439222812652588,13,5199,,,
1.315562129020691,13,5249,,,
1.4775135517120361,13,5299,,,
1.4101732969284058,13,5349,,,
1.3897799253463745,13,5399,,,
1.5647447109222412,13,5449,,,
