step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
49,2.5029685497283936,0,,,,
99,2.2369461059570312,0,,,,
149,2.1318740844726562,0,,,,
199,2.115410327911377,0,,,,
249,1.9747819900512695,0,,,,
299,2.0989346504211426,0,,,,
311,,0,2.046027421951294,0.25189998745918274,,
311,,0,,,0.2689000070095062,0.18083934485912323
349,2.034235715866089,1,,,,
399,2.0341989994049072,1,,,,
449,1.8798928260803223,1,,,,
499,1.8670986890792847,1,,,,
549,1.963109016418457,1,,,,
599,1.8854265213012695,1,,,,
623,,1,1.8497718572616577,0.3165000081062317,,
623,,1,,,0.35760000348091125,0.2840544879436493
649,2.0135998725891113,2,,,,
699,1.8179296255111694,2,,,,
749,1.8573729991912842,2,,,,
799,1.8590041399002075,2,,,,
849,1.8086894750595093,2,,,,
899,1.7602747678756714,2,,,,
935,,2,1.70845627784729,0.3767000138759613,,
935,,2,,,0.4004000127315521,0.33824118971824646
949,1.6719406843185425,3,,,,
999,1.6960551738739014,3,,,,
1049,1.7791754007339478,3,,,,
1099,1.8658915758132935,3,,,,
1149,1.7464922666549683,3,,,,
1199,1.9244552850723267,3,,,,
1247,,3,1.6265841722488403,0.4133000075817108,,
1247,,3,,,0.4603999853134155,0.38479065895080566
1249,1.6498709917068481,4,,,,
1299,1.557645559310913,4,,,,
1349,1.419334888458252,4,,,,
1399,1.5386534929275513,4,,,,
1449,1.4908325672149658,4,,,,
1499,1.6646690368652344,4,,,,
1549,1.5648517608642578,4,,,,
1559,,4,1.6377016305923462,0.42669999599456787,,
1559,,4,,,0.4708000123500824,0.43439504504203796
1599,1.6094930171966553,5,,,,
1649,1.71287202835083,5,,,,
1699,1.4836552143096924,5,,,,
1749,1.4485037326812744,5,,,,
1799,1.6154918670654297,5,,,,
1849,1.5644748210906982,5,,,,
1871,,5,1.5111169815063477,0.47699999809265137,,
1871,,5,,,0.5238000154495239,0.4766876995563507
1899,1.3558356761932373,6,,,,
1949,1.4945985078811646,6,,,,
1999,1.2778656482696533,6,,,,
2049,1.582730770111084,6,,,,
2099,1.1954076290130615,6,,,,
2149,1.338148832321167,6,,,,
2183,,6,1.3701797723770142,0.536899983882904,,
2183,,6,,,0.590499997138977,0.5210086107254028
2199,1.2413114309310913,7,,,,
2249,1.4154390096664429,7,,,,
2299,1.2898995876312256,7,,,,
2349,1.4353857040405273,7,,,,
2399,1.309662938117981,7,,,,
2449,1.3459417819976807,7,,,,
2495,,7,1.421724796295166,0.5151000022888184,,
2495,,7,,,0.5697000026702881,0.5492788553237915
2499,1.2197036743164062,8,,,,
2549,1.3338210582733154,8,,,,
2599,1.3848589658737183,8,,,,
2649,1.3457212448120117,8,,,,
2699,1.2590805292129517,8,,,,
2749,1.2624059915542603,8,,,,
2799,1.3593724966049194,8,,,,
2807,,8,1.345644235610962,0.5565000176429749,,
2807,,8,,,0.6150000095367432,0.5753205418586731
2849,1.112850546836853,9,,,,
2899,1.151668906211853,9,,,,
2949,1.1885416507720947,9,,,,
2999,1.1690446138381958,9,,,,
3049,1.3381402492523193,9,,,,
3099,1.1863971948623657,9,,,,
3119,,9,1.2957381010055542,0.5873000025749207,,
3119,,9,,,0.6547999978065491,0.5983323454856873
3149,1.413677453994751,10,,,,
3199,1.2772451639175415,10,,,,
3249,1.2124826908111572,10,,,,
3299,1.09404456615448,10,,,,
3349,1.0055638551712036,10,,,,
3399,1.1205053329467773,10,,,,
3431,,10,1.3572357892990112,0.5748000144958496,,
3431,,10,,,0.638700008392334,0.6202424168586731
3449,1.160544514656067,11,,,,
3499,1.1463514566421509,11,,,,
3549,1.296212077140808,11,,,,
3599,1.2650216817855835,11,,,,
3649,1.0901521444320679,11,,,,
3699,1.1769229173660278,11,,,,
3743,,11,1.2739814519882202,0.6029000282287598,,
3743,,11,,,0.6650000214576721,0.6394731402397156
3749,1.1841306686401367,12,,,,
3799,1.0707881450653076,12,,,,
3849,0.8998628258705139,12,,,,
3899,0.9990102052688599,12,,,,
3949,1.1190173625946045,12,,,,
3999,1.0321662425994873,12,,,,
4049,1.2764256000518799,12,,,,
4055,,12,1.2454389333724976,0.6097000241279602,,
4055,,12,,,0.670199990272522,0.6570262312889099
4099,1.1232348680496216,13,,,,
4149,1.2257598638534546,13,,,,
4199,0.8636446595191956,13,,,,
4249,1.0591034889221191,13,,,,
4299,0.8595485687255859,13,,,,
4349,1.09323251247406,13,,,,
4367,,13,1.134742021560669,0.6485000252723694,,
4367,,13,,,0.7387999892234802,0.6652644276618958
4399,0.942130982875824,14,,,,
4449,1.3185205459594727,14,,,,
4499,0.9757869243621826,14,,,,
4549,1.056572675704956,14,,,,
4599,1.2079319953918457,14,,,,
4649,0.8829782009124756,14,,,,
4679,,14,1.1112337112426758,0.6639999747276306,,
4679,,14,,,0.7433000206947327,0.6779347062110901
4699,1.148704171180725,15,,,,
4749,1.0328809022903442,15,,,,
4799,1.0288816690444946,15,,,,
4849,1.0618882179260254,15,,,,
4899,1.0617839097976685,15,,,,
4949,1.0206546783447266,15,,,,
4991,,15,1.0436978340148926,0.6883999705314636,,
4991,,15,,,0.7843000292778015,0.6832932829856873
4999,0.8954547643661499,16,,,,
5049,1.136616826057434,16,,,,
5099,0.9481257796287537,16,,,,
5149,1.0550668239593506,16,,,,
5199,1.1253095865249634,16,,,,
5249,0.8290188312530518,16,,,,
5299,1.1405173540115356,16,,,,
5303,,16,1.1867570877075195,0.6277999877929688,,
5303,,16,,,0.7129999995231628,0.6881760954856873
5349,1.0742442607879639,17,,,,
5399,1.0002655982971191,17,,,,
5449,1.0323503017425537,17,,,,
5499,1.1918960809707642,17,,,,
5549,1.152213454246521,17,,,,
5599,0.9872500896453857,17,,,,
5615,,17,1.0914313793182373,0.6638000011444092,,
5615,,17,,,0.75,0.6964393258094788
5649,0.975534975528717,18,,,,
5699,1.0792505741119385,18,,,,
5749,0.9950469136238098,18,,,,
5799,1.2993052005767822,18,,,,
5849,1.1298726797103882,18,,,,
5899,0.9648328423500061,18,,,,
5927,,18,1.1470222473144531,0.6603000164031982,,
5927,,18,,,0.7468000054359436,0.699143648147583
5949,0.9632942080497742,19,,,,
5999,0.915833592414856,19,,,,
6049,0.9133477210998535,19,,,,
6099,0.9868043065071106,19,,,,
6149,0.8707376718521118,19,,,,
6199,1.240333914756775,19,,,,
6239,,19,1.053602695465088,0.6873999834060669,,
6239,,19,,,0.7870000004768372,0.7017227411270142
6249,0.9311984181404114,20,,,,
6299,0.9820972681045532,20,,,,
6349,0.9656532406806946,20,,,,
6399,0.90591961145401,20,,,,
6449,1.0216357707977295,20,,,,
6499,0.8175824284553528,20,,,,
6549,1.2391927242279053,20,,,,
6551,,20,1.1094244718551636,0.6606000065803528,,
6551,,20,,,0.7508999705314636,0.7100610733032227
6599,1.0515985488891602,21,,,,
6649,1.143753170967102,21,,,,
6699,1.1734875440597534,21,,,,
6749,0.9294448494911194,21,,,,
6799,1.1701987981796265,21,,,,
6849,0.9791029691696167,21,,,,
6863,,21,1.072939395904541,0.6812999844551086,,
6863,,21,,,0.7907000184059143,0.7078825831413269
6899,0.7663112282752991,22,,,,
6949,0.9673353433609009,22,,,,
6999,0.8915218114852905,22,,,,
7049,1.0173252820968628,22,,,,
7099,0.8834988474845886,22,,,,
7149,0.9957067966461182,22,,,,
7175,,22,1.119543433189392,0.6651999950408936,,
7175,,22,,,0.7552000284194946,0.7131159901618958
7199,1.056381106376648,23,,,,
7249,0.8931097388267517,23,,,,
7299,0.805924654006958,23,,,,
7349,0.8848445415496826,23,,,,
7399,0.8574771285057068,23,,,,
7449,1.1863925457000732,23,,,,
7487,,23,1.1301757097244263,0.6588000059127808,,
