epoch,step,train_loss,val_acc,val_loss,train_acc,test_acc
0,49,3.461611270904541,,,,
0,99,3.484853506088257,,,,
0,149,3.324856996536255,,,,
0,199,3.3702406883239746,,,,
0,249,3.2009384632110596,,,,
0,299,3.084290027618408,,,,
0,311,,0.31769999861717224,2.1506128311157227,,
0,311,,,,0.27781951427459717,0.35190001130104065
1,349,3.331805944442749,,,,
1,399,3.088742733001709,,,,
1,449,3.222992181777954,,,,
1,499,2.9407572746276855,,,,
1,549,2.984896659851074,,,,
1,599,3.0145907402038574,,,,
1,623,,0.41260001063346863,1.647010326385498,,
1,623,,,,0.37006711959838867,0.460099995136261
2,649,2.6517772674560547,,,,
2,699,2.434720516204834,,,,
2,749,2.754730224609375,,,,
2,799,2.6730782985687256,,,,
2,849,2.501464366912842,,,,
2,899,2.693612575531006,,,,
2,935,,0.4763999879360199,1.59920334815979,,
2,935,,,,0.4387519955635071,0.5291000008583069
3,949,2.445969820022583,,,,
3,999,2.6916720867156982,,,,
3,1049,2.509331464767456,,,,
3,1099,2.595109462738037,,,,
3,1149,2.6229305267333984,,,,
3,1199,2.281078338623047,,,,
3,1247,,0.4684999883174896,1.6201152801513672,,
3,1247,,,,0.4792417883872986,0.5058000087738037
4,1249,2.396336555480957,,,,
4,1299,2.4501688480377197,,,,
4,1349,2.512575626373291,,,,
4,1399,2.383709192276001,,,,
4,1449,2.671675682067871,,,,
4,1499,2.498718023300171,,,,
4,1549,2.180887222290039,,,,
4,1559,,0.5527999997138977,1.3585927486419678,,
4,1559,,,,0.515700101852417,0.6105999946594238
5,1599,2.2463343143463135,,,,
5,1649,2.259655237197876,,,,
5,1699,2.3378114700317383,,,,
5,1749,2.277296543121338,,,,
5,1799,2.1980528831481934,,,,
5,1849,1.972188949584961,,,,
5,1871,,0.5947999954223633,1.262332558631897,,
5,1871,,,,0.5674829483032227,0.6703000068664551
6,1899,2.1491363048553467,,,,
6,1949,2.237260341644287,,,,
6,1999,2.1550099849700928,,,,
6,2049,1.9959337711334229,,,,
6,2099,1.681896448135376,,,,
6,2149,1.7563114166259766,,,,
6,2183,,0.6366999745368958,1.1909692287445068,,
6,2183,,,,0.6071464419364929,0.7208999991416931
7,2199,2.0546579360961914,,,,
7,2249,1.830808162689209,,,,
7,2299,1.8285396099090576,,,,
7,2349,1.7319902181625366,,,,
7,2399,1.9661662578582764,,,,
7,2449,1.8658454418182373,,,,
7,2495,,0.6061999797821045,1.3056156635284424,,
7,2495,,,,0.6338140964508057,0.6692000031471252
8,2499,1.8431041240692139,,,,
8,2549,1.4355409145355225,,,,
8,2599,1.62959623336792,,,,
8,2649,1.509864330291748,,,,
8,2699,1.6321096420288086,,,,
8,2749,1.2860233783721924,,,,
8,2799,1.5127711296081543,,,,
8,2807,,0.6632000207901001,1.1692047119140625,,
8,2807,,,,0.654371976852417,0.7569000124931335
9,2849,1.6472703218460083,,,,
9,2899,1.3271510601043701,,,,
9,2949,1.5067024230957031,,,,
9,2999,1.711971402168274,,,,
9,3049,1.1671905517578125,,,,
9,3099,1.4896824359893799,,,,
9,3119,,0.6662999987602234,1.2110732793807983,,
9,3119,,,,0.6697215437889099,0.756600022315979
10,3149,1.1313071250915527,,,,
10,3199,1.5902653932571411,,,,
10,3249,1.3751275539398193,,,,
10,3299,1.3927021026611328,,,,
10,3349,1.4121103286743164,,,,
10,3399,1.363362431526184,,,,
10,3431,,0.6496999859809875,1.3404695987701416,,
10,3431,,,,0.6853215098381042,0.7285000085830688
11,3449,0.9293180704116821,,,,
11,3499,1.4619829654693604,,,,
11,3549,1.3482435941696167,,,,
11,3599,1.243932843208313,,,,
11,3649,1.348806381225586,,,,
11,3699,1.2281806468963623,,,,
11,3743,,0.6671000123023987,1.2750900983810425,,
11,3743,,,,0.6992437839508057,0.755299985408783
12,3749,1.0416414737701416,,,,
12,3799,1.0719605684280396,,,,
12,3849,1.4231762886047363,,,,
12,3899,1.3305180072784424,,,,
12,3949,1.2225292921066284,,,,
12,3999,1.2783656120300293,,,,
12,4049,1.192758560180664,,,,
12,4055,,0.6854000091552734,1.2374584674835205,,
12,4055,,,,0.7064553499221802,0.7760999798774719
13,4099,1.0629167556762695,,,,
13,4149,0.8990823030471802,,,,
13,4199,1.1132553815841675,,,,
13,4249,1.252968430519104,,,,
13,4299,1.1060163974761963,,,,
13,4349,1.1115999221801758,,,,
13,4367,,0.7001000046730042,1.304875373840332,,
13,4367,,,,0.7130408883094788,0.7883999943733215
14,4399,1.0622713565826416,,,,
14,4449,0.9008715152740479,,,,
