epoch,train_loss,step,train_acc,test_acc
0,3.7302215099334717,49,,
0,3.6965394020080566,99,,
0,3.072035312652588,149,,
0,2.986818790435791,199,,
0,2.9881584644317627,249,,
0,3.1808035373687744,299,,
0,2.807706117630005,349,,
0,,389,0.3640424609184265,0.5296000242233276
1,2.7125773429870605,399,,
1,3.0380656719207764,449,,
1,3.0051615238189697,499,,
1,2.6756227016448975,549,,
1,2.754467010498047,599,,
1,2.6301586627960205,649,,
1,2.3085293769836426,699,,
1,2.5776138305664062,749,,
1,,779,0.5042968988418579,0.6615999937057495
2,2.7177846431732178,799,,
2,2.5787436962127686,849,,
2,2.168285369873047,899,,
2,2.1849703788757324,949,,
2,2.4773433208465576,999,,
2,2.2395758628845215,1049,,
2,2.3938827514648438,1099,,
2,2.426567792892456,1149,,
2,,1169,0.5742387771606445,0.7389000058174133
3,2.3047425746917725,1199,,
3,2.12945818901062,1249,,
3,2.204908609390259,1299,,
3,2.385730504989624,1349,,
3,2.6080613136291504,1399,,
3,2.497490406036377,1449,,
3,2.488797664642334,1499,,
3,2.3203234672546387,1549,,
3,,1559,0.6148838400840759,0.7289000153541565
4,1.9514281749725342,1599,,
4,1.9467867612838745,1649,,
4,2.1087892055511475,1699,,
4,1.9612385034561157,1749,,
4,2.0529935359954834,1799,,
4,2.1128158569335938,1849,,
4,2.1706080436706543,1899,,
4,2.4032459259033203,1949,,
4,,1949,0.6387619972229004,0.7944999933242798
5,1.9339414834976196,1999,,
5,1.7943216562271118,2049,,
5,2.165175676345825,2099,,
5,1.7959673404693604,2149,,
5,2.251037359237671,2199,,
5,2.176408529281616,2249,,
5,2.1465768814086914,2299,,
5,,2339,0.6572816371917725,0.8123000264167786
6,2.018388271331787,2349,,
6,1.9598124027252197,2399,,
6,1.8328237533569336,2449,,
6,1.8508363962173462,2499,,
6,1.5829278230667114,2549,,
6,1.8190760612487793,2599,,
6,1.809795618057251,2649,,
6,1.6151793003082275,2699,,
6,,2729,0.6698217391967773,0.7962999939918518
7,1.5719499588012695,2749,,
7,2.02351450920105,2799,,
7,1.7518806457519531,2849,,
7,1.7535202503204346,2899,,
7,1.731370210647583,2949,,
7,1.6191293001174927,2999,,
7,1.7016396522521973,3049,,
7,1.8610866069793701,3099,,
7,,3119,0.679957926273346,0.8066999912261963
8,1.4797346591949463,3149,,
8,1.665374517440796,3199,,
