step,train_loss,epoch,val_loss,val_acc,test_acc
49,2.887965679168701,0,,,
99,2.920470952987671,0,,,
149,2.8267087936401367,0,,,
199,2.5818095207214355,0,,,
249,2.587501049041748,0,,,
299,2.5593135356903076,0,,,
349,2.2820029258728027,0,,,
389,,0,1.5208570957183838,0.4763999879360199,
389,,0,,,0.515999972820282
399,2.2635812759399414,1,,,
449,2.3290679454803467,1,,,
499,2.3479957580566406,1,,,
549,2.28326678276062,1,,,
599,2.3210644721984863,1,,,
649,2.1369032859802246,1,,,
699,2.0324535369873047,1,,,
749,2.087867021560669,1,,,
779,,1,1.3457649946212769,0.5594000220298767,
779,,1,,,0.6151999831199646
799,1.822445273399353,2,,,
849,2.005537509918213,2,,,
