train_loss,epoch,step,train_acc,test_acc
1.6997398138046265,0,49,,
1.2797260284423828,0,99,,
1.1981555223464966,0,149,,
1.1329307556152344,0,199,,
1.0524444580078125,0,249,,
1.006498098373413,0,299,,
0.9154227375984192,0,349,,
,0,389,0.424198716878891,0.5371000170707703
0.4954793453216553,1,399,,
0.37739163637161255,1,449,,
0.2919785976409912,1,499,,
0.2198781967163086,1,549,,
0.34426218271255493,1,599,,
0.16044771671295166,1,649,,
0.09566903114318848,1,699,,
-0.06394422054290771,1,749,,
,1,779,0.6255007982254028,0.6054999828338623
-0.5630483031272888,2,799,,
-0.5624297857284546,2,849,,
-0.3495950698852539,2,899,,
-0.6899867057800293,2,949,,
-0.8045656681060791,2,999,,
-1.186703085899353,2,1049,,
-0.926313579082489,2,1099,,
-0.6895232796669006,2,1149,,
,2,1169,0.7237379550933838,0.7329000234603882
-1.8783233165740967,3,1199,,
-1.3729374408721924,3,1249,,
-1.6906020641326904,3,1299,,
-1.409325122833252,3,1349,,
-1.4311091899871826,3,1399,,
-1.7048454284667969,3,1449,,
-1.5047111511230469,3,1499,,
-1.6719231605529785,3,1549,,
,3,1559,0.7762820720672607,0.7608000040054321
-2.3056435585021973,4,1599,,
-2.3871212005615234,4,1649,,
-2.044674873352051,4,1699,,
-2.2279582023620605,4,1749,,
-2.2804529666900635,4,1799,,
-2.787846088409424,4,1849,,
-2.2454569339752197,4,1899,,
-2.772705316543579,4,1949,,
,4,1949,0.8081930875778198,0.8091999888420105
-3.2499752044677734,5,1999,,
-3.2539443969726562,5,2049,,
-3.353468179702759,5,2099,,
-3.2205049991607666,5,2149,,
-2.717074155807495,5,2199,,
-3.0486397743225098,5,2249,,
-3.223097324371338,5,2299,,
,5,2339,0.8349158763885498,0.8011999726295471
-4.11529016494751,6,2349,,
-3.7511916160583496,6,2399,,
-4.33390998840332,6,2449,,
-3.8248424530029297,6,2499,,
-4.058751106262207,6,2549,,
-4.241443157196045,6,2599,,
-3.886462688446045,6,2649,,
-3.5272984504699707,6,2699,,
,6,2729,0.855308473110199,0.8388000130653381
-5.3578596115112305,7,2749,,
-4.698845386505127,7,2799,,
-4.744045257568359,7,2849,,
-5.144711494445801,7,2899,,
-5.002287864685059,7,2949,,
-4.453837871551514,7,2999,,
-4.776638031005859,7,3049,,
-4.957988262176514,7,3099,,
,7,3119,0.8754006624221802,0.8517000079154968
-5.249463081359863,8,3149,,
-5.905489921569824,8,3199,,
-6.30381965637207,8,3249,,
-5.628897666931152,8,3299,,
-5.917379856109619,8,3349,,
-5.77108097076416,8,3399,,
-5.771605014801025,8,3449,,
-5.910062789916992,8,3499,,
,8,3509,0.8930288553237915,0.8816999793052673
-7.044244766235352,9,3549,,
-6.746828079223633,9,3599,,
-6.420108795166016,9,3649,,
-6.589312553405762,9,3699,,
-6.697212219238281,9,3749,,
-6.928236961364746,9,3799,,
-7.22797966003418,9,3849,,
-6.539673805236816,9,3899,,
,9,3899,0.9063100814819336,0.8873999714851379
-5.499988555908203,10,3949,,
-5.204856872558594,10,3999,,
-5.853495121002197,10,4049,,
-5.437477111816406,10,4099,,
-5.4178056716918945,10,4149,,
-6.704463005065918,10,4199,,
-6.4443511962890625,10,4249,,
,10,4289,0.7734375,0.7355999946594238
-6.323058605194092,11,4299,,
-7.062549591064453,11,4349,,
-6.702056884765625,11,4399,,
-6.887569904327393,11,4449,,
-6.942744255065918,11,4499,,
