epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc,mix_match_loss
0,49,1.8347949981689453,,,,,
0,99,1.8421205282211304,,,,,
0,149,1.6730974912643433,,,,,
0,199,1.6356472969055176,,,,,
0,249,1.4267481565475464,,,,,
0,299,1.2641055583953857,,,,,
0,311,,1.9838124513626099,0.4489000141620636,,,
0,311,,,,0.36929085850715637,0.45899999141693115,
1,349,,,,,,2.0779080390930176
1,399,,,,,,2.1477832794189453
1,449,,,,,,2.047003984451294
1,499,,,,,,1.9664497375488281
1,549,,,,,,1.9614375829696655
1,599,,,,,,1.800939679145813
1,649,,,,,,1.7083181142807007
1,657,,2.2718636989593506,0.24560000002384186,,,
1,657,1.6634174585342407,,,0.43857672810554504,0.2590999901294708,
2,699,,,,,,1.5859792232513428
2,749,,,,,,1.5647999048233032
2,799,,,,,,1.9472507238388062
2,849,,,,,,1.334031581878662
2,899,,,,,,1.8583601713180542
2,949,,,,,,1.867013692855835
2,999,,,,,,1.6801561117172241
2,1049,,,,,,1.4029252529144287
2,1099,,,,,,1.3541673421859741
2,1126,,3.006314516067505,0.3231000006198883,,,
2,1126,,,,,0.34139999747276306,
3,1149,,,,,,1.4693379402160645
3,1199,,,,,,0.8593049645423889
3,1249,,,,,,1.4575283527374268
3,1299,,,,,,1.459672212600708
3,1349,,,,,,1.4981012344360352
3,1399,,,,,,1.4789053201675415
3,1449,,,,,,1.266196370124817
3,1499,,,,,,1.4363033771514893
3,1546,,2.856726884841919,0.37070000171661377,,,
3,1546,,,,,0.38510000705718994,
4,1549,,,,,,1.526536464691162
4,1599,,,,,,1.4949285984039307
4,1649,,,,,,1.4147368669509888
4,1699,,,,,,1.2912611961364746
4,1749,,,,,,1.418155550956726
4,1799,,,,,,1.1656666994094849
4,1849,,,,,,1.4018157720565796
4,1899,,,,,,1.5453472137451172
4,1934,,3.084836721420288,0.3959999978542328,,,
4,1934,,,,,0.4169999957084656,
5,1949,,,,,,1.2668993473052979
5,1999,,,,,,1.4269546270370483
5,2049,,,,,,1.3411848545074463
5,2099,,,,,,1.4406358003616333
5,2149,,,,,,0.972972571849823
5,2199,,,,,,1.5279147624969482
5,2249,,,,,,1.3485833406448364
5,2299,,,,,,1.4985151290893555
5,2307,,2.89728045463562,0.3871999979019165,,,
5,2307,,,,,0.4002000093460083,
6,2349,,,,,,1.4306750297546387
6,2399,,,,,,1.1901583671569824
6,2449,,,,,,1.257650375366211
6,2499,,,,,,1.4385517835617065
6,2549,,,,,,1.3220269680023193
6,2599,,,,,,1.4418305158615112
6,2649,,,,,,1.3911834955215454
6,2685,,3.1931827068328857,0.40939998626708984,,,
6,2685,,,,,0.41830000281333923,
7,2699,,,,,,1.268774151802063
7,2749,,,,,,1.2847715616226196
7,2799,,,,,,1.3574426174163818
7,2849,,,,,,1.425535798072815
7,2899,,,,,,1.4131330251693726
7,2949,,,,,,1.1314417123794556
7,2999,,,,,,1.062796711921692
7,3049,,,,,,1.2966760396957397
7,3049,,2.923583507537842,0.4318999946117401,,,
7,3049,,,,,0.4406000077724457,
8,3099,,,,,,1.3121371269226074
8,3149,,,,,,0.9937330484390259
8,3199,,,,,,1.3467122316360474
8,3249,,,,,,1.1729967594146729
8,3299,,,,,,1.5928620100021362
8,3349,,,,,,1.4094687700271606
8,3399,,,,,,0.9071962237358093
8,3399,,2.9993584156036377,0.41920000314712524,,,
8,3399,,,,,0.4293999969959259,
9,3449,,,,,,1.1354423761367798
9,3499,,,,,,0.9764506816864014
9,3549,,,,,,1.3680387735366821
9,3599,,,,,,1.1674033403396606
9,3649,,,,,,1.3907243013381958
9,3699,,,,,,1.3242861032485962
9,3749,,,,,,1.1495321989059448
9,3756,,3.024873971939087,0.444599986076355,,,
9,3756,,,,,0.453000009059906,
10,3799,,,,,,1.2165616750717163
10,3849,,,,,,1.2690807580947876
10,3899,,,,,,1.3710323572158813
10,3949,,,,,,0.9789555072784424
10,3999,,,,,,1.275031566619873
10,4049,,,,,,1.4287930727005005
10,4093,,2.855879306793213,0.4636000096797943,,,
10,4093,,,,,0.47760000824928284,
11,4099,,,,,,1.0502511262893677
11,4149,,,,,,1.452750325202942
11,4199,,,,,,1.4725555181503296
11,4249,,,,,,1.3500654697418213
11,4299,,,,,,1.08653724193573
11,4349,,,,,,1.5865638256072998
11,4399,,,,,,1.3195011615753174
11,4427,,2.7883729934692383,0.4645000100135803,,,
11,4427,,,,,0.4708000123500824,
12,4449,,,,,,1.3820677995681763
12,4499,,,,,,1.225525975227356
12,4549,,,,,,1.3852046728134155
12,4599,,,,,,1.0902787446975708
12,4649,,,,,,1.5056474208831787
12,4699,,,,,,1.4888960123062134
12,4749,,,,,,1.1333398818969727
12,4762,,2.8722002506256104,0.45829999446868896,,,
12,4762,,,,,0.46560001373291016,
13,4799,,,,,,1.1089422702789307
13,4849,,,,,,1.3831212520599365
13,4899,,,,,,0.7235772013664246
13,4949,,,,,,1.4643528461456299
13,4999,,,,,,1.0139744281768799
13,5049,,,,,,0.9247785806655884
13,5096,,3.024545192718506,0.4422999918460846,,,
13,5096,,,,,0.44999998807907104,
14,5099,,,,,,1.1872016191482544
14,5149,,,,,,1.079071044921875
14,5199,,,,,,1.1704635620117188
14,5249,,,,,,1.3238412141799927
14,5299,,,,,,1.5322372913360596
14,5349,,,,,,1.0547404289245605
14,5399,,,,,,1.3138624429702759
14,5437,,2.6801209449768066,0.48249998688697815,,,
14,5437,,,,,0.49630001187324524,
15,5449,,,,,,1.2818738222122192
15,5499,,,,,,1.3821033239364624
15,5549,,,,,,1.297418475151062
15,5599,,,,,,1.306854009628296
15,5649,,,,,,1.076275110244751
15,5699,,,,,,1.2554402351379395
15,5749,,,,,,1.3774230480194092
15,5752,,2.765737295150757,0.4472000002861023,,,
15,5752,,,,,0.4487000107765198,
16,5799,,,,,,1.5349798202514648
16,5849,,,,,,1.4122592210769653
16,5899,,,,,,1.2836675643920898
16,5949,,,,,,1.4007518291473389
16,5999,,,,,,1.4071170091629028
16,6049,,,,,,0.8258509039878845
16,6097,,2.795682430267334,0.4918000102043152,,,
16,6097,,,,,0.498199999332428,
17,6099,,,,,,1.2257872819900513
17,6149,,,,,,1.391517162322998
17,6199,,,,,,0.9638076424598694
17,6249,,,,,,1.438297986984253
17,6299,,,,,,1.3726130723953247
17,6349,,,,,,1.3289470672607422
17,6399,,,,,,1.3097271919250488
17,6412,,2.6392438411712646,0.5027999877929688,,,
17,6412,,,,,0.5074999928474426,
18,6449,,,,,,1.4195501804351807
18,6499,,,,,,1.4686310291290283
18,6549,,,,,,1.3622125387191772
18,6599,,,,,,0.9103499054908752
18,6649,,,,,,1.2692232131958008
18,6699,,,,,,1.2113970518112183
18,6724,,2.5816681385040283,0.5257999897003174,,,
18,6724,,,,,0.5358999967575073,
19,6749,,,,,,1.4042402505874634
19,6799,,,,,,1.4278926849365234
19,6849,,,,,,1.4472904205322266
19,6899,,,,,,1.415123462677002
19,6949,,,,,,1.24209725856781
19,6999,,,,,,1.4592612981796265
19,7037,,2.5625901222229004,0.5284000039100647,,,
19,7037,,,,,0.5394999980926514,
20,7049,,,,,,1.0252219438552856
20,7099,,,,,,1.360776662826538
20,7149,,,,,,1.2567329406738281
20,7199,,,,,,1.460754632949829
20,7249,,,,,,1.414183259010315
20,7299,,,,,,1.3362735509872437
20,7349,,,,,,1.2591686248779297
20,7353,,2.7152881622314453,0.5023999810218811,,,
20,7353,,,,,0.5156000256538391,
21,7399,,,,,,1.363429069519043
21,7449,,,,,,1.430708646774292
21,7499,,,,,,1.1986266374588013
21,7549,,,,,,1.4662420749664307
21,7599,,,,,,1.3022241592407227
21,7649,,,,,,1.2129404544830322
21,7666,,2.6821744441986084,0.5083000063896179,,,
21,7666,,,,,0.522599995136261,
22,7699,,,,,,1.5123214721679688
22,7749,,,,,,1.4803102016448975
22,7799,,,,,,1.0810503959655762
22,7849,,,,,,1.4090538024902344
22,7899,,,,,,1.3649179935455322
22,7949,,,,,,1.4154353141784668
22,7978,,2.6542434692382812,0.5238999724388123,,,
22,7978,,,,,0.5370000004768372,
23,7999,,,,,,1.385477900505066
23,8049,,,,,,1.2592158317565918
23,8099,,,,,,1.3372046947479248
23,8149,,,,,,1.2060800790786743
23,8199,,,,,,1.4778718948364258
23,8249,,,,,,1.3310490846633911
23,8293,,2.613994598388672,0.5231999754905701,,,
23,8293,,,,,0.5356000065803528,
24,8299,,,,,,1.4449787139892578
24,8349,,,,,,1.069029688835144
24,8399,,,,,,1.4147635698318481
24,8449,,,,,,1.417698860168457
24,8499,,,,,,1.3356600999832153
24,8549,,,,,,1.383473515510559
24,8599,,,,,,1.3221594095230103
24,8610,,2.641786575317383,0.5307999849319458,,,
24,8610,,,,,0.5472000241279602,
25,8649,,,,,,0.936856746673584
25,8699,,,,,,1.2470043897628784
25,8749,,,,,,1.4998257160186768
25,8799,,,,,,1.3998233079910278
25,8849,,,,,,1.2606494426727295
25,8899,,,,,,1.432134747505188
25,8924,,2.700300931930542,0.5199999809265137,,,
25,8924,,,,,0.52920001745224,
26,8949,,,,,,1.1948202848434448
26,8999,,,,,,1.353306531906128
