step,epoch,train_loss1,train_loss2,train_acc2,test_acc,train_acc1
15849,40,0.0005751507123932242,0.00019244066788814962,,,
15899,40,0.000655889161862433,0.00036215080763213336,,,
15949,40,0.001792549155652523,0.00027410942129790783,,,
15989,40,,,0.8094751834869385,0.8741000294685364,0.8087740540504456
15999,41,0.0007644232246093452,0.0007003920036368072,,,
16049,41,0.0011210475349798799,0.002066930290311575,,,
16099,41,0.00045715610031038523,0.00019226354197598994,,,
16149,41,0.0014363989466801286,0.0007102569798007607,,,
16199,41,0.00012179968325654045,0.00021493509120773524,,,
16249,41,0.0008150963694788516,0.0016048256075009704,,,
16299,41,0.00045260967453941703,0.0008731964626349509,,,
16349,41,0.005038972944021225,0.0047148740850389,,,
16379,41,,,0.8110576868057251,0.8781999945640564,0.806951105594635
16399,42,0.0011535217054188251,0.0004792830441147089,,,
16449,42,0.0007255449309013784,0.0015077540883794427,,,
16499,42,0.0002641229366417974,0.0003650498401839286,,,
16549,42,0.00016840282478369772,0.00019107735715806484,,,
16599,42,0.0004921674262732267,0.00018712913151830435,,,
16649,42,0.0006982538034208119,0.0007570470916107297,,,
16699,42,0.0015445394674316049,0.00034236948704347014,,,
16749,42,0.0009379384573549032,0.0009065336198545992,,,
16769,42,,,0.8134415149688721,0.8827999830245972,0.8090344667434692
16799,43,0.0013871151022613049,0.0020258594304323196,,,
16849,43,0.0006339154206216335,0.0005458261584863067,,,
16899,43,0.000657319906167686,0.0004954246687702835,,,
16949,43,0.00183775182813406,0.0014108160976320505,,,
16999,43,0.0014536764938384295,0.000654736824799329,,,
17049,43,0.0023074159398674965,0.0020160451531410217,,,
17099,43,0.000526637420989573,0.0005459136446006596,,,
17149,43,0.0009013525559566915,0.0003312951303087175,,,
17159,43,,,0.8140023946762085,0.8799999952316284,0.8018830418586731
17199,44,0.0033456103410571814,0.002827639225870371,,,
17249,44,0.0008665270288474858,0.0004211703490000218,,,
17299,44,0.00019110325956717134,0.00028001671307720244,,,
17349,44,0.0001961976959137246,8.827522833598778e-05,,,
17399,44,0.0006621275097131729,0.0004843889328185469,,,
17449,44,0.002201183931902051,0.0011515740770846605,,,
17499,44,0.0007876134477555752,0.0003099942987319082,,,
17549,44,0.0011286759981885552,0.0007857679738663137,,,
17549,44,,,0.8174078464508057,0.8845999836921692,0.8115785121917725
17599,45,0.0004004359361715615,0.0012731309980154037,,,
17649,45,0.00016637489898130298,0.0004164219426456839,,,
17699,45,0.0011320171179249883,0.0008866969728842378,,,
17749,45,0.0010642614215612411,0.003222328843548894,,,
17799,45,0.0007245882879942656,0.0015850799391046166,,,
17849,45,0.0013180678943172097,0.0029062048997730017,,,
17899,45,0.0006898913998156786,0.0016108790878206491,,,
17939,45,,,0.7824919819831848,0.8827999830245972,0.813080906867981
17949,46,0.00022196049394551665,0.0004106441338080913,,,
17999,46,0.00018674753664527088,0.00028724438743665814,,,
18049,46,0.0001500787475379184,0.00023761941702105105,,,
18099,46,0.00022689909383188933,0.0006089390954002738,,,
18149,46,0.0005716801388189197,0.000559440755750984,,,
18199,46,0.0007934646564535797,0.0007636442896910012,,,
18249,46,0.00042287478572688997,0.00047810873365961015,,,
18299,46,0.0005560574936680496,0.0010413145646452904,,,
18329,46,,,0.8099759817123413,0.8873000144958496,0.8170472979545593
18349,47,0.0002728500112425536,0.00040859030559659004,,,
18399,47,0.0004633287317119539,0.0004965525586158037,,,
18449,47,0.0005499944090843201,0.0004216215165797621,,,
18499,47,0.0008705724612809718,0.0007063576485961676,,,
18549,47,0.001050959574058652,0.0014202662277966738,,,
18599,47,0.00042212591506540775,0.0004282275040168315,,,
18649,47,0.0005722919595427811,0.0011928888270631433,,,
18699,47,0.000989108462817967,0.0007829625392332673,,,
18719,47,,,0.8166266083717346,0.8885999917984009,0.817928671836853
18749,48,0.0008925275760702789,0.0005310538690537214,,,
18799,48,0.0002655974240042269,8.053345663938671e-05,,,
18849,48,0.0010217527160421014,0.0010681936983019114,,,
18899,48,0.00021335874043870717,0.00012735044583678246,,,
18949,48,0.0005363889504224062,0.0006641434738412499,,,
18999,48,0.0005095504457131028,0.0005849758163094521,,,
19049,48,0.00072798429755494,0.0006342247943393886,,,
19099,48,0.0006446033366955817,0.00021212674619164318,,,
19109,48,,,0.8199519515037537,0.8881999850273132,0.818088948726654
