train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc,mix_match_loss
2.3908894062042236,0,49,,,,,
2.1384809017181396,0,99,,,,,
2.220716714859009,0,149,,,,,
2.042184829711914,0,199,,,,,
2.1049766540527344,0,249,,,,,
2.0461699962615967,0,299,,,,,
,0,311,2.0299153327941895,0.24040000140666962,,,
,0,311,,,0.1949869841337204,0.24490000307559967,
1.9990700483322144,1,349,,,,,
1.8936889171600342,1,399,,,,,
1.8486956357955933,1,449,,,,,
1.949798345565796,1,499,,,,,
1.836026668548584,1,549,,,,,
1.7584589719772339,1,599,,,,,
,1,623,1.78641939163208,0.3447999954223633,,,
,1,623,,,0.2825520932674408,0.34860000014305115,
1.7100988626480103,2,649,,,,,
1.744896650314331,2,699,,,,,
1.756274938583374,2,749,,,,,
1.75400710105896,2,799,,,,,
1.7436236143112183,2,849,,,,,
1.6060857772827148,2,899,,,,,
,2,935,1.6696202754974365,0.39419999718666077,,,
,2,935,,,0.35283952951431274,0.4169999957084656,
1.78309965133667,3,949,,,,,
1.7052727937698364,3,999,,,,,
1.6681132316589355,3,1049,,,,,
1.683967113494873,3,1099,,,,,
1.5680586099624634,3,1149,,,,,
1.5544453859329224,3,1199,,,,,
,3,1247,1.5208550691604614,0.4424000084400177,,,
,3,1247,,,0.4091045558452606,0.4690999984741211,
1.5062135457992554,4,1249,,,,,
1.3557027578353882,4,1299,,,,,
1.6123552322387695,4,1349,,,,,
1.457543969154358,4,1399,,,,,
1.568974494934082,4,1449,,,,,
1.510318398475647,4,1499,,,,,
1.4382680654525757,4,1549,,,,,
,4,1559,1.667514443397522,0.40880000591278076,,,
,4,1559,,,0.4579326808452606,0.4275999963283539,
1.2440905570983887,5,1599,,,,,
1.3590584993362427,5,1649,,,,,
1.4162163734436035,5,1699,,,,,
1.4747508764266968,5,1749,,,,,
1.314601182937622,5,1799,,,,,
1.3259037733078003,5,1849,,,,,
,5,1871,1.3815423250198364,0.5184000134468079,,,
,5,1871,,,0.5116686820983887,0.5382000207901001,
1.243765115737915,6,1899,,,,,
1.2343930006027222,6,1949,,,,,
1.4589718580245972,6,1999,,,,,
1.351279616355896,6,2049,,,,,
1.352980613708496,6,2099,,,,,
1.3295443058013916,6,2149,,,,,
,6,2183,1.239549994468689,0.5701000094413757,,,
,6,2183,,,0.5621744990348816,0.5853999853134155,
1.268385648727417,7,2199,,,,,
1.0276612043380737,7,2249,,,,,
1.0053966045379639,7,2299,,,,,
1.3976356983184814,7,2349,,,,,
1.138870120048523,7,2399,,,,,
1.072585105895996,7,2449,,,,,
,7,2495,1.2270493507385254,0.5960000157356262,,,
,7,2495,,,0.6071464419364929,0.6111000180244446,
