epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
24,-7.726743698120117,7549,,,,
24,-7.138546943664551,7599,,,,
24,-9.12486743927002,7649,,,,
24,-8.651224136352539,7699,,,,
24,-8.62170696258545,7749,,,,
24,-8.141291618347168,7799,,,,
24,,7799,0.5432999730110168,3.1631247997283936,,
24,,7799,,,0.5583934187889099,0.7692999839782715
25,-7.154685974121094,7849,,,,
25,-7.755939483642578,7899,,,,
25,-8.271276473999023,7949,,,,
25,-6.553555488586426,7999,,,,
25,-10.147561073303223,8049,,,,
25,-9.205737113952637,8099,,,,
25,,8111,0.5515999794006348,3.1544511318206787,,
25,,8111,,,0.5654046535491943,0.7861999869346619
26,-8.66716194152832,8149,,,,
26,-7.894770622253418,8199,,,,
26,-7.888506889343262,8249,,,,
26,-7.301294326782227,8299,,,,
26,-9.103652954101562,8349,,,,
26,-6.397719383239746,8399,,,,
26,,8423,0.5576000213623047,3.109874725341797,,
26,,8423,,,0.5744691491127014,0.7942000031471252
27,-8.137749671936035,8449,,,,
27,-9.200065612792969,8499,,,,
27,-8.650945663452148,8549,,,,
27,-9.865312576293945,8599,,,,
27,-8.930607795715332,8649,,,,
27,-7.938480377197266,8699,,,,
27,,8735,0.560699999332428,3.167447090148926,,
27,,8735,,,0.577223539352417,0.801800012588501
28,-9.609752655029297,8749,,,,
28,-10.129770278930664,8799,,,,
28,-9.63062858581543,8849,,,,
28,-9.633380889892578,8899,,,,
28,-9.533453941345215,8949,,,,
28,-10.282798767089844,8999,,,,
28,,9047,0.5659000277519226,3.1653976440429688,,
28,,9047,,,0.5844100713729858,0.8112999796867371
29,-9.324624061584473,9049,,,,
29,-9.767586708068848,9099,,,,
29,-9.910497665405273,9149,,,,
29,-11.220908164978027,9199,,,,
29,-8.688220977783203,9249,,,,
29,-8.977298736572266,9299,,,,
29,-9.958871841430664,9349,,,,
29,,9359,0.5659000277519226,3.1858930587768555,,
29,,9359,,,0.5865384340286255,0.8127999901771545
30,-7.850732326507568,9399,,,,
30,-7.455289840698242,9449,,,,
30,-8.242483139038086,9499,,,,
30,-9.16022777557373,9549,,,,
30,-8.779624938964844,9599,,,,
30,-9.362585067749023,9649,,,,
30,,9671,0.4860999882221222,3.6632163524627686,,
