step,epoch,train_loss,test_acc
49,0,2.3239800930023193,
99,0,2.0868403911590576,
149,0,1.6607458591461182,
199,0,1.8249951601028442,
249,0,1.8404879570007324,
299,0,1.9834096431732178,
349,0,2.034430980682373,
389,0,,0.46650001406669617
399,1,2.5226783752441406,
449,1,2.052875280380249,
499,1,1.9648994207382202,
549,1,1.626226544380188,
599,1,1.9393839836120605,
649,1,1.5993688106536865,
699,1,1.7092268466949463,
749,1,1.2995350360870361,
779,1,,0.4733000099658966
799,2,1.404171347618103,
849,2,1.7945282459259033,
899,2,1.4698599576950073,
949,2,1.3904650211334229,
999,2,1.4925140142440796,
1049,2,1.148329257965088,
1099,2,1.821851134300232,
1149,2,1.6083327531814575,
1169,2,,0.5667999982833862
1199,3,1.115492582321167,
1249,3,1.820366382598877,
1299,3,1.0618581771850586,
1349,3,1.7083721160888672,
1399,3,1.58546781539917,
1449,3,0.9941473007202148,
1499,3,1.4073253870010376,
1549,3,1.3337364196777344,
1559,3,,0.6220999956130981
1599,4,1.0863295793533325,
1649,4,0.9445860981941223,
1699,4,1.4829661846160889,
1749,4,0.6261787414550781,
1799,4,0.49049437046051025,
1849,4,1.3957401514053345,
1899,4,1.3710887432098389,
1949,4,1.2475080490112305,
1949,4,,0.6689000129699707
1999,5,0.8594300746917725,
2049,5,0.8549545407295227,
2099,5,0.7218044996261597,
2149,5,1.293552041053772,
2199,5,1.4821735620498657,
2249,5,1.1294691562652588,
2299,5,0.7101902365684509,
2339,5,,0.6726999878883362
2349,6,0.622479259967804,
2399,6,0.8523943424224854,
2449,6,1.1542060375213623,
2499,6,1.1327996253967285,
2549,6,0.2020885944366455,
2599,6,-0.3674403429031372,
2649,6,1.2200469970703125,
2699,6,0.7874714732170105,
2729,6,,0.6823999881744385
2749,7,-0.44357943534851074,
2799,7,-0.615444004535675,
2849,7,-0.1252286434173584,
2899,7,-0.3587244749069214,
2949,7,-0.13291692733764648,
2999,7,0.31581223011016846,
3049,7,1.240383505821228,
3099,7,-0.35447466373443604,
3119,7,,0.7233999967575073
3149,8,0.584705114364624,
3199,8,0.21559321880340576,
3249,8,1.0512712001800537,
3299,8,0.6950170993804932,
3349,8,1.0154907703399658,
3399,8,0.18303847312927246,
3449,8,0.1017533540725708,
3499,8,-0.05626833438873291,
3509,8,,0.7511000037193298
3549,9,1.01575767993927,
3599,9,-0.5859686136245728,
3649,9,-0.6795021295547485,
3699,9,1.1101857423782349,
3749,9,0.3472023010253906,
3799,9,1.0659948587417603,
3849,9,0.38239216804504395,
3899,9,-0.44442689418792725,
3899,9,,0.7653999924659729
3949,10,1.0368843078613281,
3999,10,0.9975606799125671,
4049,10,0.6399434804916382,
4099,10,1.0260344743728638,
4149,10,0.895182728767395,
4199,10,0.0030908584594726562,
4249,10,-0.2846388816833496,
4289,10,,0.7694000005722046
4299,11,-1.2486631870269775,
4349,11,-0.27668213844299316,
4399,11,0.1972360610961914,
4449,11,-1.3218525648117065,
4499,11,-1.1542458534240723,
4549,11,-1.6086161136627197,
4599,11,-0.008212804794311523,
4649,11,-1.0708866119384766,
4679,11,,0.7821000218391418
4699,12,1.0761024951934814,
4749,12,-0.41402316093444824,
4799,12,-0.751381516456604,
4849,12,-0.545088529586792,
4899,12,-0.17385637760162354,
