step,epoch,train_loss,test_acc,train_acc,mix_match_loss_step,mix_match_loss_epoch
49,0,1.9741500616073608,,,,
99,0,1.903516173362732,,,,
149,0,1.847544550895691,,,,
199,0,1.7158515453338623,,,,
249,0,1.652179479598999,,,,
299,0,1.7964680194854736,,,,
349,0,1.6234339475631714,,,,
389,0,,0.4957999885082245,0.35741186141967773,,
399,1,1.5745660066604614,,,,
449,1,1.4094732999801636,,,,
499,1,1.591001033782959,,,,
549,1,1.57975172996521,,,,
599,1,1.420441746711731,,,,
649,1,1.4099959135055542,,,,
699,1,1.302307367324829,,,,
749,1,1.4341979026794434,,,,
779,1,,0.5692999958992004,0.5122195482254028,,
799,2,1.3544074296951294,,,,
849,2,1.4186208248138428,,,,
899,2,1.2040693759918213,,,,
949,2,1.266090989112854,,,,
999,2,1.3736369609832764,,,,
1049,2,1.2698625326156616,,,,
1099,2,1.3550466299057007,,,,
1149,2,1.1560618877410889,,,,
1169,2,,0.657800018787384,0.5854166746139526,,
1199,3,1.3391624689102173,,,,
1249,3,0.9784134030342102,,,,
1299,3,1.1826931238174438,,,,
1349,3,0.9383489489555359,,,,
1399,3,1.1171116828918457,,,,
1449,3,1.1896215677261353,,,,
1499,3,1.3442814350128174,,,,
1549,3,1.3517709970474243,,,,
1559,3,,0.7243000268936157,0.6324318647384644,,
1599,4,1.0406538248062134,,,,
1649,4,1.0733227729797363,,,,
1699,4,1.1873208284378052,,,,
1749,4,1.1938145160675049,,,,
1799,4,1.1531193256378174,,,,
1849,4,1.118547797203064,,,,
1899,4,0.9960294961929321,,,,
1949,4,1.0381094217300415,,,,
1949,4,,0.7044000029563904,0.6563701629638672,,
1999,5,0.951421856880188,,,,
2049,5,0.9502377510070801,,,,
2099,5,1.2771586179733276,,,,
2149,5,1.0802123546600342,,,,
2199,5,1.1213740110397339,,,,
2249,5,1.1114232540130615,,,,
2299,5,1.175976037979126,,,,
2339,5,,0.7861999869346619,0.6795071959495544,,
2349,6,0.9844737648963928,,,,
2399,6,0.9925006628036499,,,,
2449,6,1.0011812448501587,,,,
2499,6,0.9867250919342041,,,,
2549,6,1.05950129032135,,,,
2599,6,0.9904574751853943,,,,
2649,6,1.108579158782959,,,,
2699,6,0.9180266261100769,,,,
2729,6,,0.7910000085830688,0.6956530213356018,,
2749,7,1.170350432395935,,,,
2799,7,1.2747820615768433,,,,
2849,7,1.099472165107727,,,,
2899,7,1.0768085718154907,,,,
2949,7,0.8528091311454773,,,,
2999,7,0.8406844139099121,,,,
3049,7,0.8689755797386169,,,,
3099,7,0.9366635680198669,,,,
3119,7,,0.7372000217437744,0.7030248641967773,,
3149,8,0.8073859810829163,,,,
3199,8,0.9471668004989624,,,,
3249,8,1.06914484500885,,,,
3299,8,0.913891613483429,,,,
3349,8,1.0263043642044067,,,,
3399,8,0.8668252825737,,,,
3449,8,0.983595609664917,,,,
3499,8,1.0927327871322632,,,,
3509,8,,0.666100025177002,0.7128205299377441,,
3549,9,0.9963286519050598,,,,
3599,9,0.8010261654853821,,,,
3649,9,0.9459782242774963,,,,
3699,9,1.1429274082183838,,,,
3749,9,1.0261510610580444,,,,
3799,9,0.9515588879585266,,,,
3849,9,0.9497871994972229,,,,
3899,9,0.9780529141426086,,,,
3899,9,,0.7876999974250793,0.7183293104171753,,
3949,10,0.925096869468689,,,,
3999,10,0.9603525996208191,,,,
4049,10,0.8709381818771362,,,,
4099,10,0.8570794463157654,,,,
4149,10,0.8203729391098022,,,,
4199,10,1.0425745248794556,,,,
4249,10,1.0087100267410278,,,,
4289,10,,0.8255000114440918,0.7288661599159241,,
4299,11,0.75105220079422,,,,
4349,11,0.8909671902656555,,,,
4399,11,1.0713385343551636,,,,
4449,11,0.8875488042831421,,,,
4499,11,1.0629855394363403,,,,
4549,11,1.122933268547058,,,,
4599,11,0.7536665797233582,,,,
4649,11,0.9747973680496216,,,,
4679,11,,0.8065000176429749,0.7345553040504456,,
4699,12,0.8076578974723816,,,,
4749,12,0.901184618473053,,,,
4799,12,0.9468327760696411,,,,
4849,12,1.0254709720611572,,,,
4899,12,0.9577768445014954,,,,
4949,12,0.9623408317565918,,,,
4999,12,0.8950443267822266,,,,
5049,12,0.9721693992614746,,,,
5069,12,,0.8296999931335449,0.741406261920929,,
5099,13,0.9436684846878052,,,,
5149,13,0.9046500325202942,,,,
5199,13,0.8569929003715515,,,,
5249,13,0.7808590531349182,,,,
5299,13,0.878632664680481,,,,
5349,13,0.8418602347373962,,,,
5399,13,0.9510412216186523,,,,
5449,13,0.9938867688179016,,,,
5459,13,,0.830299973487854,0.7446314096450806,,
5499,14,0.7272412180900574,,,,
5549,14,0.8014500141143799,,,,
5599,14,0.7693894505500793,,,,
5649,14,0.8370456695556641,,,,
5699,14,0.801776647567749,,,,
5749,14,0.8394280076026917,,,,
5799,14,0.6474146842956543,,,,
5849,14,0.8469756841659546,,,,
5849,14,,0.8413000106811523,0.7508212924003601,,
5899,15,0.8921605348587036,,,,
5949,15,0.8857946395874023,,,,
5999,15,1.0072470903396606,,,,
6049,15,0.9713565111160278,,,,
6099,15,0.9317792057991028,,,,
6149,15,0.8404449224472046,,,,
6199,15,1.028301477432251,,,,
6239,15,,0.8325999975204468,0.754687488079071,,
6249,16,0.8281334042549133,,,,
6299,16,0.7139478325843811,,,,
6349,16,0.8776105642318726,,,,
6399,16,0.6543243527412415,,,,
6449,16,1.0099047422409058,,,,
6499,16,0.8759498596191406,,,,
6549,16,1.0322531461715698,,,,
6599,16,0.7943497896194458,,,,
6629,16,,0.8102999925613403,0.7575520873069763,,
6649,17,0.9021968841552734,,,,
6699,17,0.6973958015441895,,,,
6749,17,0.8932784199714661,,,,
6799,17,0.8873699307441711,,,,
6849,17,0.6999536156654358,,,,
6899,17,0.7482631802558899,,,,
6949,17,0.8033567070960999,,,,
6999,17,0.7758832573890686,,,,
7019,17,,0.8083000183105469,0.7650039792060852,,
7049,18,0.6072199940681458,,,,
7099,18,0.8014098405838013,,,,
7149,18,0.9426418542861938,,,,
7199,18,0.8766123056411743,,,,
7249,18,0.8530843257904053,,,,
7299,18,0.8794127702713013,,,,
7349,18,0.8282602429389954,,,,
7399,18,0.8521263599395752,,,,
7409,18,,0.8379999995231628,0.7657251358032227,,
7449,19,0.6863500475883484,,,,
7499,19,0.6613703370094299,,,,
7549,19,0.6711382269859314,,,,
7599,19,0.7730703353881836,,,,
7649,19,0.9412834644317627,,,,
7699,19,1.0235854387283325,,,,
7749,19,0.7918357849121094,,,,
7799,19,0.9182377457618713,,,,
7799,19,1.0243741273880005,0.8422999978065491,0.7619831562042236,,
7849,20,,,,1.3358715772628784,
7899,20,,,,1.5590007305145264,
7949,20,,,,1.5788886547088623,
7999,20,,,,1.4233810901641846,
8049,20,,,,1.5881937742233276,
8099,20,,,,1.304398536682129,
8149,20,,,,1.1631999015808105,
8198,20,,0.8726999759674072,,,1.4189273118972778
8199,21,,,,1.5425217151641846,
8249,21,,,,1.5250470638275146,
8299,21,,,,1.4776551723480225,
8349,21,,,,1.6225460767745972,
8399,21,,,,1.4712611436843872,
8449,21,,,,1.2347010374069214,
8499,21,,,,1.2430706024169922,
8549,21,,,,1.4920156002044678,
8598,21,,0.8658999800682068,,,1.3431047201156616
8599,22,,,,1.0812345743179321,
8649,22,,,,1.2454094886779785,
8699,22,,,,1.3593907356262207,
8749,22,,,,1.547055721282959,
8799,22,,,,1.4813288450241089,
8849,22,,,,1.4971656799316406,
8899,22,,,,1.3464752435684204,
8949,22,,,,1.4183844327926636,
8995,22,,0.8608999848365784,,,1.31277596950531
8999,23,,,,1.456360936164856,
9049,23,,,,1.3356493711471558,
9099,23,,,,1.4765592813491821,
9149,23,,,,1.4625086784362793,
9199,23,,,,1.3795877695083618,
9249,23,,,,1.4642040729522705,
9299,23,,,,1.4429072141647339,
9349,23,,,,1.1180890798568726,
9395,23,,0.8734999895095825,,,1.3060622215270996
9399,24,,,,1.4196380376815796,
9449,24,,,,1.0615695714950562,
9499,24,,,,1.2987182140350342,
9549,24,,,,1.3300803899765015,
9599,24,,,,1.3777759075164795,
9649,24,,,,1.4365997314453125,
9699,24,,,,1.291573166847229,
9749,24,,,,1.197943091392517,
9786,24,,0.8708999752998352,,,1.2898026704788208
9799,25,,,,1.4418094158172607,
9849,25,,,,1.4447965621948242,
9899,25,,,,1.397790551185608,
9949,25,,,,1.4015629291534424,
9999,25,,,,1.3646130561828613,
10049,25,,,,0.9551368355751038,
10099,25,,,,1.2955228090286255,
