train_loss,epoch,step,val_acc,test_acc,train_acc
0.36823028326034546,0,49,,,
0.3447542190551758,0,99,,,
0.38827893137931824,0,149,,,
0.27656835317611694,0,199,,,
0.17340561747550964,0,249,,,
0.0698525682091713,0,299,,,
,0,311,0.3675999939441681,,
,0,311,,0.3869999945163727,0.34174680709838867
0.27547723054885864,1,349,,,
0.15581029653549194,1,399,,,
0.2471388280391693,1,449,,,
0.0902220755815506,1,499,,,
0.10006893426179886,1,549,,,
0.13640715181827545,1,599,,,
,1,623,0.5105000138282776,,
,1,623,,0.5343999862670898,0.4781900942325592
0.0573485866189003,2,649,,,
0.08877965807914734,2,699,,,
0.1692664921283722,2,749,,,
0.08401673287153244,2,799,,,
0.17683853209018707,2,849,,,
0.0922311320900917,2,899,,,
,2,935,0.5569999814033508,,
,2,935,,0.5760999917984009,0.5579176545143127
0.0017583006992936134,3,949,,,
-0.06673863530158997,3,999,,,
0.057414934039115906,3,1049,,,
-0.19193533062934875,3,1099,,,
-0.013222258538007736,3,1149,,,
-0.029690425843000412,3,1199,,,
,3,1247,0.5719000101089478,,
,3,1247,,0.5976999998092651,0.6051182150840759
-0.05033193528652191,4,1249,,,
-0.12725141644477844,4,1299,,,
-0.07381986081600189,4,1349,,,
-0.013810302130877972,4,1399,,,
-0.11095978319644928,4,1449,,,
-0.06792367994785309,4,1499,,,
-0.1124243438243866,4,1549,,,
,4,1559,0.5953999757766724,,
,4,1559,,0.6280999779701233,0.6436047554016113
-0.16929219663143158,5,1599,,,
-0.19733619689941406,5,1649,,,
-0.19858118891716003,5,1699,,,
-0.09742013365030289,5,1749,,,
-0.1586601436138153,5,1799,,,
-0.1608135998249054,5,1849,,,
,5,1871,0.6069999933242798,,
,5,1871,,0.6292999982833862,0.6772836446762085
-0.1912713199853897,6,1899,,,
-0.09293833374977112,6,1949,,,
-0.1343412548303604,6,1999,,,
0.006499163806438446,6,2049,,,
-0.23776455223560333,6,2099,,,
-0.11700521409511566,6,2149,,,
,6,2183,0.6888999938964844,,
,6,2183,,0.7251999974250793,0.6982171535491943
-0.11000342667102814,7,2199,,,
-0.18820330500602722,7,2249,,,
-0.06529857218265533,7,2299,,,
-0.23537804186344147,7,2349,,,
-0.11385039985179901,7,2399,,,
-0.16757851839065552,7,2449,,,
,7,2495,0.7046999931335449,,
,7,2495,,0.7398999929428101,0.7144430875778198
-0.23127587139606476,8,2499,,,
-0.1684425324201584,8,2549,,,
-0.11907415837049484,8,2599,,,
-0.12174767255783081,8,2649,,,
-0.15977488458156586,8,2699,,,
-0.13678741455078125,8,2749,,,
-0.13138864934444427,8,2799,,,
,8,2807,0.6995000243186951,,
,8,2807,,0.7290999889373779,0.7280398607254028
-0.16605238616466522,9,2849,,,
-0.24462899565696716,9,2899,,,
-0.18483129143714905,9,2949,,,
-0.14564171433448792,9,2999,,,
-0.18284420669078827,9,3049,,,
-0.12742763757705688,9,3099,,,
,9,3119,0.704200029373169,,
,9,3119,,0.7394999861717224,0.7427383661270142
-0.2236252725124359,10,3149,,,
-0.21324819326400757,10,3199,,,
-0.16757908463478088,10,3249,,,
-0.15781958401203156,10,3299,,,
-0.2235759198665619,10,3349,,,
-0.2409527599811554,10,3399,,,
,10,3431,0.7372000217437744,,
,10,3431,,0.7742000222206116,0.7492988705635071
-0.2702256441116333,11,3449,,,
-0.26398134231567383,11,3499,,,
-0.23346681892871857,11,3549,,,
-0.260162353515625,11,3599,,,
-0.25709623098373413,11,3649,,,
-0.29126012325286865,11,3699,,,
,11,3743,0.7263000011444092,,
,11,3743,,0.7598999738693237,0.7586889266967773
-0.2818373441696167,12,3749,,,
-0.24504637718200684,12,3799,,,
-0.3465147018432617,12,3849,,,
-0.2619006335735321,12,3899,,,
-0.1631452441215515,12,3949,,,
-0.15163855254650116,12,3999,,,
-0.12303777039051056,12,4049,,,
,12,4055,0.7454000115394592,,
,12,4055,,0.7748000025749207,0.7659755349159241
-0.2734505832195282,13,4099,,,
-0.2669394612312317,13,4149,,,
-0.21438120305538177,13,4199,,,
-0.3391304314136505,13,4249,,,
-0.22573783993721008,13,4299,,,
-0.07341518998146057,13,4349,,,
,13,4367,0.7595000267028809,,
,13,4367,,0.8003000020980835,0.7731871008872986
-0.20753300189971924,14,4399,,,
-0.2297164797782898,14,4449,,,
-0.22467650473117828,14,4499,,,
