step,train_loss,epoch,train_acc,test_acc
49,2.5897042751312256,0,,
99,2.464609384536743,0,,
149,2.4352428913116455,0,,
199,2.159006357192993,0,,
249,2.3379085063934326,0,,
299,2.1767187118530273,0,,
349,2.3351097106933594,0,,
389,,0,0.18213140964508057,0.2328999936580658
399,2.2490780353546143,1,,
449,2.096302032470703,1,,
499,2.352243185043335,1,,
549,2.172625780105591,1,,
599,2.158775806427002,1,,
649,2.3156490325927734,1,,
699,2.146942615509033,1,,
749,2.255911111831665,1,,
779,,1,0.22027243673801422,0.2802000045776367
799,2.15354585647583,2,,
849,1.9780263900756836,2,,
899,1.9752495288848877,2,,
949,1.862959861755371,2,,
999,1.8951953649520874,2,,
1049,1.7684403657913208,2,,
1099,1.76482355594635,2,,
1149,1.8920683860778809,2,,
1169,,2,0.3026442229747772,0.36559998989105225
1199,1.962620496749878,3,,
1249,1.7771995067596436,3,,
1299,1.7874397039413452,3,,
1349,1.731007695198059,3,,
1399,1.8632510900497437,3,,
1449,1.765241026878357,3,,
1499,1.7708662748336792,3,,
1549,1.710533618927002,3,,
1559,,3,0.36270031332969666,0.4115999937057495
1599,1.7572375535964966,4,,
1649,1.6616486310958862,4,,
1699,1.8406368494033813,4,,
1749,1.4949787855148315,4,,
1799,1.6263786554336548,4,,
1849,1.6639208793640137,4,,
1899,1.6522810459136963,4,,
1949,1.5898734331130981,4,,
1949,,4,0.40731170773506165,0.48019999265670776
1999,1.634325385093689,5,,
2049,1.5292284488677979,5,,
2099,1.5869994163513184,5,,
2149,1.5791747570037842,5,,
2199,1.5728453397750854,5,,
2249,1.4386018514633179,5,,
2299,1.3716375827789307,5,,
2339,,5,0.4637419879436493,0.4788999855518341
2349,1.3794634342193604,6,,
2399,1.4280086755752563,6,,
2449,1.520296335220337,6,,
2499,1.467329740524292,6,,
2549,1.4524075984954834,6,,
2599,1.4881665706634521,6,,
2649,1.4112074375152588,6,,
2699,1.3871160745620728,6,,
2729,,6,0.5220552682876587,0.5892000198364258
2749,1.4701035022735596,7,,
2799,1.4355132579803467,7,,
2849,1.595916748046875,7,,
2899,1.4352036714553833,7,,
2949,1.2305831909179688,7,,
2999,1.4230133295059204,7,,
3049,1.210827112197876,7,,
3099,1.3226734399795532,7,,
3119,,7,0.5682492256164551,0.5953999757766724
3149,1.3480504751205444,8,,
3199,1.4550367593765259,8,,
3249,1.364660382270813,8,,
3299,1.2914559841156006,8,,
3349,1.127570390701294,8,,
3399,1.1489578485488892,8,,
3449,1.2224366664886475,8,,
3499,1.1048705577850342,8,,
3509,,8,0.6076322197914124,0.6972000002861023
3549,1.1084834337234497,9,,
3599,1.342655062675476,9,,
3649,1.2130169868469238,9,,
3699,1.0667130947113037,9,,
3749,1.202463150024414,9,,
3799,1.2436976432800293,9,,
3849,1.1480398178100586,9,,
3899,1.0955071449279785,9,,
3899,,9,0.637499988079071,0.7145000100135803
3949,1.1643751859664917,10,,
3999,1.1794373989105225,10,,
4049,1.1810312271118164,10,,
