step,epoch,train_loss,val_acc,val_loss,test_acc,train_acc
49,0,2.318683385848999,,,,
99,0,2.2761433124542236,,,,
149,0,2.281430959701538,,,,
199,0,2.276402235031128,,,,
249,0,2.285121440887451,,,,
299,0,2.2383015155792236,,,,
311,0,,0.11739999800920486,2.2679977416992188,,
311,0,,,,0.1177000030875206,0.11731269955635071
349,1,2.180706739425659,,,,
399,1,2.0678694248199463,,,,
449,1,2.0970723628997803,,,,
499,1,2.0657899379730225,,,,
549,1,2.0105772018432617,,,,
599,1,1.9144855737686157,,,,
623,1,,0.22550000250339508,2.007488250732422,,
623,1,,,,0.24660000205039978,0.19553786516189575
649,2,2.0007362365722656,,,,
699,2,2.102942705154419,,,,
749,2,2.062735080718994,,,,
799,2,2.0632517337799072,,,,
849,2,1.975670337677002,,,,
899,2,1.9789485931396484,,,,
935,2,,0.2583000063896179,1.961807370185852,,
935,2,,,,0.2770000100135803,0.2283904254436493
949,3,2.0234570503234863,,,,
999,3,1.9728606939315796,,,,
1049,3,1.8690924644470215,,,,
1099,3,1.8994238376617432,,,,
1149,3,1.9821929931640625,,,,
1199,3,1.886760950088501,,,,
1247,3,,0.3133000135421753,1.849083423614502,,
1247,3,,,,0.3377000093460083,0.28863683342933655
1249,4,1.9396458864212036,,,,
1299,4,1.8775255680084229,,,,
1349,4,1.607025146484375,,,,
1399,4,1.675955891609192,,,,
1449,4,1.746248722076416,,,,
1499,4,1.867919921875,,,,
1549,4,1.6429482698440552,,,,
1559,4,,0.36390000581741333,1.7592617273330688,,
1559,4,,,,0.40230000019073486,0.3369891941547394
1599,5,1.7124887704849243,,,,
1649,5,1.7880020141601562,,,,
1699,5,1.7147409915924072,,,,
1749,5,1.6422710418701172,,,,
1799,5,1.6273919343948364,,,,
1849,5,1.6629517078399658,,,,
1871,5,,0.4036000072956085,1.6601884365081787,,
1871,5,,,,0.43709999322891235,0.3721955120563507
1899,6,1.6828110218048096,,,,
1949,6,1.6820299625396729,,,,
1999,6,1.7302775382995605,,,,
2049,6,1.814487099647522,,,,
2099,6,1.7084704637527466,,,,
2149,6,1.5195958614349365,,,,
2183,6,,0.4323999881744385,1.617667317390442,,
2183,6,,,,0.4740000069141388,0.40717649459838867
2199,7,1.7749104499816895,,,,
2249,7,1.5645170211791992,,,,
2299,7,1.5841482877731323,,,,
2349,7,1.7703171968460083,,,,
2399,7,1.6705498695373535,,,,
2449,7,1.6334083080291748,,,,
2495,7,,0.4713999927043915,1.518097996711731,,
2495,7,,,,0.5317999720573425,0.44526243209838867
2499,8,1.6456873416900635,,,,
2549,8,1.4921966791152954,,,,
2599,8,1.4234542846679688,,,,
2649,8,1.5702018737792969,,,,
2699,8,1.5505261421203613,,,,
2749,8,1.4359458684921265,,,,
2799,8,1.4558645486831665,,,,
2807,8,,0.5051000118255615,1.4588927030563354,,
2807,8,,,,0.564300000667572,0.4837239682674408
2849,9,1.499942660331726,,,,
2899,9,1.2836793661117554,,,,
2949,9,1.5502777099609375,,,,
2999,9,1.4736813306808472,,,,
3049,9,1.4787439107894897,,,,
3099,9,1.4113829135894775,,,,
3119,9,,0.5454000234603882,1.370971441268921,,
3119,9,,,,0.607699990272522,0.5115935206413269
3149,10,1.3432544469833374,,,,
3199,10,1.2458122968673706,,,,
3249,10,1.4004729986190796,,,,
3299,10,1.363986611366272,,,,
3349,10,1.5100301504135132,,,,
3399,10,1.4831737279891968,,,,
3431,10,,0.5465999841690063,1.3530986309051514,,
3431,10,,,,0.6060000061988831,0.5422425866127014
3449,11,1.531888484954834,,,,
3499,11,1.3473761081695557,,,,
3549,11,1.3632147312164307,,,,
3599,11,1.290656328201294,,,,
3649,11,1.1870139837265015,,,,
3699,11,1.2485835552215576,,,,
3743,11,,0.5794000029563904,1.294564127922058,,
3743,11,,,,0.6396999955177307,0.5603465437889099
3749,12,1.269883155822754,,,,
3799,12,1.2128899097442627,,,,
3849,12,1.2204872369766235,,,,
3899,12,1.1958166360855103,,,,
3949,12,1.333788275718689,,,,
3999,12,1.2714149951934814,,,,
4049,12,0.9990938901901245,,,,
4055,12,,0.5403000116348267,1.3947821855545044,,
4055,12,,,,0.5924999713897705,0.5875400900840759
4099,13,1.223409652709961,,,,
4149,13,1.0817697048187256,,,,
4199,13,1.1466007232666016,,,,
4249,13,0.9972177743911743,,,,
4299,13,1.077054738998413,,,,
4349,13,1.1928377151489258,,,,
4367,13,,0.6060000061988831,1.250457763671875,,
4367,13,,,,0.6880000233650208,0.6085487008094788
4399,14,1.1777235269546509,,,,
4449,14,1.1719387769699097,,,,
4499,14,1.1752516031265259,,,,
4549,14,1.3332524299621582,,,,
4599,14,1.1693682670593262,,,,
4649,14,1.081862211227417,,,,
4679,14,,0.6222000122070312,1.2024352550506592,,
4679,14,,,,0.7014999985694885,0.6291566491127014
4699,15,1.260528326034546,,,,
4749,15,1.0937951803207397,,,,
4799,15,1.0814048051834106,,,,
4849,15,1.3532335758209229,,,,
4899,15,1.1077308654785156,,,,
4949,15,1.084370732307434,,,,
4991,15,,0.6541000008583069,1.1224169731140137,,
4991,15,,,,0.7322999835014343,0.6478866338729858
4999,16,1.058406949043274,,,,
5049,16,1.1173075437545776,,,,
5099,16,1.1307697296142578,,,,
5149,16,1.1545069217681885,,,,
5199,16,1.1599853038787842,,,,
5249,16,1.0491185188293457,,,,
5299,16,1.00889253616333,,,,
5303,16,,0.6414999961853027,1.1571093797683716,,
5303,16,,,,0.7258999943733215,0.663010835647583
5349,17,0.9097546935081482,,,,
5399,17,0.9605516195297241,,,,
5449,17,0.982924222946167,,,,
5499,17,1.0689536333084106,,,,
5549,17,1.088118076324463,,,,
5599,17,1.0052640438079834,,,,
5615,17,,0.6478999853134155,1.167192816734314,,
5615,17,,,,0.7330999970436096,0.6769080758094788
5649,18,1.0673569440841675,,,,
5699,18,1.0042319297790527,,,,
5749,18,1.1608991622924805,,,,
5799,18,0.9285964369773865,,,,
5849,18,0.9691539406776428,,,,
5899,18,0.9377850294113159,,,,
5927,18,,0.6812000274658203,1.0790104866027832,,
5927,18,,,,0.7767999768257141,0.6867488026618958
5949,19,1.0686222314834595,,,,
5999,19,1.0206732749938965,,,,
6049,19,0.937639594078064,,,,
6099,19,0.9388707876205444,,,,
6149,19,1.143297791481018,,,,
6199,19,1.077269434928894,,,,
6239,19,,0.6728000044822693,1.0923939943313599,,
6239,19,,,,0.7563999891281128,0.6915565133094788
6249,20,1.1847132444381714,,,,
6299,20,1.0490314960479736,,,,
6349,20,0.9792590141296387,,,,
6399,20,1.1250691413879395,,,,
6449,20,1.0033280849456787,,,,
6499,20,0.9262270331382751,,,,
6549,20,0.9069216847419739,,,,
6551,20,,0.6861000061035156,1.0477806329727173,,
6551,20,,,,0.7807999849319458,0.7029497027397156
6599,21,0.8492769002914429,,,,
6649,21,0.7924242615699768,,,,
6699,21,0.884171724319458,,,,
6749,21,0.8506297469139099,,,,
6799,21,0.9354681372642517,,,,
6849,21,0.9816776514053345,,,,
6863,21,,0.6959999799728394,1.0367412567138672,,
6863,21,,,,0.7889000177383423,0.7105618715286255
6899,22,1.140580654144287,,,,
6949,22,0.7013781070709229,,,,
6999,22,0.9265779256820679,,,,
7049,22,1.0284361839294434,,,,
7099,22,1.0681335926055908,,,,
7149,22,0.982958197593689,,,,
7175,22,,0.7085000276565552,1.0125844478607178,,
7175,22,,,,0.8007000088691711,0.7191756963729858
7199,23,1.1070537567138672,,,,
7249,23,0.6620849370956421,,,,
7299,23,1.0118895769119263,,,,
7349,23,0.8821431994438171,,,,
7399,23,0.9807375073432922,,,,
7449,23,0.9948086738586426,,,,
7487,23,,0.7092000246047974,1.0074745416641235,,
7487,23,,,,0.8008999824523926,0.7229567170143127
7499,24,0.7364603281021118,,,,
7549,24,0.8882803320884705,,,,
7599,24,1.004439115524292,,,,
7649,24,0.9716939926147461,,,,
7699,24,1.2503846883773804,,,,
7749,24,0.9689741730690002,,,,
7799,24,1.0433509349822998,,,,
7799,24,,0.7005000114440918,1.0228331089019775,,
7799,24,,,,0.7936999797821045,0.7272886633872986
8111,25,,0.7394000291824341,0.9325290322303772,,
8111,25,0.9115588665008545,,,0.8359000086784363,0.7449439764022827
8149,26,1.6332358121871948,,,,
8199,26,0.6831526756286621,,,,
8249,26,0.7495389580726624,,,,
8299,26,0.7722293138504028,,,,
8349,26,0.5231336951255798,,,,
8353,26,,0.6784999966621399,1.6368248462677002,,
8353,26,,,,0.7699999809265137,0.7416064143180847
8399,27,0.23476068675518036,,,,
8449,27,0.2473738193511963,,,,
8499,27,0.1863127201795578,,,,
8549,27,0.2697424590587616,,,,
8570,27,,0.6970999836921692,1.8775346279144287,,
8570,27,,,,0.7843999862670898,0.9108222723007202
8599,28,0.21161912381649017,,,,
8649,28,0.12443292140960693,,,,
8699,28,0.23695778846740723,,,,
8749,28,0.1280706226825714,,,,
8793,28,,0.6958000063896179,1.9789328575134277,,
8793,28,,,,0.7915999889373779,0.9211392998695374
8799,29,0.1393503099679947,,,,
8849,29,0.12984386086463928,,,,
8899,29,0.26848912239074707,,,,
8949,29,0.2555709481239319,,,,
8999,29,0.13530394434928894,,,,
9014,29,,0.7148000001907349,1.9195234775543213,,
9014,29,,,,0.8113999962806702,0.9332932829856873
9049,30,0.15673238039016724,,,,
9099,30,0.1472204178571701,,,,
9149,30,0.3004278838634491,,,,
9199,30,0.19737017154693604,,,,
9243,30,,0.7174999713897705,1.8734029531478882,,
9243,30,,,,0.8195000290870667,0.9341225624084473
9249,31,0.26204195618629456,,,,
9299,31,0.2828143239021301,,,,
9349,31,0.20361153781414032,,,,
9399,31,0.14353816211223602,,,,
9449,31,0.08415299654006958,,,,
9474,31,,0.6934999823570251,2.12558650970459,,
9474,31,,,,0.7942000031471252,0.9364854097366333
9499,32,0.11611413210630417,,,,
9549,32,0.09954635798931122,,,,
9599,32,0.2426469624042511,,,,
9649,32,0.15298645198345184,,,,
9699,32,0.12403970211744308,,,,
9700,32,,0.7235000133514404,1.8576419353485107,,
9700,32,,,,0.8237000107765198,0.9404729008674622
9749,33,0.18451954424381256,,,,
9799,33,0.14250695705413818,,,,
9849,33,0.18606646358966827,,,,
9899,33,0.1451793760061264,,,,
9933,33,,0.7293000221252441,1.7255510091781616,,
9933,33,,,,0.8248000144958496,0.9402159452438354
9949,34,0.10361331701278687,,,,
9999,34,0.1790628582239151,,,,
10049,34,0.19976839423179626,,,,
10099,34,0.12499603629112244,,,,
10149,34,0.18324697017669678,,,,
10167,34,,0.733299970626831,1.952636957168579,,
10167,34,,,,0.8263000249862671,0.9415063858032227
10199,35,0.13719548285007477,,,,
10249,35,0.12704291939735413,,,,
10299,35,0.26896774768829346,,,,
10349,35,0.14104823768138885,,,,
10399,35,0.1301516592502594,,,,
10402,35,,0.723800003528595,1.9639078378677368,,
10402,35,,,,0.8259999752044678,0.9440491795539856
10449,36,0.2614416480064392,,,,
10499,36,0.15140768885612488,,,,
10549,36,0.1577812284231186,,,,
10599,36,0.14940966665744781,,,,
10635,36,,0.7329999804496765,2.009521007537842,,
10635,36,,,,0.8331999778747559,0.9463183879852295
10649,37,0.06872307509183884,,,,
10699,37,0.16926229000091553,,,,
10749,37,0.08400468528270721,,,,
10799,37,0.1913038194179535,,,,
10849,37,0.1856868714094162,,,,
10872,37,,0.73580002784729,1.8256181478500366,,
10872,37,,,,0.8313999772071838,0.9424116611480713
10899,38,0.10757606476545334,,,,
10949,38,0.0979289561510086,,,,
10999,38,0.1710393875837326,,,,
11049,38,0.16254091262817383,,,,
11099,38,0.16293710470199585,,,,
11109,38,,0.7107999920845032,2.062734842300415,,
11109,38,,,,0.8098000288009644,0.9457080960273743
11149,39,0.10390272736549377,,,,
11199,39,0.17656223475933075,,,,
11249,39,0.13906432688236237,,,,
11299,39,0.0746786817908287,,,,
11342,39,,0.7290999889373779,1.926719307899475,,
11342,39,,,,0.8319000005722046,0.9468548893928528
11349,40,0.18989579379558563,,,,
11399,40,0.0741083025932312,,,,
11449,40,0.08990739285945892,,,,
11499,40,0.15138831734657288,,,,
11549,40,0.11698553711175919,,,,
11579,40,,0.7311000227928162,1.8126028776168823,,
11579,40,,,,0.8413000106811523,0.9480485320091248
11599,41,0.17596736550331116,,,,
11649,41,0.22613291442394257,,,,
11699,41,0.05949954688549042,,,,
11749,41,0.05284901708364487,,,,
