epoch,train_loss,step,val_acc,train_acc,test_acc
0,0.42641201615333557,49,,,
0,0.3747357130050659,99,,,
0,0.26877561211586,149,,,
0,0.3222199082374573,199,,,
0,0.2606281042098999,249,,,
0,0.13196128606796265,299,,,
0,,311,0.36480000615119934,,
0,,311,,0.32339242100715637,0.40119999647140503
1,0.2465282380580902,349,,,
1,0.20238661766052246,399,,,
1,0.17880958318710327,449,,,
1,0.19246459007263184,499,,,
1,0.17844295501708984,549,,,
1,0.07716622948646545,599,,,
1,,623,0.4715000092983246,,
1,,623,,0.43967849016189575,0.5224999785423279
2,0.10829126834869385,649,,,
2,0.09120513498783112,699,,,
2,0.11383721232414246,749,,,
2,0.14241978526115417,799,,,
2,0.06754222512245178,849,,,
2,0.13421869277954102,899,,,
2,,935,0.5310999751091003,,
2,,935,,0.5040063858032227,0.5806000232696533
3,0.0778990164399147,949,,,
3,0.017036812379956245,999,,,
3,0.05148973688483238,1049,,,
3,0.1144074872136116,1099,,,
3,0.034108199179172516,1149,,,
3,0.04591706395149231,1199,,,
3,,1247,0.5256999731063843,,
3,,1247,,0.5530598759651184,0.5788000226020813
4,-0.05154094099998474,1249,,,
4,0.0715019702911377,1299,,,
4,0.1131746917963028,1349,,,
4,0.060313932597637177,1399,,,
4,0.006041469052433968,1449,,,
4,-0.05775057151913643,1499,,,
4,-0.029920829460024834,1549,,,
4,,1559,0.573199987411499,,
4,,1559,,0.5833333134651184,0.6495000123977661
5,0.012752600014209747,1599,,,
5,0.052185527980327606,1649,,,
5,-0.04143870994448662,1699,,,
5,0.05052175372838974,1749,,,
5,0.013266065157949924,1799,,,
5,-0.08894054591655731,1849,,,
5,,1871,0.5848000049591064,,
5,,1871,,0.6108773946762085,0.6640999913215637
6,-0.1322612464427948,1899,,,
6,0.017528463155031204,1949,,,
6,-0.04798867553472519,1999,,,
6,-0.04669637233018875,2049,,,
6,-0.0690922886133194,2099,,,
6,-0.029667792841792107,2149,,,
6,,2183,0.6026999950408936,,
6,,2183,,0.6293319463729858,0.6708999872207642
7,-0.1850990504026413,2199,,,
7,-0.11429063975811005,2249,,,
7,-0.10595117509365082,2299,,,
7,-0.048717908561229706,2349,,,
7,-0.08025961369276047,2399,,,
7,-0.03648851066827774,2449,,,
7,,2495,0.6261000037193298,,
7,,2495,,0.6495392918586731,0.7067000269889832
8,-0.013396518304944038,2499,,,
8,-0.09125099331140518,2549,,,
8,-0.08782005310058594,2599,,,
8,-0.10882812738418579,2649,,,
8,-0.19855162501335144,2699,,,
8,-0.050287146121263504,2749,,,
8,-0.0919177457690239,2799,,,
8,,2807,0.6128000020980835,,
8,,2807,,0.6622596383094788,0.694100022315979
9,-0.18916547298431396,2849,,,
9,-0.10122519731521606,2899,,,
9,-0.08794701099395752,2949,,,
9,-0.12195537984371185,2999,,,
9,-0.023642951622605324,3049,,,
9,-0.09672097116708755,3099,,,
9,,3119,0.6507999897003174,,
9,,3119,,0.6718249320983887,0.7254999876022339
10,-0.17396104335784912,3149,,,
10,-0.19200998544692993,3199,,,
10,-0.08417635411024094,3249,,,
10,-0.11002203822135925,3299,,,
10,-0.15648584067821503,3349,,,
10,0.017280075699090958,3399,,,
10,,3431,0.6801000237464905,,
10,,3431,,0.6819160580635071,0.7764999866485596
11,-0.10115720331668854,3449,,,
11,-0.10187271982431412,3499,,,
11,-0.08001303672790527,3549,,,
11,-0.0794985443353653,3599,,,
11,-0.08312506973743439,3649,,,
11,-0.13953375816345215,3699,,,
11,,3743,0.6452000141143799,,
