step,train_loss,epoch,test_acc,train_acc,mix_match_loss
49,2.057620048522949,0,,,
99,1.9532479047775269,0,,,
149,1.8688251972198486,0,,,
199,1.702675700187683,0,,,
249,1.824892520904541,0,,,
299,1.6154236793518066,0,,,
349,1.6534385681152344,0,,,
389,,0,0.4810999929904938,0.3401843011379242,
399,1.6862951517105103,1,,,
449,1.838970422744751,1,,,
499,1.7177839279174805,1,,,
549,1.6179200410842896,1,,,
599,1.4376628398895264,1,,,
649,1.5466409921646118,1,,,
699,1.5717724561691284,1,,,
749,1.3920011520385742,1,,,
779,,1,0.5601000189781189,0.481310099363327,
799,1.3678491115570068,2,,,
849,1.4506452083587646,2,,,
899,1.3389986753463745,2,,,
949,1.6236252784729004,2,,,
999,1.371261715888977,2,,,
1049,1.1968756914138794,2,,,
1099,1.3846204280853271,2,,,
1149,1.2418667078018188,2,,,
1169,,2,0.6123999953269958,0.5596754550933838,
1199,1.3427765369415283,3,,,
1249,1.1540635824203491,3,,,
1299,1.501328706741333,3,,,
1349,0.9555260539054871,3,,,
1399,1.1459497213363647,3,,,
1449,1.2185792922973633,3,,,
1499,1.1907057762145996,3,,,
1549,1.1827622652053833,3,,,
1559,,3,0.6934999823570251,0.6174479126930237,
1599,1.1309581995010376,4,,,
1649,1.1218153238296509,4,,,
1699,1.1905498504638672,4,,,
1749,1.2460097074508667,4,,,
1799,1.3493671417236328,4,,,
1849,1.089216709136963,4,,,
1899,1.1929055452346802,4,,,
1949,1.1635938882827759,4,,,
1949,,4,0.7297999858856201,0.6469751596450806,
1999,1.1484894752502441,5,,,
2049,1.1790614128112793,5,,,
2099,1.1504532098770142,5,,,
2149,1.2835912704467773,5,,,
2199,1.374554991722107,5,,,
2249,0.9955219030380249,5,,,
2299,1.3461793661117554,5,,,
2339,,5,0.7329000234603882,0.6697315573692322,
2349,1.0030405521392822,6,,,
2399,0.9673753380775452,6,,,
2449,1.036329746246338,6,,,
2499,0.9129425883293152,6,,,
2549,1.0827252864837646,6,,,
2599,1.3062043190002441,6,,,
2649,1.0546696186065674,6,,,
2699,1.152648687362671,6,,,
2729,,6,0.7605999708175659,0.6905649304389954,
2749,0.9267539381980896,7,,,
2799,1.1378607749938965,7,,,
2849,0.9376956820487976,7,,,
2899,1.0405622720718384,7,,,
2949,0.9867315888404846,7,,,
2999,0.8796636462211609,7,,,
3049,1.1276649236679077,7,,,
3099,1.1363608837127686,7,,,
3119,,7,0.753600001335144,0.6996794939041138,
3149,0.8418245315551758,8,,,
3199,0.9212750196456909,8,,,
3249,0.9224483966827393,8,,,
3299,0.7807570695877075,8,,,
3349,0.9299334287643433,8,,,
3399,0.837340772151947,8,,,
3449,1.1536921262741089,8,,,
3499,1.001978874206543,8,,,
3509,,8,0.7897999882698059,0.7095953822135925,
3549,1.1202176809310913,9,,,
3599,0.8693044781684875,9,,,
3649,1.1530731916427612,9,,,
3699,0.8949894309043884,9,,,
3749,0.9114513993263245,9,,,
3799,1.1008974313735962,9,,,
3849,1.0522626638412476,9,,,
3899,1.0268641710281372,9,,,
3899,,9,0.7961000204086304,0.717888593673706,
3949,1.1056694984436035,10,,,
3999,0.9945201277732849,10,,,
4049,0.9286069273948669,10,,,
4099,0.9676652550697327,10,,,
4149,0.901930570602417,10,,,
4199,0.7825368046760559,10,,,
4249,1.1583788394927979,10,,,
4289,,10,0.8112000226974487,0.7265224456787109,
4299,0.9761123657226562,11,,,
4349,0.9574921131134033,11,,,
4399,0.8599162101745605,11,,,
4449,1.0608477592468262,11,,,
4499,0.8461595773696899,11,,,
4549,0.8643782734870911,11,,,
4599,0.9388768672943115,11,,,
4649,0.9066069722175598,11,,,
4679,,11,0.8030999898910522,0.7337339520454407,
4699,0.9807081818580627,12,,,
4749,0.8231462836265564,12,,,
4799,0.7971855401992798,12,,,
4849,1.0137683153152466,12,,,
4899,0.8610984683036804,12,,,
4949,0.7050785422325134,12,,,
4999,0.9474272727966309,12,,,
5049,1.0846281051635742,12,,,
5069,,12,0.7824000120162964,0.7371995449066162,
5099,0.8518384099006653,13,,,
5149,0.7759286165237427,13,,,
5199,0.9997334480285645,13,,,
5249,0.9519346356391907,13,,,
5299,0.7855709195137024,13,,,
5349,0.8397732973098755,13,,,
5399,1.0478472709655762,13,,,
5449,1.0123664140701294,13,,,
5459,,13,0.8197000026702881,0.7409455180168152,
5499,0.9613199830055237,14,,,
5549,0.774700403213501,14,,,
5599,0.8079829216003418,14,,,
5649,0.9399823546409607,14,,,
5699,0.8436111211776733,14,,,
5749,0.9340256452560425,14,,,
5799,0.9800611138343811,14,,,
5849,0.9892464876174927,14,,,
5849,,14,0.8061000108718872,0.7467548251152039,
5899,0.7972488403320312,15,,,
5949,0.9009933471679688,15,,,
5999,0.9225432872772217,15,,,
6049,1.2090041637420654,15,,,
6099,0.8094248175621033,15,,,
6149,1.0219382047653198,15,,,
6199,1.0644711256027222,15,,,
6239,,15,0.8467000126838684,0.7485777139663696,
6249,0.8657999634742737,16,,,
6299,0.9282610416412354,16,,,
6349,0.8987026214599609,16,,,
6399,1.01051664352417,16,,,
6449,1.0046470165252686,16,,,
6499,0.8056619763374329,16,,,
6549,0.838050365447998,16,,,
6599,1.0886496305465698,16,,,
6629,,16,0.8104000091552734,0.7546073794364929,
6649,0.8530552387237549,17,,,
6699,0.7696895599365234,17,,,
6749,0.9699916839599609,17,,,
6799,0.9211093187332153,17,,,
6849,0.9540589451789856,17,,,
6899,0.9762063026428223,17,,,
6949,0.7905853986740112,17,,,
6999,0.7926293015480042,17,,,
7019,,17,0.8309000134468079,0.7557291388511658,
7049,1.0226476192474365,18,,,
7099,0.7662992477416992,18,,,
7149,0.8474729061126709,18,,,
7199,0.9845300912857056,18,,,
7249,0.8560918569564819,18,,,
7299,0.7647776007652283,18,,,
7349,0.6962850689888,18,,,
7399,0.9195868372917175,18,,,
7409,,18,0.8220999836921692,0.7598357200622559,
7449,0.9122025966644287,19,,,
7499,0.9377195835113525,19,,,
