epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
14,0.5983141660690308,4599,,,,
14,0.7376119494438171,4649,,,,
14,,4679,0.8521081209182739,0.730400025844574,,
14,,4679,,,0.758400022983551,0.7781199812889099
15,0.47986385226249695,4699,,,,
15,0.706607460975647,4749,,,,
15,0.6668689846992493,4799,,,,
15,0.7187461256980896,4849,,,,
15,0.8929246664047241,4899,,,,
15,0.7424911260604858,4949,,,,
15,,4991,0.8123679757118225,0.7408999800682068,,
15,,4991,,,0.7738999724388123,0.7888371348381042
16,0.741003155708313,4999,,,,
16,0.5671483278274536,5049,,,,
16,0.6037654280662537,5099,,,,
16,0.6243982315063477,5149,,,,
16,0.9121717810630798,5199,,,,
16,0.7735406160354614,5249,,,,
16,0.6735339760780334,5299,,,,
16,,5303,0.7497243881225586,0.771399974822998,,
16,,5303,,,0.810699999332428,0.7942708134651184
17,0.5849835276603699,5349,,,,
17,0.582827627658844,5399,,,,
17,0.6122667193412781,5449,,,,
17,0.5068119168281555,5499,,,,
17,0.6082095503807068,5549,,,,
17,0.6129815578460693,5599,,,,
17,,5615,0.6829713582992554,0.7940000295639038,,
17,,5615,,,0.8324000239372253,0.8040364384651184
18,0.7383522987365723,5649,,,,
18,0.6330462694168091,5699,,,,
18,0.5790126919746399,5749,,,,
18,0.5836675763130188,5799,,,,
18,0.7575698494911194,5849,,,,
18,0.43129274249076843,5899,,,,
18,,5927,0.7046647071838379,0.7882000207901001,,
18,,5927,,,0.8260999917984009,0.8071914911270142
19,0.4275396466255188,5949,,,,
19,0.6819208860397339,5999,,,,
19,0.4586382210254669,6049,,,,
19,0.5762653946876526,6099,,,,
19,0.8399484157562256,6149,,,,
19,0.6361808180809021,6199,,,,
19,,6239,0.6839133501052856,0.7962999939918518,,
19,,6239,,,0.8324000239372253,0.8123747706413269
20,0.579131543636322,6249,,,,
20,0.7388677000999451,6299,,,,
20,0.5351572632789612,6349,,,,
20,0.5027167201042175,6399,,,,
20,0.47936952114105225,6449,,,,
20,0.7770856618881226,6499,,,,
20,0.661679744720459,6549,,,,
20,,6551,0.6957522630691528,0.7901999950408936,,
20,,6551,,,0.8306000232696533,0.8223657608032227
21,0.657098114490509,6599,,,,
21,0.7570141553878784,6649,,,,
21,0.6979749798774719,6699,,,,
21,0.497225284576416,6749,,,,
21,0.5327851176261902,6799,,,,
21,0.45075786113739014,6849,,,,
21,,6863,0.6978869438171387,0.7896999716758728,,
21,,6863,,,0.8291000127792358,0.8232171535491943
22,0.4685187339782715,6899,,,,
22,0.7025312185287476,6949,,,,
22,0.29839667677879333,6999,,,,
22,0.7425019145011902,7049,,,,
22,0.5396333932876587,7099,,,,
22,0.5868824124336243,7149,,,,
22,,7175,0.7217392325401306,0.7843999862670898,,
22,,7175,,,0.8256000280380249,0.8272987008094788
23,0.3973548114299774,7199,,,,
23,0.4374152421951294,7249,,,,
23,0.7336169481277466,7299,,,,
23,0.44867128133773804,7349,,,,
23,0.5567416548728943,7399,,,,
23,0.6107349991798401,7449,,,,
23,,7487,0.6755661368370056,0.8025000095367432,,
23,,7487,,,0.8427000045776367,0.8349609375
24,0.3971030116081238,7499,,,,
24,0.6272348165512085,7549,,,,
24,0.535986602306366,7599,,,,
24,0.8337775468826294,7649,,,,
24,0.5853499174118042,7699,,,,
24,0.633581817150116,7749,,,,
24,0.5115604996681213,7799,,,,
24,,7799,0.6609139442443848,0.8021000027656555,,
24,,7799,,,0.8447999954223633,0.8380408883094788
25,,8111,0.6175255179405212,0.8263999819755554,,
25,0.5365906357765198,8111,,,0.8683000206947327,0.8490209579467773
26,2.351771593093872,8149,,,,
26,2.107029676437378,8199,,,,
26,2.087367534637451,8249,,,,
26,1.8439037799835205,8299,,,,
26,1.8729050159454346,8349,,,,
26,,8387,1.884291172027588,0.33500000834465027,,
26,,8387,,,0.35120001435279846,0.3430423438549042
27,1.049464464187622,8399,,,,
27,1.3173843622207642,8449,,,,
27,,8489,3.3331410884857178,0.3483000099658966,,
27,,8489,,,0.3666999936103821,0.6768535375595093
28,0.5905256867408752,8499,,,,
28,0.4151112139225006,8549,,,,
28,,8596,3.6950244903564453,0.37049999833106995,,
28,,8596,,,0.39259999990463257,0.8143983483314514
29,0.23150935769081116,8599,,,,
29,0.4820731282234192,8649,,,,
29,0.3851010501384735,8699,,,,
29,,8712,3.557182788848877,0.3887999951839447,,
29,,8712,,,0.4146000146865845,0.839237630367279
30,0.36092478036880493,8749,,,,
30,0.4558667242527008,8799,,,,
30,,8835,4.046012878417969,0.4090999960899353,,
30,,8835,,,0.42910000681877136,0.854293704032898
31,0.4184150695800781,8849,,,,
31,0.6201097369194031,8899,,,,
31,0.18277817964553833,8949,,,,
31,,8962,3.7905149459838867,0.4169999957084656,,
31,,8962,,,0.44190001487731934,0.8673720359802246
32,0.31720849871635437,8999,,,,
32,0.4417717456817627,9049,,,,
32,,9093,3.9136176109313965,0.4253000020980835,,
32,,9093,,,0.4514999985694885,0.8662929534912109
33,0.21547885239124298,9099,,,,
33,0.3607258200645447,9149,,,,
33,0.3412941098213196,9199,,,,
33,,9228,3.9129769802093506,0.43630000948905945,,
33,,9228,,,0.4593999981880188,0.8719907402992249
34,0.34008538722991943,9249,,,,
34,0.5174891948699951,9299,,,,
34,0.45242783427238464,9349,,,,
34,,9364,3.560778856277466,0.46950000524520874,,
34,,9364,,,0.49559998512268066,0.879997730255127
35,0.213051900267601,9399,,,,
35,0.3274385631084442,9449,,,,
35,0.3036905825138092,9499,,,,
35,,9513,3.607280969619751,0.47589999437332153,,
35,,9513,,,0.5023999810218811,0.8889471292495728
36,0.32632899284362793,9549,,,,
36,0.3288716673851013,9599,,,,
36,0.30887749791145325,9649,,,,
36,,9665,3.912552833557129,0.4643000066280365,,
36,,9665,,,0.49300000071525574,0.8882092833518982
37,0.16862517595291138,9699,,,,
37,0.27665451169013977,9749,,,,
37,0.27950993180274963,9799,,,,
37,,9814,3.280137538909912,0.49459999799728394,,
37,,9814,,,0.5253000259399414,0.8995385766029358
38,0.19083228707313538,9849,,,,
38,0.3913654088973999,9899,,,,
38,0.33817559480667114,9949,,,,
38,,9971,3.0724470615386963,0.5138999819755554,,
38,,9971,,,0.5386000275611877,0.8950537443161011
39,0.4274565875530243,9999,,,,
39,0.45630696415901184,10049,,,,
39,0.40075838565826416,10099,,,,
39,,10133,3.024008274078369,0.5218999981880188,,
39,,10133,,,0.5419999957084656,0.9045138955116272
40,0.2140052616596222,10149,,,,
40,0.17295311391353607,10199,,,,
40,0.1401931345462799,10249,,,,
40,0.1972823590040207,10299,,,,
40,,10300,2.7950146198272705,0.5365999937057495,,
40,,10300,,,0.5623000264167786,0.8971744179725647
41,0.2784930169582367,10349,,,,
41,0.24771440029144287,10399,,,,
41,0.32175707817077637,10449,,,,
41,,10470,2.4945437908172607,0.5608000159263611,,
41,,10470,,,0.5875999927520752,0.8987591862678528
42,0.29476237297058105,10499,,,,
42,0.3548336327075958,10549,,,,
42,0.2388537973165512,10599,,,,
42,0.32063528895378113,10649,,,,
42,,10650,2.398426055908203,0.5831000208854675,,
42,,10650,,,0.6187000274658203,0.9006944298744202
43,0.33568689227104187,10699,,,,
43,0.36136287450790405,10749,,,,
43,0.3395841121673584,10799,,,,
