train_loss2,train_loss1,epoch,step,train_acc2,train_acc1,test_acc
0.015825258567929268,0.01592589169740677,0,49,,,
0.0155768021941185,0.014760805293917656,0,99,,,
0.01566482149064541,0.015552434138953686,0,149,,,
0.01567711867392063,0.016423175111413002,0,199,,,
0.014328955672681332,0.01470669824630022,0,249,,,
0.014595386572182178,0.014487112872302532,0,299,,,
0.014547270722687244,0.014580671675503254,0,349,,,
,,0,389,0.27876603603363037,0.295292466878891,0.45329999923706055
0.01433456689119339,0.014817108400166035,1,399,,,
0.013989778235554695,0.014641129411756992,1,449,,,
0.013289793394505978,0.013624452985823154,1,499,,,
0.013444917276501656,0.013616169802844524,1,549,,,
0.01507590338587761,0.015039845369756222,1,599,,,
0.014321945607662201,0.013999426737427711,1,649,,,
0.012691044248640537,0.012315632775425911,1,699,,,
0.01295917946845293,0.01314953900873661,1,749,,,
,,1,779,0.3765023946762085,0.38395431637763977,0.5
0.012901565060019493,0.013454168103635311,2,799,,,
0.013873476535081863,0.014365872368216515,2,849,,,
0.010611915029585361,0.010503001511096954,2,899,,,
0.012601013295352459,0.012357303872704506,2,949,,,
0.013099735602736473,0.013401098549365997,2,999,,,
0.011073523201048374,0.011142704635858536,2,1049,,,
0.012776547111570835,0.012652594596147537,2,1099,,,
0.013673797249794006,0.013623087666928768,2,1149,,,
,,2,1169,0.41518428921699524,0.4240584969520569,0.5572999715805054
0.010464110411703587,0.009975338354706764,3,1199,,,
0.012168911285698414,0.012010663747787476,3,1249,,,
0.011390747502446175,0.011557096615433693,3,1299,,,
0.011590179055929184,0.011414630338549614,3,1349,,,
0.01281571015715599,0.012992605566978455,3,1399,,,
0.009928510524332523,0.009927303530275822,3,1449,,,
0.011328605003654957,0.01095461007207632,3,1499,,,
0.01114318985491991,0.010549421422183514,3,1549,,,
,,3,1559,0.43862178921699524,0.44637420773506165,0.5982999801635742
0.013805029913783073,0.01255072746425867,4,1599,,,
0.011604192666709423,0.011950490064918995,4,1649,,,
0.012649443931877613,0.012917160987854004,4,1699,,,
0.011440055444836617,0.011056260205805302,4,1749,,,
0.01103361789137125,0.01106190960854292,4,1799,,,
0.01025761291384697,0.009200193919241428,4,1849,,,
0.012681832537055016,0.012961983680725098,4,1899,,,
0.010068954899907112,0.010513011366128922,4,1949,,,
,,4,1949,0.46159854531288147,0.46678686141967773,0.6412000060081482
0.010788766667246819,0.010045451112091541,5,1999,,,
0.012051274068653584,0.012062052264809608,5,2049,,,
0.008999273180961609,0.009278940036892891,5,2099,,,
0.010623282752931118,0.010186521336436272,5,2149,,,
0.009965350851416588,0.010683448985219002,5,2199,,,
0.010919036343693733,0.010457503609359264,5,2249,,,
0.013950818218290806,0.014157782308757305,5,2299,,,
,,5,2339,0.47852563858032227,0.48483574390411377,0.6863999962806702
0.010404722765088081,0.010044598951935768,6,2349,,,
0.010305427946150303,0.010499744676053524,6,2399,,,
0.012191577814519405,0.01152360625565052,6,2449,,,
0.01106166560202837,0.01109475176781416,6,2499,,,
0.01087835431098938,0.011045854538679123,6,2549,,,
0.009542251005768776,0.009019875898957253,6,2599,,,
0.009413477033376694,0.009043128229677677,6,2649,,,
0.01003375742584467,0.009632223285734653,6,2699,,,
,,6,2729,0.4941706657409668,0.5017227530479431,0.6722999811172485
0.008657865226268768,0.008841140195727348,7,2749,,,
0.009607203304767609,0.009390260092914104,7,2799,,,
0.009340351447463036,0.009204118512570858,7,2849,,,
0.010388276539742947,0.00998352188616991,7,2899,,,
0.009816059842705727,0.009651591069996357,7,2949,,,
0.00905243307352066,0.00896097905933857,7,2999,,,
0.008903167210519314,0.008902628906071186,7,3049,,,
0.009635980241000652,0.009651635773479939,7,3099,,,
,,7,3119,0.5088341236114502,0.5114182829856873,0.7153000235557556
0.009751866571605206,0.00909161102026701,8,3149,,,
0.008436871692538261,0.007915685884654522,8,3199,,,
0.006451558321714401,0.0061093894764781,8,3249,,,
0.011915029026567936,0.01110390480607748,8,3299,,,
0.008332176133990288,0.007754195015877485,8,3349,,,
0.009843974374234676,0.00977435614913702,8,3399,,,
0.008049806579947472,0.007191666401922703,8,3449,,,
0.009031739085912704,0.009322477504611015,8,3499,,,
,,8,3509,0.5198717713356018,0.5215544700622559,0.6888999938964844
0.006718036253005266,0.006576737388968468,9,3549,,,
0.007961652241647243,0.008746451698243618,9,3599,,,
0.009515062905848026,0.00956640299409628,9,3649,,,
0.008188351057469845,0.008535235188901424,9,3699,,,
0.007373002357780933,0.007948325015604496,9,3749,,,
0.009204059839248657,0.009047748520970345,9,3799,,,
0.008550779893994331,0.008879910223186016,9,3849,,,
0.007353557739406824,0.007838546298444271,9,3899,,,
,,9,3899,0.5287460088729858,0.5278044939041138,0.7192999720573425
0.010760391131043434,0.011110655963420868,10,3949,,,
0.0067806183360517025,0.006966846063733101,10,3999,,,
0.008825909346342087,0.009345042519271374,10,4049,,,
0.007104021962732077,0.007158665452152491,10,4099,,,
0.00957292877137661,0.01018773764371872,10,4149,,,
0.008754871785640717,0.008236640132963657,10,4199,,,
0.00755124120041728,0.007538008503615856,10,4249,,,
,,10,4289,0.5376402139663696,0.5371994972229004,0.7720000147819519
0.005370683036744595,0.005617979448288679,11,4299,,,
0.0065666972659528255,0.006418564356863499,11,4349,,,
0.009469754062592983,0.009512281976640224,11,4399,,,
0.010377977974712849,0.01019646879285574,11,4449,,,
