step,epoch,train_loss,train_acc,test_acc
7699,19,0.8196496963500977,,
7749,19,0.9380486011505127,,
7799,19,1.2573424577713013,,
7799,19,,0.7076321840286255,0.7522000074386597
7849,20,1.1444629430770874,,
7899,20,0.8821897506713867,,
7949,20,0.9619836807250977,,
7999,20,0.8390218615531921,,
8049,20,1.21426522731781,,
8099,20,1.0156112909317017,,
8149,20,1.149488925933838,,
8189,20,,0.7137620449066162,0.7404999732971191
8199,21,1.0010277032852173,,
8249,21,1.1912190914154053,,
8299,21,0.8642494082450867,,
8349,21,1.055622935295105,,
8399,21,0.9767822027206421,,
8449,21,0.9449092745780945,,
8499,21,0.9161929488182068,,
8549,21,0.9843918681144714,,
8579,21,,0.7136017680168152,0.6388999819755554
8599,22,0.9702777862548828,,
8649,22,0.9757776260375977,,
8699,22,0.9441984295845032,,
8749,22,0.9968266487121582,,
8799,22,0.9596743583679199,,
8849,22,1.0216326713562012,,
8899,22,0.9349621534347534,,
8949,22,0.8732636570930481,,
8969,22,,0.7147035002708435,0.7972000241279602
8999,23,0.7155372500419617,,
9049,23,1.0411354303359985,,
9099,23,1.0586155652999878,,
9149,23,0.7557389736175537,,
9199,23,1.2173278331756592,,
9249,23,0.9069727063179016,,
9299,23,0.9236266016960144,,
9349,23,0.9594188928604126,,
9359,23,,0.7172476053237915,0.7487999796867371
9399,24,1.0643497705459595,,
9449,24,0.9499396085739136,,
9499,24,1.1853196620941162,,
9549,24,1.0093426704406738,,
9599,24,0.8685259819030762,,
9649,24,0.7885982394218445,,
9699,24,1.082129716873169,,
9749,24,1.110011100769043,,
9749,24,,0.7190304398536682,0.7666000127792358
9799,25,0.9055418372154236,,
9849,25,0.903494656085968,,
9899,25,0.7712229490280151,,
9949,25,0.8228057026863098,,
9999,25,1.0531201362609863,,
10049,25,0.7973092794418335,,
10099,25,0.9481493234634399,,
10139,25,,0.7205728888511658,0.8008999824523926
10149,26,1.1143162250518799,,
10199,26,1.0858079195022583,,
10249,26,0.9397222995758057,,
10299,26,0.9085009694099426,,
10349,26,0.939388632774353,,
10399,26,0.9057925343513489,,
10449,26,1.1855629682540894,,
10499,26,0.9694669842720032,,
10529,26,,0.7225761413574219,0.7950999736785889
10549,27,0.7207257151603699,,
10599,27,0.7928959131240845,,
10649,27,0.7437278628349304,,
10699,27,1.0375776290893555,,
10749,27,0.8062542080879211,,
10799,27,0.836047351360321,,
10849,27,1.0718460083007812,,
10899,27,1.1504982709884644,,
10919,27,,0.7230769395828247,0.7957000136375427
10949,28,0.9246009588241577,,
10999,28,1.0816751718521118,,
11049,28,0.989697277545929,,
11099,28,0.8764774799346924,,
11149,28,0.888850212097168,,
11199,28,1.0524821281433105,,
11249,28,0.8919582366943359,,
11299,28,0.809393584728241,,
11309,28,,0.7264222502708435,0.661300003528595
11349,29,1.0299453735351562,,
11399,29,0.9474920630455017,,
11449,29,0.6600899696350098,,
11499,29,0.9417650103569031,,
11549,29,0.8704315423965454,,
11599,29,0.9005608558654785,,
11649,29,0.7580074667930603,,
11699,29,0.8151309490203857,,
11699,29,,0.7233373522758484,0.7782999873161316
11749,30,0.8884047865867615,,
11799,30,0.8782875537872314,,
11849,30,1.0281283855438232,,
11899,30,1.000763177871704,,
11949,30,1.1223570108413696,,
11999,30,1.0740323066711426,,
12049,30,1.0411152839660645,,
12089,30,,0.724138617515564,0.7634999752044678
12099,31,0.8176813721656799,,
12149,31,1.1080400943756104,,
12199,31,1.0171788930892944,,
12249,31,0.6974165439605713,,
12299,31,1.3024203777313232,,
12349,31,0.918186366558075,,
