epoch,step,train_loss2,train_loss1,val_acc1,val_acc2,train_acc2,test_acc,train_acc1
0,49,0.017200902104377747,0.01737092062830925,,,,,
0,99,0.015848400071263313,0.016040533781051636,,,,,
0,149,0.01599736511707306,0.015390676446259022,,,,,
0,199,0.015457534231245518,0.01584104262292385,,,,,
0,249,0.013822636567056179,0.013965361751616001,,,,,
0,299,0.014783328399062157,0.014413347467780113,,,,,
0,311,,,0.3528999984264374,0.34049999713897705,,,
0,311,,,,,0.25510817766189575,0.3724288046360016,0.25355568528175354
1,349,0.015463911928236485,0.014866514131426811,,,,,
1,399,0.013530789874494076,0.013466506265103817,,,,,
1,449,0.01313326321542263,0.013393922708928585,,,,,
1,499,0.013048131950199604,0.012886914424598217,,,,,
1,549,0.012734897434711456,0.013395393267273903,,,,,
1,599,0.011851261369884014,0.012907523661851883,,,,,
1,623,,,0.4124000072479248,0.41920000314712524,,,
1,623,,,,,0.37888121604919434,0.4355221390724182,0.3738231062889099
2,649,0.013467168435454369,0.0134353656321764,,,,,
2,699,0.01243428885936737,0.013306309469044209,,,,,
2,749,0.011387662030756474,0.01170874573290348,,,,,
2,799,0.012754368595778942,0.012368276715278625,,,,,
2,849,0.011290187016129494,0.011486254632472992,,,,,
2,899,0.011207479983568192,0.012091482989490032,,,,,
2,935,,,0.45969998836517334,0.46299999952316284,,,
2,935,,,,,0.4305388629436493,0.47962817549705505,0.4264322817325592
3,949,0.010421505197882652,0.01140973623842001,,,,,
3,999,0.01184880267828703,0.013133407570421696,,,,,
3,1049,0.012864317744970322,0.01317999791353941,,,,,
3,1099,0.009681547991931438,0.010765722021460533,,,,,
3,1149,0.010835040360689163,0.010903432033956051,,,,,
3,1199,0.010344247333705425,0.010813429951667786,,,,,
3,1247,,,0.4846000075340271,0.49889999628067017,,,
3,1247,,,,,0.46587038040161133,0.5101858973503113,0.46356672048568726
4,1249,0.009111855179071426,0.009742695838212967,,,,,
4,1299,0.008933213539421558,0.009367993101477623,,,,,
4,1349,0.009082726202905178,0.00860772654414177,,,,,
4,1399,0.010748308151960373,0.010443455539643764,,,,,
4,1449,0.011097264476120472,0.010676314122974873,,,,,
4,1499,0.01041271910071373,0.010073752142488956,,,,,
4,1549,0.008649754337966442,0.008519403636455536,,,,,
4,1559,,,0.4966000020503998,0.5044999718666077,,,
4,1559,,,,,0.4929637312889099,0.5314477682113647,0.4861277937889099
5,1599,0.009680533781647682,0.009780757129192352,,,,,
5,1649,0.008312813006341457,0.008604801259934902,,,,,
5,1699,0.009945189580321312,0.010534290224313736,,,,,
5,1749,0.01036000531166792,0.009920683689415455,,,,,
5,1799,0.00898846983909607,0.008994430303573608,,,,,
5,1849,0.009076436050236225,0.00932040810585022,,,,,
5,1871,,,0.5346999764442444,0.5580000281333923,,,
