epoch,test_acc,train_loss
41,86.08,1.8215
41,86.08,1.8396
42,85.78,1.7522
42,85.78,1.745
42,85.78,1.8353
42,85.78,1.8181
42,85.78,1.8391
42,85.78,1.8308
42,85.78,1.8253
43,86.09,1.7751
43,86.09,1.849
43,86.09,1.799
43,86.09,1.7966
43,86.09,1.7208
43,86.09,1.8352
43,86.09,1.9061
44,86.05,1.7882
44,86.05,1.8214
44,86.05,1.7657
44,86.05,1.8019
44,86.05,1.7909
44,86.05,1.743
44,86.05,1.8119
45,86.36,1.7878
45,86.36,1.8809
45,86.36,1.8498
45,86.36,1.7723
45,86.36,1.7916
45,86.36,1.7905
45,86.36,1.7463
46,86.18,1.7971
46,86.18,1.7888
46,86.18,1.7177
46,86.18,1.8052
46,86.18,1.737
46,86.18,1.7674
46,86.18,1.6965
47,86.12,1.7562
47,86.12,1.8545
47,86.12,1.7912
47,86.12,1.7762
47,86.12,1.7715
47,86.12,1.7704
47,86.12,1.8239
48,85.97,1.7777
48,85.97,1.7627
48,85.97,1.7486
48,85.97,1.7522
48,85.97,1.7717
48,85.97,1.7596
48,85.97,1.8282
49,86.08,1.7978
49,86.08,1.757
49,86.08,1.7623
49,86.08,1.734
49,86.08,1.8491
49,86.08,1.8083
49,86.08,1.7998
50,85.88,1.7692
50,85.88,1.6825
50,85.88,1.7961
50,85.88,1.7927
50,85.88,1.7826
50,85.88,1.8329
50,85.88,1.782
51,86.05,1.774
51,86.05,1.9552
51,86.05,1.7986
51,86.05,1.7368
51,86.05,1.832
51,86.05,1.8781
51,86.05,1.7867
52,85.98,1.8044
52,85.98,1.7872
52,85.98,1.7437
52,85.98,1.8095
52,85.98,1.7769
52,85.98,1.77
52,85.98,1.7275
53,86.07,1.8032
53,86.07,1.8068
53,86.07,1.7497
53,86.07,1.7201
53,86.07,1.7242
53,86.07,1.7553
53,86.07,1.7926
54,86.07,1.8024
54,86.07,1.8217
54,86.07,1.713
54,86.07,1.759
54,86.07,1.8339
54,86.07,1.741
54,86.07,1.8016
55,85.93,1.8225
55,85.93,1.759
55,85.93,1.7186
55,85.93,1.773
55,85.93,1.8272
55,85.93,1.7566
55,85.93,1.8026
56,86.05,1.7978
56,86.05,1.7252
56,86.05,1.7481
56,86.05,1.7519
56,86.05,1.7891
56,86.05,1.7467
56,86.05,1.811
57,85.83,1.8228
57,85.83,1.8347
57,85.83,1.8278
57,85.83,1.7803
57,85.83,1.7292
57,85.83,1.763
57,85.83,1.7474
58,85.92,1.7824
58,85.92,1.7831
58,85.92,1.7422
58,85.92,1.8805
58,85.92,1.7344
58,85.92,1.8457
58,85.92,1.8178
59,85.95,1.8053
59,85.95,1.8099
59,85.95,1.7565
59,85.95,1.7943
59,85.95,1.7975
59,85.95,1.7736
59,85.95,1.7039
60,85.94,1.8803
60,85.94,1.672
60,85.94,1.774
60,85.94,1.7868
60,85.94,1.744
60,85.94,1.7709
60,85.94,1.8067
61,86.01,1.7705
61,86.01,1.8709
61,86.01,1.697
61,86.01,1.7481
61,86.01,1.8021
61,86.01,1.7542
61,86.01,1.6563
62,85.89,1.843
62,85.89,1.7227
62,85.89,1.7263
62,85.89,1.788
62,85.89,1.7846
62,85.89,1.8067
62,85.89,1.7464
63,85.82,1.7274
63,85.82,1.7528
63,85.82,1.7755
63,85.82,1.8156
63,85.82,1.7619
63,85.82,1.7193
63,85.82,1.7742
64,85.83,1.7326
64,85.83,1.8362
64,85.83,1.7011
64,85.83,1.7352
64,85.83,1.7202
64,85.83,1.803
64,85.83,1.8263
65,85.91,1.7794
65,85.91,1.7756
65,85.91,1.7657
65,85.91,1.8263
65,85.91,1.7071
65,85.91,1.7886
65,85.91,1.7734
66,86.01,1.7211
66,86.01,1.7211
66,86.01,1.7709
66,86.01,1.74
66,86.01,1.8725
66,86.01,1.7895
66,86.01,1.7036
67,85.52,1.7585
67,85.52,1.8514
67,85.52,1.8092
67,85.52,1.8312
67,85.52,1.7787
67,85.52,1.6829
67,85.52,1.7565
68,86.02,1.8225
68,86.02,1.7285
68,86.02,1.7464
68,86.02,1.6931
68,86.02,1.7938
68,86.02,1.7636
68,86.02,1.7677
69,85.93,1.7726
69,85.93,1.8122
69,85.93,1.7099
69,85.93,1.7445
69,85.93,1.7541
69,85.93,1.7418
69,85.93,1.8244
70,85.74,1.7062
70,85.74,1.7332
70,85.74,1.6856
70,85.74,1.8172
70,85.74,1.7819
70,85.74,1.7638
70,85.74,1.6315
71,85.57,1.7976
71,85.57,1.7409
71,85.57,1.7358
71,85.57,1.7393
71,85.57,1.6881
71,85.57,1.7369
71,85.57,1.7109
72,85.86,1.6967
72,85.86,1.7088
72,85.86,1.7611
72,85.86,1.7252
72,85.86,1.7188
72,85.86,1.7373
72,85.86,1.7286
73,85.99,1.7752
73,85.99,1.7305
73,85.99,1.7288
73,85.99,1.7303
73,85.99,1.7701
73,85.99,1.7523
73,85.99,1.7923
74,85.69,1.7005
74,85.69,1.7487
74,85.69,1.7216
74,85.69,1.9224
74,85.69,1.6658
74,85.69,1.8125
74,85.69,1.7148
75,85.75,1.8222
75,85.75,1.6951
75,85.75,1.7964
75,85.75,1.7532
75,85.75,1.8046
75,85.75,1.7659
75,85.75,1.7791
76,85.61,1.7659
76,85.61,1.7791
76,85.61,1.7192
76,85.61,1.6963
76,85.61,1.7573
76,85.61,1.7468
76,85.61,1.8033
77,85.62,1.7144
77,85.62,1.7019
77,85.62,1.7757
77,85.62,1.8073
77,85.62,1.7667
77,85.62,1.7096
77,85.62,1.795
78,85.93,1.7249
78,85.93,1.773
78,85.93,1.7459
78,85.93,1.7227
78,85.93,1.7517
78,85.93,1.7697
78,85.93,1.7271
79,85.7,1.8035
79,85.7,1.6852
79,85.7,1.7414
79,85.7,1.7313
79,85.7,1.7417
79,85.7,1.747
79,85.7,1.7138
80,85.64,1.7484
80,85.64,1.7539
80,85.64,1.7739
80,85.64,1.7599
80,85.64,1.7145
80,85.64,1.7225
80,85.64,1.7457
81,85.57,1.8128
81,85.57,1.7107
81,85.57,1.7082
81,85.57,1.7002
81,85.57,1.6812
81,85.57,1.6988
81,85.57,1.7542
82,85.67,1.7169
82,85.67,1.6478
82,85.67,1.7509
82,85.67,1.7314
82,85.67,1.7564
82,85.67,1.7807
82,85.67,1.7501
83,85.73,1.7201
83,85.73,1.7661
83,85.73,1.7108
83,85.73,1.7751
83,85.73,1.7344
83,85.73,1.7383
83,85.73,1.7231
84,85.77,1.7421
84,85.77,1.6752
84,85.77,1.7475
84,85.77,1.7321
84,85.77,1.7772
84,85.77,1.6706
84,85.77,1.7019
85,85.63,1.7955
85,85.63,1.7317
85,85.63,1.7909
85,85.63,1.7111
85,85.63,1.7186
85,85.63,1.7339
85,85.63,1.7214
86,85.73,1.7792
86,85.73,1.7601
86,85.73,1.7806
86,85.73,1.7251
86,85.73,1.7506
86,85.73,1.7453
86,85.73,1.7962
87,85.8,1.6813
87,85.8,1.7651
87,85.8,1.7544
87,85.8,1.7413
87,85.8,1.7226
87,85.8,1.7609
87,85.8,1.7417
88,85.61,1.745
88,85.61,1.7658
88,85.61,1.7618
88,85.61,1.8025
88,85.61,1.7846
88,85.61,1.7012
88,85.61,1.8131
89,85.71,1.7528
89,85.71,1.73
89,85.71,1.8087
89,85.71,1.7418
89,85.71,1.7551
89,85.71,1.8113
89,85.71,1.7796
90,85.57,1.7664
90,85.57,1.76
90,85.57,1.8245
90,85.57,1.741
90,85.57,1.718
90,85.57,1.7468
90,85.57,1.7247
91,85.74,1.7663
91,85.74,1.7224
91,85.74,1.7961
91,85.74,1.8409
91,85.74,1.7277
91,85.74,1.7658
91,85.74,1.716
92,85.67,1.6917
92,85.67,1.8477
92,85.67,1.7158
92,85.67,1.7128
92,85.67,1.6706
92,85.67,1.704
92,85.67,1.7546
93,85.59,1.7059
93,85.59,1.7894
93,85.59,1.7653
93,85.59,1.7524
93,85.59,1.7164
93,85.59,1.7587
93,85.59,1.6984
94,85.74,1.8174
94,85.74,1.721
94,85.74,1.7548
94,85.74,1.6844
94,85.74,1.7708
94,85.74,1.762
94,85.74,1.6857
95,85.54,1.7346
95,85.54,1.6713
95,85.54,1.7037
95,85.54,1.7037
95,85.54,1.7027
95,85.54,1.725
95,85.54,1.6761
