epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc,mix_match_loss
0,2.0581207275390625,49,,,,,
0,1.7658331394195557,99,,,,,
0,1.6289036273956299,149,,,,,
0,1.5760802030563354,199,,,,,
0,1.5605071783065796,249,,,,,
0,1.3815982341766357,299,,,,,
0,,311,0.491100013256073,1.4843353033065796,,,
0,,311,,,0.3686147928237915,0.5044000148773193,
1,,349,,,,,2.3015172481536865
1,,399,,,,,2.236325740814209
1,,449,,,,,2.3451573848724365
1,,499,,,,,2.6228275299072266
1,,549,,,,,2.2976410388946533
1,,599,,,,,2.3446199893951416
1,,637,0.0868000015616417,2.658843755722046,,,
1,1.5347528457641602,637,,,0.4757862687110901,0.10000000149011612,
2,,649,,,,,6.9141146923357155e-06
2,,699,,,,,2.919616874699327e-35
2,,749,,,,,1.9149868266650496e-34
2,,799,,,,,1.7090865014910485e-33
2,,849,,,,,1.416167709071932e-32
2,,899,,,,,1.0852512968613552e-31
2,,949,,,,,7.774844708937537e-31
2,,999,,,,,5.214323292902957e-30
2,,1049,,,,,3.271757752462884e-29
2,,1099,,,,,1.9320642720013522e-28
2,,1149,,,,,1.0701916996263606e-27
2,,1199,,,,,5.626461043339447e-27
2,,1207,0.0868000015616417,27.979228973388672,,,
2,,1207,,,,0.10000000149011612,
3,,1249,,,,,2.0144225734719406e-26
3,,1299,,,,,9.681842731577864e-26
3,,1349,,,,,4.418326606709773e-25
3,,1399,,,,,1.9187672845830554e-24
3,,1449,,,,,7.94788327176752e-24
3,,1499,,,,,3.1467099840301644e-23
3,,1549,,,,,1.1916707014756477e-22
3,,1599,,,,,4.326573646565188e-22
3,,1649,,,,,1.512882341281356e-21
3,,1699,,,,,5.0758863923872505e-21
3,,1749,,,,,1.6434542348064328e-20
3,,1777,0.0868000015616417,20.9384765625,,,
3,,1777,,,,0.10000000149011612,
4,,1799,,,,,4.0325500764009054e-20
4,,1849,,,,,1.227136526642224e-19
4,,1899,,,,,3.6027880014080677e-19
4,,1949,,,,,1.0235283711571633e-18
4,,1999,,,,,2.8162904578258707e-18
4,,2049,,,,,7.496234138575045e-18
4,,2099,,,,,1.9437783211124364e-17
4,,2149,,,,,4.894504777709355e-17
4,,2199,,,,,1.1985300474944596e-16
4,,2249,,,,,1.1920928244535389e-07
4,,2299,,,,,1.1920928244535389e-07
4,,2347,0.0868000015616417,16.003503799438477,,,
4,,2347,,,,0.10000000149011612,
5,,2349,,,,,2.384185791015625e-07
5,,2399,,,,,4.76837158203125e-07
5,,2449,,,,,5.960464477539062e-07
5,,2499,,,,,8.344650268554688e-07
5,,2549,,,,,1.1920927818209748e-06
5,,2599,,,,,1.6689294852767489e-06
5,,2649,,,,,2.1457656202983344e-06
5,,2699,,,,,3.0994378903415054e-06
5,,2749,,,,,4.053111297253054e-06
5,,2799,,,,,5.3644089348381385e-06
5,,2849,,,,,7.1525391831528395e-06
5,,2899,,,,,9.059882358997129e-06
5,,2917,0.0868000015616417,12.639862060546875,,,
5,,2917,,,,0.10000000149011612,
6,,2949,,,,,1.1444054507592227e-05
6,,2999,,,,,1.4224030564946588e-05
6,,3049,,,,,1.7492939150542952e-05
6,,3099,,,,,2.0980694898753427e-05
6,,3149,,,,,2.479441900504753e-05
6,,3199,,,,,2.8682634365395643e-05
6,,3249,,,,,3.276921415817924e-05
6,,3299,,,,,3.6675093724625185e-05
6,,3349,,,,,4.0391943912254646e-05
6,,3399,,,,,4.3780037231044844e-05
6,,3449,,,,,4.696603355114348e-05
6,,3487,0.0868000015616417,11.15056324005127,,,
6,,3487,,,,0.10000000149011612,
7,,3499,,,,,4.9887432396644726e-05
7,,3549,,,,,5.233208867139183e-05
7,,3599,,,,,5.440610402729362e-05
7,,3649,,,,,5.6027543905656785e-05
7,,3699,,,,,5.73388060729485e-05
7,,3749,,,,,5.838091601617634e-05
7,,3799,,,,,5.8769292081706226e-05
7,,3849,,,,,5.9246151067782193e-05
7,,3899,,,,,5.939518450759351e-05
7,,3949,,,,,5.976213651592843e-05
7,,3999,,,,,5.9999631048412994e-05
7,,4049,,,,,6.0316269809845835e-05
7,,4057,0.0868000015616417,10.9520845413208,,,
7,,4057,,,,0.10000000149011612,
8,,4099,,,,,6.042980385245755e-05
8,,4149,,,,,6.064867557142861e-05
8,,4199,,,,,6.079212107579224e-05
8,,4249,,,,,6.091508112149313e-05
8,,4299,,,,,6.114792631706223e-05
8,,4349,,,,,6.115353608038276e-05
8,,4399,,,,,6.137708260212094e-05
8,,4449,,,,,6.139200559118763e-05
8,,4499,,,,,6.151124398456886e-05
8,,4549,,,,,6.162766658235341e-05
8,,4599,,,,,6.174224108690396e-05
8,,4627,0.0868000015616417,10.919258117675781,,,
8,,4627,,,,0.10000000149011612,
9,,4649,,,,,6.17495970800519e-05
9,,4699,,,,,6.174961890792474e-05
9,,4749,,,,,6.198806659085676e-05
9,,4799,,,,,6.19880884187296e-05
9,,4849,,,,,6.198811024660245e-05
9,,4899,,,,,6.210729043232277e-05
9,,4949,,,,,6.230475992197171e-05
9,,4999,,,,,6.234575266717002e-05
9,,5049,,,,,6.258419307414442e-05
9,,5099,,,,,6.258421490201727e-05
9,,5149,,,,,6.270344601944089e-05
9,,5197,0.0868000015616417,10.892385482788086,,,
9,,5197,,,,0.10000000149011612,
10,,5199,,,,,6.287006544880569e-05
10,,5249,,,,,6.294179911492392e-05
10,,5299,,,,,6.283937545958906e-05
10,,5349,,,,,6.282263348111883e-05
10,,5399,,,,,6.274535553529859e-05
10,,5449,,,,,6.27137123956345e-05
10,,5499,,,,,6.270348967518657e-05
10,,5549,,,,,6.270351150305942e-05
10,,5599,,,,,6.266628042794764e-05
10,,5649,,,,,6.268399738473818e-05
10,,5699,,,,,6.282278627622873e-05
10,,5749,,,,,6.282281538005918e-05
10,,5767,0.0868000015616417,10.884261131286621,,,
10,,5767,,,,0.10000000149011612,
11,,5799,,,,,6.294193008216098e-05
11,,5849,,,,,6.306115392362699e-05
11,,5899,,,,,6.34188181720674e-05
11,,5949,,,,,6.353804201353341e-05
11,,5999,,,,,6.365727313095704e-05
11,,6049,,,,,6.389566988218576e-05
11,,6099,,,,,6.413411756511778e-05
11,,6149,,,,,6.433530506910756e-05
11,,6199,,,,,6.449738430092111e-05
11,,6249,,,,,6.482151366071776e-05
11,,6299,,,,,6.508790102088824e-05
11,,6337,0.0868000015616417,10.84294319152832,,,
11,,6337,,,,0.10000000149011612,
12,,6349,,,,,6.520795432152227e-05
12,,6399,,,,,6.556466541951522e-05
12,,6449,,,,,6.580306944670156e-05
12,,6499,,,,,6.604150985367596e-05
