epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc,mix_match_loss
12,,6549,,,,,6.62799648125656e-05
12,,6599,,,,,6.663760723313317e-05
12,,6649,,,,,6.67568456265144e-05
12,,6699,,,,,6.687608401989564e-05
12,,6749,,,,,6.728775042574853e-05
12,,6799,,,,,6.747214501956478e-05
12,,6849,,,,,6.77105927024968e-05
12,,6899,,,,,6.794904038542882e-05
12,,6907,0.0868000015616417,10.79875659942627,,,
12,,6907,,,,0.10000000149011612,
13,,6949,,,,,6.830656639067456e-05
13,,6999,,,,,6.84313999954611e-05
13,,7049,,,,,6.866519834147766e-05
13,,7099,,,,,6.902192399138585e-05
13,,7149,,,,,6.914111145306379e-05
13,,7199,,,,,6.94987757015042e-05
13,,7249,,,,,6.973723066039383e-05
13,,7299,,,,,6.997569289524108e-05
13,,7349,,,,,7.021411875030026e-05
13,,7399,,,,,7.045256643323228e-05
13,,7449,,,,,7.069102866807953e-05
13,,7477,0.0868000015616417,10.755908012390137,,,
13,,7477,,,,0.10000000149011612,
14,,7499,,,,,7.092928717611358e-05
14,,7549,,,,,7.128695142455399e-05
14,,7599,,,,,7.140619709389284e-05
14,,7649,,,,,7.164464477682486e-05
14,,7699,,,,,7.188310701167211e-05
14,,7749,,,,,7.200235268101096e-05
14,,7799,,,,,7.224080036394298e-05
14,,7849,,,,,7.259843550855294e-05
14,,7899,,,,,7.271767390193418e-05
14,,7949,,,,,7.284343882929534e-05
14,,7999,,,,,7.319455471588299e-05
14,,8047,0.0868000015616417,10.71910285949707,,,
14,,8047,,,,0.10000000149011612,
15,,8049,,,,,7.343284960370511e-05
15,,8099,,,,,7.367131183855236e-05
15,,8149,,,,,7.390976679744199e-05
15,,8199,,,,,7.402896881103516e-05
15,,8249,,,,,7.434659346472472e-05
15,,8299,,,,,7.462510257028043e-05
15,,8349,,,,,7.474434823961928e-05
15,,8399,,,,,7.498281047446653e-05
15,,8449,,,,,7.522126543335617e-05
15,,8499,,,,,7.534051110269502e-05
15,,8549,,,,,7.557892968179658e-05
15,,8599,,,,,7.593660848215222e-05
15,,8617,0.0868000015616417,10.684433937072754,,,
15,,8617,,,,0.10000000149011612,
16,,8649,,,,,7.605569408042356e-05
16,,8699,,,,,7.62941490393132e-05
16,,8749,,,,,7.653257489437237e-05
16,,8799,,,,,7.665182783966884e-05
16,,8849,,,,,7.700944843236357e-05
16,,8899,,,,,7.724792521912605e-05
16,,8949,,,,,7.736716361250728e-05
16,,8999,,,,,7.760558946756646e-05
16,,9049,,,,,7.772480603307486e-05
16,,9099,,,,,7.796323188813403e-05
16,,9149,,,,,7.817373261786997e-05
16,,9187,0.0868000015616417,10.652975082397461,,,
16,,9187,,,,0.10000000149011612,
17,,9199,,,,,7.83208743087016e-05
17,,9249,,,,,7.855931471567601e-05
17,,9299,,,,,7.867848762543872e-05
17,,9349,,,,,7.885172817623243e-05
17,,9399,,,,,7.915534661151469e-05
17,,9449,,,,,7.927451224531978e-05
17,,9499,,,,,7.939372881082818e-05
17,,9549,,,,,7.963216194184497e-05
17,,9599,,,,,7.987058779690415e-05
17,,9649,,,,,7.998976070666686e-05
17,,9699,,,,,8.010898454813287e-05
17,,9749,,,,,8.046662696870044e-05
17,,9757,0.0868000015616417,10.62655258178711,,,
17,,9757,,,,0.10000000149011612,
18,,9799,,,,,8.058584353420883e-05
18,,9849,,,,,8.070506009971723e-05
18,,9899,,,,,8.094349323073402e-05
18,,9949,,,,,8.11819190857932e-05
18,,9999,,,,,8.130113565130159e-05
18,,10049,,,,,8.14203594927676e-05
18,,10099,,,,,8.165875624399632e-05
18,,10149,,,,,8.18971820990555e-05
18,,10199,,,,,8.20163986645639e-05
18,,10249,,,,,8.225476631196216e-05
18,,10299,,,,,8.237399015342817e-05
18,,10327,0.0868000015616417,10.60078239440918,,,
18,,10327,,,,0.10000000149011612,
19,,10349,,,,,8.261241600848734e-05
19,,10399,,,,,8.285081275971606e-05
19,,10449,,,,,8.297002932522446e-05
19,,10499,,,,,8.308925316669047e-05
19,,10549,,,,,8.332767902174965e-05
19,,10599,,,,,8.356611215276644e-05
19,,10649,,,,,8.356611215276644e-05
19,,10699,,,,,8.368532144231722e-05
19,,10749,,,,,8.392376184929162e-05
19,,10799,,,,,8.40429711388424e-05
19,,10849,,,,,8.428141154581681e-05
19,,10897,0.0868000015616417,10.579829216003418,,,
19,,10897,,,,0.10000000149011612,
20,,10899,,,,,8.428141154581681e-05
20,,10949,,,,,8.451980829704553e-05
20,,10999,,,,,8.46390103106387e-05
20,,11049,,,,,8.46390103106387e-05
20,,11099,,,,,8.47582341521047e-05
20,,11149,,,,,8.47582341521047e-05
20,,11199,,,,,8.48774507176131e-05
20,,11249,,,,,8.499660907546058e-05
20,,11299,,,,,8.499660907546058e-05
20,,11349,,,,,8.511581836501136e-05
20,,11399,,,,,8.537567191524431e-05
20,,11449,,,,,8.547346806153655e-05
20,,11467,0.0868000015616417,10.567075729370117,,,
20,,11467,,,,0.10000000149011612,
21,,11499,,,,,8.547346806153655e-05
21,,11549,,,,,8.559269190300256e-05
21,,11599,,,,,8.559269190300256e-05
21,,11649,,,,,8.583108865423128e-05
21,,11699,,,,,8.583108865423128e-05
21,,11749,,,,,8.583108865423128e-05
21,,11799,,,,,8.583108865423128e-05
21,,11849,,,,,8.571186481276527e-05
21,,11899,,,,,8.571186481276527e-05
21,,11949,,,,,8.583108865423128e-05
21,,11999,,,,,8.606951450929046e-05
21,,12037,0.0868000015616417,10.559295654296875,,,
21,,12037,,,,0.10000000149011612,
22,,12049,,,,,8.606951450929046e-05
22,,12099,,,,,8.618873107479885e-05
22,,12149,,,,,8.618873107479885e-05
22,,12199,,,,,8.630794764030725e-05
22,,12249,,,,,8.642715692985803e-05
22,,12299,,,,,8.642715692985803e-05
22,,12349,,,,,8.654638077132404e-05
22,,12399,,,,,8.654638077132404e-05
22,,12449,,,,,8.678480662638322e-05
22,,12499,,,,,8.678480662638322e-05
22,,12549,,,,,8.678480662638322e-05
22,,12599,,,,,8.690403046784922e-05
22,,12607,0.0868000015616417,10.54865550994873,,,
22,,12607,,,,0.10000000149011612,
23,,12649,,,,,8.690403046784922e-05
23,,12699,,,,,8.714242721907794e-05
23,,12749,,,,,8.714242721907794e-05
23,,12799,,,,,8.714242721907794e-05
23,,12849,,,,,8.714428986422718e-05
23,,12899,,,,,8.738085307413712e-05
23,,12949,,,,,8.738085307413712e-05
23,,12999,,,,,8.738085307413712e-05
23,,13049,,,,,8.750006963964552e-05
23,,13099,,,,,8.750006963964552e-05
23,,13149,,,,,8.750007691560313e-05
23,,13177,0.0868000015616417,10.54067611694336,,,
23,,13177,,,,0.10000000149011612,
24,,13199,,,,,8.761928620515391e-05
24,,13249,,,,,8.761928620515391e-05
24,,13299,,,,,8.763044752413407e-05
24,,13349,,,,,8.77384445630014e-05
24,,13399,,,,,8.77384445630014e-05
24,,13449,,,,,8.77384445630014e-05
24,,13499,,,,,8.785766112850979e-05
24,,13549,,,,,8.785766112850979e-05
24,,13599,,,,,8.785766112850979e-05
24,,13649,,,,,8.797687769401819e-05
24,,13699,,,,,8.797687769401819e-05
24,,13747,0.0868000015616417,10.536545753479004,,,
24,,13747,,,,0.10000000149011612,
25,,13749,,,,,8.797687769401819e-05
25,,13799,,,,,8.797687769401819e-05
25,,13849,,,,,8.797687769401819e-05
25,,13899,,,,,8.809608698356897e-05
25,,13949,,,,,8.809608698356897e-05
25,,13999,,,,,8.809608698356897e-05
25,,14049,,,,,8.809608698356897e-05
25,,14099,,,,,8.809608698356897e-05
25,,14149,,,,,8.809608698356897e-05
25,,14199,,,,,8.809608698356897e-05
25,,14249,,,,,8.797687769401819e-05
25,,14299,,,,,8.809608698356897e-05
25,,14317,0.0868000015616417,10.53481674194336,,,
25,,14317,,,,0.10000000149011612,
26,,14349,,,,,8.809608698356897e-05
26,,14399,,,,,8.809608698356897e-05
