epoch,train_loss1,step,train_loss2,val_acc2,val_acc1,train_acc1,test_acc,train_acc2
0,0.01704772189259529,49,0.017961909994482994,,,,,
0,0.015614207834005356,99,0.016479454934597015,,,,,
0,0.014552675187587738,149,0.015078572556376457,,,,,
0,0.015652447938919067,199,0.015154405497014523,,,,,
0,0.014442088082432747,249,0.014916167594492435,,,,,
0,0.012042645364999771,299,0.012878199107944965,,,,,
0,,312,,0.36489999294281006,0.37209999561309814,,,
0,,312,,,,0.27342501282691956,0.39438292384147644,0.27297499775886536
1,0.013034365139901638,349,0.013064580969512463,,,,,
1,0.011817584745585918,399,0.012022376991808414,,,,,
1,0.013581265695393085,449,0.013465536758303642,,,,,
1,0.011794829741120338,499,0.011633637361228466,,,,,
1,0.011842855252325535,549,0.011423046700656414,,,,,
1,0.01286542508751154,599,0.01216113567352295,,,,,
1,,625,,0.44699999690055847,0.4424000084400177,,,
1,,625,,,,0.3924750089645386,0.4444224536418915,0.3919000029563904
2,0.01175854541361332,649,0.011643116362392902,,,,,
2,0.01160595566034317,699,0.011333422735333443,,,,,
2,0.012034635059535503,749,0.011797260493040085,,,,,
2,0.012486012652516365,799,0.012447962537407875,,,,,
2,0.010711551643908024,849,0.01074758730828762,,,,,
2,0.011564213782548904,899,0.011826898902654648,,,,,
2,,938,,0.4771000146865845,0.4797999858856201,,,
2,,938,,,,0.44407498836517334,0.4792326092720032,0.4510500133037567
3,0.012266429141163826,949,0.011186021380126476,,,,,
3,0.010346077382564545,999,0.009934313595294952,,,,,
3,0.010395868681371212,1049,0.010146989487111568,,,,,
3,0.011066836304962635,1099,0.01168608758598566,,,,,
3,0.008551672101020813,1149,0.008503654040396214,,,,,
3,0.011371374130249023,1199,0.010968769900500774,,,,,
3,0.008947184309363365,1249,0.00840808730572462,,,,,
3,,1251,,0.5184999704360962,0.5005999803543091,,,
3,,1251,,,,0.48432499170303345,0.5211629867553711,0.4925000071525574
4,0.009793479926884174,1299,0.008890152908861637,,,,,
4,0.009398731403052807,1349,0.010313613340258598,,,,,
4,0.009420597925782204,1399,0.010289046913385391,,,,,
4,0.008583301678299904,1449,0.008805196732282639,,,,,
4,0.009258043020963669,1499,0.008785567246377468,,,,,
4,0.009946835227310658,1549,0.0100549953058362,,,,,
4,,1564,,0.5437999963760376,0.5273000001907349,,,
4,,1564,,,,0.526199996471405,0.5423259735107422,0.5287749767303467
5,0.00906105525791645,1599,0.008376868441700935,,,,,
5,0.008563253097236156,1649,0.008235743269324303,,,,,
5,0.008024233393371105,1699,0.008132070302963257,,,,,
5,0.00933897402137518,1749,0.009655811823904514,,,,,
5,0.0073873247019946575,1799,0.0073285698890686035,,,,,
5,0.00906399916857481,1849,0.009124141186475754,,,,,
5,,1877,,0.5679000020027161,0.5759999752044678,,,
5,,1877,,,,0.5519750118255615,0.5798061490058899,0.5525749921798706
6,0.009177124127745628,1899,0.009806855581700802,,,,,
6,0.007829569280147552,1949,0.007877211086452007,,,,,
6,0.007176656275987625,1999,0.007911642082035542,,,,,
6,0.007319315802305937,2049,0.007479371968656778,,,,,
6,0.008706468157470226,2099,0.007882931269705296,,,,,
6,0.010152757167816162,2149,0.009786196984350681,,,,,
6,,2190,,0.5745000243186951,0.5849999785423279,,,
6,,2190,,,,0.578374981880188,0.5941455960273743,0.5734249949455261
7,0.0070180706679821014,2199,0.006729545071721077,,,,,
7,0.006900085601955652,2249,0.0068514384329319,,,,,
7,0.008469076827168465,2299,0.008135272189974785,,,,,
7,0.007777232676744461,2349,0.008482261560857296,,,,,
7,0.007374555803835392,2399,0.006732996087521315,,,,,
7,0.0075350552797317505,2449,0.007428204175084829,,,,,
7,0.006188654340803623,2499,0.00655455281957984,,,,,
7,,2503,,0.6273000240325928,0.597100019454956,,,
7,,2503,,,,0.5941500067710876,0.6155063509941101,0.5944250226020813
8,0.006574508734047413,2549,0.0070877522230148315,,,,,
8,0.005677720066159964,2599,0.005484186578541994,,,,,
8,0.006068958900868893,2649,0.005513947922736406,,,,,
8,0.007339823991060257,2699,0.005856114439666271,,,,,
8,0.00728641077876091,2749,0.006617752835154533,,,,,
8,0.006822255905717611,2799,0.007377810776233673,,,,,
8,,2816,,0.5978999733924866,0.6205999851226807,,,
8,,2816,,,,0.6089249849319458,0.6352847814559937,0.6086249947547913
9,0.007068916689604521,2849,0.006401291117072105,,,,,
9,0.006977697368711233,2899,0.0061287060379981995,,,,,
9,0.00695002218708396,2949,0.00690196780487895,,,,,
9,0.008654008619487286,2999,0.008896260522305965,,,,,
9,0.00595465861260891,3049,0.0045464979484677315,,,,,
9,0.00594733003526926,3099,0.00665633101016283,,,,,
9,,3129,,0.5845000147819519,0.6320000290870667,,,
9,,3129,,,,0.6187499761581421,0.6414161324501038,0.619225025177002
10,0.006796081550419331,3149,0.0073946015909314156,,,,,
10,0.007053157314658165,3199,0.00700974790379405,,,,,
10,0.005999789573252201,3249,0.007337945979088545,,,,,
10,0.00906419288367033,3299,0.0083741070702672,,,,,
10,0.006207981612533331,3349,0.006896395701915026,,,,,
10,0.007298490963876247,3399,0.00622896384447813,,,,,
10,,3442,,0.6355000138282776,0.6485999822616577,,,
10,,3442,,,,0.6300250291824341,0.6417128443717957,0.6298999786376953
11,0.0054459343664348125,3449,0.005854256916791201,,,,,
11,0.005921890493482351,3499,0.005942584481090307,,,,,
11,0.0058105699717998505,3549,0.005688350647687912,,,,,
11,0.004769742488861084,3599,0.0044081504456698895,,,,,
11,0.0077649191953241825,3649,0.007487521041184664,,,,,
11,0.006960070692002773,3699,0.00669529102742672,,,,,
11,0.005896172486245632,3749,0.006154552102088928,,,,,
11,,3755,,0.6747999787330627,0.6498000025749207,,,
11,,3755,,,,0.6460750102996826,0.6621835231781006,0.6458749771118164
12,0.00501666497439146,3799,0.0048484499566257,,,,,
12,0.0048625292256474495,3849,0.00467237364500761,,,,,
12,0.007731110788881779,3899,0.008230496197938919,,,,,
12,0.0046135070733726025,3949,0.004691183567047119,,,,,
12,0.004582425579428673,3999,0.004282251466065645,,,,,
12,0.006019927561283112,4049,0.007199854124337435,,,,,
12,,4068,,0.6430000066757202,0.6603999733924866,,,
12,,4068,,,,0.6547999978065491,0.6645569801330566,0.6524249911308289
13,0.00549386627972126,4099,0.005830025766044855,,,,,
13,0.005042967386543751,4149,0.005086593795567751,,,,,
13,0.0043146186508238316,4199,0.0041024349629879,,,,,
13,0.006118220277130604,4249,0.006023149471729994,,,,,
13,0.005050704348832369,4299,0.004769038874655962,,,,,
13,0.004816876724362373,4349,0.0038291108794510365,,,,,
13,,4381,,0.6682000160217285,0.6557999849319458,,,
13,,4381,,,,0.6619750261306763,0.6721716523170471,0.6645749807357788
14,0.006617279257625341,4399,0.0051858918741345406,,,,,
14,0.005659620743244886,4449,0.005831132177263498,,,,,
14,0.0059995329938828945,4499,0.004857225809246302,,,,,
14,0.0041018519550561905,4549,0.0046114553697407246,,,,,
14,0.007651718333363533,4599,0.0072122178971767426,,,,,
14,0.0060038017109036446,4649,0.007007624953985214,,,,,
14,,4694,,0.6643999814987183,0.6640999913215637,,,
14,,4694,,,,0.6708499789237976,0.667820394039154,0.6704999804496765
15,0.005436460953205824,4699,0.005872837267816067,,,,,
15,0.004412826616317034,4749,0.005546058528125286,,,,,
15,0.006043119356036186,4799,0.005774301942437887,,,,,
15,0.004376865923404694,4849,0.0055655851028859615,,,,,
15,0.005870279390364885,4899,0.006741044111549854,,,,,
15,0.004880235996097326,4949,0.004893739242106676,,,,,
15,0.005071970168501139,4999,0.0041076308116316795,,,,,
15,,5007,,0.6660000085830688,0.670799970626831,,,
15,,5007,,,,0.6726250052452087,0.6883900165557861,0.6722000241279602
16,0.006244797725230455,5049,0.006091986317187548,,,,,
16,0.005604309495538473,5099,0.006081955973058939,,,,,
16,0.0057595232501626015,5149,0.005195114761590958,,,,,
16,0.004121763166040182,5199,0.004743898753076792,,,,,
16,0.005004581529647112,5249,0.0065994239412248135,,,,,
16,0.004732432309538126,5299,0.004508655983954668,,,,,
16,,5320,,0.6743000149726868,0.682200014591217,,,
16,,5320,,,,0.6793749928474426,0.6844343543052673,0.6801999807357788
17,0.005441461689770222,5349,0.005436446517705917,,,,,
17,0.007503134198486805,5399,0.006362983491271734,,,,,
17,0.0054268683306872845,5449,0.0057319835759699345,,,,,
17,0.0052626533433794975,5499,0.0054058898240327835,,,,,
17,0.005950744263827801,5549,0.004558637272566557,,,,,
17,0.006484547164291143,5599,0.006268876604735851,,,,,
17,,5633,,0.6827999949455261,0.6862999796867371,,,
17,,5633,,,,0.688575029373169,0.6893789768218994,0.689050018787384
18,0.006661031395196915,5649,0.005909424275159836,,,,,
18,0.005671200808137655,5699,0.0047956472262740135,,,,,
18,0.004217856097966433,5749,0.0041032894514501095,,,,,
18,0.006047452334314585,5799,0.006253719329833984,,,,,
18,0.005528767593204975,5849,0.004943897482007742,,,,,
18,0.006331667769700289,5899,0.006547143217176199,,,,,
18,,5946,,0.6789000034332275,0.6970999836921692,,,
18,,5946,,,,0.6921250224113464,0.7029272317886353,0.6918500065803528
19,0.0053497496992349625,5949,0.005979514215141535,,,,,
19,0.005342574790120125,5999,0.005895641632378101,,,,,
19,0.00586883258074522,6049,0.006777897942811251,,,,,
19,0.005072874948382378,6099,0.004331337753683329,,,,,
19,0.008285162970423698,6149,0.007663187105208635,,,,,
19,0.0037877948489040136,6199,0.004773617256432772,,,,,
19,0.0056932284496724606,6249,0.004693562630563974,,,,,
19,,6259,,0.6827999949455261,0.6923999786376953,,,
19,,6259,,,,0.6973249912261963,0.695905864238739,0.6952250003814697
20,0.04783136770129204,6299,0.048715900629758835,,,,,
20,0.06295131891965866,6349,0.06678792089223862,,,,,
20,0.057237617671489716,6399,0.06279586255550385,,,,,
20,0.05698590725660324,6449,0.061531711369752884,,,,,
20,0.06584803014993668,6499,0.06867850571870804,,,,,
20,0.06013869121670723,6549,0.057533979415893555,,,,,
20,,6572,,0.614300012588501,0.5383999943733215,,,
20,,6572,,,,0.5762500166893005,0.5879153609275818,0.5815500020980835
21,0.0638013705611229,6599,0.060758113861083984,,,,,
21,0.05355813726782799,6649,0.05074293538928032,,,,,
21,0.05416728928685188,6699,0.054322052747011185,,,,,
21,0.05499422922730446,6749,0.052948903292417526,,,,,
21,0.06197911500930786,6799,0.05603097006678581,,,,,
21,0.05091719329357147,6849,0.051191721111536026,,,,,
21,,6885,,0.5558000206947327,0.4869999885559082,,,
21,,6885,,,,0.5931249856948853,0.6137262582778931,0.5943499803543091
22,0.04852738976478577,6899,0.04860334098339081,,,,,
22,0.05486427992582321,6949,0.05370951443910599,,,,,
22,0.05132101848721504,6999,0.05198465660214424,,,,,
22,0.06715724617242813,7049,0.06686275452375412,,,,,
22,0.053082745522260666,7099,0.054009731858968735,,,,,
22,0.06130979210138321,7149,0.06210511550307274,,,,,
22,,7198,,0.6055999994277954,0.5910999774932861,,,
22,,7198,,,,0.6002500057220459,0.6059137582778931,0.5977749824523926
23,0.05245360732078552,7199,0.052943624556064606,,,,,
23,0.06028948724269867,7249,0.06169373542070389,,,,,
23,0.06411207467317581,7299,0.06508763879537582,,,,,
23,0.07803329825401306,7349,0.07862596958875656,,,,,
23,0.07469019293785095,7399,0.07336502522230148,,,,,
23,0.060851454734802246,7449,0.06342759728431702,,,,,
23,0.0763503834605217,7499,0.07704194635152817,,,,,
23,,7511,,0.6062999963760376,0.6165000200271606,,,
23,,7511,,,,0.6079000234603882,0.6340981125831604,0.6047250032424927
24,0.10769398510456085,7549,0.10218503326177597,,,,,
24,0.06683289259672165,7599,0.07176690548658371,,,,,
24,0.05241796001791954,7649,0.05380374193191528,,,,,
24,0.05886389687657356,7699,0.060113027691841125,,,,,
24,0.08861555904150009,7749,0.08913581073284149,,,,,
24,0.07986687123775482,7799,0.08170285820960999,,,,,
24,,7824,,0.5171999931335449,0.5834000110626221,,,
24,,7824,,,,0.6072750091552734,0.6084849834442139,0.6096000075340271
25,0.07063345611095428,7849,0.06927843391895294,,,,,
25,0.07388180494308472,7899,0.0752919539809227,,,,,
25,0.06485391408205032,7949,0.06483075022697449,,,,,
25,0.06787312030792236,7999,0.06653396785259247,,,,,
25,0.06220530718564987,8049,0.06266670674085617,,,,,
25,0.08216077089309692,8099,0.08216743916273117,,,,,
25,,8137,,0.6215999722480774,0.5778999924659729,,,
25,,8137,,,,0.6166499853134155,0.6152096390724182,0.6141499876976013
26,0.05322477966547012,8149,0.05160912871360779,,,,,
26,0.08232246339321136,8199,0.08219737559556961,,,,,
26,0.05878448486328125,8249,0.05765179172158241,,,,,
26,0.09389228373765945,8299,0.09334374964237213,,,,,
26,0.0757814347743988,8349,0.0740048810839653,,,,,
26,0.07302864640951157,8399,0.07495088875293732,,,,,
26,0.07004715502262115,8449,0.07254143804311752,,,,,
26,,8450,,0.616100013256073,0.5562000274658203,,,
26,,8450,,,,0.6156250238418579,0.6046281456947327,0.6161749958992004
27,0.06849703937768936,8499,0.06789827346801758,,,,,
27,0.07909192144870758,8549,0.08482827991247177,,,,,
27,0.07605967670679092,8599,0.07352842390537262,,,,,
27,0.06403720378875732,8649,0.0651121735572815,,,,,
27,0.06653132289648056,8699,0.0653640627861023,,,,,
27,0.06091393902897835,8749,0.06104843318462372,,,,,
27,,8763,,0.5834000110626221,0.6015999913215637,,,
27,,8763,,,,0.613099992275238,0.6384493708610535,0.6191250085830688
28,0.06982842832803726,8799,0.07521068304777145,,,,,
28,0.07305888086557388,8849,0.07179814577102661,,,,,
28,0.07007578015327454,8899,0.07291232794523239,,,,,
28,0.06803148239850998,8949,0.06990058720111847,,,,,
28,0.06123524531722069,8999,0.06244850903749466,,,,,
28,0.06536956131458282,9049,0.06400532275438309,,,,,
28,,9076,,0.5713000297546387,0.578499972820282,,,
28,,9076,,,,0.6169000267982483,0.6283623576164246,0.6149500012397766
29,0.06673145294189453,9099,0.06877254694700241,,,,,
29,0.0696500688791275,9149,0.06941276788711548,,,,,
29,0.06441430747509003,9199,0.06334397196769714,,,,,
29,0.09111065417528152,9249,0.08876638114452362,,,,,
29,0.09790398180484772,9299,0.09805314987897873,,,,,
29,0.06581980735063553,9349,0.06704141944646835,,,,,
29,,9389,,0.5975000262260437,0.6193000078201294,,,
29,,9389,,,,0.6192749738693237,0.644382894039154,0.616474986076355
30,0.0659923106431961,9399,0.06674867868423462,,,,,
30,0.07706437259912491,9449,0.0738472267985344,,,,,
30,0.07604339718818665,9499,0.07755690068006516,,,,,
30,0.07596801966428757,9549,0.07448862493038177,,,,,
30,0.054620254784822464,9599,0.05265277624130249,,,,,
30,0.0798909068107605,9649,0.08446763455867767,,,,,
30,0.08455322682857513,9699,0.08727814257144928,,,,,
30,,9702,,0.5809000134468079,0.6017000079154968,,,
30,,9702,,,,0.6194499731063843,0.6455696225166321,0.6231499910354614
31,0.08097612112760544,9749,0.07944130897521973,,,,,
31,0.0705244243144989,9799,0.0733824148774147,,,,,
31,0.07375126332044601,9849,0.07277118414640427,,,,,
31,0.07008878141641617,9899,0.07564850151538849,,,,,
31,0.09204569458961487,9949,0.09331192076206207,,,,,
31,0.062248390167951584,9999,0.06279987841844559,,,,,
31,,10015,,0.565500020980835,0.588100016117096,,,
31,,10015,,,,0.6244999766349792,0.642405092716217,0.6208999752998352
32,0.06944254040718079,10049,0.06801754981279373,,,,,
32,0.06197357177734375,10099,0.060367606580257416,,,,,
32,0.08693522214889526,10149,0.08538424223661423,,,,,
32,0.08456110954284668,10199,0.08195054531097412,,,,,
32,0.08089737594127655,10249,0.08585133403539658,,,,,
32,0.06738008558750153,10299,0.07170561701059341,,,,,
32,,10328,,0.6359000205993652,0.5960999727249146,,,
32,,10328,,,,0.6277750134468079,0.6194620132446289,0.626924991607666
33,0.08902467787265778,10349,0.08524449914693832,,,,,
33,0.06055659428238869,10399,0.05974426120519638,,,,,
33,0.06497266888618469,10449,0.06592951714992523,,,,,
33,0.058164358139038086,10499,0.05754760280251503,,,,,
33,0.07784487307071686,10549,0.07817792147397995,,,,,
33,0.06706664711236954,10599,0.06955654174089432,,,,,
33,,10641,,0.6323000192642212,0.5924999713897705,,,
33,,10641,,,,0.6236500144004822,0.6337025165557861,0.6237000226974487
34,0.06820709258317947,10649,0.06696023792028427,,,,,
34,0.05794160068035126,10699,0.05735950544476509,,,,,
34,0.07478459179401398,10749,0.0713634341955185,,,,,
34,0.05851909890770912,10799,0.05775125324726105,,,,,
34,0.08734674006700516,10849,0.09043025225400925,,,,,
34,0.07123397290706635,10899,0.06950719654560089,,,,,
34,0.06469844281673431,10949,0.06578926742076874,,,,,
34,,10954,,0.5834000110626221,0.5918999910354614,,,
34,,10954,,,,0.6240500211715698,0.655656635761261,0.6253250241279602
35,0.07174938172101974,10999,0.07438169419765472,,,,,
35,0.06205551698803902,11049,0.06175082549452782,,,,,
35,0.07621707022190094,11099,0.07896575331687927,,,,,
35,0.06647547334432602,11149,0.06815124303102493,,,,,
35,0.08317649364471436,11199,0.08583315461874008,,,,,
35,0.07549740374088287,11249,0.06907232850790024,,,,,
35,,11267,,0.5735999941825867,0.5958999991416931,,,
35,,11267,,,,0.6293249726295471,0.6199564933776855,0.6303250193595886
36,0.08114299923181534,11299,0.0861552283167839,,,,,
36,0.06203734874725342,11349,0.0645965114235878,,,,,
36,0.08501628041267395,11399,0.0815148651599884,,,,,
36,0.05803288519382477,11449,0.05642842501401901,,,,,
36,0.08758439123630524,11499,0.08759188652038574,,,,,
36,0.06935635954141617,11549,0.07042254507541656,,,,,
36,,11580,,0.626800000667572,0.59579998254776,,,
36,,11580,,,,0.6276249885559082,0.6427017450332642,0.6284250020980835
37,0.0872255489230156,11599,0.08887558430433273,,,,,
37,0.06226973235607147,11649,0.0626731887459755,,,,,
37,0.08030309528112411,11699,0.07955892384052277,,,,,
37,0.06409193575382233,11749,0.06685925275087357,,,,,
37,0.08600939810276031,11799,0.0812867134809494,,,,,
37,0.05748024582862854,11849,0.058888062834739685,,,,,
37,,11893,,0.6308000087738037,0.6075999736785889,,,
37,,11893,,,,0.6303750276565552,0.6528876423835754,0.628000020980835
38,0.0739639475941658,11899,0.07386497408151627,,,,,
38,0.06402526050806046,11949,0.06318455934524536,,,,,
38,0.053499456495046616,11999,0.05534960702061653,,,,,
38,0.07518400251865387,12049,0.07692831754684448,,,,,
38,0.06368443369865417,12099,0.06504072993993759,,,,,
38,0.07748439162969589,12149,0.07417868077754974,,,,,
38,0.0758063793182373,12199,0.0766887441277504,,,,,
38,,12206,,0.5774999856948853,0.6341000199317932,,,
38,,12206,,,,0.635325014591217,0.635977029800415,0.6290500164031982
39,0.06042717397212982,12249,0.06272703409194946,,,,,
39,0.07585707306861877,12299,0.0711059644818306,,,,,
39,0.06931380927562714,12349,0.07144774496555328,,,,,
39,0.06351668387651443,12399,0.06564969569444656,,,,,
39,0.07086355239152908,12449,0.07114370912313461,,,,,
39,0.07644622772932053,12499,0.07956407219171524,,,,,
39,,12519,,0.6288999915122986,0.6240000128746033,,,
39,,12519,,,,0.6284250020980835,0.6335047483444214,0.6267250180244446
40,0.12658728659152985,12549,0.1171550527215004,,,,,
40,0.0744677409529686,12599,0.07394631206989288,,,,,
40,0.0876045972108841,12649,0.0841788798570633,,,,,
40,0.08438326418399811,12699,0.08862687647342682,,,,,
40,0.06967371702194214,12749,0.07257836312055588,,,,,
40,0.07572199404239655,12799,0.07726630568504333,,,,,
40,,12832,,0.6186000108718872,0.6363999843597412,,,
40,,12832,,,,0.6339499950408936,0.6240110993385315,0.631850004196167
41,0.06376451253890991,12849,0.0654570460319519,,,,,
41,0.07168219238519669,12899,0.07946676015853882,,,,,
41,0.0622248500585556,12949,0.0625726506114006,,,,,
41,0.06843560189008713,12999,0.07069917768239975,,,,,
41,0.07378879189491272,13049,0.07507584244012833,,,,,
41,0.05849380046129227,13099,0.05824312940239906,,,,,
41,,13145,,0.6140000224113464,0.6021000146865845,,,
41,,13145,,,,0.6295250058174133,0.6476463675498962,0.629925012588501
42,0.06947994977235794,13149,0.06650981307029724,,,,,
42,0.07683560252189636,13199,0.07214054465293884,,,,,
42,0.07718239724636078,13249,0.08239539712667465,,,,,
42,0.0697765126824379,13299,0.07025758177042007,,,,,
42,0.07350423187017441,13349,0.07290597259998322,,,,,
42,0.06209452077746391,13399,0.06363523006439209,,,,,
42,0.06739457696676254,13449,0.0699075311422348,,,,,
42,,13458,,0.6047999858856201,0.6043999791145325,,,
42,,13458,,,,0.6326000094413757,0.6240110993385315,0.6284499764442444
43,0.07536989450454712,13499,0.074622243642807,,,,,
43,0.08559731394052505,13549,0.08224885165691376,,,,,
43,0.0939474031329155,13599,0.09229890257120132,,,,,
43,0.0761418491601944,13649,0.07731878012418747,,,,,
43,0.058615341782569885,13699,0.0607418566942215,,,,,
43,0.08940412849187851,13749,0.0837826058268547,,,,,
43,,13771,,0.6096000075340271,0.6273999810218811,,,
43,,13771,,,,0.6297749876976013,0.6404272317886353,0.6334499716758728
44,0.05402461066842079,13799,0.055139075964689255,,,,,
44,0.0767725333571434,13849,0.07828991860151291,,,,,
44,0.06973668187856674,13899,0.06899318844079971,,,,,
44,0.06902947276830673,13949,0.06983472406864166,,,,,
44,0.07526643574237823,13999,0.07658752053976059,,,,,
44,0.07592244446277618,14049,0.07806028425693512,,,,,
44,,14084,,0.6065000295639038,0.6381999850273132,,,
44,,14084,,,,0.6316750049591064,0.6333069801330566,0.6319500207901001
45,0.056385722011327744,14099,0.05870533734560013,,,,,
45,0.06011508032679558,14149,0.05727776512503624,,,,,
45,0.07725559175014496,14199,0.0825413316488266,,,,,
45,0.062430281192064285,14249,0.06343349069356918,,,,,
45,0.05714895948767662,14299,0.057249296456575394,,,,,
45,0.07803449034690857,14349,0.07765498012304306,,,,,
45,,14397,,0.6395999789237976,0.6492000222206116,,,
45,,14397,,,,0.6334499716758728,0.6336036324501038,0.630649983882904
46,0.06371365487575531,14399,0.06647569686174393,,,,,
46,0.04771222546696663,14449,0.0460759699344635,,,,,
46,0.06604105979204178,14499,0.07058250904083252,,,,,
46,0.06569992005825043,14549,0.06955550611019135,,,,,
46,0.08252444863319397,14599,0.07761584222316742,,,,,
46,0.0781407505273819,14649,0.07744692265987396,,,,,
46,0.06866525113582611,14699,0.0653255507349968,,,,,
46,,14710,,0.6087999939918518,0.6575000286102295,,,
46,,14710,,,,0.6383500099182129,0.6378560066223145,0.6352750062942505
47,0.06416765600442886,14749,0.06583921611309052,,,,,
47,0.08976270258426666,14799,0.09062841534614563,,,,,
47,0.07884678989648819,14849,0.0783865824341774,,,,,
47,0.06560153514146805,14899,0.06819012016057968,,,,,
47,0.05964266136288643,14949,0.06085371971130371,,,,,
47,0.07467392086982727,14999,0.0771164670586586,,,,,
47,,15023,,0.5992000102996826,0.6198999881744385,,,
47,,15023,,,,0.6344000101089478,0.6497231125831604,0.6341500282287598
48,0.0691659152507782,15049,0.07075123488903046,,,,,
48,0.0726415142416954,15099,0.06959137320518494,,,,,
48,0.07466283440589905,15149,0.07279526442289352,,,,,
48,0.06440284848213196,15199,0.061596497893333435,,,,,
48,0.058325640857219696,15249,0.05696314200758934,,,,,
48,0.08539869636297226,15299,0.09069301187992096,,,,,
48,,15336,,0.5871999859809875,0.5878999829292297,,,
48,,15336,,,,0.6376000046730042,0.6242088675498962,0.6371750235557556
49,0.05110514163970947,15349,0.053302209824323654,,,,,
49,0.11097560822963715,15399,0.11200308799743652,,,,,
49,0.062159664928913116,15449,0.06248340755701065,,,,,
49,0.065290167927742,15499,0.06492030620574951,,,,,
