step,train_loss,epoch,val_acc,val_loss,test_acc,train_acc
49,2.402592420578003,0,,,,
99,2.134936571121216,0,,,,
149,2.067460060119629,0,,,,
199,1.9958107471466064,0,,,,
249,1.9473429918289185,0,,,,
299,1.9919369220733643,0,,,,
311,,0,0.30329999327659607,1.9020806550979614,,
311,,0,,,0.3100999891757965,0.19834235310554504
349,1.8867835998535156,1,,,,
399,1.928147792816162,1,,,,
449,1.7097382545471191,1,,,,
499,1.7253235578536987,1,,,,
549,1.8666479587554932,1,,,,
599,1.6582599878311157,1,,,,
623,,1,0.37049999833106995,1.726082444190979,,
623,,1,,,0.37959998846054077,0.31049680709838867
649,1.7896449565887451,2,,,,
699,1.7724894285202026,2,,,,
749,1.6850590705871582,2,,,,
799,1.6133862733840942,2,,,,
849,1.6470783948898315,2,,,,
899,1.7902144193649292,2,,,,
935,,2,0.4129999876022339,1.5991361141204834,,
935,,2,,,0.41609999537467957,0.38083434104919434
949,1.4960570335388184,3,,,,
999,1.4707467555999756,3,,,,
1049,1.5461804866790771,3,,,,
1099,1.769555687904358,3,,,,
1149,1.668691635131836,3,,,,
1199,1.6299583911895752,3,,,,
1247,,3,0.4332999885082245,1.5824731588363647,,
1247,,3,,,0.4453999996185303,0.43279245495796204
1249,1.517521619796753,4,,,,
1299,1.456055998802185,4,,,,
1349,1.2838701009750366,4,,,,
1399,1.44862961769104,4,,,,
1449,1.4029114246368408,4,,,,
1499,1.5386443138122559,4,,,,
1549,1.4094109535217285,4,,,,
1559,,4,0.4627000093460083,1.5232969522476196,,
1559,,4,,,0.48660001158714294,0.4850260317325592
1599,1.563823938369751,5,,,,
1649,1.5028659105300903,5,,,,
1699,1.2083791494369507,5,,,,
1749,1.1660401821136475,5,,,,
1799,1.3196238279342651,5,,,,
1849,1.3173506259918213,5,,,,
1871,,5,0.49720001220703125,1.4273581504821777,,
1871,,5,,,0.5081999897956848,0.5308243036270142
1899,1.0253368616104126,6,,,,
1949,1.4779070615768433,6,,,,
1999,1.2255256175994873,6,,,,
2049,1.410703420639038,6,,,,
2099,0.9642437100410461,6,,,,
2149,1.161845088005066,6,,,,
2183,,6,0.5756000280380249,1.2229321002960205,,
2183,,6,,,0.6046000123023987,0.5759715437889099
2199,1.0738317966461182,7,,,,
2249,1.1884511709213257,7,,,,
2299,1.0374609231948853,7,,,,
2349,1.1308420896530151,7,,,,
2399,1.1550832986831665,7,,,,
2449,1.0388590097427368,7,,,,
2495,,7,0.5946999788284302,1.1744862794876099,,
2495,,7,,,0.6133000254631042,0.6117788553237915
2499,1.0735344886779785,8,,,,
2549,1.0434187650680542,8,,,,
2599,1.0093932151794434,8,,,,
2649,1.0936418771743774,8,,,,
2699,1.1365396976470947,8,,,,
2749,1.0878149271011353,8,,,,
2799,1.0207170248031616,8,,,,
2807,,8,0.645799994468689,1.0561367273330688,,
2807,,8,,,0.671500027179718,0.6463341116905212
2849,0.8896436095237732,9,,,,
2899,0.7678099274635315,9,,,,
2949,0.8734850287437439,9,,,,
2999,0.8773768544197083,9,,,,
3049,1.0736863613128662,9,,,,
3099,1.006342887878418,9,,,,
3119,,9,0.675599992275238,1.0101819038391113,,
3119,,9,,,0.704200029373169,0.6747546195983887
3149,0.9385079145431519,10,,,,
3199,0.9026795625686646,10,,,,
3249,0.870945930480957,10,,,,
3299,0.907035768032074,10,,,,
3349,0.7809123992919922,10,,,,
3399,0.8231241703033447,10,,,,
3431,,10,0.6460999846458435,1.0946587324142456,,
3431,,10,,,0.6765999794006348,0.6981420516967773
3449,0.7367668151855469,11,,,,
3499,0.8773645162582397,11,,,,
3549,1.0003669261932373,11,,,,
3599,0.8578929305076599,11,,,,
3649,0.8725001215934753,11,,,,
3699,0.7826939225196838,11,,,,
3743,,11,0.6973999738693237,1.0067358016967773,,
3743,,11,,,0.7206000089645386,0.7197015285491943
3749,0.9665834307670593,12,,,,
3799,0.8845230937004089,12,,,,
3849,0.709530770778656,12,,,,
3899,0.7845653295516968,12,,,,
3949,0.8461840748786926,12,,,,
