epoch,step,train_loss,val_loss,val_acc,test_acc,train_acc
0,49,3.6765947341918945,,,,
0,99,3.111713409423828,,,,
0,149,2.7872421741485596,,,,
0,199,3.02508544921875,,,,
0,249,2.657346725463867,,,,
0,299,2.8651342391967773,,,,
0,311,,2.01653790473938,0.41909998655319214,,
0,311,,,,0.460099995136261,0.32594650983810425
1,349,3.019129514694214,,,,
1,399,2.923043727874756,,,,
1,449,2.9348552227020264,,,,
1,499,2.8107218742370605,,,,
1,549,3.2785611152648926,,,,
1,599,2.4663240909576416,,,,
1,623,,1.554196834564209,0.47450000047683716,,
1,623,,,,0.5199000239372253,0.42763420939445496
2,649,2.319236993789673,,,,
2,699,2.294828414916992,,,,
2,749,2.6154539585113525,,,,
2,799,2.2504189014434814,,,,
2,849,2.226369857788086,,,,
2,899,2.2246828079223633,,,,
2,935,,1.349590539932251,0.5572999715805054,,
2,935,,,,0.6241000294685364,0.5125450491905212
3,949,2.137800693511963,,,,
3,999,2.3551440238952637,,,,
3,1049,1.980893850326538,,,,
3,1099,2.056689739227295,,,,
3,1149,2.2632548809051514,,,,
3,1199,2.133457899093628,,,,
3,1247,,1.295832872390747,0.5753999948501587,,
3,1247,,,,0.6395999789237976,0.5631510615348816
4,1249,2.2971010208129883,,,,
4,1299,2.064073324203491,,,,
4,1349,2.2333431243896484,,,,
4,1399,1.8590188026428223,,,,
4,1449,2.3437113761901855,,,,
4,1499,1.844010353088379,,,,
4,1549,1.980158805847168,,,,
4,1559,,1.385697841644287,0.5764999985694885,,
4,1559,,,,0.6355999708175659,0.6081230044364929
5,1599,2.1707324981689453,,,,
5,1649,1.5571547746658325,,,,
5,1699,1.8146158456802368,,,,
5,1749,1.8370459079742432,,,,
5,1799,1.8295973539352417,,,,
5,1849,2.102465867996216,,,,
5,1871,,1.270599365234375,0.6166999936103821,,
5,1871,,,,0.698199987411499,0.6341395974159241
6,1899,1.642682433128357,,,,
6,1949,2.085723638534546,,,,
6,1999,1.6972970962524414,,,,
6,2049,1.8301867246627808,,,,
6,2099,1.8552277088165283,,,,
6,2149,1.7692307233810425,,,,
6,2183,,1.1768019199371338,0.6572999954223633,,
6,2183,,,,0.7343999743461609,0.6531199812889099
7,2199,1.8219201564788818,,,,
7,2249,1.6470026969909668,,,,
7,2299,1.8177932500839233,,,,
7,2349,1.5557562112808228,,,,
7,2399,1.4351320266723633,,,,
7,2449,1.78219735622406,,,,
7,2495,,1.2634270191192627,0.645799994468689,,
7,2495,,,,0.7200999855995178,0.6711989045143127
8,2499,1.243937373161316,,,,
8,2549,1.353860855102539,,,,
8,2599,1.4003465175628662,,,,
8,2649,1.4237756729125977,,,,
8,2699,1.3207250833511353,,,,
8,2749,1.1386895179748535,,,,
8,2799,1.394731879234314,,,,
8,2807,,1.2041034698486328,0.6632000207901001,,
8,2807,,,,0.7432000041007996,0.6857472062110901
9,2849,1.2624177932739258,,,,
9,2899,1.2745331525802612,,,,
9,2949,1.2259588241577148,,,,
9,2999,1.5497850179672241,,,,
9,3049,1.2188516855239868,,,,
9,3099,1.2556763887405396,,,,
9,3119,,1.2407410144805908,0.6636000275611877,,
9,3119,,,,0.7501999735832214,0.6968649625778198
10,3149,0.9476665258407593,,,,
10,3199,1.4731621742248535,,,,
10,3249,1.1120333671569824,,,,
10,3299,1.2192292213439941,,,,
10,3349,1.1715426445007324,,,,
10,3399,1.1801002025604248,,,,
10,3431,,1.2012183666229248,0.6998999714851379,,
10,3431,,,,0.7979000210762024,0.7030248641967773
11,3449,1.1877750158309937,,,,
11,3499,1.2718989849090576,,,,
11,3549,1.1515586376190186,,,,
11,3599,1.0942285060882568,,,,
11,3649,1.3443330526351929,,,,
11,3699,1.0624415874481201,,,,
11,3743,,1.256292700767517,0.7019000053405762,,
11,3743,,,,0.8011000156402588,0.7134665250778198
12,3749,1.0374906063079834,,,,
12,3799,1.0593819618225098,,,,
12,3849,1.1418027877807617,,,,
12,3899,0.9456689357757568,,,,
12,3949,1.0721361637115479,,,,
12,3999,1.0963815450668335,,,,
12,4049,1.0304718017578125,,,,
12,4055,,1.2759625911712646,0.7013999819755554,,
12,4055,,,,0.7940999865531921,0.7200270295143127
13,4099,0.9582745432853699,,,,
13,4149,0.7740773558616638,,,,
13,4199,1.0325902700424194,,,,
13,4249,0.862847089767456,,,,
13,4299,1.0929410457611084,,,,
13,4349,1.061647653579712,,,,
13,4367,,1.36039400100708,0.6948000192642212,,
13,4367,,,,0.7965999841690063,0.7270632982254028
14,4399,1.049098253250122,,,,
14,4449,0.8463870286941528,,,,
14,4499,0.7936598062515259,,,,
14,4549,0.8324935436248779,,,,
14,4599,0.7452583312988281,,,,
14,4649,0.8272190093994141,,,,
14,4679,,1.3762379884719849,0.7020000219345093,,
14,4679,,,,0.8004000186920166,0.7321965098381042
15,4699,0.6189764738082886,,,,
15,4749,0.7133606672286987,,,,
15,4799,0.8585865497589111,,,,
15,4849,0.852609395980835,,,,
15,4899,0.8449337482452393,,,,
15,4949,0.9271488189697266,,,,
15,4991,,1.322945475578308,0.7170000076293945,,
15,4991,,,,0.8192999958992004,0.7341246008872986
