step,epoch,train_loss,val_acc,test_acc,train_acc
9076,28,,,0.1002769023180008,0.09965000301599503
9099,29,nan,,,
9149,29,nan,,,
9199,29,nan,,,
9249,29,nan,,,
9299,29,nan,,,
9349,29,nan,,,
9389,29,,0.10140000283718109,,
9389,29,,,0.1002769023180008,0.09965000301599503
9399,30,nan,,,
9449,30,nan,,,
9499,30,nan,,,
9549,30,nan,,,
9599,30,nan,,,
9649,30,nan,,,
9699,30,nan,,,
9702,30,,0.10140000283718109,,
9702,30,,,0.1002769023180008,0.09965000301599503
9749,31,nan,,,
9799,31,nan,,,
9849,31,nan,,,
9899,31,nan,,,
9949,31,nan,,,
9999,31,nan,,,
10015,31,,0.10140000283718109,,
10015,31,,,0.1002769023180008,0.09965000301599503
10049,32,nan,,,
10099,32,nan,,,
10149,32,nan,,,
10199,32,nan,,,
10249,32,nan,,,
10299,32,nan,,,
10328,32,,0.10140000283718109,,
10328,32,,,0.1002769023180008,0.09965000301599503
10349,33,nan,,,
10399,33,nan,,,
10449,33,nan,,,
10499,33,nan,,,
10549,33,nan,,,
10599,33,nan,,,
10641,33,,0.10140000283718109,,
10641,33,,,0.1002769023180008,0.09965000301599503
10649,34,nan,,,
10699,34,nan,,,
10749,34,nan,,,
10799,34,nan,,,
10849,34,nan,,,
10899,34,nan,,,
10949,34,nan,,,
10954,34,,0.10140000283718109,,
10954,34,,,0.1002769023180008,0.09965000301599503
10999,35,nan,,,
11049,35,nan,,,
11099,35,nan,,,
11149,35,nan,,,
11199,35,nan,,,
11249,35,nan,,,
11267,35,,0.10140000283718109,,
11267,35,,,0.1002769023180008,0.09965000301599503
11299,36,nan,,,
11349,36,nan,,,
11399,36,nan,,,
11449,36,nan,,,
11499,36,nan,,,
11549,36,nan,,,
11580,36,,0.10140000283718109,,
11580,36,,,0.1002769023180008,0.09965000301599503
11599,37,nan,,,
11649,37,nan,,,
11699,37,nan,,,
11749,37,nan,,,
11799,37,nan,,,
11849,37,nan,,,
11893,37,,0.10140000283718109,,
11893,37,,,0.1002769023180008,0.09965000301599503
11899,38,nan,,,
11949,38,nan,,,
11999,38,nan,,,
12049,38,nan,,,
12099,38,nan,,,
12149,38,nan,,,
