train_loss,epoch,step,val_acc,val_loss,train_acc,test_acc,mix_match_loss
3.122101306915283,0,49,,,,,
2.3597476482391357,0,99,,,,,
2.017457962036133,0,149,,,,,
2.0693626403808594,0,199,,,,,
2.0692291259765625,0,249,,,,,
2.0650534629821777,0,299,,,,,
,0,311,0.2606000006198883,2.042146921157837,,,
,0,311,,,0.19313400983810425,0.2597903609275818,
1.764865756034851,1,349,,,,,
1.8438796997070312,1,399,,,,,
1.923629641532898,1,449,,,,,
1.9647518396377563,1,499,,,,,
1.652705430984497,1,549,,,,,
1.6324111223220825,1,599,,,,,
,1,623,0.3546000123023987,1.7250896692276,,,
,1,623,,,0.3122245669364929,0.39171281456947327,
1.7040979862213135,2,649,,,,,
1.693342924118042,2,699,,,,,
1.621454119682312,2,749,,,,,
1.692718744277954,2,799,,,,,
1.8519070148468018,2,849,,,,,
1.5572279691696167,2,899,,,,,
,2,935,0.4047999978065491,1.6137245893478394,,,
,2,935,,,0.37257111072540283,0.4323576092720032,
1.7823052406311035,3,949,,,,,
1.6728676557540894,3,999,,,,,
1.79739511013031,3,1049,,,,,
1.702316164970398,3,1099,,,,,
1.4825899600982666,3,1149,,,,,
1.5049324035644531,3,1199,,,,,
,3,1247,0.4447000026702881,1.5474683046340942,,,
,3,1247,,,0.41553986072540283,0.4657832384109497,
1.5536308288574219,4,1249,,,,,
1.423282504081726,4,1299,,,,,
1.4546006917953491,4,1349,,,,,
1.4879851341247559,4,1399,,,,,
1.303483247756958,4,1449,,,,,
1.4470397233963013,4,1499,,,,,
1.3899985551834106,4,1549,,,,,
,4,1559,0.5058000087738037,1.3885384798049927,,,
,4,1559,,,0.4698517620563507,0.533030092716217,
1.2760459184646606,5,1599,,,,,
1.222893476486206,5,1649,,,,,
1.557766318321228,5,1699,,,,,
1.3775852918624878,5,1749,,,,,
1.1542634963989258,5,1799,,,,,
1.450670838356018,5,1849,,,,,
,5,1871,0.5496000051498413,1.30117666721344,,,
,5,1871,,,0.5127203464508057,0.5701147317886353,
1.3595589399337769,6,1899,,,,,
1.5846744775772095,6,1949,,,,,
1.2573726177215576,6,1999,,,,,
1.3152509927749634,6,2049,,,,,
1.2543840408325195,6,2099,,,,,
1.286322832107544,6,2149,,,,,
,6,2183,0.5473999977111816,1.3290742635726929,,,
,6,2183,,,0.5470252633094788,0.597804605960846,
1.1619352102279663,7,2199,,,,,
1.3671170473098755,7,2249,,,,,
1.4660032987594604,7,2299,,,,,
1.053709626197815,7,2349,,,,,
1.3756479024887085,7,2399,,,,,
1.1815567016601562,7,2449,,,,,
,7,2495,0.6233999729156494,1.1176700592041016,,,
,7,2495,,,0.5749449133872986,0.6391416192054749,
1.1052783727645874,8,2499,,,,,
1.253036379814148,8,2549,,,,,
1.2571775913238525,8,2599,,,,,
1.1508413553237915,8,2649,,,,,
0.9952942132949829,8,2699,,,,,
1.1829172372817993,8,2749,,,,,
1.0232582092285156,8,2799,,,,,
,8,2807,0.6139000058174133,1.1598827838897705,,,
,8,2807,,,0.5948768258094788,0.6454707384109497,
1.1895747184753418,9,2849,,,,,
