step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
3549,11,1.1493022441864014,,,,
3599,11,0.8487621545791626,,,,
3649,11,1.0942875146865845,,,,
3699,11,0.9704963564872742,,,,
3743,11,,1.1483482122421265,0.6403999924659729,,
3743,11,,,,0.6473608016967773,0.7250999808311462
3749,12,1.1534545421600342,,,,
3799,12,1.0902758836746216,,,,
3849,12,1.1665138006210327,,,,
3899,12,1.0419995784759521,,,,
3949,12,0.9387626051902771,,,,
3999,12,1.0167196989059448,,,,
4049,12,0.8124291896820068,,,,
4055,12,,1.1616921424865723,0.6410999894142151,,
4055,12,,,,0.6625601053237915,0.7304999828338623
4099,13,0.8925254940986633,,,,
4149,13,0.9517231583595276,,,,
4199,13,1.0904022455215454,,,,
4249,13,1.1552917957305908,,,,
4299,13,0.9481018781661987,,,,
4349,13,0.9553080201148987,,,,
4367,13,,1.1277949810028076,0.656499981880188,,
4367,13,,,,0.6768078804016113,0.7480000257492065
4399,14,1.1745061874389648,,,,
4449,14,0.9669108986854553,,,,
4499,14,1.2021429538726807,,,,
4549,14,0.9100088477134705,,,,
4599,14,0.9913123846054077,,,,
4649,14,0.9138320684432983,,,,
4679,14,,1.0723955631256104,0.6743000149726868,,
4679,14,,,,0.6890274286270142,0.7681999802589417
4699,15,1.1038442850112915,,,,
4749,15,0.9420933723449707,,,,
4799,15,1.2046254873275757,,,,
4849,15,1.0745264291763306,,,,
4899,15,0.9586822986602783,,,,
4949,15,0.9840489625930786,,,,
4991,15,,1.0641988515853882,0.6825000047683716,,
4991,15,,,,0.6990434527397156,0.7771000266075134
4999,16,0.7465533018112183,,,,
5049,16,0.8945770859718323,,,,
5099,16,0.9745078682899475,,,,
5149,16,0.957677960395813,,,,
5199,16,1.0808013677597046,,,,
5249,16,1.0302423238754272,,,,
5299,16,1.1219148635864258,,,,
5303,16,,1.0217738151550293,0.6959999799728394,,
5303,16,,,,0.7080328464508057,0.7886999845504761
5349,17,1.074679970741272,,,,
5399,17,0.8278321623802185,,,,
5449,17,0.9798262119293213,,,,
5499,17,0.8395518064498901,,,,
5549,17,0.9545110464096069,,,,
5599,17,0.9628642797470093,,,,
5615,17,,1.0272926092147827,0.6980999708175659,,
5615,17,,,,0.7166967391967773,0.7838000059127808
