step,epoch,train_loss1,train_loss2,test_acc,train_acc2,train_acc1
49,0,0.014738435856997967,0.01513435784727335,,,
99,0,0.01420966163277626,0.015255329199135303,,,
149,0,0.01396577525883913,0.013730454258620739,,,
199,0,0.01346070971339941,0.01387049164623022,,,
249,0,0.01334507018327713,0.012975340709090233,,,
299,0,0.012581294402480125,0.012331053614616394,,,
349,0,0.012721647508442402,0.013173261657357216,,,
389,0,,,0.49729999899864197,0.3513421416282654,0.37175479531288147
399,1,0.010487759485840797,0.011140466667711735,,,
449,1,0.011597915552556515,0.011940705589950085,,,
499,1,0.010865814983844757,0.010496605187654495,,,
549,1,0.010680826380848885,0.010622058063745499,,,
599,1,0.012136701494455338,0.011562971398234367,,,
649,1,0.01133818831294775,0.011187042109668255,,,
699,1,0.009588970802724361,0.0094872135668993,,,
749,1,0.009747300297021866,0.00987944845110178,,,
779,1,,,0.6085000038146973,0.49264824390411377,0.5082331895828247
799,2,0.00946048740297556,0.009936735965311527,,,
849,2,0.010650908574461937,0.010678968392312527,,,
899,2,0.008728827349841595,0.008908774703741074,,,
949,2,0.008478827774524689,0.008694990538060665,,,
999,2,0.00861860066652298,0.009150762110948563,,,
1049,2,0.010075322352349758,0.010279295034706593,,,
1099,2,0.007824519649147987,0.007971042767167091,,,
1149,2,0.00898386724293232,0.008945097215473652,,,
1169,2,,,0.659500002861023,0.5641226172447205,0.5713140964508057
1199,3,0.007048433646559715,0.007684206590056419,,,
1249,3,0.007996508851647377,0.007685072720050812,,,
1299,3,0.009840787388384342,0.009876814670860767,,,
1349,3,0.008177326992154121,0.008821563795208931,,,
1399,3,0.00845856498926878,0.008654427714645863,,,
1449,3,0.0062559801153838634,0.00565084395930171,,,
1499,3,0.007690603844821453,0.008635048754513264,,,
1549,3,0.00757617736235261,0.008166393265128136,,,
1559,3,,,0.703000009059906,0.6081730723381042,0.6132011413574219
1599,4,0.008600416593253613,0.008203772827982903,,,
1649,4,0.006905992515385151,0.00663389079272747,,,
1699,4,0.006462957244366407,0.006649148650467396,,,
1749,4,0.004522354807704687,0.005288259591907263,,,
1799,4,0.006965016946196556,0.007033973466604948,,,
1849,4,0.005546738393604755,0.005430150311440229,,,
1899,4,0.007353992201387882,0.007691960781812668,,,
1949,4,0.0067807952873408794,0.006744578946381807,,,
1949,4,,,0.7346000075340271,0.6412860751152039,0.6450320482254028
1999,5,0.005747698247432709,0.005778301507234573,,,
2049,5,0.008572171442210674,0.009014932438731194,,,
2099,5,0.005664355121552944,0.005704740062355995,,,
2149,5,0.006300055421888828,0.005685106851160526,,,
2199,5,0.006707451306283474,0.00700260978192091,,,
2249,5,0.0047952281311154366,0.004491653759032488,,,
2299,5,0.00657576322555542,0.006783702410757542,,,
2339,5,,,0.7875999808311462,0.6659855842590332,0.6675680875778198
2349,6,0.005721483379602432,0.0068907542154192924,,,
2399,6,0.00572975305840373,0.005968734156340361,,,
2449,6,0.005162188317626715,0.005713369231671095,,,
2499,6,0.0045084236189723015,0.005776052363216877,,,
2549,6,0.004157820716500282,0.0036883510183542967,,,
2599,6,0.005098056513816118,0.005340782459825277,,,
2649,6,0.006252913735806942,0.005486353766173124,,,
2699,6,0.004964885767549276,0.00500404741615057,,,
2729,6,,,0.7577000260353088,0.6824719309806824,0.6830729246139526
2749,7,0.0030644892249256372,0.002695735776796937,,,
2799,7,0.0030085488688200712,0.0029582895804196596,,,
2849,7,0.005391528829932213,0.0053892056457698345,,,
2899,7,0.0033078656997531652,0.003876142203807831,,,
2949,7,0.004106319975107908,0.004969634581357241,,,
2999,7,0.005654037930071354,0.005812875926494598,,,
3049,7,0.004617099650204182,0.004411462228745222,,,
3099,7,0.0034097065217792988,0.003240918507799506,,,
3119,7,,,0.8047000169754028,0.6948717832565308,0.6980168223381042
3149,8,0.0032492198515683413,0.002981011988595128,,,
3199,8,0.004470942076295614,0.004526561591774225,,,
3249,8,0.002539136679843068,0.0026876337360590696,,,
3299,8,0.007625604048371315,0.006919377483427525,,,
3349,8,0.003098109969869256,0.003481779247522354,,,
3399,8,0.003278231481090188,0.003640954615548253,,,
3449,8,0.003312193090096116,0.003950986545532942,,,
3499,8,0.0030822043772786856,0.0032943221740424633,,,
3509,8,,,0.8073999881744385,0.7075721025466919,0.7069110870361328
3549,9,0.0025003785267472267,0.002283639507368207,,,
3599,9,0.0038413992151618004,0.004209144506603479,,,
3649,9,0.005028648301959038,0.003609258681535721,,,
3699,9,0.0043932534754276276,0.00406277272850275,,,
3749,9,0.0029485030099749565,0.003284503472968936,,,
3799,9,0.004304402973502874,0.0034500975161790848,,,
3849,9,0.002131375251337886,0.0019481792114675045,,,
3899,9,0.003556873882189393,0.0037080873735249043,,,
3899,9,,,0.7853000164031982,0.7153846025466919,0.7147235870361328
3949,10,0.005207808222621679,0.006027619354426861,,,
3999,10,0.0026260255835950375,0.002352315466850996,,,
4049,10,0.002125691855326295,0.0019009034149348736,,,
4099,10,0.001610705628991127,0.001520926714874804,,,
4149,10,0.002904194872826338,0.003367841709405184,,,
4199,10,0.003050444647669792,0.003193323267623782,,,
