train_loss,epoch,step,val_acc,train_acc,test_acc
0.44704338908195496,0,49,,,
0.3267940282821655,0,99,,,
0.22691354155540466,0,149,,,
0.2813259959220886,0,199,,,
0.25218793749809265,0,249,,,
0.09876307845115662,0,299,,,
,0,311,0.3580000102519989,,
,0,311,,0.3504607379436493,0.364300012588501
0.13066335022449493,1,349,,,
0.14267997443675995,1,399,,,
0.18718205392360687,1,449,,,
0.1559462547302246,1,499,,,
0.05473635345697403,1,549,,,
-0.019867513328790665,1,599,,,
,1,623,0.5333999991416931,,
,1,623,,0.4911358058452606,0.5523999929428101
0.06492231041193008,2,649,,,
0.01806897297501564,2,699,,,
0.09848043322563171,2,749,,,
0.004964087158441544,2,799,,,
-0.018663927912712097,2,849,,,
0.06445243954658508,2,899,,,
,2,935,0.5781999826431274,,
,2,935,,0.5668569803237915,0.5918999910354614
0.055776841938495636,3,949,,,
-0.08626451343297958,3,999,,,
0.0370912030339241,3,1049,,,
0.059669673442840576,3,1099,,,
0.06860850751399994,3,1149,,,
-0.1043594479560852,3,1199,,,
,3,1247,0.5781000256538391,,
,3,1247,,0.6116035580635071,0.593500018119812
-0.03585193678736687,4,1249,,,
-0.15899327397346497,4,1299,,,
-0.10731253027915955,4,1349,,,
-0.07990991324186325,4,1399,,,
-0.018455876037478447,4,1449,,,
-0.08515654504299164,4,1499,,,
-0.0865342915058136,4,1549,,,
,4,1559,0.645799994468689,,
,4,1559,,0.6470352411270142,0.67330002784729
-0.1830083727836609,5,1599,,,
-0.007075771689414978,5,1649,,,
-0.16744749248027802,5,1699,,,
-0.07683417201042175,5,1749,,,
-0.12251994013786316,5,1799,,,
-0.1506967842578888,5,1849,,,
,5,1871,0.5940999984741211,,
,5,1871,,0.6789112687110901,0.6225000023841858
-0.15674006938934326,6,1899,,,
-0.11611629277467728,6,1949,,,
-0.17617395520210266,6,1999,,,
-0.16267356276512146,6,2049,,,
-0.1229824349284172,6,2099,,,
-0.21501654386520386,6,2149,,,
,6,2183,0.6793000102043152,,
,6,2183,,0.6955378651618958,0.7062000036239624
-0.16576166450977325,7,2199,,,
-0.18398359417915344,7,2249,,,
-0.03089379146695137,7,2299,,,
-0.07455702126026154,7,2349,,,
-0.1705232411623001,7,2399,,,
-0.16457997262477875,7,2449,,,
,7,2495,0.7073000073432922,,
,7,2495,,0.7135667204856873,0.739300012588501
-0.11655024439096451,8,2499,,,
-0.18031764030456543,8,2549,,,
-0.2062152624130249,8,2599,,,
-0.19991686940193176,8,2649,,,
-0.25488507747650146,8,2699,,,
-0.1950446516275406,8,2749,,,
-0.26317161321640015,8,2799,,,
,8,2807,0.6917999982833862,,
,8,2807,,0.7336989045143127,0.7189000248908997
-0.25421130657196045,9,2849,,,
-0.17653010785579681,9,2899,,,
-0.13828270137310028,9,2949,,,
-0.24505428969860077,9,2999,,,
-0.16285240650177002,9,3049,,,
-0.1731058955192566,9,3099,,,
,9,3119,0.6714000105857849,,
,9,3119,,0.7405849099159241,0.7064999938011169
-0.25747761130332947,10,3149,,,
-0.1938241422176361,10,3199,,,
-0.24815203249454498,10,3249,,,
-0.15371257066726685,10,3299,,,
-0.23041604459285736,10,3349,,,
-0.2255505919456482,10,3399,,,
,10,3431,0.7493000030517578,,
,10,3431,,0.7494992017745972,0.7868000268936157
-0.13428805768489838,11,3449,,,
-0.18148189783096313,11,3499,,,
-0.19210517406463623,11,3549,,,
-0.2936074733734131,11,3599,,,
-0.18546032905578613,11,3649,,,
-0.2717612683773041,11,3699,,,
,11,3743,0.7185999751091003,,
,11,3743,,0.7625700831413269,0.7551000118255615
-0.24465951323509216,12,3749,,,
-0.31325840950012207,12,3799,,,
-0.3435036540031433,12,3849,,,
-0.21538451313972473,12,3899,,,
-0.2643917500972748,12,3949,,,
-0.22425681352615356,12,3999,,,
-0.2614009976387024,12,4049,,,
,12,4055,0.7562999725341797,,
,12,4055,,0.7675280570983887,0.7968000173568726
-0.14679811894893646,13,4099,,,
-0.17529436945915222,13,4149,,,
-0.28337737917900085,13,4199,,,
-0.22040709853172302,13,4249,,,
-0.297673761844635,13,4299,,,
-0.3141089081764221,13,4349,,,
,13,4367,0.7289999723434448,,
,13,4367,,0.7742387652397156,0.7574999928474426
-0.220640629529953,14,4399,,,
-0.26252079010009766,14,4449,,,
-0.19873511791229248,14,4499,,,
-0.30500084161758423,14,4549,,,
-0.3458290696144104,14,4599,,,
-0.15352828800678253,14,4649,,,
,14,4679,0.7556999921798706,,
,14,4679,,0.7781199812889099,0.7914999723434448
-0.1809101551771164,15,4699,,,
-0.1822674721479416,15,4749,,,
-0.28650975227355957,15,4799,,,
-0.2069339156150818,15,4849,,,
-0.18528877198696136,15,4899,,,
-0.2871573567390442,15,4949,,,
,15,4991,0.7426000237464905,,
,15,4991,,0.7847305536270142,0.7710999846458435
-0.30676212906837463,16,4999,,,
-0.31228530406951904,16,5049,,,
-0.2945544719696045,16,5099,,,
-0.22489972412586212,16,5149,,,
-0.2421223223209381,16,5199,,,
-0.13298524916172028,16,5249,,,
-0.2793722152709961,16,5299,,,
,16,5303,0.7700999975204468,,
,16,5303,,0.7901893258094788,0.8151000142097473
-0.271363228559494,17,5349,,,
-0.1756679266691208,17,5399,,,
-0.27738386392593384,17,5449,,,
-0.27219557762145996,17,5499,,,
-0.22760403156280518,17,5549,,,
-0.27701807022094727,17,5599,,,
,17,5615,0.7559999823570251,,
