step,train_loss,epoch,val_acc,test_acc,train_acc
49,0.4864635169506073,0,,,
99,0.407561719417572,0,,,
149,0.39133980870246887,0,,,
199,0.30144956707954407,0,,,
249,0.35075822472572327,0,,,
299,0.42040830850601196,0,,,
311,,0,0.34769999980926514,,
311,,0,,0.3885999917984009,0.29995492100715637
349,0.27281758189201355,1,,,
399,0.2527974545955658,1,,,
449,0.18241626024246216,1,,,
499,0.19084113836288452,1,,,
549,0.18345850706100464,1,,,
599,0.18021422624588013,1,,,
623,,1,0.4259999990463257,,
623,,1,,0.4733999967575073,0.42457932233810425
649,0.17071950435638428,2,,,
699,0.1151723563671112,2,,,
749,0.15335145592689514,2,,,
799,0.18439121544361115,2,,,
849,0.09636861830949783,2,,,
899,0.2512073218822479,2,,,
935,,2,0.5095999836921692,,
935,,2,,0.5751000046730042,0.48928284645080566
949,0.14377354085445404,3,,,
999,0.08461841940879822,3,,,
1049,0.17408160865306854,3,,,
1099,0.14849194884300232,3,,,
1149,0.054921217262744904,3,,,
1199,0.2008218765258789,3,,,
1247,,3,0.527999997138977,,
1247,,3,,0.593500018119812,0.5317257642745972
1249,0.10177302360534668,4,,,
1299,0.12082011997699738,4,,,
1349,0.11260159313678741,4,,,
1399,0.029605239629745483,4,,,
1449,0.009331133216619492,4,,,
1499,0.08631918579339981,4,,,
1549,-0.0029853209853172302,4,,,
1559,,4,0.5483999848365784,,
1559,,4,,0.6157000064849854,0.5589944124221802
1599,-0.07213513553142548,5,,,
1649,0.028631871566176414,5,,,
1699,0.05148492753505707,5,,,
1749,0.059499070048332214,5,,,
1799,-0.02242089994251728,5,,,
1849,-0.007121741771697998,5,,,
1871,,5,0.5752999782562256,,
1871,,5,,0.6503999829292297,0.5901942849159241
1899,0.057523779571056366,6,,,
1949,0.07509537786245346,6,,,
1999,-0.0560108982026577,6,,,
2049,-0.009920760989189148,6,,,
2099,-0.03987151011824608,6,,,
2149,0.022331923246383667,6,,,
2183,,6,0.60589998960495,,
2183,,6,,0.6966999769210815,0.6119290590286255
2199,0.008610866963863373,7,,,
2249,-0.05660111829638481,7,,,
2299,-0.008992493152618408,7,,,
2349,0.009630482643842697,7,,,
2399,-0.06685290485620499,7,,,
2449,-0.005294946953654289,7,,,
2495,,7,0.5992000102996826,,
2495,,7,,0.6743000149726868,0.6323117017745972
2499,-0.05809614434838295,8,,,
2549,0.0035816356539726257,8,,,
2599,-0.002667553722858429,8,,,
2649,-0.04198748990893364,8,,,
2699,-0.039710670709609985,8,,,
2749,-0.07851547747850418,8,,,
2799,0.04529586061835289,8,,,
2807,,8,0.6262000203132629,,
2807,,8,,0.7185999751091003,0.6459585428237915
2849,-0.13130857050418854,9,,,
2899,0.0036504343152046204,9,,,
2949,-0.11388809233903885,9,,,
2999,0.013487870804965496,9,,,
3049,-0.08246393501758575,9,,,
3099,-0.059031277894973755,9,,,
3119,,9,0.6251999735832214,,
3119,,9,,0.7210999727249146,0.6556740999221802
3149,-0.025052949786186218,10,,,
3199,-0.1561720073223114,10,,,
3249,-0.11613922566175461,10,,,
3299,-0.12166999280452728,10,,,
3349,-0.09040328860282898,10,,,
3399,-0.07442791014909744,10,,,
3431,,10,0.6693999767303467,,
3431,,10,,0.7681999802589417,0.6692708134651184
3449,-0.26936766505241394,11,,,
3499,-0.12494881451129913,11,,,
3549,-0.1570838987827301,11,,,
3599,-0.15496677160263062,11,,,
3649,-0.00716610811650753,11,,,
3699,-0.10014542192220688,11,,,
3743,,11,0.6636999845504761,,
3743,,11,,0.7656999826431274,0.6781851053237915
3749,-0.16354119777679443,12,,,
3799,-0.1837148666381836,12,,,
3849,-0.08286628127098083,12,,,
3899,-0.09485838562250137,12,,,
3949,-0.05903018265962601,12,,,
3999,-0.14793705940246582,12,,,
4049,-0.10555046796798706,12,,,
4055,,12,0.6711000204086304,,
4055,,12,,0.7746000289916992,0.6847205758094788
4099,-0.11024969071149826,13,,,
4149,-0.11648137867450714,13,,,
4199,-0.14691206812858582,13,,,
4249,-0.12694013118743896,13,,,
4299,-0.09505488723516464,13,,,
4349,-0.14095386862754822,13,,,
4367,,13,0.6729000210762024,,
4367,,13,,0.7763000130653381,0.6921574473381042
4399,-0.14520865678787231,14,,,
4449,-0.13079003989696503,14,,,
4499,-0.139923557639122,14,,,
4549,-0.16567406058311462,14,,,
4599,-0.14225992560386658,14,,,
4649,-0.11240638792514801,14,,,
4679,,14,0.6723999977111816,,
4679,,14,,0.7684999704360962,0.6963391304016113
4699,-0.1409563273191452,15,,,
4749,-0.07741453498601913,15,,,
4799,-0.1164129227399826,15,,,
4849,-0.01823027804493904,15,,,
4899,-0.11032754182815552,15,,,
4949,-0.17982886731624603,15,,,
4991,,15,0.6638000011444092,,
4991,,15,,0.7626000046730042,0.7028495669364929
4999,-0.14759336411952972,16,,,
5049,-0.1880844235420227,16,,,
