step,train_loss,epoch,val_acc,test_acc,train_acc
49,0.49255964159965515,0,,,
99,0.40526294708251953,0,,,
149,0.3409363627433777,0,,,
199,0.34599852561950684,0,,,
249,0.3220154047012329,0,,,
299,0.30281662940979004,0,,,
311,,0,0.40380001068115234,,
311,,0,,0.44830000400543213,0.31390222907066345
349,0.20929792523384094,1,,,
399,0.2144424021244049,1,,,
449,0.18457846343517303,1,,,
499,0.1989116668701172,1,,,
549,0.16183257102966309,1,,,
599,0.17836034297943115,1,,,
623,,1,0.4429999887943268,,
623,,1,,0.4832000136375427,0.4354717433452606
649,0.2778320014476776,2,,,
699,0.17210134863853455,2,,,
749,0.19901178777217865,2,,,
799,0.1364177167415619,2,,,
849,0.07916543632745743,2,,,
899,0.24773427844047546,2,,,
